name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Wayne Ellington,4,6,1,1,13,1,20.0,True
Wayne Ellington,1,2,0,4,43,19,2.8,True
Wayne Ellington,1,5,1,0,0,1,21.6,True
Wayne Ellington,2,11,1,0,0,1,0.0,True
Wayne Ellington,3,6,1,0,0,1,10.1,True
Wayne Ellington,3,8,1,0,0,1,20.2,True
Wayne Ellington,2,9,1,0,0,1,0.0,True
Wayne Ellington,2,4,1,1,14,8,0.0,True
Wayne Ellington,2,6,0,1,4,11,17.1,True
Wayne Ellington,4,6,0,4,6,48,19.6,True
Wayne Ellington,2,1,0,4,0,46,12.6,True
Wayne Ellington,4,4,0,7,69,26,0.0,True
Wayne Ellington,2,2,1,0,9,1,0.0,True
Wayne Ellington,2,5,1,0,-2,3,0.0,True
Wayne Ellington,4,4,1,1,9,-7,12.5,True
Wayne Ellington,2,3,1,2,-15,14,0.0,True
Wayne Ellington,1,4,1,2,17,14,0.0,True
Wayne Ellington,2,4,1,0,-7,0,15.6,True
Wayne Ellington,3,9,1,0,9,0,2.7,True
Wayne Ellington,4,7,1,1,-14,0,4.9,True
Wayne Ellington,1,0,1,0,-2,6,13.6,True
Wayne Ellington,4,8,1,1,14,4,10.1,True
Wayne Ellington,5,2,0,2,-23,-3,21.4,True
Wayne Ellington,4,0,1,1,15,-3,20.0,True
Wayne Ellington,5,0,0,1,-13,0,11.4,True
Wayne Ellington,5,0,1,0,9,1,18.3,True
Wayne Ellington,4,9,1,1,10,3,20.0,True
Wayne Ellington,3,0,1,1,18,0,3.9,True
Wayne Ellington,3,6,1,2,17,11,0.0,True
Wayne Ellington,1,8,0,2,9,19,18.7,True
Wayne Ellington,4,6,1,2,20,22,17.0,True
Wayne Ellington,4,6,1,1,9,5,20.5,True
Wayne Ellington,4,5,0,2,8,19,11.6,True
Wayne Ellington,3,6,0,2,17,14,4.6,True
Wayne Ellington,4,8,0,2,-8,26,15.8,True
Wayne Ellington,2,8,1,0,5,7,0.0,True
Wayne Ellington,2,9,1,1,12,-3,19.1,True
Wayne Ellington,1,7,1,0,6,1,0.0,True
Wayne Ellington,1,6,0,1,-5,9,8.4,True
Wayne Ellington,1,7,1,0,9,0,19.1,True
Wayne Ellington,3,10,0,2,9,26,2.9,True
Wayne Ellington,1,7,1,2,-21,11,14.7,True
Wayne Ellington,4,9,0,1,0,15,18.0,True
Wayne Ellington,4,2,1,2,-19,7,21.2,True
Wayne Ellington,4,6,1,1,15,-10,18.9,True
Wayne Ellington,4,8,0,1,-11,0,23.1,True
Wayne Ellington,4,8,1,1,-19,1,20.4,True
Wayne Ellington,2,1,1,0,0,1,24.0,True
Wayne Ellington,3,5,0,0,0,1,18.2,True
Wayne Ellington,4,6,1,0,0,1,7.8,True
Wayne Ellington,4,7,0,16,64,157,2.3,True
Wayne Ellington,2,1,0,17,97,140,8.1,True
Wayne Ellington,3,10,0,15,118,104,14.4,True
Wayne Ellington,4,7,1,2,-2,23,7.4,True
Wayne Ellington,2,6,0,6,26,60,12.0,True
Wayne Ellington,4,6,1,18,130,126,15.4,True
Wayne Ellington,4,6,0,18,124,137,15.1,True
Wayne Ellington,3,0,0,13,-130,33,4.4,True
Wayne Ellington,1,11,1,7,12,72,0.0,True
Wayne Ellington,3,3,0,5,-29,47,13.3,True
Wayne Ellington,3,6,0,4,20,45,15.0,True
Wayne Ellington,4,10,1,5,15,48,6.8,True
Wayne Ellington,1,5,0,5,-7,58,22.8,True
Wayne Ellington,2,6,1,5,56,0,12.0,True
Wayne Ellington,1,10,0,22,-182,126,2.3,True
Wayne Ellington,2,2,1,7,-67,28,1.8,True
Wayne Ellington,1,5,1,2,21,19,11.4,True
Wayne Ellington,4,8,1,21,99,194,10.6,True
Wayne Ellington,2,11,1,21,190,94,10.2,True
Wayne Ellington,2,10,1,20,-149,145,21.1,True
Wayne Ellington,2,9,1,20,-128,164,10.3,True
Wayne Ellington,4,10,1,22,-155,157,15.5,True
Wayne Ellington,4,6,1,23,231,37,13.6,False
Wayne Ellington,4,1,1,14,149,-5,12.0,True
Wayne Ellington,3,1,1,19,118,151,14.0,True
Wayne Ellington,4,9,0,25,-239,74,13.8,False
Wayne Ellington,4,2,1,25,171,189,5.0,False
Wayne Ellington,3,1,1,25,-175,181,15.9,False
Wayne Ellington,2,11,1,18,-141,112,16.5,True
Wayne Ellington,3,1,1,24,176,170,14.0,False
Wayne Ellington,2,9,1,24,-183,159,13.2,False
Wayne Ellington,2,1,1,25,218,129,20.2,False
Wayne Ellington,5,0,0,25,-209,142,0.0,False
Wayne Ellington,2,8,1,25,-105,233,13.5,False
Wayne Ellington,4,6,1,18,-120,146,15.0,True
Wayne Ellington,2,10,1,16,155,42,6.9,True
Wayne Ellington,2,9,1,25,171,184,11.4,False
Wayne Ellington,2,7,1,24,-79,233,20.0,False
Wayne Ellington,4,9,1,18,99,159,15.4,True
Wayne Ellington,2,11,1,16,162,22,12.0,True
Wayne Ellington,2,10,1,16,138,85,14.6,True
Wayne Ellington,4,11,1,25,-127,224,11.4,False
Wayne Ellington,4,10,1,26,-37,258,24.0,False
Wayne Ellington,4,9,1,15,84,135,16.1,True
Wayne Ellington,4,1,1,27,132,246,16.0,False
Wayne Ellington,1,1,1,22,211,63,18.2,True
Wayne Ellington,3,1,1,13,-101,82,6.6,True
Wayne Ellington,4,10,1,18,2,189,15.6,True
Wayne Ellington,4,0,1,25,-123,220,17.8,False
Wayne Ellington,4,11,0,20,125,168,11.9,True
Wayne Ellington,2,10,1,22,-73,208,20.2,True
Wayne Ellington,4,3,1,25,189,172,12.6,False
Wayne Ellington,2,9,1,25,-4,257,10.5,False
Wayne Ellington,4,9,1,25,-5,257,15.2,False
Wayne Ellington,4,7,1,22,226,26,13.1,False
Wayne Ellington,4,1,0,24,-147,192,18.8,False
Wayne Ellington,2,7,1,24,-155,195,12.6,False
Wayne Ellington,2,3,1,22,-123,183,12.5,True
Wayne Ellington,3,10,1,24,192,151,17.0,False
Wayne Ellington,3,5,1,25,43,249,5.0,False
Wayne Ellington,2,10,1,25,177,187,20.5,False
Wayne Ellington,2,6,1,25,193,159,2.3,False
Wayne Ellington,4,10,1,18,170,77,7.1,True
Wayne Ellington,1,7,1,24,36,244,7.1,False
Wayne Ellington,4,0,1,23,223,88,0.0,False
Wayne Ellington,4,9,1,19,130,143,14.0,True
Wayne Ellington,3,9,0,24,-114,222,9.8,False
Wayne Ellington,1,7,0,9,28,91,18.4,True
Wayne Ellington,2,2,1,22,-224,-11,0.6,False
Wayne Ellington,3,7,1,24,189,160,17.3,False
Wayne Ellington,3,1,1,20,-133,151,15.0,True
Wayne Ellington,1,8,0,24,-111,217,13.4,False
Wayne Ellington,6,4,1,17,-64,168,8.8,True
Wayne Ellington,3,8,1,23,181,157,23.2,False
Wayne Ellington,4,0,1,14,146,0,15.0,True
Wayne Ellington,4,2,1,24,237,56,0.0,False
Wayne Ellington,2,4,1,21,185,105,0.0,True
Wayne Ellington,3,8,1,13,65,116,17.0,True
Wayne Ellington,4,9,0,11,70,85,16.5,True
Wayne Ellington,3,8,1,27,-168,213,10.5,False
Wayne Ellington,1,4,1,19,147,126,0.0,True
Wayne Ellington,2,1,1,18,127,140,0.0,True
Wayne Ellington,3,4,0,25,159,194,13.5,False
Wayne Ellington,2,2,0,25,-162,193,0.0,False
Wayne Ellington,3,2,1,26,146,222,14.0,False
Wayne Ellington,4,0,0,25,-197,165,14.1,False
Wayne Ellington,1,6,0,19,-61,182,0.0,True
Wayne Ellington,3,8,0,25,136,213,16.8,False
Wayne Ellington,3,2,0,18,-153,101,16.9,True
Wayne Ellington,2,1,1,24,1,249,13.0,False
Wayne Ellington,3,11,1,25,-165,193,1.4,False
Wayne Ellington,3,9,0,24,-203,140,5.8,False
Wayne Ellington,1,10,0,5,0,57,0.0,True
Wayne Ellington,4,7,1,20,40,199,18.1,True
Wayne Ellington,2,0,0,25,100,230,0.0,False
Wayne Ellington,4,9,0,18,-137,122,15.4,True
Wayne Ellington,2,3,0,23,229,24,0.0,False
Wayne Ellington,4,1,0,25,76,244,20.2,False
Wayne Ellington,2,11,0,23,233,35,0.0,False
Wayne Ellington,2,5,0,12,58,110,0.0,True
Wayne Ellington,1,9,0,16,-42,161,0.0,True
Wayne Ellington,1,6,0,24,-134,204,0.0,False
Wayne Ellington,1,5,1,24,89,224,0.0,False
Wayne Ellington,1,8,1,26,129,227,0.0,False
Wayne Ellington,2,10,1,24,-180,165,0.0,False
Wayne Ellington,2,0,0,24,-116,216,0.0,False
Wayne Ellington,3,8,1,21,-136,164,8.5,True
Wayne Ellington,3,0,1,25,92,233,0.0,False
Wayne Ellington,3,3,1,24,-231,93,11.5,False
Wayne Ellington,1,6,0,25,173,184,12.1,False
Wayne Ellington,3,10,0,25,108,233,7.4,False
Wayne Ellington,2,5,0,25,-163,194,0.0,False
Wayne Ellington,4,1,0,20,-123,164,10.2,True
Wayne Ellington,4,8,0,24,114,216,17.8,False
Wayne Ellington,4,6,0,24,56,241,15.2,False
Wayne Ellington,2,9,0,32,-16,320,0.0,False
Wayne Ellington,3,8,0,16,-21,165,5.9,True
Wayne Ellington,3,5,1,19,-98,168,16.2,True
Wayne Ellington,4,0,0,26,-125,238,18.5,False
Wayne Ellington,3,1,0,22,130,179,15.5,True
Wayne Ellington,1,9,0,21,-79,200,12.9,True
Wayne Ellington,2,11,0,16,118,121,6.6,True
Wayne Ellington,4,6,0,24,-146,201,14.4,False
Wayne Ellington,4,9,0,24,192,157,15.5,False
Wayne Ellington,1,4,0,24,245,0,0.0,False
Wayne Ellington,4,0,0,17,-97,143,17.4,True
Wayne Ellington,3,9,0,19,43,187,0.0,True
Wayne Ellington,5,3,0,26,192,183,4.7,False
Wayne Ellington,5,2,0,23,237,-13,18.7,False
Wayne Ellington,2,9,0,23,233,19,18.6,False
Wayne Ellington,1,11,0,5,47,31,7.1,True
Wayne Ellington,4,6,0,24,-240,12,12.8,False
Wayne Ellington,1,10,0,22,-18,220,0.0,True
Wayne Ellington,2,7,0,24,-245,15,1.8,False
Wayne Ellington,2,3,1,24,86,226,8.7,False
Wayne Ellington,4,0,0,26,-45,258,0.0,False
Wayne Ellington,1,10,1,26,-65,257,1.4,False
Wayne Ellington,2,0,0,23,-232,39,8.7,False
Wayne Ellington,2,5,0,25,-71,241,17.6,False
Wayne Ellington,3,1,0,20,-37,200,10.7,True
Wayne Ellington,1,11,0,20,10,206,9.9,True
Wayne Ellington,4,3,0,19,75,178,17.7,True
Wayne Ellington,3,10,0,21,152,148,9.0,True
Wayne Ellington,2,9,0,3,6,34,16.7,True
Wayne Ellington,4,7,0,19,108,162,15.5,True
Wayne Ellington,4,3,0,24,65,236,10.0,False
Wayne Ellington,4,7,0,24,198,145,9.6,False
Wayne Ellington,4,8,0,25,185,170,2.1,False
Wayne Ellington,2,11,0,24,-111,224,20.8,False
Wayne Ellington,2,5,0,20,17,200,12.2,True
Wayne Ellington,3,7,1,25,92,238,10.6,False
Wayne Ellington,4,0,0,26,-150,219,21.2,False
Wayne Ellington,3,4,0,15,-114,104,19.5,True
Wayne Ellington,3,6,0,16,112,127,14.3,True
Wayne Ellington,1,6,0,18,89,166,0.0,True
Wayne Ellington,3,7,0,25,-156,207,19.5,False
Wayne Ellington,2,2,0,20,184,96,0.0,True
Wayne Ellington,2,2,1,24,203,138,6.9,False
Wayne Ellington,1,10,0,3,-28,13,16.7,True
Wayne Ellington,1,10,0,25,167,188,20.0,False
Wayne Ellington,1,6,0,24,76,236,16.2,False
Wayne Ellington,2,0,0,24,-112,222,0.0,False
Wayne Ellington,3,8,0,25,32,249,15.7,False
Wayne Ellington,1,10,0,24,-112,222,0.0,False
Wayne Ellington,2,2,0,25,6,252,0.0,False
Wayne Ellington,1,10,0,22,223,19,0.0,False
Wayne Ellington,3,11,0,25,121,222,20.5,False
Wayne Ellington,1,4,0,22,223,11,0.0,False
Wayne Ellington,2,1,1,18,61,171,9.9,True
Wayne Ellington,4,0,0,22,223,-10,22.2,False
Wayne Ellington,3,8,1,25,83,244,13.9,False
Wayne Ellington,4,0,0,15,77,131,23.0,True
Wayne Ellington,4,9,0,23,234,12,11.5,False
Wayne Ellington,4,6,0,25,167,188,14.0,False
Wayne Ellington,2,10,0,22,-226,-10,18.0,False
Wayne Ellington,4,0,0,26,164,207,8.6,False
Wayne Ellington,2,0,0,20,-67,190,5.0,True
Wayne Ellington,4,9,0,25,-231,96,18.0,False
Wayne Ellington,1,10,0,24,-115,219,15.5,False
Wayne Ellington,1,11,0,8,-2,89,4.4,True
Wayne Ellington,4,0,0,13,127,31,16.8,True
Wayne Ellington,3,0,0,17,-119,127,5.5,True
Wayne Ellington,3,10,1,25,-134,219,9.2,False
Wayne Ellington,2,0,1,20,-101,176,2.6,True
Wayne Ellington,3,2,1,21,7,213,8.3,True
Wayne Ellington,4,3,1,21,-106,190,9.3,True
Wayne Ellington,4,2,0,17,118,129,3.5,True
Wayne Ellington,3,6,1,18,-15,184,8.8,True
Wayne Ellington,1,10,0,20,133,159,19.4,True
Wayne Ellington,2,3,1,11,-97,63,18.3,True
Wayne Ellington,2,11,1,17,-76,160,5.7,True
Wayne Ellington,2,10,0,19,13,197,17.7,True
Wayne Ellington,2,10,0,17,61,168,7.6,True
Wayne Ellington,1,3,0,3,-2,30,14.4,True
Wayne Ellington,4,3,0,25,61,247,12.7,False
Wayne Ellington,2,2,0,20,160,129,7.7,True
Wayne Ellington,2,4,0,21,-125,178,23.5,True
Wayne Ellington,1,8,0,13,132,-5,9.9,True
Wayne Ellington,3,8,1,23,236,-17,14.5,False
Wayne Ellington,5,1,1,26,182,195,14.0,False
Wayne Ellington,4,5,1,25,56,252,16.7,False
Wayne Ellington,1,7,0,18,-188,6,16.8,True
Wayne Ellington,2,0,0,10,-70,77,0.0,True
Wayne Ellington,2,1,0,6,-68,4,7.3,True
Wayne Ellington,3,5,0,25,241,75,18.0,False
Wayne Ellington,1,5,0,26,110,246,7.8,False
Wayne Ellington,3,8,0,18,160,94,14.7,True
Wayne Ellington,4,4,0,18,103,154,14.2,True
Wayne Ellington,3,9,1,23,230,-11,6.1,False
Wayne Ellington,2,4,1,11,99,63,0.0,True
Wayne Ellington,1,8,0,21,111,189,0.0,True
Wayne Ellington,4,2,1,25,-45,252,21.0,False
Wayne Ellington,1,10,0,17,-68,157,0.0,True
Wayne Ellington,1,6,0,25,-75,241,0.0,False
Wayne Ellington,3,5,0,19,-130,151,1.6,True
Wayne Ellington,2,3,0,26,-155,214,0.0,False
Wayne Ellington,1,10,1,24,245,-16,13.6,False
Wayne Ellington,2,11,0,24,-191,160,4.1,False
