name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Will Bynum,2,5,1,0,1,1,19.8,True
Will Bynum,2,4,1,5,21,47,15.3,True
Will Bynum,4,0,0,24,62,236,22.1,False
Will Bynum,4,0,0,25,-101,238,2.5,False
Will Bynum,2,4,0,19,-52,187,16.1,True
Will Bynum,5,1,0,13,-111,74,8.2,True
Will Bynum,5,0,0,12,118,48,20.0,True
Will Bynum,2,8,1,19,-95,170,14.2,True
Will Bynum,2,11,1,16,163,-5,16.6,True
Will Bynum,1,0,0,24,-139,200,7.5,False
Will Bynum,4,9,0,17,-87,156,15.4,True
Will Bynum,4,9,0,25,-220,126,10.1,False
Will Bynum,2,3,0,14,-117,85,9.2,True
Will Bynum,3,2,0,26,-174,194,3.7,False
Will Bynum,5,0,0,25,209,151,20.0,False
Will Bynum,5,1,0,25,-180,184,3.5,False
Will Bynum,4,0,1,3,0,36,20.5,True
Will Bynum,4,5,0,18,-125,137,11.5,True
Will Bynum,4,9,0,27,207,183,18.9,False
Will Bynum,4,6,0,20,-142,151,11.2,True
Will Bynum,4,1,0,26,125,231,17.2,False
Will Bynum,2,8,1,2,0,25,21.4,True
Will Bynum,4,8,0,1,15,7,17.2,True
Will Bynum,2,10,0,1,-10,0,19.9,True
Will Bynum,3,2,0,1,1,-10,17.2,True
Will Bynum,4,10,1,17,151,96,1.2,True
Will Bynum,4,7,0,18,-97,156,17.1,True
Will Bynum,4,11,1,4,-29,30,6.2,True
Will Bynum,5,0,1,8,77,25,20.1,True
Will Bynum,4,6,1,4,40,22,10.2,True
Will Bynum,2,5,0,20,-157,129,13.5,True
