name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
AlFarouq Aminu,4,4,51,1,Cutting Dunk Shot,0,7,3,True
AlFarouq Aminu,1,11,35,1,Cutting Dunk Shot,0,8,5,True
AlFarouq Aminu,4,1,56,1,Cutting Dunk Shot,1,-1,15,True
AlFarouq Aminu,4,2,53,1,Cutting Dunk Shot,0,-2,8,True
AlFarouq Aminu,2,2,12,1,Cutting Dunk Shot,0,-3,7,True
AlFarouq Aminu,3,9,1,1,Cutting Dunk Shot,1,-5,15,True
AlFarouq Aminu,1,10,30,1,Cutting Dunk Shot,0,-2,-1,True
AlFarouq Aminu,3,8,26,1,Cutting Dunk Shot,0,-2,0,True
AlFarouq Aminu,3,6,23,1,Cutting Layup Shot,1,12,14,True
AlFarouq Aminu,4,5,49,0,Cutting Layup Shot,0,6,3,True
AlFarouq Aminu,2,4,0,1,Cutting Layup Shot,1,9,17,True
AlFarouq Aminu,4,9,41,0,Cutting Layup Shot,1,8,11,True
AlFarouq Aminu,3,9,21,0,Cutting Layup Shot,2,-8,19,True
AlFarouq Aminu,1,11,45,1,Driving Dunk Shot,0,-3,7,True
AlFarouq Aminu,1,10,16,1,Driving Dunk Shot,0,-3,-1,True
AlFarouq Aminu,1,7,27,1,Driving Dunk Shot,1,8,6,True
AlFarouq Aminu,3,6,55,1,Driving Dunk Shot,0,0,4,True
AlFarouq Aminu,2,1,16,1,Driving Dunk Shot,0,-6,7,True
AlFarouq Aminu,1,8,31,1,Driving Finger Roll Layup Shot,2,-23,17,True
AlFarouq Aminu,1,5,16,1,Driving Finger Roll Layup Shot,2,3,20,True
AlFarouq Aminu,1,10,20,1,Driving Finger Roll Layup Shot,1,-3,11,True
AlFarouq Aminu,4,3,57,1,Driving Finger Roll Layup Shot,1,-16,3,True
AlFarouq Aminu,3,9,50,0,Driving Floating Bank Jump Shot,5,30,43,True
AlFarouq Aminu,1,4,33,1,Driving Floating Bank Jump Shot,2,25,12,True
AlFarouq Aminu,2,5,12,1,Driving Floating Bank Jump Shot,4,15,42,True
AlFarouq Aminu,1,10,46,0,Driving Floating Bank Jump Shot,9,2,90,True
AlFarouq Aminu,3,8,5,1,Driving Floating Bank Jump Shot,4,-30,29,True
AlFarouq Aminu,2,1,4,0,Driving Floating Jump Shot,6,2,68,True
AlFarouq Aminu,2,1,57,1,Driving Floating Jump Shot,6,-43,46,True
AlFarouq Aminu,2,4,2,0,Driving Floating Jump Shot,18,84,162,True
AlFarouq Aminu,3,11,21,0,Driving Floating Jump Shot,11,105,55,True
AlFarouq Aminu,2,0,48,1,Driving Floating Jump Shot,8,10,84,True
AlFarouq Aminu,1,5,24,0,Driving Floating Jump Shot,7,-19,68,True
AlFarouq Aminu,1,7,45,1,Driving Floating Jump Shot,5,47,37,True
AlFarouq Aminu,3,11,17,0,Driving Floating Jump Shot,14,-14,145,True
AlFarouq Aminu,2,10,45,1,Driving Floating Jump Shot,4,-18,44,True
AlFarouq Aminu,4,4,8,0,Driving Floating Jump Shot,5,-3,51,True
AlFarouq Aminu,3,10,9,0,Driving Floating Jump Shot,9,77,50,True
AlFarouq Aminu,1,8,51,0,Driving Floating Jump Shot,6,-19,60,True
AlFarouq Aminu,3,9,54,1,Driving Floating Jump Shot,3,-33,8,True
AlFarouq Aminu,1,5,14,1,Driving Floating Jump Shot,6,61,5,True
AlFarouq Aminu,2,7,7,1,Driving Floating Jump Shot,11,3,119,True
AlFarouq Aminu,2,1,20,0,Driving Floating Jump Shot,11,-44,107,True
