name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Alec Burks,4,3,45,1,Alley Oop Dunk Shot,2,25,-2,True
Alec Burks,3,0,27,1,Alley Oop Dunk Shot,3,-6,38,True
Alec Burks,2,0,8,1,Cutting Dunk Shot,1,-11,11,True
Alec Burks,4,10,4,1,Cutting Dunk Shot,1,-6,10,True
Alec Burks,2,0,58,1,Cutting Dunk Shot,2,-3,27,True
Alec Burks,2,8,46,0,Cutting Layup Shot,2,-4,21,True
Alec Burks,1,1,17,1,Cutting Layup Shot,1,0,12,True
Alec Burks,1,6,10,0,Cutting Layup Shot,2,-2,26,True
Alec Burks,4,6,39,1,Cutting Layup Shot,1,2,16,True
Alec Burks,2,11,3,1,Cutting Layup Shot,1,13,4,True
Alec Burks,2,11,10,1,Driving Dunk Shot,0,5,7,True
Alec Burks,2,5,29,0,Driving Dunk Shot,2,-14,20,True
Alec Burks,4,11,44,1,Driving Dunk Shot,2,18,20,True
Alec Burks,2,10,1,1,Driving Dunk Shot,1,-19,-1,True
Alec Burks,2,9,11,1,Driving Dunk Shot,1,-9,10,True
Alec Burks,4,11,39,1,Driving Dunk Shot,1,-9,10,True
Alec Burks,4,10,26,0,Driving Finger Roll Layup Shot,1,6,17,True
Alec Burks,1,4,41,1,Driving Finger Roll Layup Shot,0,-3,1,True
Alec Burks,4,0,16,1,Driving Finger Roll Layup Shot,1,5,11,True
Alec Burks,1,2,33,1,Driving Floating Bank Jump Shot,11,-99,62,True
Alec Burks,2,10,10,1,Driving Floating Bank Jump Shot,9,-33,84,True
Alec Burks,4,11,16,1,Driving Floating Bank Jump Shot,1,-3,16,True
Alec Burks,3,1,50,0,Driving Floating Bank Jump Shot,5,49,20,True
Alec Burks,4,11,21,1,Driving Floating Bank Jump Shot,6,-49,40,True
Alec Burks,2,8,17,0,Driving Floating Bank Jump Shot,8,52,67,True
Alec Burks,3,4,9,0,Driving Floating Bank Jump Shot,11,103,48,True
Alec Burks,1,0,33,0,Driving Floating Bank Jump Shot,11,93,64,True
Alec Burks,1,0,0,0,Driving Floating Bank Jump Shot,2,5,24,True
Alec Burks,3,4,29,0,Driving Floating Bank Jump Shot,7,-50,53,True
Alec Burks,1,1,46,1,Driving Floating Bank Jump Shot,4,18,39,True
Alec Burks,3,6,2,0,Driving Floating Jump Shot,9,47,84,True
Alec Burks,4,9,44,1,Driving Floating Jump Shot,3,30,13,True
Alec Burks,4,10,7,1,Driving Floating Jump Shot,6,14,61,True
Alec Burks,1,1,43,1,Driving Floating Jump Shot,10,81,70,True
Alec Burks,3,4,54,1,Driving Floating Jump Shot,9,-13,96,True
Alec Burks,4,9,25,1,Driving Floating Jump Shot,4,-28,31,True
Alec Burks,1,3,16,0,Driving Floating Jump Shot,8,-43,75,True
