name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Alex Caruso,2,11,38,1,Cutting Dunk Shot,0,2,8,True
Alex Caruso,2,6,17,1,Cutting Dunk Shot,0,7,6,True
Alex Caruso,1,3,54,1,Cutting Layup Shot,2,-9,21,True
Alex Caruso,2,8,3,0,Driving Dunk Shot,0,9,-2,True
Alex Caruso,2,9,17,1,Driving Dunk Shot,1,-10,3,True
Alex Caruso,1,10,31,0,Driving Dunk Shot,1,2,14,True
Alex Caruso,4,5,1,1,Driving Finger Roll Layup Shot,3,-5,34,True
Alex Caruso,2,11,47,1,Driving Floating Bank Jump Shot,6,18,63,True
Alex Caruso,2,8,8,0,Driving Floating Jump Shot,10,-54,93,True
Alex Caruso,2,2,37,1,Driving Floating Jump Shot,2,8,21,True
Alex Caruso,1,0,58,0,Driving Floating Jump Shot,9,52,85,True
Alex Caruso,4,11,15,0,Driving Floating Jump Shot,10,-94,53,True
Alex Caruso,4,4,7,0,Driving Hook Shot,5,37,41,True
Alex Caruso,4,1,13,1,Driving Hook Shot,12,-6,122,True
Alex Caruso,4,10,38,1,Driving Layup Shot,1,17,6,True
Alex Caruso,3,10,39,0,Driving Layup Shot,2,25,10,True
Alex Caruso,2,9,59,1,Driving Layup Shot,1,-3,15,True
Alex Caruso,3,3,50,1,Driving Layup Shot,0,4,8,True
Alex Caruso,4,7,48,0,Driving Layup Shot,2,2,28,True
Alex Caruso,3,1,16,1,Driving Layup Shot,2,-3,21,True
Alex Caruso,4,1,49,1,Driving Layup Shot,0,-5,5,True
Alex Caruso,3,6,21,1,Driving Layup Shot,2,2,26,True
Alex Caruso,2,1,12,1,Driving Layup Shot,3,-18,29,True
Alex Caruso,2,10,43,0,Driving Layup Shot,2,-10,22,True
Alex Caruso,2,4,31,0,Driving Layup Shot,6,35,55,True
Alex Caruso,1,5,45,0,Driving Layup Shot,0,0,5,True
Alex Caruso,3,2,49,0,Driving Layup Shot,5,34,41,True
Alex Caruso,3,9,2,1,Driving Reverse Layup Shot,0,-4,8,True
Alex Caruso,2,10,59,1,Driving Reverse Layup Shot,2,-22,5,True
Alex Caruso,4,9,22,0,Driving Reverse Layup Shot,1,13,6,True
Alex Caruso,2,10,22,1,Driving Reverse Layup Shot,1,11,4,True
Alex Caruso,4,2,14,0,Fadeaway Jump Shot,11,-2,110,True
Alex Caruso,4,2,52,1,Fadeaway Jump Shot,12,2,122,True
Alex Caruso,3,4,53,0,Floating Jump shot,10,-43,96,True
Alex Caruso,2,7,52,0,Floating Jump shot,2,-2,20,True
