name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Alex Len,4,5,17,0,Alley Oop Dunk Shot,0,0,9,True
Alex Len,2,8,11,1,Alley Oop Dunk Shot,0,6,2,True
Alex Len,1,11,24,1,Alley Oop Dunk Shot,0,-4,6,True
Alex Len,3,0,56,1,Alley Oop Dunk Shot,0,5,0,True
Alex Len,3,10,3,1,Alley Oop Dunk Shot,0,2,0,True
Alex Len,2,8,39,0,Alley Oop Dunk Shot,0,-9,0,True
Alex Len,4,1,16,1,Alley Oop Dunk Shot,0,1,-7,True
Alex Len,3,2,44,1,Alley Oop Dunk Shot,1,18,3,True
Alex Len,1,4,59,1,Alley Oop Dunk Shot,1,9,17,True
Alex Len,3,7,49,0,Alley Oop Dunk Shot,2,-6,21,True
Alex Len,3,2,48,0,Alley Oop Dunk Shot,1,-5,11,True
Alex Len,2,11,10,0,Alley Oop Layup shot,0,0,4,True
Alex Len,2,4,14,1,Alley Oop Layup shot,0,4,8,True
Alex Len,2,1,20,0,Alley Oop Layup shot,1,10,11,True
Alex Len,2,10,43,0,Alley Oop Layup shot,2,-9,24,True
Alex Len,1,0,49,1,Alley Oop Layup shot,3,-31,13,True
Alex Len,3,0,37,1,Cutting Dunk Shot,0,-8,4,True
Alex Len,4,10,47,1,Cutting Dunk Shot,0,7,4,True
Alex Len,1,1,21,1,Cutting Dunk Shot,0,0,0,True
Alex Len,2,11,49,1,Cutting Dunk Shot,0,0,8,True
Alex Len,1,1,21,1,Cutting Dunk Shot,0,5,3,True
Alex Len,3,0,52,1,Cutting Dunk Shot,1,-13,4,True
Alex Len,2,11,8,1,Cutting Dunk Shot,1,-1,11,True
Alex Len,2,7,11,0,Cutting Dunk Shot,0,-6,6,True
Alex Len,2,9,42,1,Cutting Dunk Shot,0,-5,1,True
Alex Len,4,9,57,1,Cutting Dunk Shot,2,21,18,True
Alex Len,4,11,2,1,Cutting Dunk Shot,1,8,11,True
Alex Len,3,2,41,1,Cutting Dunk Shot,0,7,6,True
Alex Len,2,11,16,1,Cutting Dunk Shot,0,-3,1,True
Alex Len,2,8,37,1,Cutting Dunk Shot,0,-5,4,True
Alex Len,4,5,12,1,Cutting Dunk Shot,0,-9,3,True
Alex Len,2,7,43,1,Cutting Dunk Shot,0,2,2,True
Alex Len,2,10,33,1,Cutting Dunk Shot,0,2,1,True
Alex Len,2,7,28,1,Cutting Dunk Shot,0,2,6,True
Alex Len,2,8,12,1,Cutting Dunk Shot,0,-3,8,True
Alex Len,1,5,11,1,Cutting Dunk Shot,1,6,15,True
Alex Len,2,9,44,1,Cutting Dunk Shot,0,-3,2,True
Alex Len,4,9,20,1,Cutting Dunk Shot,1,5,10,True
Alex Len,1,0,46,1,Cutting Dunk Shot,0,-2,8,True
Alex Len,3,9,1,1,Cutting Dunk Shot,0,1,5,True
Alex Len,4,11,7,1,Cutting Dunk Shot,0,-6,1,True
Alex Len,1,4,30,1,Cutting Dunk Shot,0,2,6,True
Alex Len,4,5,42,1,Cutting Dunk Shot,0,3,5,True
Alex Len,2,6,5,0,Cutting Dunk Shot,0,3,5,True
Alex Len,2,10,47,1,Cutting Dunk Shot,0,8,4,True
Alex Len,2,9,13,1,Cutting Dunk Shot,1,2,11,True
Alex Len,2,6,22,0,Cutting Dunk Shot,6,-33,57,True
Alex Len,2,8,32,1,Cutting Dunk Shot,0,-1,7,True
Alex Len,2,4,23,1,Cutting Dunk Shot,1,5,16,True
Alex Len,3,9,25,1,Cutting Dunk Shot,1,3,11,True
Alex Len,1,3,11,1,Cutting Dunk Shot,1,-11,11,True
Alex Len,4,11,5,1,Cutting Dunk Shot,0,4,-1,True
Alex Len,1,0,4,1,Cutting Dunk Shot,2,2,20,True
Alex Len,1,1,31,1,Cutting Dunk Shot,1,-1,16,True
Alex Len,2,1,41,1,Cutting Dunk Shot,0,5,2,True
Alex Len,4,5,5,1,Cutting Dunk Shot,1,0,10,True
Alex Len,4,10,27,1,Cutting Dunk Shot,0,-2,3,True
Alex Len,4,2,31,1,Cutting Dunk Shot,0,4,8,True
