name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Alex Poythress,4,4,41,1,Alley Oop Layup shot,0,-1,1,True
Alex Poythress,2,6,6,1,Driving Dunk Shot,0,1,9,True
Alex Poythress,4,1,25,0,Driving Layup Shot,1,2,14,True
Alex Poythress,4,2,30,0,Driving Layup Shot,2,-22,20,True
Alex Poythress,4,1,57,0,Driving Layup Shot,8,-22,81,True
Alex Poythress,4,0,13,1,Dunk Shot,0,2,5,True
Alex Poythress,4,6,10,0,Jump Bank Shot,26,-5,263,False
Alex Poythress,4,1,1,1,Jump Shot,26,11,261,False
Alex Poythress,4,1,19,0,Jump Shot,22,222,-25,False
Alex Poythress,4,0,45,1,Jump Shot,22,221,17,False
Alex Poythress,4,1,7,0,Jump Shot,28,187,211,False
Alex Poythress,4,0,39,0,Jump Shot,27,-207,175,False
Alex Poythress,2,4,8,0,Jump Shot,22,-225,-4,False
Alex Poythress,4,1,40,0,Jump Shot,17,-89,153,True
Alex Poythress,2,11,33,0,Jump Shot,9,-92,-17,True
Alex Poythress,4,0,23,1,Jump Shot,26,-163,205,False
Alex Poythress,2,7,13,1,Layup Shot,1,8,11,True
Alex Poythress,4,5,38,1,Layup Shot,2,-2,20,True
Alex Poythress,4,0,40,1,Reverse Layup Shot,1,3,15,True
Alex Poythress,4,2,53,1,Running Dunk Shot,1,-6,10,True
Alex Poythress,2,11,16,0,Tip Layup Shot,1,10,8,True
Alex Poythress,2,6,56,0,Tip Layup Shot,0,3,6,True
Alex Poythress,4,0,51,0,Tip Layup Shot,0,0,-6,True
