name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Allen Crabbe,4,5,18,1,Alley Oop Layup shot,1,-10,3,True
Allen Crabbe,1,7,38,1,Alley Oop Layup shot,2,-22,5,True
Allen Crabbe,1,9,32,1,Cutting Layup Shot,1,14,11,True
Allen Crabbe,1,8,56,0,Cutting Layup Shot,5,-43,41,True
Allen Crabbe,2,2,20,1,Cutting Layup Shot,2,-20,2,True
Allen Crabbe,2,5,24,1,Cutting Layup Shot,4,13,38,True
Allen Crabbe,3,9,47,0,Cutting Layup Shot,2,-4,20,True
Allen Crabbe,3,1,55,0,Cutting Layup Shot,2,24,14,True
Allen Crabbe,4,3,45,1,Cutting Layup Shot,6,-54,43,True
Allen Crabbe,3,10,30,1,Cutting Layup Shot,1,-9,12,True
Allen Crabbe,3,3,40,1,Cutting Layup Shot,3,0,36,True
Allen Crabbe,3,8,23,1,Cutting Layup Shot,3,9,37,True
Allen Crabbe,1,5,54,1,Cutting Layup Shot,2,-20,10,True
Allen Crabbe,3,6,24,1,Cutting Layup Shot,1,-3,19,True
Allen Crabbe,1,2,47,1,Driving Dunk Shot,0,-3,5,True
Allen Crabbe,3,10,32,1,Driving Finger Roll Layup Shot,2,7,21,True
Allen Crabbe,3,9,16,1,Driving Finger Roll Layup Shot,1,-13,11,True
Allen Crabbe,1,11,21,1,Driving Finger Roll Layup Shot,1,2,19,True
Allen Crabbe,2,3,52,0,Driving Finger Roll Layup Shot,2,-7,20,True
Allen Crabbe,2,4,26,1,Driving Finger Roll Layup Shot,4,13,48,True
Allen Crabbe,2,7,52,1,Driving Finger Roll Layup Shot,1,-18,8,True
Allen Crabbe,3,7,0,1,Driving Finger Roll Layup Shot,1,-13,4,True
Allen Crabbe,3,5,14,1,Driving Finger Roll Layup Shot,3,28,22,True
Allen Crabbe,3,7,48,1,Driving Finger Roll Layup Shot,1,-2,19,True
Allen Crabbe,3,8,32,0,Driving Floating Bank Jump Shot,7,58,55,True
Allen Crabbe,3,11,34,1,Driving Floating Bank Jump Shot,7,-8,71,True
Allen Crabbe,1,1,37,1,Driving Floating Bank Jump Shot,6,31,54,True
Allen Crabbe,2,5,56,0,Driving Floating Bank Jump Shot,8,60,54,True
Allen Crabbe,4,6,33,0,Driving Floating Bank Jump Shot,3,-24,24,True
Allen Crabbe,2,10,30,1,Driving Floating Bank Jump Shot,7,73,31,True
Allen Crabbe,4,8,21,0,Driving Floating Bank Jump Shot,9,-73,65,True
Allen Crabbe,3,5,55,1,Driving Floating Jump Shot,6,25,58,True
Allen Crabbe,4,0,56,1,Driving Floating Jump Shot,12,66,106,True
Allen Crabbe,1,5,12,1,Driving Floating Jump Shot,8,-20,83,True
Allen Crabbe,3,8,57,0,Driving Floating Jump Shot,16,110,126,True
Allen Crabbe,4,2,20,1,Driving Floating Jump Shot,12,51,115,True
Allen Crabbe,4,5,17,1,Driving Floating Jump Shot,15,119,106,True
Allen Crabbe,4,4,35,0,Driving Floating Jump Shot,5,27,50,True
Allen Crabbe,3,1,32,1,Driving Floating Jump Shot,10,38,95,True
Allen Crabbe,1,9,9,0,Driving Floating Jump Shot,10,85,59,True
Allen Crabbe,4,6,40,0,Driving Floating Jump Shot,4,-38,19,True
Allen Crabbe,3,5,0,1,Driving Floating Jump Shot,15,68,137,True
Allen Crabbe,2,4,26,1,Driving Floating Jump Shot,13,-40,128,True
Allen Crabbe,4,0,52,0,Driving Floating Jump Shot,3,-10,29,True
Allen Crabbe,3,9,41,0,Driving Floating Jump Shot,4,-46,16,True
Allen Crabbe,3,11,7,0,Driving Floating Jump Shot,12,-11,122,True
Allen Crabbe,4,5,58,1,Driving Floating Jump Shot,8,-52,71,True
Allen Crabbe,4,7,5,1,Driving Floating Jump Shot,6,-69,10,True
Allen Crabbe,3,10,5,0,Driving Floating Jump Shot,12,122,25,True
Allen Crabbe,1,1,32,0,Driving Floating Jump Shot,13,-11,131,True
Allen Crabbe,4,1,0,0,Driving Floating Jump Shot,10,32,99,True
Allen Crabbe,4,3,9,1,Driving Floating Jump Shot,9,-36,85,True
Allen Crabbe,2,0,47,1,Driving Floating Jump Shot,9,99,13,True
Allen Crabbe,3,8,13,0,Driving Floating Jump Shot,8,-53,64,True
Allen Crabbe,1,8,41,0,Driving Hook Shot,5,47,25,True
Allen Crabbe,1,8,20,1,Driving Hook Shot,4,-38,18,True
Allen Crabbe,3,4,42,0,Driving Layup Shot,1,-13,3,True
Allen Crabbe,1,10,10,1,Driving Layup Shot,3,33,16,True
Allen Crabbe,1,9,2,1,Driving Layup Shot,0,-5,-5,True
Allen Crabbe,3,6,7,0,Driving Layup Shot,4,2,45,True
Allen Crabbe,1,8,31,1,Driving Layup Shot,4,43,-8,True
Allen Crabbe,1,9,30,1,Driving Layup Shot,6,-2,68,True
Allen Crabbe,4,4,48,1,Driving Layup Shot,1,3,15,True
Allen Crabbe,3,11,31,1,Driving Layup Shot,1,-19,6,True
Allen Crabbe,4,0,1,1,Driving Layup Shot,3,-22,27,True
Allen Crabbe,1,10,33,1,Driving Layup Shot,1,11,14,True
Allen Crabbe,2,2,58,0,Driving Layup Shot,5,43,31,True
Allen Crabbe,3,3,9,1,Driving Layup Shot,1,14,-10,True
