name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Andre Iguodala,1,3,2,1,Alley Oop Layup shot,1,2,16,True
Andre Iguodala,2,5,25,1,Cutting Dunk Shot,1,9,14,True
Andre Iguodala,4,2,12,1,Cutting Dunk Shot,2,-2,22,True
Andre Iguodala,3,8,14,1,Cutting Dunk Shot,1,6,12,True
Andre Iguodala,4,11,46,1,Cutting Dunk Shot,1,2,10,True
Andre Iguodala,2,4,3,1,Cutting Dunk Shot,1,12,-1,True
Andre Iguodala,2,11,45,1,Cutting Dunk Shot,1,-6,17,True
Andre Iguodala,2,1,7,1,Cutting Dunk Shot,1,6,13,True
Andre Iguodala,2,8,4,1,Cutting Dunk Shot,1,5,17,True
Andre Iguodala,1,0,1,1,Cutting Finger Roll Layup Shot,1,0,14,True
Andre Iguodala,1,2,10,0,Cutting Layup Shot,1,-8,11,True
Andre Iguodala,2,11,45,1,Cutting Layup Shot,2,1,24,True
Andre Iguodala,3,7,39,1,Cutting Layup Shot,0,4,6,True
Andre Iguodala,2,9,59,1,Driving Dunk Shot,3,-3,36,True
Andre Iguodala,2,7,13,1,Driving Dunk Shot,0,-2,9,True
Andre Iguodala,1,3,51,1,Driving Dunk Shot,2,-3,20,True
Andre Iguodala,4,11,39,1,Driving Dunk Shot,2,8,24,True
Andre Iguodala,4,10,6,1,Driving Dunk Shot,2,-6,23,True
Andre Iguodala,1,5,20,1,Driving Dunk Shot,1,8,13,True
Andre Iguodala,1,10,35,1,Driving Dunk Shot,1,5,17,True
Andre Iguodala,2,1,7,0,Driving Finger Roll Layup Shot,1,0,14,True
Andre Iguodala,4,3,31,0,Driving Finger Roll Layup Shot,3,-33,6,True
Andre Iguodala,1,8,41,1,Driving Floating Bank Jump Shot,3,17,25,True
Andre Iguodala,2,3,30,1,Driving Floating Jump Shot,4,-2,48,True
Andre Iguodala,3,3,3,0,Driving Layup Shot,2,-8,24,True
Andre Iguodala,2,0,40,1,Driving Layup Shot,1,1,13,True
Andre Iguodala,3,5,10,1,Driving Layup Shot,1,-19,0,True
Andre Iguodala,2,7,22,0,Driving Layup Shot,1,9,17,True
Andre Iguodala,3,10,20,0,Driving Layup Shot,0,5,-1,True
Andre Iguodala,3,0,0,0,Driving Layup Shot,0,6,4,True
Andre Iguodala,3,0,42,0,Driving Layup Shot,3,14,36,True
Andre Iguodala,1,3,6,1,Driving Layup Shot,3,28,17,True
Andre Iguodala,3,0,19,0,Driving Layup Shot,1,9,7,True
Andre Iguodala,1,0,45,1,Driving Reverse Dunk Shot,1,-6,17,True
Andre Iguodala,1,4,12,1,Driving Reverse Layup Shot,1,0,11,True
Andre Iguodala,1,1,14,0,Driving Reverse Layup Shot,0,5,5,True
Andre Iguodala,4,2,3,1,Driving Reverse Layup Shot,1,-8,15,True
Andre Iguodala,4,8,31,1,Dunk Shot,0,-6,5,True
Andre Iguodala,3,2,2,1,Dunk Shot,1,6,10,True
Andre Iguodala,4,9,45,1,Dunk Shot,0,-4,9,True
Andre Iguodala,4,8,40,1,Dunk Shot,1,-6,8,True
Andre Iguodala,3,1,33,1,Dunk Shot,1,0,14,True
Andre Iguodala,1,4,53,1,Dunk Shot,1,-2,17,True
Andre Iguodala,1,2,2,1,Dunk Shot,1,-6,16,True
Andre Iguodala,2,3,36,1,Dunk Shot,1,-2,10,True
Andre Iguodala,1,1,28,0,Fadeaway Jump Shot,8,-4,88,True
Andre Iguodala,4,7,18,1,Fadeaway Jump Shot,18,-150,116,True
Andre Iguodala,3,6,8,0,Finger Roll Layup Shot,8,-5,83,True
Andre Iguodala,1,0,3,1,Finger Roll Layup Shot,3,-5,37,True
Andre Iguodala,4,8,12,1,Finger Roll Layup Shot,2,-11,17,True
Andre Iguodala,4,7,43,1,Finger Roll Layup Shot,1,-5,15,True
Andre Iguodala,1,1,19,1,Floating Jump shot,9,72,63,True
Andre Iguodala,1,0,7,1,Floating Jump shot,7,9,76,True
Andre Iguodala,3,9,4,0,Hook Shot,4,-2,47,True
Andre Iguodala,1,0,40,0,Hook Shot,9,8,95,True
Andre Iguodala,2,7,33,0,Hook Shot,9,-5,91,True
Andre Iguodala,4,10,11,0,Jump Shot,22,-225,25,False
Andre Iguodala,3,4,18,0,Jump Shot,26,-124,231,False
Andre Iguodala,4,2,49,0,Jump Shot,19,126,153,True
Andre Iguodala,2,0,36,0,Jump Shot,24,218,112,False
Andre Iguodala,3,5,31,1,Jump Shot,25,-147,203,False
Andre Iguodala,1,3,40,1,Jump Shot,18,82,167,True
Andre Iguodala,4,3,36,1,Jump Shot,26,-105,247,False
Andre Iguodala,1,6,47,0,Jump Shot,25,-230,108,False
Andre Iguodala,1,0,48,0,Jump Shot,18,-122,138,True
Andre Iguodala,2,9,4,0,Jump Shot,25,226,120,False
Andre Iguodala,4,8,20,0,Jump Shot,24,-230,71,False
Andre Iguodala,2,7,49,0,Jump Shot,24,221,106,False
Andre Iguodala,3,6,49,1,Jump Shot,24,226,102,False
Andre Iguodala,4,1,45,0,Jump Shot,10,13,100,True
Andre Iguodala,4,4,34,0,Jump Shot,26,147,221,False
Andre Iguodala,3,6,56,0,Jump Shot,11,-91,77,True
Andre Iguodala,3,1,16,0,Jump Shot,24,-221,113,False
Andre Iguodala,1,0,41,1,Jump Shot,25,-63,242,False
Andre Iguodala,1,3,54,0,Jump Shot,16,150,59,True
Andre Iguodala,1,2,59,0,Jump Shot,23,-228,65,False
Andre Iguodala,3,1,5,1,Jump Shot,25,-149,206,False
Andre Iguodala,4,7,15,0,Jump Shot,25,-215,139,False
Andre Iguodala,3,1,41,1,Jump Shot,25,-107,234,False
Andre Iguodala,4,4,33,1,Jump Shot,14,62,126,True
Andre Iguodala,1,3,42,0,Jump Shot,22,-227,-11,False
Andre Iguodala,4,3,58,0,Jump Shot,25,194,172,False
Andre Iguodala,1,2,7,0,Jump Shot,18,127,132,True
Andre Iguodala,4,4,31,0,Jump Shot,22,-224,10,False
Andre Iguodala,1,5,38,1,Jump Shot,11,90,69,True
Andre Iguodala,4,3,35,1,Jump Shot,19,156,111,True
Andre Iguodala,1,0,44,0,Jump Shot,22,-226,-10,False
Andre Iguodala,1,0,1,0,Jump Shot,25,140,217,False
Andre Iguodala,3,3,30,0,Jump Shot,24,-179,169,False
Andre Iguodala,2,2,28,0,Jump Shot,24,104,222,False
Andre Iguodala,2,3,21,0,Jump Shot,23,-227,75,False
Andre Iguodala,3,3,24,0,Jump Shot,18,138,130,True
Andre Iguodala,4,2,17,0,Jump Shot,23,234,40,False
Andre Iguodala,2,9,46,1,Jump Shot,18,76,172,True
Andre Iguodala,3,3,32,0,Jump Shot,26,226,132,False
Andre Iguodala,1,2,10,1,Jump Shot,26,-65,260,False
Andre Iguodala,1,9,25,0,Jump Shot,25,211,142,False
Andre Iguodala,1,8,41,1,Jump Shot,23,225,64,False
Andre Iguodala,3,11,27,0,Jump Shot,25,174,181,False
Andre Iguodala,4,4,29,0,Jump Shot,16,145,88,True
Andre Iguodala,3,9,9,0,Jump Shot,26,-203,172,False
Andre Iguodala,4,0,14,0,Jump Shot,23,230,68,False
Andre Iguodala,1,2,18,0,Jump Shot,11,5,113,True
Andre Iguodala,4,10,54,0,Jump Shot,25,-103,234,False
Andre Iguodala,4,7,49,0,Jump Shot,27,-159,220,False
Andre Iguodala,3,2,19,0,Jump Shot,20,-17,206,True
Andre Iguodala,4,7,8,0,Jump Shot,18,22,181,True
Andre Iguodala,2,10,7,0,Jump Shot,25,223,121,False
Andre Iguodala,4,0,58,0,Jump Shot,26,138,221,False
Andre Iguodala,2,3,24,0,Jump Shot,26,-126,231,False
Andre Iguodala,1,0,31,0,Jump Shot,18,187,-6,True
Andre Iguodala,3,3,17,0,Jump Shot,25,-200,166,False
Andre Iguodala,2,10,44,0,Jump Shot,19,-133,148,True
Andre Iguodala,4,3,14,0,Jump Shot,26,179,200,False
Andre Iguodala,1,3,7,0,Jump Shot,26,-20,265,False
Andre Iguodala,4,1,31,0,Jump Shot,25,-154,207,False
Andre Iguodala,4,6,31,0,Jump Shot,10,-100,25,True
Andre Iguodala,3,2,32,1,Jump Shot,26,47,257,False
Andre Iguodala,1,1,30,0,Jump Shot,23,232,36,False
Andre Iguodala,3,3,29,0,Jump Shot,26,-100,241,False
Andre Iguodala,1,2,30,0,Jump Shot,26,13,261,False
Andre Iguodala,2,0,8,0,Jump Shot,26,-71,255,False
Andre Iguodala,4,10,10,0,Jump Shot,14,147,21,True
Andre Iguodala,4,1,46,0,Jump Shot,26,-206,162,False
Andre Iguodala,2,9,52,0,Jump Shot,18,73,167,True
Andre Iguodala,2,8,32,0,Jump Shot,23,223,64,False
