name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Andrew Wiggins,2,6,45,1,Alley Oop Dunk Shot,0,-1,6,True
Andrew Wiggins,3,11,42,1,Alley Oop Dunk Shot,1,-5,13,True
Andrew Wiggins,1,1,29,1,Alley Oop Dunk Shot,1,3,11,True
Andrew Wiggins,1,6,40,1,Alley Oop Dunk Shot,1,9,8,True
Andrew Wiggins,3,7,4,1,Alley Oop Dunk Shot,0,5,6,True
Andrew Wiggins,2,1,31,1,Alley Oop Dunk Shot,1,-2,11,True
Andrew Wiggins,3,6,53,1,Cutting Dunk Shot,1,6,13,True
Andrew Wiggins,2,4,48,1,Cutting Dunk Shot,1,-3,16,True
Andrew Wiggins,1,11,28,1,Cutting Dunk Shot,0,3,6,True
Andrew Wiggins,1,10,35,1,Cutting Dunk Shot,0,7,-7,True
Andrew Wiggins,3,3,0,1,Cutting Dunk Shot,1,-3,16,True
Andrew Wiggins,1,4,22,1,Cutting Dunk Shot,0,-3,7,True
Andrew Wiggins,2,2,52,1,Cutting Dunk Shot,2,-7,22,True
Andrew Wiggins,2,3,8,1,Cutting Dunk Shot,0,5,6,True
Andrew Wiggins,3,3,9,1,Cutting Dunk Shot,1,-6,11,True
Andrew Wiggins,1,3,0,1,Cutting Dunk Shot,0,-3,5,True
Andrew Wiggins,1,7,56,1,Cutting Dunk Shot,2,8,20,True
Andrew Wiggins,2,6,38,1,Cutting Dunk Shot,0,-2,5,True
Andrew Wiggins,3,6,41,1,Cutting Dunk Shot,0,5,-5,True
Andrew Wiggins,1,9,44,1,Cutting Dunk Shot,1,0,14,True
Andrew Wiggins,3,11,3,1,Cutting Dunk Shot,1,-8,18,True
Andrew Wiggins,4,4,11,1,Cutting Dunk Shot,1,1,15,True
Andrew Wiggins,3,6,39,1,Cutting Dunk Shot,2,2,21,True
Andrew Wiggins,1,4,45,1,Cutting Dunk Shot,1,-6,16,True
Andrew Wiggins,1,6,52,1,Cutting Dunk Shot,0,0,5,True
Andrew Wiggins,2,6,7,1,Cutting Dunk Shot,0,3,5,True
Andrew Wiggins,1,7,39,0,Cutting Finger Roll Layup Shot,3,-22,30,True
Andrew Wiggins,3,11,4,0,Cutting Finger Roll Layup Shot,4,38,13,True
Andrew Wiggins,3,4,4,1,Cutting Layup Shot,1,-6,17,True
Andrew Wiggins,3,8,27,1,Cutting Layup Shot,0,-3,5,True
Andrew Wiggins,3,1,54,0,Cutting Layup Shot,5,-34,37,True
Andrew Wiggins,3,4,32,0,Cutting Layup Shot,4,-17,37,True
Andrew Wiggins,3,10,15,0,Cutting Layup Shot,1,-9,15,True
Andrew Wiggins,1,2,36,1,Cutting Layup Shot,2,-4,20,True
Andrew Wiggins,1,4,54,1,Cutting Layup Shot,2,-3,26,True
Andrew Wiggins,1,9,51,1,Cutting Layup Shot,0,-2,0,True
Andrew Wiggins,3,3,1,1,Cutting Layup Shot,2,10,20,True
Andrew Wiggins,3,7,37,1,Cutting Layup Shot,1,-7,13,True
Andrew Wiggins,4,11,19,1,Cutting Layup Shot,4,11,41,True
Andrew Wiggins,1,2,3,1,Cutting Layup Shot,1,1,11,True
Andrew Wiggins,3,1,22,1,Cutting Layup Shot,0,5,6,True
Andrew Wiggins,3,9,52,1,Cutting Layup Shot,1,-8,7,True
Andrew Wiggins,4,4,4,1,Cutting Layup Shot,1,-8,13,True
Andrew Wiggins,2,4,13,1,Cutting Layup Shot,1,-5,16,True
Andrew Wiggins,1,3,10,1,Driving Dunk Shot,2,-8,22,True
Andrew Wiggins,4,0,38,1,Driving Dunk Shot,2,-14,17,True
Andrew Wiggins,1,3,6,1,Driving Dunk Shot,0,9,2,True
Andrew Wiggins,1,2,25,1,Driving Dunk Shot,0,0,5,True
Andrew Wiggins,4,10,26,0,Driving Dunk Shot,3,-1,36,True
Andrew Wiggins,2,2,51,1,Driving Dunk Shot,1,0,11,True
Andrew Wiggins,1,8,10,1,Driving Dunk Shot,2,8,20,True
Andrew Wiggins,2,1,19,1,Driving Dunk Shot,0,-5,2,True
Andrew Wiggins,1,5,6,1,Driving Dunk Shot,1,1,11,True
Andrew Wiggins,2,3,51,1,Driving Dunk Shot,0,7,0,True
Andrew Wiggins,3,0,25,1,Driving Dunk Shot,0,-1,4,True
Andrew Wiggins,3,0,44,1,Driving Dunk Shot,1,3,13,True
Andrew Wiggins,4,5,44,1,Driving Finger Roll Layup Shot,1,13,8,True
Andrew Wiggins,2,2,10,0,Driving Finger Roll Layup Shot,4,8,41,True
Andrew Wiggins,3,6,5,1,Driving Finger Roll Layup Shot,0,2,7,True
Andrew Wiggins,1,5,45,1,Driving Finger Roll Layup Shot,2,5,24,True
Andrew Wiggins,3,8,58,0,Driving Finger Roll Layup Shot,4,-6,45,True
Andrew Wiggins,1,1,30,1,Driving Finger Roll Layup Shot,3,8,32,True
Andrew Wiggins,1,7,47,1,Driving Finger Roll Layup Shot,5,22,45,True
Andrew Wiggins,1,11,1,1,Driving Finger Roll Layup Shot,0,-2,8,True
Andrew Wiggins,4,1,1,0,Driving Finger Roll Layup Shot,3,11,37,True
Andrew Wiggins,1,0,8,0,Driving Finger Roll Layup Shot,4,40,24,True
Andrew Wiggins,2,2,18,1,Driving Finger Roll Layup Shot,2,8,20,True
Andrew Wiggins,1,9,24,1,Driving Finger Roll Layup Shot,0,-2,4,True
Andrew Wiggins,3,3,29,1,Driving Finger Roll Layup Shot,0,2,0,True
Andrew Wiggins,3,9,18,0,Driving Finger Roll Layup Shot,1,5,15,True
Andrew Wiggins,3,1,0,1,Driving Finger Roll Layup Shot,2,0,27,True
Andrew Wiggins,1,9,59,1,Driving Finger Roll Layup Shot,0,5,-3,True
Andrew Wiggins,2,6,15,1,Driving Finger Roll Layup Shot,4,29,29,True
Andrew Wiggins,1,0,32,0,Driving Finger Roll Layup Shot,1,-2,15,True
Andrew Wiggins,3,9,38,1,Driving Finger Roll Layup Shot,3,-8,38,True
