name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Aron Baynes,2,11,50,1,Alley Oop Dunk Shot,0,-1,-9,True
Aron Baynes,4,2,28,1,Alley Oop Dunk Shot,1,-13,15,True
Aron Baynes,1,4,39,1,Alley Oop Dunk Shot,1,2,17,True
Aron Baynes,3,11,15,0,Alley Oop Dunk Shot,2,-14,18,True
Aron Baynes,1,3,26,1,Alley Oop Dunk Shot,0,-3,9,True
Aron Baynes,2,6,59,0,Alley Oop Dunk Shot,1,2,13,True
Aron Baynes,1,4,23,0,Alley Oop Dunk Shot,1,-11,-9,True
Aron Baynes,1,10,0,1,Alley Oop Dunk Shot,1,-14,-1,True
Aron Baynes,3,10,50,0,Alley Oop Dunk Shot,1,-13,1,True
Aron Baynes,3,6,52,1,Alley Oop Dunk Shot,0,-5,1,True
Aron Baynes,1,0,8,1,Alley Oop Layup shot,1,-14,8,True
Aron Baynes,4,4,20,1,Alley Oop Layup shot,0,-3,4,True
Aron Baynes,1,7,34,0,Alley Oop Layup shot,3,30,6,True
Aron Baynes,2,3,12,0,Alley Oop Layup shot,1,-4,13,True
Aron Baynes,3,7,39,1,Alley Oop Layup shot,0,-7,4,True
Aron Baynes,2,1,28,1,Alley Oop Layup shot,1,-8,8,True
Aron Baynes,4,10,55,1,Alley Oop Layup shot,1,-5,16,True
Aron Baynes,3,10,33,1,Alley Oop Layup shot,1,1,11,True
Aron Baynes,1,11,48,1,Cutting Dunk Shot,0,-5,4,True
Aron Baynes,1,9,22,1,Cutting Dunk Shot,1,1,10,True
Aron Baynes,1,11,45,1,Cutting Dunk Shot,1,-7,-13,True
Aron Baynes,4,6,25,1,Cutting Dunk Shot,1,0,19,True
Aron Baynes,1,8,11,0,Cutting Dunk Shot,2,-13,17,True
Aron Baynes,1,6,21,1,Cutting Dunk Shot,0,-5,1,True
Aron Baynes,4,9,30,1,Cutting Dunk Shot,0,-3,-3,True
Aron Baynes,1,3,12,0,Cutting Dunk Shot,1,-17,2,True
Aron Baynes,3,9,56,1,Cutting Dunk Shot,1,6,19,True
Aron Baynes,1,11,21,1,Cutting Dunk Shot,1,-8,-13,True
Aron Baynes,1,8,40,1,Cutting Dunk Shot,1,-8,-9,True
Aron Baynes,1,2,7,1,Cutting Dunk Shot,1,-3,18,True
Aron Baynes,4,6,30,1,Cutting Dunk Shot,1,6,15,True
Aron Baynes,1,3,50,1,Cutting Dunk Shot,0,-2,0,True
Aron Baynes,1,4,21,1,Cutting Dunk Shot,0,-1,-4,True
Aron Baynes,4,2,9,1,Cutting Dunk Shot,0,3,9,True
Aron Baynes,1,7,29,1,Cutting Dunk Shot,0,4,4,True
Aron Baynes,1,5,9,1,Cutting Dunk Shot,0,2,0,True
Aron Baynes,1,6,15,1,Cutting Dunk Shot,0,7,5,True
Aron Baynes,2,1,56,0,Cutting Dunk Shot,1,-1,12,True
Aron Baynes,3,8,33,1,Cutting Dunk Shot,2,2,21,True
Aron Baynes,1,4,6,1,Cutting Layup Shot,1,9,10,True
Aron Baynes,1,4,35,1,Cutting Layup Shot,1,5,19,True
Aron Baynes,2,5,28,1,Cutting Layup Shot,2,14,17,True
Aron Baynes,3,5,49,1,Cutting Layup Shot,0,2,7,True
Aron Baynes,3,5,36,1,Cutting Layup Shot,0,2,4,True
Aron Baynes,1,7,25,1,Cutting Layup Shot,1,-5,12,True
Aron Baynes,4,5,35,0,Cutting Layup Shot,5,-43,37,True
Aron Baynes,1,7,1,0,Cutting Layup Shot,2,2,24,True
Aron Baynes,1,11,30,0,Cutting Layup Shot,2,-21,12,True
Aron Baynes,2,0,48,0,Cutting Layup Shot,0,0,8,True
Aron Baynes,1,8,32,1,Cutting Layup Shot,0,6,-4,True
Aron Baynes,2,2,3,1,Cutting Layup Shot,0,2,1,True
Aron Baynes,1,5,28,1,Cutting Layup Shot,3,37,7,True
Aron Baynes,3,9,1,1,Cutting Layup Shot,2,-20,8,True
Aron Baynes,4,10,33,1,Cutting Layup Shot,1,-6,17,True
Aron Baynes,4,2,27,1,Cutting Layup Shot,1,0,13,True
Aron Baynes,3,6,10,0,Cutting Layup Shot,2,20,14,True
Aron Baynes,1,7,46,1,Cutting Layup Shot,1,14,7,True
Aron Baynes,4,4,8,0,Driving Dunk Shot,1,3,17,True
Aron Baynes,2,0,36,0,Driving Dunk Shot,1,0,13,True
Aron Baynes,1,8,17,0,Driving Floating Jump Shot,10,-5,100,True
Aron Baynes,3,2,19,0,Driving Floating Jump Shot,8,51,66,True
Aron Baynes,1,11,26,1,Driving Hook Shot,1,-2,13,True
Aron Baynes,1,9,58,0,Driving Hook Shot,10,-47,89,True
Aron Baynes,4,9,58,1,Driving Hook Shot,5,-14,58,True
Aron Baynes,2,0,25,1,Driving Hook Shot,8,-83,12,True
Aron Baynes,4,1,33,0,Driving Hook Shot,5,-13,56,True
Aron Baynes,1,7,20,0,Driving Hook Shot,10,66,83,True
Aron Baynes,1,8,48,1,Driving Hook Shot,0,2,0,True
Aron Baynes,3,8,51,1,Driving Hook Shot,6,-30,52,True
Aron Baynes,1,5,16,1,Driving Reverse Layup Shot,1,-11,2,True
Aron Baynes,1,11,3,0,Dunk Shot,0,3,-6,True
Aron Baynes,3,5,35,0,Dunk Shot,1,16,8,True
Aron Baynes,4,1,40,0,Dunk Shot,1,14,-4,True
Aron Baynes,4,1,39,1,Dunk Shot,0,2,5,True
Aron Baynes,1,10,4,1,Dunk Shot,1,13,6,True
Aron Baynes,2,9,14,0,Dunk Shot,2,18,11,True
Aron Baynes,4,11,33,1,Dunk Shot,1,14,8,True
Aron Baynes,1,8,32,1,Dunk Shot,0,-5,-6,True
Aron Baynes,1,7,47,1,Dunk Shot,0,7,3,True
Aron Baynes,2,2,16,0,Dunk Shot,1,2,12,True
Aron Baynes,1,0,21,1,Hook Bank Shot,4,-25,32,True
Aron Baynes,1,1,21,0,Hook Bank Shot,1,16,1,True
Aron Baynes,3,8,39,0,Hook Shot,5,12,51,True
Aron Baynes,1,11,17,0,Hook Shot,3,5,36,True
Aron Baynes,1,11,17,0,Hook Shot,10,-3,102,True
Aron Baynes,4,11,42,0,Hook Shot,0,-9,2,True
Aron Baynes,4,2,54,0,Hook Shot,3,-27,27,True
Aron Baynes,3,7,55,0,Hook Shot,9,62,73,True
Aron Baynes,1,11,27,0,Hook Shot,7,-73,2,True
Aron Baynes,1,0,41,0,Hook Shot,1,-6,8,True
Aron Baynes,3,10,27,0,Hook Shot,4,29,31,True
Aron Baynes,3,1,58,1,Hook Shot,6,37,49,True
Aron Baynes,1,3,29,1,Hook Shot,6,-46,39,True
Aron Baynes,3,11,12,1,Hook Shot,7,70,18,True
Aron Baynes,1,8,57,0,Hook Shot,10,-88,53,True
Aron Baynes,4,3,18,1,Hook Shot,11,3,113,True
Aron Baynes,1,11,45,0,Hook Shot,6,-16,64,True
Aron Baynes,1,8,43,1,Hook Shot,9,-95,21,True
Aron Baynes,2,2,30,0,Hook Shot,4,-44,18,True
Aron Baynes,1,11,3,0,Hook Shot,4,13,48,True
Aron Baynes,3,8,0,1,Hook Shot,7,7,75,True
Aron Baynes,1,4,49,0,Hook Shot,4,-28,34,True
Aron Baynes,3,7,25,1,Hook Shot,5,20,46,True
Aron Baynes,1,11,1,0,Hook Shot,10,17,99,True
Aron Baynes,3,4,1,1,Hook Shot,6,36,58,True
Aron Baynes,3,6,32,0,Hook Shot,2,-19,22,True
Aron Baynes,2,4,26,0,Hook Shot,5,19,52,True
Aron Baynes,3,4,22,1,Hook Shot,10,-72,78,True
Aron Baynes,2,10,13,0,Hook Shot,5,26,47,True
Aron Baynes,2,5,49,0,Hook Shot,10,-100,21,True
Aron Baynes,3,9,50,1,Hook Shot,14,-89,116,True
Aron Baynes,1,8,9,0,Hook Shot,8,-80,34,True
Aron Baynes,2,2,59,1,Hook Shot,2,-17,24,True
Aron Baynes,2,1,54,0,Hook Shot,3,-6,34,True
Aron Baynes,3,0,36,0,Hook Shot,12,-43,117,True
Aron Baynes,1,11,34,0,Hook Shot,5,54,24,True
Aron Baynes,3,10,35,0,Hook Shot,4,14,46,True
Aron Baynes,3,11,45,0,Hook Shot,3,-6,34,True
Aron Baynes,3,10,12,0,Hook Shot,9,90,-1,True
Aron Baynes,3,11,20,1,Hook Shot,5,-56,8,True
Aron Baynes,1,7,27,0,Hook Shot,4,11,42,True
Aron Baynes,1,3,6,0,Hook Shot,2,18,11,True
Aron Baynes,4,4,53,1,Jump Bank Shot,8,-79,34,True
Aron Baynes,4,2,24,1,Jump Bank Shot,2,1,21,True
Aron Baynes,1,10,42,1,Jump Bank Shot,11,90,65,True
Aron Baynes,2,11,14,0,Jump Bank Shot,11,105,46,True
Aron Baynes,1,10,48,0,Jump Bank Shot,13,127,53,True
Aron Baynes,1,0,58,1,Jump Bank Shot,9,79,50,True
Aron Baynes,2,1,21,1,Jump Shot,16,69,146,True
Aron Baynes,2,4,14,0,Jump Shot,26,2,264,False
Aron Baynes,1,5,25,0,Jump Shot,19,63,187,True
Aron Baynes,1,3,45,1,Jump Shot,14,119,75,True
Aron Baynes,3,8,8,0,Jump Shot,14,0,146,True
Aron Baynes,3,10,12,1,Jump Shot,19,-23,191,True
Aron Baynes,1,11,47,0,Jump Shot,15,43,152,True
Aron Baynes,1,11,13,0,Jump Shot,16,-58,151,True
Aron Baynes,2,1,27,0,Jump Shot,16,-5,164,True
