name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Austin Rivers,2,1,6,1,Cutting Dunk Shot,1,0,10,True
Austin Rivers,1,4,47,1,Cutting Dunk Shot,3,0,36,True
Austin Rivers,2,11,6,1,Cutting Finger Roll Layup Shot,1,14,11,True
Austin Rivers,1,10,51,1,Cutting Layup Shot,0,2,-8,True
Austin Rivers,2,2,47,1,Cutting Layup Shot,1,13,4,True
Austin Rivers,3,5,20,0,Cutting Layup Shot,2,8,22,True
Austin Rivers,3,9,13,1,Cutting Layup Shot,1,-12,7,True
Austin Rivers,4,9,31,1,Cutting Layup Shot,1,-1,11,True
Austin Rivers,1,7,54,1,Cutting Layup Shot,2,-21,5,True
Austin Rivers,2,7,49,1,Cutting Layup Shot,1,-11,9,True
Austin Rivers,1,4,23,1,Cutting Layup Shot,1,-9,-5,True
Austin Rivers,4,7,42,1,Cutting Layup Shot,4,36,23,True
Austin Rivers,1,3,19,0,Cutting Layup Shot,1,-2,19,True
Austin Rivers,1,9,28,0,Cutting Layup Shot,1,2,10,True
Austin Rivers,3,5,18,0,Cutting Layup Shot,0,5,8,True
Austin Rivers,1,6,50,1,Driving Bank Hook Shot,3,29,26,True
Austin Rivers,1,1,10,1,Driving Finger Roll Layup Shot,1,7,15,True
Austin Rivers,1,7,41,0,Driving Finger Roll Layup Shot,3,30,6,True
Austin Rivers,3,9,35,0,Driving Finger Roll Layup Shot,3,25,17,True
Austin Rivers,2,10,20,0,Driving Finger Roll Layup Shot,2,22,20,True
Austin Rivers,4,8,37,1,Driving Finger Roll Layup Shot,1,10,15,True
Austin Rivers,1,5,24,0,Driving Finger Roll Layup Shot,2,10,21,True
Austin Rivers,3,6,42,0,Driving Finger Roll Layup Shot,1,9,16,True
Austin Rivers,3,4,17,1,Driving Finger Roll Layup Shot,11,-95,62,True
Austin Rivers,3,8,39,1,Driving Finger Roll Layup Shot,3,15,26,True
Austin Rivers,4,3,9,1,Driving Finger Roll Layup Shot,1,9,-8,True
Austin Rivers,2,7,41,1,Driving Finger Roll Layup Shot,1,13,5,True
Austin Rivers,3,0,39,1,Driving Finger Roll Layup Shot,1,14,13,True
Austin Rivers,4,0,14,1,Driving Finger Roll Layup Shot,4,44,15,True
Austin Rivers,4,9,55,1,Driving Finger Roll Layup Shot,1,14,7,True
Austin Rivers,3,4,43,1,Driving Finger Roll Layup Shot,0,1,1,True
Austin Rivers,3,2,16,0,Driving Finger Roll Layup Shot,1,-2,11,True
Austin Rivers,1,7,24,1,Driving Finger Roll Layup Shot,3,-14,37,True
Austin Rivers,2,6,4,1,Driving Finger Roll Layup Shot,1,17,3,True
Austin Rivers,1,8,50,1,Driving Finger Roll Layup Shot,1,-15,-2,True
Austin Rivers,3,11,24,0,Driving Floating Bank Jump Shot,2,16,20,True
Austin Rivers,3,3,16,0,Driving Floating Bank Jump Shot,5,41,42,True
