name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Bam Adebayo,1,2,36,1,Alley Oop Dunk Shot,1,2,13,True
Bam Adebayo,2,7,9,0,Alley Oop Dunk Shot,1,13,11,True
Bam Adebayo,1,9,59,1,Alley Oop Dunk Shot,1,5,16,True
Bam Adebayo,1,9,2,1,Alley Oop Dunk Shot,1,14,5,True
Bam Adebayo,2,2,39,1,Alley Oop Dunk Shot,0,2,8,True
Bam Adebayo,3,9,9,1,Alley Oop Dunk Shot,0,6,4,True
Bam Adebayo,3,10,25,1,Alley Oop Dunk Shot,0,8,5,True
Bam Adebayo,2,8,18,1,Alley Oop Dunk Shot,0,1,6,True
Bam Adebayo,3,2,21,1,Alley Oop Dunk Shot,1,-9,10,True
Bam Adebayo,1,10,32,1,Alley Oop Dunk Shot,0,3,9,True
Bam Adebayo,1,4,44,1,Alley Oop Dunk Shot,0,-3,2,True
Bam Adebayo,1,0,40,1,Alley Oop Dunk Shot,1,9,10,True
Bam Adebayo,1,8,4,1,Alley Oop Dunk Shot,0,5,3,True
Bam Adebayo,3,9,27,0,Alley Oop Dunk Shot,0,0,5,True
Bam Adebayo,4,11,43,1,Alley Oop Dunk Shot,0,0,6,True
Bam Adebayo,1,4,41,1,Alley Oop Dunk Shot,1,9,6,True
Bam Adebayo,3,1,4,1,Alley Oop Dunk Shot,2,18,18,True
Bam Adebayo,4,6,25,1,Alley Oop Dunk Shot,1,9,11,True
Bam Adebayo,3,11,47,1,Alley Oop Dunk Shot,2,20,21,True
Bam Adebayo,2,10,4,1,Alley Oop Dunk Shot,0,3,4,True
Bam Adebayo,2,0,2,1,Alley Oop Dunk Shot,1,8,10,True
Bam Adebayo,2,9,15,0,Alley Oop Dunk Shot,2,-16,12,True
Bam Adebayo,3,0,1,0,Alley Oop Dunk Shot,1,11,6,True
Bam Adebayo,2,1,47,1,Alley Oop Dunk Shot,1,-9,5,True
Bam Adebayo,2,6,51,1,Alley Oop Dunk Shot,2,2,20,True
Bam Adebayo,4,3,20,0,Alley Oop Dunk Shot,0,4,8,True
Bam Adebayo,4,10,39,1,Alley Oop Dunk Shot,0,0,0,True
Bam Adebayo,2,6,54,1,Alley Oop Dunk Shot,2,8,21,True
Bam Adebayo,1,2,44,1,Alley Oop Dunk Shot,1,8,6,True
Bam Adebayo,3,4,1,1,Alley Oop Dunk Shot,0,-4,3,True
Bam Adebayo,1,0,36,1,Alley Oop Dunk Shot,0,5,3,True
Bam Adebayo,4,7,34,1,Alley Oop Dunk Shot,1,13,1,True
Bam Adebayo,2,11,38,1,Alley Oop Dunk Shot,1,8,8,True
Bam Adebayo,4,7,58,1,Alley Oop Dunk Shot,3,-28,28,True
Bam Adebayo,2,1,9,1,Alley Oop Dunk Shot,0,-2,-4,True
Bam Adebayo,1,5,11,1,Alley Oop Dunk Shot,1,-13,4,True
Bam Adebayo,1,6,22,0,Alley Oop Dunk Shot,2,17,20,True
Bam Adebayo,4,4,24,1,Alley Oop Dunk Shot,1,-8,10,True
Bam Adebayo,4,8,43,1,Alley Oop Dunk Shot,1,-9,6,True
Bam Adebayo,4,11,45,1,Alley Oop Dunk Shot,0,-5,6,True
Bam Adebayo,2,10,59,1,Alley Oop Dunk Shot,1,-6,13,True
Bam Adebayo,1,2,48,0,Alley Oop Layup shot,3,-30,4,True
Bam Adebayo,4,9,45,1,Alley Oop Layup shot,0,-2,7,True
Bam Adebayo,2,10,47,1,Alley Oop Layup shot,3,29,26,True
Bam Adebayo,2,10,14,0,Alley Oop Layup shot,1,16,9,True
Bam Adebayo,1,8,25,1,Alley Oop Layup shot,0,-5,0,True
Bam Adebayo,2,5,23,1,Alley Oop Layup shot,0,2,8,True
Bam Adebayo,1,10,24,0,Alley Oop Layup shot,1,-8,10,True
Bam Adebayo,3,10,48,1,Cutting Dunk Shot,1,8,12,True
Bam Adebayo,1,3,16,1,Cutting Dunk Shot,0,-7,4,True
Bam Adebayo,3,9,52,1,Cutting Dunk Shot,1,-6,8,True
Bam Adebayo,3,2,26,1,Cutting Dunk Shot,0,6,1,True
Bam Adebayo,4,9,42,1,Cutting Dunk Shot,0,-2,1,True
Bam Adebayo,1,3,13,1,Cutting Dunk Shot,0,-3,5,True
Bam Adebayo,2,4,50,1,Cutting Dunk Shot,0,-2,8,True
Bam Adebayo,3,1,0,1,Cutting Dunk Shot,1,0,11,True
