name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Ben McLemore,3,10,54,1,Alley Oop Dunk Shot,1,-8,6,True
Ben McLemore,1,1,40,1,Alley Oop Dunk Shot,2,7,19,True
Ben McLemore,3,2,30,1,Alley Oop Dunk Shot,2,5,20,True
Ben McLemore,2,4,35,0,Alley Oop Layup shot,3,-27,14,True
Ben McLemore,3,2,13,0,Alley Oop Layup shot,0,0,9,True
Ben McLemore,3,0,25,1,Cutting Dunk Shot,0,6,1,True
Ben McLemore,4,11,22,1,Cutting Dunk Shot,0,-5,5,True
Ben McLemore,1,0,50,1,Cutting Dunk Shot,0,-8,4,True
Ben McLemore,4,9,52,0,Cutting Layup Shot,1,5,10,True
Ben McLemore,2,11,23,1,Cutting Layup Shot,1,5,9,True
Ben McLemore,3,7,24,1,Cutting Layup Shot,2,-26,1,True
Ben McLemore,2,2,34,1,Cutting Layup Shot,0,2,6,True
Ben McLemore,2,4,9,0,Cutting Layup Shot,1,1,13,True
Ben McLemore,2,7,53,1,Cutting Layup Shot,0,9,-2,True
Ben McLemore,2,10,27,1,Cutting Layup Shot,3,24,30,True
Ben McLemore,3,3,11,0,Cutting Layup Shot,0,2,5,True
Ben McLemore,1,6,53,0,Cutting Layup Shot,2,-22,7,True
Ben McLemore,4,1,4,0,Cutting Layup Shot,1,8,15,True
Ben McLemore,3,0,51,1,Cutting Layup Shot,1,-2,10,True
Ben McLemore,1,10,51,1,Cutting Layup Shot,1,10,13,True
Ben McLemore,2,6,55,1,Cutting Layup Shot,0,-5,5,True
Ben McLemore,4,5,53,1,Cutting Layup Shot,2,22,20,True
Ben McLemore,2,6,47,0,Cutting Layup Shot,2,-21,21,True
Ben McLemore,3,6,23,1,Driving Dunk Shot,1,-5,11,True
Ben McLemore,1,0,47,0,Driving Finger Roll Layup Shot,1,-2,16,True
Ben McLemore,2,3,38,1,Driving Finger Roll Layup Shot,1,13,9,True
Ben McLemore,4,8,45,0,Driving Finger Roll Layup Shot,2,-11,17,True
Ben McLemore,3,2,58,0,Driving Finger Roll Layup Shot,6,40,57,True
Ben McLemore,1,3,26,1,Driving Finger Roll Layup Shot,0,-5,-2,True
Ben McLemore,3,9,9,0,Driving Floating Bank Jump Shot,9,-32,90,True
Ben McLemore,3,7,20,0,Driving Floating Bank Jump Shot,5,-53,24,True
Ben McLemore,3,7,56,1,Driving Floating Bank Jump Shot,8,-44,68,True
Ben McLemore,2,9,4,1,Driving Floating Jump Shot,11,58,101,True
Ben McLemore,1,3,1,0,Driving Floating Jump Shot,6,55,36,True
Ben McLemore,1,0,33,1,Driving Floating Jump Shot,6,-11,64,True
Ben McLemore,1,1,5,1,Driving Floating Jump Shot,10,44,92,True
Ben McLemore,1,9,7,1,Driving Floating Jump Shot,6,-44,53,True
Ben McLemore,4,3,47,1,Driving Floating Jump Shot,5,-2,58,True
Ben McLemore,4,5,8,1,Driving Floating Jump Shot,13,-60,122,True
Ben McLemore,2,2,21,1,Driving Layup Shot,1,0,10,True
Ben McLemore,2,10,48,0,Driving Layup Shot,5,-3,57,True
Ben McLemore,4,7,40,1,Driving Layup Shot,0,-5,-3,True
Ben McLemore,1,1,5,1,Driving Layup Shot,1,7,11,True
Ben McLemore,2,3,11,1,Driving Layup Shot,0,5,6,True
Ben McLemore,1,8,45,1,Driving Layup Shot,1,3,13,True
Ben McLemore,1,1,24,0,Driving Layup Shot,0,-6,6,True
Ben McLemore,1,5,36,1,Driving Layup Shot,2,-22,8,True
Ben McLemore,4,10,10,1,Driving Layup Shot,1,-18,7,True
