name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Bismack Biyombo,2,9,46,1,Alley Oop Dunk Shot,0,-2,8,True
Bismack Biyombo,4,5,29,0,Alley Oop Dunk Shot,0,2,5,True
Bismack Biyombo,4,7,22,1,Alley Oop Dunk Shot,1,-1,15,True
Bismack Biyombo,4,10,48,1,Alley Oop Layup shot,1,12,5,True
Bismack Biyombo,1,10,47,0,Alley Oop Layup shot,0,-2,9,True
Bismack Biyombo,1,0,30,1,Alley Oop Layup shot,2,19,15,True
Bismack Biyombo,2,5,15,0,Alley Oop Layup shot,1,-2,15,True
Bismack Biyombo,1,9,31,1,Cutting Dunk Shot,0,-3,-4,True
Bismack Biyombo,2,4,19,1,Cutting Dunk Shot,0,2,1,True
Bismack Biyombo,2,7,40,1,Cutting Dunk Shot,1,-2,11,True
Bismack Biyombo,3,3,11,1,Cutting Dunk Shot,1,-1,11,True
Bismack Biyombo,3,6,45,1,Cutting Dunk Shot,0,3,7,True
Bismack Biyombo,4,11,34,1,Cutting Dunk Shot,0,3,5,True
Bismack Biyombo,3,0,59,1,Cutting Dunk Shot,0,6,3,True
Bismack Biyombo,4,5,0,1,Cutting Dunk Shot,2,-21,21,True
Bismack Biyombo,1,0,55,1,Cutting Dunk Shot,0,-2,7,True
Bismack Biyombo,2,7,25,1,Cutting Dunk Shot,0,1,8,True
Bismack Biyombo,2,2,7,1,Cutting Dunk Shot,0,-3,4,True
Bismack Biyombo,3,6,59,1,Cutting Dunk Shot,0,3,-8,True
Bismack Biyombo,1,1,53,1,Cutting Dunk Shot,3,17,27,True
Bismack Biyombo,2,4,15,1,Cutting Dunk Shot,1,5,16,True
Bismack Biyombo,1,11,18,1,Cutting Dunk Shot,1,6,19,True
Bismack Biyombo,4,4,49,1,Cutting Dunk Shot,0,3,6,True
Bismack Biyombo,3,11,41,1,Cutting Dunk Shot,2,-14,22,True
Bismack Biyombo,2,8,14,0,Cutting Dunk Shot,0,-3,8,True
Bismack Biyombo,4,10,19,1,Cutting Dunk Shot,0,1,6,True
Bismack Biyombo,1,1,15,1,Cutting Dunk Shot,1,-5,11,True
Bismack Biyombo,2,5,55,1,Cutting Dunk Shot,1,-2,18,True
Bismack Biyombo,2,1,56,1,Cutting Dunk Shot,0,-3,5,True
Bismack Biyombo,4,3,25,1,Cutting Dunk Shot,2,-16,16,True
Bismack Biyombo,1,5,58,1,Cutting Dunk Shot,0,5,8,True
Bismack Biyombo,3,10,22,1,Cutting Dunk Shot,1,-9,11,True
Bismack Biyombo,1,5,29,1,Cutting Layup Shot,2,-21,11,True
Bismack Biyombo,2,8,54,1,Cutting Layup Shot,2,16,20,True
Bismack Biyombo,4,6,52,0,Cutting Layup Shot,1,-9,7,True
Bismack Biyombo,1,7,15,0,Cutting Layup Shot,3,-22,22,True
Bismack Biyombo,1,2,34,1,Cutting Layup Shot,1,-5,11,True
Bismack Biyombo,1,8,25,0,Cutting Layup Shot,1,-15,10,True
Bismack Biyombo,4,11,7,0,Cutting Layup Shot,2,-2,28,True
Bismack Biyombo,1,0,42,0,Cutting Layup Shot,1,-2,16,True
Bismack Biyombo,1,7,4,1,Cutting Layup Shot,1,0,15,True
Bismack Biyombo,1,1,3,1,Cutting Layup Shot,1,6,10,True
Bismack Biyombo,1,8,40,1,Cutting Layup Shot,1,-5,19,True
Bismack Biyombo,2,7,56,1,Cutting Layup Shot,0,3,-1,True
Bismack Biyombo,1,1,16,1,Cutting Layup Shot,1,3,10,True
Bismack Biyombo,3,10,38,1,Driving Dunk Shot,0,5,-1,True
Bismack Biyombo,1,6,53,1,Driving Dunk Shot,1,5,14,True
Bismack Biyombo,1,1,38,1,Driving Dunk Shot,1,-2,16,True
Bismack Biyombo,3,0,48,0,Driving Floating Jump Shot,7,-3,79,True
Bismack Biyombo,3,11,22,0,Driving Hook Shot,4,-22,42,True
Bismack Biyombo,3,8,15,0,Driving Hook Shot,11,-22,116,True
Bismack Biyombo,1,10,18,1,Driving Layup Shot,2,16,17,True
Bismack Biyombo,3,0,51,0,Driving Layup Shot,3,25,28,True
Bismack Biyombo,4,0,50,1,Driving Layup Shot,3,-20,25,True
Bismack Biyombo,1,6,26,1,Dunk Shot,1,-3,16,True
Bismack Biyombo,2,5,8,1,Dunk Shot,1,1,16,True
Bismack Biyombo,2,6,41,1,Dunk Shot,0,-3,9,True
Bismack Biyombo,1,8,45,1,Dunk Shot,1,7,14,True
Bismack Biyombo,1,10,17,1,Dunk Shot,1,-9,8,True
Bismack Biyombo,1,9,41,0,Dunk Shot,3,-19,25,True
Bismack Biyombo,2,6,50,1,Dunk Shot,1,-4,19,True
Bismack Biyombo,3,1,50,1,Dunk Shot,0,1,-5,True
Bismack Biyombo,2,9,22,1,Dunk Shot,1,-2,16,True
Bismack Biyombo,1,1,38,1,Dunk Shot,2,-12,25,True
Bismack Biyombo,3,0,44,1,Dunk Shot,2,-9,21,True
Bismack Biyombo,2,8,27,1,Dunk Shot,0,-5,-5,True
Bismack Biyombo,4,3,3,1,Dunk Shot,1,-1,12,True
Bismack Biyombo,2,11,31,1,Dunk Shot,0,0,5,True
Bismack Biyombo,2,6,38,1,Dunk Shot,1,11,6,True
Bismack Biyombo,3,2,48,1,Dunk Shot,1,-7,8,True
Bismack Biyombo,4,11,10,1,Dunk Shot,1,-13,10,True
Bismack Biyombo,4,8,47,1,Dunk Shot,2,-11,18,True
Bismack Biyombo,4,8,38,1,Dunk Shot,2,-17,22,True
Bismack Biyombo,1,2,19,1,Dunk Shot,2,12,19,True
Bismack Biyombo,3,1,14,0,Dunk Shot,1,-13,-1,True
Bismack Biyombo,1,2,30,1,Dunk Shot,0,7,0,True
Bismack Biyombo,2,11,10,1,Dunk Shot,0,-3,-1,True
Bismack Biyombo,3,1,45,1,Dunk Shot,1,3,11,True
Bismack Biyombo,3,3,22,1,Dunk Shot,0,0,7,True
Bismack Biyombo,3,7,4,1,Dunk Shot,1,3,17,True
Bismack Biyombo,2,0,41,1,Dunk Shot,0,0,1,True
Bismack Biyombo,2,1,45,0,Dunk Shot,0,-4,8,True
Bismack Biyombo,1,9,10,1,Dunk Shot,2,-12,20,True
Bismack Biyombo,3,2,57,1,Dunk Shot,0,3,8,True
Bismack Biyombo,1,7,54,1,Dunk Shot,1,-9,15,True
Bismack Biyombo,1,0,47,1,Dunk Shot,2,-19,15,True
Bismack Biyombo,3,7,36,1,Dunk Shot,1,0,12,True
Bismack Biyombo,3,1,26,1,Dunk Shot,1,-9,15,True
Bismack Biyombo,1,8,36,1,Dunk Shot,0,2,4,True
Bismack Biyombo,1,11,33,1,Dunk Shot,0,7,6,True
Bismack Biyombo,1,9,12,1,Dunk Shot,1,-4,13,True
Bismack Biyombo,4,5,33,1,Dunk Shot,0,5,7,True
Bismack Biyombo,4,4,4,1,Dunk Shot,1,-11,8,True
Bismack Biyombo,1,3,13,1,Dunk Shot,0,-3,-1,True
Bismack Biyombo,4,5,49,1,Dunk Shot,1,-1,12,True
Bismack Biyombo,1,9,7,1,Dunk Shot,1,12,13,True
Bismack Biyombo,1,3,41,1,Dunk Shot,1,-6,10,True
Bismack Biyombo,4,2,23,1,Dunk Shot,0,-5,8,True
Bismack Biyombo,1,10,18,1,Dunk Shot,1,0,19,True
Bismack Biyombo,3,4,43,1,Dunk Shot,1,-2,16,True
Bismack Biyombo,1,5,51,1,Fadeaway Jump Shot,12,30,124,True
Bismack Biyombo,4,4,37,1,Fadeaway Jump Shot,7,-19,74,True
Bismack Biyombo,4,10,42,0,Fadeaway Jump Shot,8,-29,83,True
Bismack Biyombo,2,10,19,0,Fadeaway Jump Shot,11,-17,118,True
Bismack Biyombo,4,7,31,1,Fadeaway Jump Shot,6,-9,65,True
Bismack Biyombo,4,9,15,1,Finger Roll Layup Shot,1,3,15,True
Bismack Biyombo,1,6,55,0,Finger Roll Layup Shot,3,-5,38,True
Bismack Biyombo,3,8,53,0,Floating Jump shot,4,46,13,True
Bismack Biyombo,4,8,0,0,Floating Jump shot,10,-106,13,True
Bismack Biyombo,2,10,56,0,Floating Jump shot,11,-70,89,True
Bismack Biyombo,1,4,25,0,Floating Jump shot,7,-24,66,True
Bismack Biyombo,3,11,40,0,Floating Jump shot,6,30,63,True
Bismack Biyombo,1,4,44,0,Floating Jump shot,9,5,95,True
Bismack Biyombo,3,10,42,0,Hook Shot,9,9,95,True
Bismack Biyombo,4,8,12,0,Hook Shot,6,-19,64,True
Bismack Biyombo,1,8,16,0,Hook Shot,5,-29,43,True
Bismack Biyombo,2,2,20,1,Hook Shot,6,-14,67,True
Bismack Biyombo,4,10,12,0,Hook Shot,1,-1,11,True
Bismack Biyombo,1,1,23,1,Hook Shot,7,-10,77,True
Bismack Biyombo,2,1,5,1,Hook Shot,2,22,17,True
Bismack Biyombo,1,4,13,1,Hook Shot,5,-34,48,True
Bismack Biyombo,3,9,10,1,Hook Shot,5,7,57,True
Bismack Biyombo,2,9,36,0,Hook Shot,4,-18,46,True
Bismack Biyombo,1,4,53,0,Hook Shot,5,-29,45,True
Bismack Biyombo,2,11,0,1,Hook Shot,10,-50,95,True
Bismack Biyombo,4,10,25,1,Hook Shot,6,-1,62,True
Bismack Biyombo,1,9,55,0,Hook Shot,2,20,20,True
Bismack Biyombo,3,0,11,0,Hook Shot,6,60,12,True
Bismack Biyombo,1,11,15,0,Hook Shot,10,9,100,True
Bismack Biyombo,1,0,50,0,Hook Shot,5,-25,45,True
Bismack Biyombo,4,2,18,1,Hook Shot,8,4,81,True
Bismack Biyombo,1,6,15,1,Hook Shot,6,-40,57,True
Bismack Biyombo,4,4,32,0,Hook Shot,4,-28,39,True
Bismack Biyombo,3,2,10,0,Hook Shot,2,23,8,True
Bismack Biyombo,2,6,48,0,Hook Shot,6,0,64,True
Bismack Biyombo,3,11,37,0,Hook Shot,7,4,74,True
Bismack Biyombo,2,1,9,1,Hook Shot,5,1,58,True
Bismack Biyombo,3,8,58,1,Hook Shot,6,-36,54,True
Bismack Biyombo,4,3,49,1,Hook Shot,2,6,22,True
Bismack Biyombo,2,6,54,0,Hook Shot,6,22,65,True
Bismack Biyombo,2,11,10,0,Hook Shot,2,-2,26,True
Bismack Biyombo,4,8,50,0,Hook Shot,8,0,80,True
Bismack Biyombo,4,8,22,1,Hook Shot,5,-9,59,True
Bismack Biyombo,1,0,29,0,Hook Shot,5,7,52,True
Bismack Biyombo,2,6,54,1,Hook Shot,10,11,106,True
Bismack Biyombo,2,11,29,0,Hook Shot,7,45,59,True
Bismack Biyombo,1,1,43,0,Hook Shot,5,1,50,True
Bismack Biyombo,2,8,22,1,Hook Shot,5,-52,-23,True
Bismack Biyombo,4,7,41,1,Hook Shot,5,3,59,True
Bismack Biyombo,2,10,6,0,Hook Shot,7,-9,74,True
Bismack Biyombo,2,1,38,0,Hook Shot,5,6,52,True
Bismack Biyombo,2,8,5,0,Hook Shot,4,32,32,True
Bismack Biyombo,4,9,37,0,Hook Shot,9,35,85,True
Bismack Biyombo,1,8,31,0,Hook Shot,7,-9,79,True
Bismack Biyombo,3,2,47,1,Hook Shot,7,-23,67,True
Bismack Biyombo,3,7,9,0,Jump Bank Shot,12,110,63,True
Bismack Biyombo,2,8,50,0,Jump Shot,13,137,3,True
Bismack Biyombo,3,6,20,0,Jump Shot,12,125,8,True
Bismack Biyombo,2,6,23,0,Jump Shot,6,8,68,True
Bismack Biyombo,2,5,18,1,Jump Shot,15,107,106,True
Bismack Biyombo,2,10,32,0,Jump Shot,2,-5,20,True
Bismack Biyombo,1,10,19,0,Jump Shot,15,-11,152,True
Bismack Biyombo,4,11,11,1,Jump Shot,14,-107,102,True
Bismack Biyombo,1,1,58,1,Jump Shot,11,-32,109,True
Bismack Biyombo,1,0,12,0,Jump Shot,15,28,155,True
Bismack Biyombo,4,1,43,1,Jump Shot,9,93,-1,True
Bismack Biyombo,2,9,52,0,Jump Shot,18,30,184,True
Bismack Biyombo,2,9,25,0,Jump Shot,14,-66,133,True
Bismack Biyombo,1,1,10,0,Jump Shot,17,-142,102,True
Bismack Biyombo,1,4,30,1,Jump Shot,7,75,2,True
Bismack Biyombo,3,1,21,0,Jump Shot,9,11,93,True
Bismack Biyombo,2,10,45,0,Jump Shot,8,-82,-21,True
Bismack Biyombo,1,0,27,0,Jump Shot,17,122,126,True
Bismack Biyombo,2,4,29,0,Jump Shot,14,51,134,True
Bismack Biyombo,3,2,14,0,Jump Shot,14,-142,21,True
Bismack Biyombo,3,0,48,1,Jump Shot,17,123,120,True
Bismack Biyombo,3,2,25,0,Jump Shot,6,47,42,True
Bismack Biyombo,1,8,38,0,Jump Shot,7,30,69,True
Bismack Biyombo,1,11,26,0,Jump Shot,4,-45,12,True
Bismack Biyombo,1,8,45,0,Jump Shot,7,-74,-13,True
Bismack Biyombo,1,11,34,0,Jump Shot,11,-113,25,True
Bismack Biyombo,2,7,47,0,Jump Shot,18,51,176,True
Bismack Biyombo,4,6,20,0,Jump Shot,16,138,81,True
Bismack Biyombo,3,8,48,1,Jump Shot,13,134,32,True
Bismack Biyombo,3,5,58,1,Jump Shot,12,-90,88,True
Bismack Biyombo,4,9,15,1,Jump Shot,15,155,0,True
Bismack Biyombo,4,10,7,0,Jump Shot,12,-125,-27,True
Bismack Biyombo,3,1,24,0,Jump Shot,13,8,130,True
Bismack Biyombo,2,8,10,0,Jump Shot,11,11,119,True
Bismack Biyombo,2,8,51,1,Jump Shot,14,111,88,True
Bismack Biyombo,2,9,8,0,Jump Shot,13,139,11,True
Bismack Biyombo,2,8,56,0,Jump Shot,16,3,169,True
Bismack Biyombo,2,10,20,0,Jump Shot,3,38,3,True
Bismack Biyombo,3,5,20,1,Jump Shot,18,187,-15,True
Bismack Biyombo,1,10,9,0,Jump Shot,11,115,0,True
Bismack Biyombo,4,4,2,0,Jump Shot,82,0,825,False
Bismack Biyombo,4,8,10,0,Jump Shot,14,4,148,True
Bismack Biyombo,2,0,35,0,Jump Shot,14,-135,48,True
Bismack Biyombo,4,10,8,0,Jump Shot,12,6,126,True
Bismack Biyombo,1,0,7,0,Jump Shot,16,6,162,True
Bismack Biyombo,2,6,51,0,Jump Shot,10,-22,104,True
Bismack Biyombo,3,2,1,0,Jump Shot,19,102,168,True
Bismack Biyombo,1,6,28,1,Jump Shot,14,-20,148,True
Bismack Biyombo,1,3,11,0,Jump Shot,12,125,2,True
Bismack Biyombo,2,6,35,1,Jump Shot,14,140,8,True
Bismack Biyombo,1,10,52,1,Jump Shot,10,-101,-22,True
Bismack Biyombo,1,9,0,0,Jump Shot,12,65,110,True
Bismack Biyombo,3,8,46,0,Jump Shot,11,-110,36,True
Bismack Biyombo,4,6,34,0,Layup Shot,2,-6,24,True
Bismack Biyombo,1,0,27,0,Layup Shot,2,-5,27,True
Bismack Biyombo,1,1,38,1,Layup Shot,1,-4,14,True
Bismack Biyombo,3,11,26,0,Layup Shot,4,21,38,True
Bismack Biyombo,1,7,34,0,Layup Shot,3,6,34,True
Bismack Biyombo,1,7,28,1,Layup Shot,2,17,13,True
Bismack Biyombo,2,10,4,0,Layup Shot,0,8,5,True
Bismack Biyombo,1,3,47,0,Layup Shot,1,14,13,True
Bismack Biyombo,2,10,45,0,Layup Shot,2,-20,20,True
Bismack Biyombo,4,9,12,0,Layup Shot,2,-9,22,True
Bismack Biyombo,1,2,29,1,Layup Shot,1,8,14,True
Bismack Biyombo,1,0,47,1,Layup Shot,1,2,13,True
Bismack Biyombo,4,10,6,0,Layup Shot,2,-15,16,True
Bismack Biyombo,2,7,26,0,Layup Shot,4,-33,27,True
Bismack Biyombo,2,5,33,1,Layup Shot,2,9,24,True
Bismack Biyombo,4,7,11,0,Layup Shot,1,8,16,True
Bismack Biyombo,2,9,57,0,Layup Shot,1,-6,16,True
Bismack Biyombo,2,11,38,0,Layup Shot,1,-4,16,True
Bismack Biyombo,4,9,5,0,Layup Shot,3,14,37,True
Bismack Biyombo,1,7,46,0,Layup Shot,3,-8,32,True
Bismack Biyombo,4,1,20,1,Layup Shot,1,6,17,True
Bismack Biyombo,1,10,20,0,Layup Shot,1,-4,15,True
Bismack Biyombo,1,3,39,0,Layup Shot,5,55,18,True
Bismack Biyombo,3,4,53,0,Layup Shot,1,-8,18,True
Bismack Biyombo,1,9,40,0,Layup Shot,3,-31,21,True
Bismack Biyombo,2,1,20,1,Layup Shot,2,-22,20,True
Bismack Biyombo,1,7,28,0,Layup Shot,1,2,11,True
Bismack Biyombo,1,5,23,1,Layup Shot,1,2,11,True
Bismack Biyombo,2,4,21,1,Layup Shot,5,-8,53,True
Bismack Biyombo,4,6,52,1,Layup Shot,1,4,16,True
Bismack Biyombo,4,3,46,0,Layup Shot,6,-62,0,True
Bismack Biyombo,3,4,12,1,Layup Shot,1,-7,11,True
Bismack Biyombo,1,6,32,0,Layup Shot,2,12,27,True
Bismack Biyombo,3,10,35,0,Layup Shot,1,4,11,True
Bismack Biyombo,1,8,22,1,Layup Shot,3,17,27,True
Bismack Biyombo,2,7,50,1,Layup Shot,4,-15,43,True
Bismack Biyombo,4,3,30,0,Layup Shot,1,9,8,True
Bismack Biyombo,1,10,44,0,Layup Shot,3,-27,21,True
Bismack Biyombo,3,8,26,0,Layup Shot,5,6,59,True
Bismack Biyombo,2,6,48,1,Layup Shot,1,2,17,True
Bismack Biyombo,1,7,52,1,Layup Shot,5,55,10,True
Bismack Biyombo,3,2,45,0,Layup Shot,3,15,27,True
Bismack Biyombo,4,3,18,0,Layup Shot,4,40,10,True
Bismack Biyombo,3,4,21,0,Layup Shot,3,28,13,True
Bismack Biyombo,1,4,30,0,Layup Shot,2,20,21,True
Bismack Biyombo,2,3,31,1,Layup Shot,1,16,10,True
Bismack Biyombo,3,0,57,1,Layup Shot,2,10,25,True
Bismack Biyombo,1,2,2,0,Layup Shot,2,-19,20,True
Bismack Biyombo,4,10,32,0,Layup Shot,3,-20,25,True
Bismack Biyombo,2,11,27,1,Layup Shot,3,-18,29,True
Bismack Biyombo,4,7,41,1,Layup Shot,2,-2,20,True
Bismack Biyombo,1,1,1,1,Layup Shot,2,13,21,True
Bismack Biyombo,2,5,30,1,Layup Shot,2,0,22,True
Bismack Biyombo,2,11,23,1,Layup Shot,2,-5,22,True
Bismack Biyombo,4,1,2,1,Layup Shot,0,-3,7,True
Bismack Biyombo,4,3,55,1,Layup Shot,0,-1,4,True
Bismack Biyombo,4,4,2,0,Layup Shot,1,14,-5,True
Bismack Biyombo,1,1,36,0,Layup Shot,4,6,41,True
Bismack Biyombo,4,8,52,0,Layup Shot,8,-18,81,True
Bismack Biyombo,2,3,11,0,Layup Shot,2,9,18,True
Bismack Biyombo,2,3,43,1,Layup Shot,2,3,20,True
Bismack Biyombo,1,1,19,1,Layup Shot,4,-6,44,True
Bismack Biyombo,4,10,6,0,Layup Shot,2,21,17,True
Bismack Biyombo,4,8,35,1,Layup Shot,1,-8,11,True
Bismack Biyombo,1,1,23,1,Layup Shot,3,-2,34,True
Bismack Biyombo,4,10,5,0,Layup Shot,5,4,57,True
