name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Blake Griffin,3,1,1,0,Alley Oop Dunk Shot,0,-2,2,True
Blake Griffin,4,8,59,0,Alley Oop Dunk Shot,2,-7,23,True
Blake Griffin,3,9,21,0,Alley Oop Layup shot,0,-3,8,True
Blake Griffin,2,0,58,1,Cutting Dunk Shot,1,5,14,True
Blake Griffin,1,1,46,0,Cutting Dunk Shot,0,-3,8,True
Blake Griffin,1,6,46,1,Cutting Dunk Shot,0,-3,8,True
Blake Griffin,1,8,58,1,Cutting Dunk Shot,0,-4,9,True
Blake Griffin,1,7,51,1,Cutting Dunk Shot,2,3,21,True
Blake Griffin,1,2,30,1,Cutting Dunk Shot,1,6,11,True
Blake Griffin,3,5,18,1,Cutting Dunk Shot,0,4,8,True
Blake Griffin,1,1,55,1,Cutting Finger Roll Layup Shot,0,3,8,True
Blake Griffin,3,4,59,1,Cutting Finger Roll Layup Shot,1,3,10,True
Blake Griffin,2,4,28,1,Cutting Layup Shot,2,0,21,True
Blake Griffin,2,3,7,1,Cutting Layup Shot,2,-23,17,True
Blake Griffin,4,7,19,1,Cutting Layup Shot,1,-9,12,True
Blake Griffin,4,4,1,1,Cutting Layup Shot,2,9,22,True
Blake Griffin,3,3,45,1,Cutting Layup Shot,1,-9,10,True
Blake Griffin,3,6,18,1,Cutting Layup Shot,2,14,21,True
Blake Griffin,3,7,58,1,Cutting Layup Shot,1,-14,5,True
Blake Griffin,2,8,3,1,Cutting Layup Shot,0,-3,9,True
Blake Griffin,4,1,10,1,Cutting Layup Shot,1,-5,11,True
Blake Griffin,1,5,5,1,Cutting Layup Shot,2,7,20,True
Blake Griffin,1,10,7,1,Cutting Layup Shot,1,9,14,True
Blake Griffin,2,6,12,1,Cutting Layup Shot,1,0,12,True
Blake Griffin,2,2,6,1,Cutting Layup Shot,4,26,34,True
Blake Griffin,1,11,8,0,Cutting Layup Shot,2,8,22,True
Blake Griffin,2,1,56,0,Cutting Layup Shot,1,-14,0,True
Blake Griffin,1,3,38,1,Driving Dunk Shot,1,3,11,True
Blake Griffin,4,5,48,1,Driving Dunk Shot,0,3,2,True
Blake Griffin,1,1,35,1,Driving Dunk Shot,0,-1,0,True
Blake Griffin,2,0,0,1,Driving Dunk Shot,0,3,3,True
Blake Griffin,3,6,40,1,Driving Dunk Shot,1,4,10,True
Blake Griffin,2,0,2,1,Driving Dunk Shot,0,-5,6,True
Blake Griffin,2,1,14,1,Driving Dunk Shot,1,2,11,True
Blake Griffin,2,1,43,1,Driving Dunk Shot,0,-1,6,True
Blake Griffin,3,2,16,1,Driving Dunk Shot,1,6,11,True
Blake Griffin,1,5,46,1,Driving Dunk Shot,2,-22,-5,True
Blake Griffin,3,9,11,1,Driving Dunk Shot,2,-20,9,True
Blake Griffin,4,6,42,1,Driving Dunk Shot,1,-9,12,True
Blake Griffin,2,4,37,1,Driving Dunk Shot,2,16,14,True
Blake Griffin,4,7,39,1,Driving Dunk Shot,0,0,8,True
Blake Griffin,3,3,30,1,Driving Dunk Shot,1,-5,15,True
Blake Griffin,1,11,47,1,Driving Dunk Shot,0,7,-5,True
Blake Griffin,3,6,58,1,Driving Dunk Shot,0,-7,-1,True
Blake Griffin,4,11,21,1,Driving Dunk Shot,0,2,4,True
Blake Griffin,1,9,18,1,Driving Dunk Shot,0,4,6,True
Blake Griffin,1,3,21,1,Driving Dunk Shot,0,-4,6,True
Blake Griffin,3,4,46,1,Driving Dunk Shot,0,0,7,True
Blake Griffin,2,6,4,0,Driving Finger Roll Layup Shot,0,-8,5,True
Blake Griffin,3,5,51,1,Driving Finger Roll Layup Shot,0,7,5,True
Blake Griffin,4,1,6,1,Driving Finger Roll Layup Shot,1,-3,13,True
Blake Griffin,2,1,18,1,Driving Finger Roll Layup Shot,1,2,16,True
Blake Griffin,3,2,40,0,Driving Finger Roll Layup Shot,3,11,29,True
Blake Griffin,3,4,46,1,Driving Finger Roll Layup Shot,1,-5,16,True
Blake Griffin,2,2,49,0,Driving Finger Roll Layup Shot,3,-5,37,True
Blake Griffin,2,0,1,1,Driving Finger Roll Layup Shot,2,8,19,True
Blake Griffin,1,3,36,1,Driving Finger Roll Layup Shot,1,12,11,True
Blake Griffin,1,8,13,1,Driving Floating Bank Jump Shot,5,-52,29,True
Blake Griffin,3,4,10,1,Driving Floating Bank Jump Shot,3,30,24,True
Blake Griffin,1,1,32,0,Driving Floating Bank Jump Shot,4,-43,16,True
Blake Griffin,4,2,48,0,Driving Floating Bank Jump Shot,4,-39,28,True
Blake Griffin,3,5,55,0,Driving Floating Bank Jump Shot,2,12,24,True
Blake Griffin,3,10,31,1,Driving Floating Bank Jump Shot,5,40,43,True
Blake Griffin,4,0,21,1,Driving Floating Bank Jump Shot,3,23,27,True
Blake Griffin,1,10,37,1,Driving Floating Bank Jump Shot,6,10,62,True
Blake Griffin,3,4,56,0,Driving Floating Bank Jump Shot,6,-56,37,True
Blake Griffin,2,7,54,0,Driving Floating Bank Jump Shot,1,-2,15,True
