name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Bradley Beal,3,10,23,0,Alley Oop Dunk Shot,2,4,29,True
Bradley Beal,3,6,23,1,Alley Oop Dunk Shot,1,3,11,True
Bradley Beal,3,5,44,1,Alley Oop Dunk Shot,2,1,21,True
Bradley Beal,4,1,50,1,Alley Oop Dunk Shot,1,-3,16,True
Bradley Beal,1,9,57,1,Alley Oop Dunk Shot,1,-2,13,True
Bradley Beal,3,3,35,1,Alley Oop Dunk Shot,2,-3,20,True
Bradley Beal,3,10,3,1,Alley Oop Layup shot,3,37,13,True
Bradley Beal,2,2,20,1,Alley Oop Layup shot,0,-8,1,True
Bradley Beal,1,9,0,0,Alley Oop Layup shot,1,17,5,True
Bradley Beal,2,7,14,1,Cutting Dunk Shot,1,-9,5,True
Bradley Beal,3,8,30,0,Cutting Dunk Shot,0,6,0,True
Bradley Beal,2,4,59,1,Cutting Dunk Shot,0,0,9,True
Bradley Beal,2,3,1,1,Cutting Dunk Shot,0,4,-3,True
Bradley Beal,2,3,7,1,Cutting Dunk Shot,1,13,8,True
Bradley Beal,3,3,39,1,Cutting Dunk Shot,2,3,21,True
Bradley Beal,2,2,3,1,Cutting Dunk Shot,1,8,6,True
Bradley Beal,2,2,23,1,Cutting Dunk Shot,0,-2,1,True
Bradley Beal,3,6,5,1,Cutting Dunk Shot,1,6,8,True
Bradley Beal,1,6,24,1,Cutting Dunk Shot,0,0,5,True
Bradley Beal,3,7,47,1,Cutting Dunk Shot,0,-4,1,True
Bradley Beal,3,6,44,1,Cutting Dunk Shot,0,2,7,True
Bradley Beal,1,11,3,1,Cutting Finger Roll Layup Shot,1,12,13,True
Bradley Beal,1,7,23,1,Cutting Finger Roll Layup Shot,0,9,1,True
Bradley Beal,2,6,54,1,Cutting Layup Shot,1,7,11,True
Bradley Beal,3,3,42,1,Cutting Layup Shot,1,-14,12,True
Bradley Beal,4,1,20,1,Cutting Layup Shot,7,-66,33,True
Bradley Beal,2,5,17,1,Cutting Layup Shot,1,-13,-4,True
Bradley Beal,1,4,16,0,Cutting Layup Shot,1,-15,0,True
Bradley Beal,3,4,19,0,Cutting Layup Shot,1,11,0,True
Bradley Beal,1,6,30,1,Cutting Layup Shot,2,18,20,True
Bradley Beal,4,0,8,1,Cutting Layup Shot,1,-13,13,True
Bradley Beal,1,10,32,0,Cutting Layup Shot,1,-2,12,True
Bradley Beal,3,4,39,0,Cutting Layup Shot,3,0,32,True
Bradley Beal,1,7,19,1,Cutting Layup Shot,0,2,8,True
Bradley Beal,2,0,21,0,Cutting Layup Shot,2,12,17,True
Bradley Beal,3,2,18,1,Driving Dunk Shot,1,3,11,True
Bradley Beal,1,8,37,1,Driving Dunk Shot,1,-12,6,True
Bradley Beal,1,8,43,1,Driving Dunk Shot,0,-3,-6,True
Bradley Beal,3,2,31,1,Driving Dunk Shot,1,7,16,True
Bradley Beal,2,1,16,0,Driving Dunk Shot,1,6,11,True
Bradley Beal,4,9,52,1,Driving Dunk Shot,0,2,9,True
Bradley Beal,2,1,21,1,Driving Dunk Shot,2,5,23,True
Bradley Beal,1,5,22,1,Driving Dunk Shot,2,11,21,True
Bradley Beal,4,0,35,0,Driving Dunk Shot,2,13,25,True
Bradley Beal,2,4,19,1,Driving Dunk Shot,0,1,8,True
Bradley Beal,5,1,15,0,Driving Dunk Shot,1,14,1,True
Bradley Beal,1,4,52,1,Driving Dunk Shot,0,6,-7,True
Bradley Beal,4,0,50,1,Driving Finger Roll Layup Shot,1,7,14,True
Bradley Beal,2,0,3,0,Driving Finger Roll Layup Shot,3,18,27,True
Bradley Beal,1,8,39,0,Driving Finger Roll Layup Shot,6,-3,64,True
Bradley Beal,2,1,4,1,Driving Finger Roll Layup Shot,1,-2,13,True
Bradley Beal,3,4,56,1,Driving Finger Roll Layup Shot,2,12,20,True
Bradley Beal,2,3,31,0,Driving Finger Roll Layup Shot,0,3,3,True
Bradley Beal,3,1,38,0,Driving Finger Roll Layup Shot,5,-25,44,True
Bradley Beal,3,11,18,1,Driving Finger Roll Layup Shot,1,-3,17,True
Bradley Beal,4,8,0,0,Driving Finger Roll Layup Shot,1,-12,15,True
Bradley Beal,1,5,10,1,Driving Finger Roll Layup Shot,1,8,17,True
Bradley Beal,1,6,50,0,Driving Finger Roll Layup Shot,1,9,8,True
Bradley Beal,3,11,25,0,Driving Finger Roll Layup Shot,4,11,48,True
Bradley Beal,1,7,18,1,Driving Finger Roll Layup Shot,0,-2,8,True
Bradley Beal,3,8,5,0,Driving Finger Roll Layup Shot,2,16,16,True
Bradley Beal,4,7,45,1,Driving Finger Roll Layup Shot,1,14,2,True
Bradley Beal,3,0,47,1,Driving Finger Roll Layup Shot,1,0,10,True
Bradley Beal,2,3,44,0,Driving Finger Roll Layup Shot,1,5,18,True
Bradley Beal,3,7,41,0,Driving Finger Roll Layup Shot,1,-8,16,True
Bradley Beal,3,8,47,1,Driving Finger Roll Layup Shot,2,-3,20,True
Bradley Beal,4,8,43,1,Driving Finger Roll Layup Shot,1,-2,17,True
Bradley Beal,4,0,28,1,Driving Finger Roll Layup Shot,0,-9,1,True
Bradley Beal,2,1,4,0,Driving Floating Bank Jump Shot,3,34,17,True
Bradley Beal,3,5,54,1,Driving Floating Bank Jump Shot,11,-103,58,True
Bradley Beal,4,2,26,0,Driving Floating Bank Jump Shot,6,67,15,True
Bradley Beal,4,2,35,0,Driving Floating Bank Jump Shot,5,41,36,True
Bradley Beal,3,4,44,1,Driving Floating Bank Jump Shot,3,24,28,True
Bradley Beal,3,7,16,0,Driving Floating Bank Jump Shot,9,34,90,True
Bradley Beal,4,10,53,1,Driving Floating Bank Jump Shot,5,-46,35,True
Bradley Beal,1,11,29,1,Driving Floating Bank Jump Shot,6,-57,36,True
Bradley Beal,4,5,36,1,Driving Floating Bank Jump Shot,7,-60,46,True
Bradley Beal,1,2,26,1,Driving Floating Bank Jump Shot,11,88,67,True
Bradley Beal,1,8,33,1,Driving Floating Bank Jump Shot,9,-98,11,True
Bradley Beal,3,1,22,1,Driving Floating Bank Jump Shot,6,-5,66,True
Bradley Beal,3,6,49,0,Driving Floating Bank Jump Shot,12,-70,108,True
Bradley Beal,3,3,44,0,Driving Floating Bank Jump Shot,9,-81,42,True
Bradley Beal,1,2,55,1,Driving Floating Bank Jump Shot,1,-4,17,True
Bradley Beal,4,10,23,0,Driving Floating Bank Jump Shot,9,-80,45,True
Bradley Beal,2,6,18,1,Driving Floating Bank Jump Shot,2,12,16,True
Bradley Beal,3,0,9,1,Driving Floating Bank Jump Shot,8,-6,84,True
Bradley Beal,1,0,0,0,Driving Floating Bank Jump Shot,46,-194,418,False
Bradley Beal,3,5,16,1,Driving Floating Bank Jump Shot,11,93,63,True
Bradley Beal,3,8,0,0,Driving Floating Bank Jump Shot,2,6,25,True
Bradley Beal,3,1,11,0,Driving Floating Bank Jump Shot,3,11,29,True
Bradley Beal,1,4,13,0,Driving Floating Bank Jump Shot,12,61,114,True
Bradley Beal,1,6,56,1,Driving Floating Bank Jump Shot,4,49,9,True
Bradley Beal,2,2,48,0,Driving Floating Bank Jump Shot,14,-82,116,True
Bradley Beal,1,9,40,0,Driving Floating Jump Shot,12,-4,129,True
Bradley Beal,3,8,8,0,Driving Floating Jump Shot,9,22,89,True
Bradley Beal,2,2,36,0,Driving Floating Jump Shot,8,-70,45,True
Bradley Beal,4,7,32,1,Driving Floating Jump Shot,12,-78,103,True
Bradley Beal,1,9,9,0,Driving Floating Jump Shot,13,36,126,True
Bradley Beal,3,3,28,1,Driving Floating Jump Shot,12,-50,115,True
