name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Brook Lopez,2,2,20,1,Alley Oop Dunk Shot,0,7,4,True
Brook Lopez,4,5,17,1,Alley Oop Dunk Shot,1,-7,13,True
Brook Lopez,2,5,0,1,Alley Oop Dunk Shot,1,11,-10,True
Brook Lopez,2,2,17,0,Alley Oop Dunk Shot,1,1,16,True
Brook Lopez,2,0,27,1,Alley Oop Dunk Shot,0,7,1,True
Brook Lopez,2,4,58,1,Alley Oop Dunk Shot,1,-13,8,True
Brook Lopez,2,5,43,1,Alley Oop Layup shot,1,-11,10,True
Brook Lopez,2,6,35,0,Alley Oop Layup shot,1,11,4,True
Brook Lopez,1,11,11,0,Alley Oop Layup shot,1,11,13,True
Brook Lopez,2,3,58,0,Alley Oop Layup shot,1,-8,11,True
Brook Lopez,3,10,56,1,Cutting Dunk Shot,1,-4,13,True
Brook Lopez,2,1,23,1,Cutting Dunk Shot,2,16,22,True
Brook Lopez,3,7,0,1,Cutting Dunk Shot,1,2,16,True
Brook Lopez,3,10,24,1,Cutting Dunk Shot,2,-8,25,True
Brook Lopez,2,6,12,1,Cutting Dunk Shot,2,6,29,True
Brook Lopez,3,7,48,1,Cutting Dunk Shot,1,4,11,True
Brook Lopez,1,9,55,1,Cutting Dunk Shot,1,-1,15,True
Brook Lopez,3,7,55,1,Cutting Dunk Shot,0,-4,3,True
Brook Lopez,2,2,29,1,Cutting Layup Shot,1,-6,15,True
Brook Lopez,3,10,42,0,Cutting Layup Shot,2,13,25,True
Brook Lopez,1,3,1,1,Cutting Layup Shot,6,24,56,True
Brook Lopez,1,6,15,1,Cutting Layup Shot,0,9,0,True
Brook Lopez,4,5,27,0,Cutting Layup Shot,2,-11,17,True
Brook Lopez,1,9,55,1,Cutting Layup Shot,2,8,24,True
Brook Lopez,1,11,41,1,Cutting Layup Shot,2,2,26,True
Brook Lopez,2,4,8,1,Driving Dunk Shot,2,-3,22,True
Brook Lopez,3,6,20,1,Driving Dunk Shot,1,0,10,True
Brook Lopez,1,7,44,1,Driving Dunk Shot,1,3,11,True
Brook Lopez,1,10,39,1,Driving Dunk Shot,0,5,8,True
Brook Lopez,4,1,42,1,Driving Dunk Shot,2,8,19,True
Brook Lopez,2,4,11,1,Driving Dunk Shot,1,16,11,True
Brook Lopez,3,10,5,0,Driving Dunk Shot,2,-3,23,True
Brook Lopez,1,10,40,1,Driving Dunk Shot,0,-3,6,True
Brook Lopez,3,10,48,1,Driving Dunk Shot,0,9,3,True
Brook Lopez,3,2,31,1,Driving Dunk Shot,0,1,8,True
Brook Lopez,1,6,25,1,Driving Dunk Shot,1,2,18,True
Brook Lopez,3,5,42,1,Driving Finger Roll Layup Shot,2,2,21,True
Brook Lopez,3,7,42,1,Driving Finger Roll Layup Shot,0,-3,8,True
Brook Lopez,1,9,0,1,Driving Finger Roll Layup Shot,1,0,15,True
Brook Lopez,3,8,48,1,Driving Finger Roll Layup Shot,2,5,21,True
Brook Lopez,2,2,19,0,Driving Floating Bank Jump Shot,2,7,25,True
Brook Lopez,3,5,3,0,Driving Floating Bank Jump Shot,9,9,95,True
Brook Lopez,3,6,45,0,Driving Floating Bank Jump Shot,8,82,31,True
Brook Lopez,1,7,17,1,Driving Floating Bank Jump Shot,7,-59,47,True
Brook Lopez,3,3,57,1,Driving Floating Bank Jump Shot,6,50,41,True
Brook Lopez,3,6,35,1,Driving Floating Bank Jump Shot,4,41,16,True
Brook Lopez,2,7,19,1,Driving Floating Bank Jump Shot,4,36,21,True
Brook Lopez,3,6,59,0,Driving Floating Jump Shot,8,5,84,True
Brook Lopez,1,2,2,0,Driving Floating Jump Shot,11,90,78,True
Brook Lopez,4,10,59,1,Driving Floating Jump Shot,9,89,26,True
Brook Lopez,3,7,53,0,Driving Floating Jump Shot,12,33,121,True
Brook Lopez,1,11,20,0,Driving Floating Jump Shot,7,-15,75,True
Brook Lopez,4,6,6,0,Driving Floating Jump Shot,13,7,131,True
Brook Lopez,3,4,3,0,Driving Floating Jump Shot,7,-40,61,True
Brook Lopez,2,5,3,0,Driving Floating Jump Shot,3,24,26,True
Brook Lopez,2,4,0,0,Driving Floating Jump Shot,7,71,12,True
Brook Lopez,1,5,27,1,Driving Floating Jump Shot,4,22,35,True
Brook Lopez,1,6,43,0,Driving Floating Jump Shot,4,-43,10,True
Brook Lopez,2,5,20,1,Driving Floating Jump Shot,4,-5,45,True
Brook Lopez,1,1,40,1,Driving Hook Shot,7,16,75,True
Brook Lopez,1,6,42,0,Driving Hook Shot,5,16,50,True
Brook Lopez,4,11,47,1,Driving Hook Shot,4,-17,46,True
Brook Lopez,1,9,22,1,Driving Hook Shot,3,9,36,True
Brook Lopez,1,4,50,0,Driving Hook Shot,10,6,104,True
Brook Lopez,1,9,5,1,Driving Hook Shot,5,2,57,True
Brook Lopez,1,5,41,0,Driving Hook Shot,2,-6,25,True
Brook Lopez,1,10,46,1,Driving Hook Shot,5,29,43,True
Brook Lopez,1,10,19,0,Driving Hook Shot,2,1,27,True
Brook Lopez,3,10,59,0,Driving Hook Shot,5,-17,55,True
Brook Lopez,2,4,7,0,Driving Hook Shot,9,14,90,True
Brook Lopez,4,1,28,1,Driving Hook Shot,9,33,90,True
Brook Lopez,2,2,21,1,Driving Hook Shot,7,9,71,True
Brook Lopez,1,6,17,0,Driving Hook Shot,7,33,71,True
Brook Lopez,3,4,46,1,Driving Hook Shot,5,51,8,True
Brook Lopez,3,10,11,0,Driving Layup Shot,1,8,6,True
Brook Lopez,2,3,24,1,Driving Layup Shot,2,-17,22,True
Brook Lopez,3,6,29,1,Driving Layup Shot,5,21,46,True
Brook Lopez,1,4,22,1,Driving Layup Shot,0,1,6,True
Brook Lopez,3,8,4,1,Driving Layup Shot,2,20,14,True
Brook Lopez,4,8,44,1,Driving Layup Shot,5,-3,59,True
Brook Lopez,1,8,20,1,Driving Layup Shot,1,6,15,True
Brook Lopez,1,5,23,1,Driving Layup Shot,0,0,5,True
Brook Lopez,1,8,48,1,Driving Layup Shot,1,14,14,True
Brook Lopez,1,1,12,1,Driving Layup Shot,1,-9,13,True
Brook Lopez,3,3,11,1,Driving Layup Shot,3,35,8,True
Brook Lopez,3,7,37,1,Driving Layup Shot,5,49,27,True
Brook Lopez,1,10,38,1,Driving Layup Shot,0,1,9,True
Brook Lopez,2,3,40,1,Driving Layup Shot,2,18,21,True
Brook Lopez,2,4,48,1,Driving Layup Shot,2,12,22,True
Brook Lopez,3,8,28,1,Driving Layup Shot,2,2,22,True
Brook Lopez,1,6,48,0,Driving Reverse Layup Shot,1,13,10,True
Brook Lopez,3,10,41,1,Dunk Shot,1,4,17,True
Brook Lopez,2,1,39,1,Dunk Shot,2,-15,21,True
Brook Lopez,3,8,21,1,Dunk Shot,0,3,5,True
Brook Lopez,4,5,56,1,Dunk Shot,3,28,11,True
Brook Lopez,3,6,53,1,Dunk Shot,2,-2,25,True
Brook Lopez,1,11,12,1,Dunk Shot,2,-11,22,True
Brook Lopez,3,6,52,0,Fadeaway Jump Shot,18,67,174,True
Brook Lopez,3,11,24,1,Fadeaway Jump Shot,10,-98,42,True
Brook Lopez,1,11,6,0,Fadeaway Jump Shot,14,95,104,True
Brook Lopez,2,0,21,0,Fadeaway Jump Shot,10,-29,100,True
Brook Lopez,3,3,51,0,Fadeaway Jump Shot,8,16,86,True
Brook Lopez,1,8,52,1,Fadeaway Jump Shot,14,57,134,True
Brook Lopez,3,6,40,0,Fadeaway Jump Shot,5,4,50,True
Brook Lopez,3,7,3,1,Fadeaway Jump Shot,13,44,129,True
Brook Lopez,3,10,26,0,Fadeaway Jump Shot,9,3,99,True
Brook Lopez,1,6,18,0,Fadeaway Jump Shot,11,2,117,True
Brook Lopez,1,6,10,1,Fadeaway Jump Shot,19,114,162,True
Brook Lopez,3,8,26,1,Fadeaway Jump Shot,9,12,90,True
Brook Lopez,1,8,51,0,Fadeaway Jump Shot,6,-64,10,True
Brook Lopez,1,8,38,1,Fadeaway Jump Shot,9,61,77,True
Brook Lopez,1,5,6,1,Fadeaway Jump Shot,2,-11,24,True
Brook Lopez,1,10,37,0,Fadeaway Jump Shot,17,-143,94,True
Brook Lopez,1,10,5,0,Fadeaway Jump Shot,10,-91,57,True
Brook Lopez,3,9,19,0,Fadeaway Jump Shot,14,-22,139,True
Brook Lopez,1,11,24,0,Fadeaway Jump Shot,13,-44,124,True
Brook Lopez,3,10,43,0,Fadeaway Jump Shot,9,56,75,True
Brook Lopez,2,6,2,0,Fadeaway Jump Shot,7,65,43,True
Brook Lopez,1,9,31,1,Floating Jump shot,1,9,9,True
