name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Buddy Hield,4,4,55,0,Cutting Dunk Shot,2,-20,15,True
Buddy Hield,2,3,39,1,Cutting Finger Roll Layup Shot,1,-4,11,True
Buddy Hield,1,1,32,1,Cutting Finger Roll Layup Shot,1,5,10,True
Buddy Hield,2,5,9,1,Cutting Layup Shot,0,-1,0,True
Buddy Hield,4,4,47,0,Cutting Layup Shot,3,29,10,True
Buddy Hield,3,6,46,1,Cutting Layup Shot,0,4,4,True
Buddy Hield,4,2,51,0,Cutting Layup Shot,2,6,21,True
Buddy Hield,2,0,42,0,Cutting Layup Shot,1,-12,12,True
Buddy Hield,2,9,21,1,Cutting Layup Shot,1,-5,11,True
Buddy Hield,2,3,9,0,Cutting Layup Shot,2,-25,13,True
Buddy Hield,1,1,57,1,Cutting Layup Shot,1,-14,8,True
Buddy Hield,1,2,1,1,Cutting Layup Shot,1,-16,4,True
Buddy Hield,1,9,26,1,Cutting Layup Shot,2,-19,7,True
Buddy Hield,4,2,19,1,Cutting Layup Shot,1,18,8,True
Buddy Hield,1,6,11,1,Cutting Layup Shot,0,0,5,True
Buddy Hield,1,2,42,1,Cutting Layup Shot,2,16,16,True
Buddy Hield,4,5,16,1,Driving Dunk Shot,0,-3,8,True
Buddy Hield,4,9,2,1,Driving Finger Roll Layup Shot,1,-7,8,True
Buddy Hield,2,10,52,1,Driving Finger Roll Layup Shot,1,-1,16,True
Buddy Hield,4,6,32,1,Driving Finger Roll Layup Shot,0,-8,1,True
Buddy Hield,3,1,52,0,Driving Finger Roll Layup Shot,0,-3,8,True
Buddy Hield,3,5,2,1,Driving Floating Bank Jump Shot,7,68,26,True
Buddy Hield,4,2,45,0,Driving Floating Bank Jump Shot,6,-55,31,True
Buddy Hield,4,9,28,1,Driving Floating Bank Jump Shot,8,74,41,True
Buddy Hield,2,8,20,1,Driving Floating Bank Jump Shot,3,36,14,True
Buddy Hield,4,11,3,0,Driving Floating Bank Jump Shot,15,-110,110,True
Buddy Hield,2,4,11,1,Driving Floating Bank Jump Shot,3,-10,30,True
Buddy Hield,3,5,13,1,Driving Floating Jump Shot,7,24,72,True
Buddy Hield,4,9,14,0,Driving Floating Jump Shot,10,48,89,True
Buddy Hield,1,3,59,0,Driving Floating Jump Shot,17,50,163,True
Buddy Hield,3,1,38,0,Driving Floating Jump Shot,8,-84,5,True
Buddy Hield,4,1,42,0,Driving Floating Jump Shot,15,-24,151,True
Buddy Hield,3,2,50,0,Driving Floating Jump Shot,17,139,101,True
Buddy Hield,2,10,25,1,Driving Layup Shot,3,-28,20,True
Buddy Hield,3,5,40,0,Driving Layup Shot,2,-18,10,True
Buddy Hield,2,7,37,0,Driving Layup Shot,3,25,27,True
Buddy Hield,3,6,29,0,Driving Layup Shot,0,-3,6,True
Buddy Hield,1,1,52,0,Driving Layup Shot,2,20,22,True
Buddy Hield,2,4,45,1,Driving Layup Shot,3,21,25,True
Buddy Hield,4,0,33,0,Driving Layup Shot,2,13,16,True
Buddy Hield,2,3,47,0,Driving Layup Shot,2,-25,6,True
Buddy Hield,4,0,41,1,Driving Layup Shot,1,10,5,True
Buddy Hield,1,1,35,1,Driving Layup Shot,3,20,27,True
Buddy Hield,3,0,4,1,Driving Layup Shot,5,-31,40,True
Buddy Hield,2,7,27,0,Driving Layup Shot,6,-58,17,True
Buddy Hield,4,4,42,1,Driving Layup Shot,2,-9,27,True
Buddy Hield,2,5,19,0,Driving Layup Shot,2,20,16,True
Buddy Hield,1,0,39,0,Driving Layup Shot,3,3,36,True
Buddy Hield,4,0,7,1,Driving Layup Shot,2,-24,1,True
Buddy Hield,3,9,30,1,Driving Layup Shot,1,-16,10,True
Buddy Hield,2,11,13,1,Driving Layup Shot,3,19,25,True
Buddy Hield,4,7,45,0,Driving Layup Shot,2,-23,4,True
Buddy Hield,4,5,34,0,Driving Layup Shot,4,-40,20,True
Buddy Hield,3,0,21,1,Driving Layup Shot,1,3,16,True
Buddy Hield,1,0,27,1,Driving Layup Shot,0,-3,1,True
Buddy Hield,2,11,40,0,Driving Layup Shot,3,17,27,True
Buddy Hield,2,3,7,1,Driving Layup Shot,2,18,10,True
Buddy Hield,2,2,49,0,Driving Layup Shot,0,0,8,True
Buddy Hield,2,7,31,1,Driving Layup Shot,2,22,17,True
Buddy Hield,4,5,1,1,Driving Layup Shot,2,22,-1,True
Buddy Hield,3,6,1,1,Driving Layup Shot,2,-26,0,True
Buddy Hield,4,5,28,0,Driving Layup Shot,1,19,3,True
Buddy Hield,4,11,40,0,Driving Layup Shot,4,32,37,True
Buddy Hield,4,3,54,0,Driving Layup Shot,1,5,10,True
Buddy Hield,2,2,51,0,Driving Layup Shot,2,-19,8,True
Buddy Hield,4,10,44,0,Driving Layup Shot,1,-18,7,True
Buddy Hield,4,5,51,1,Driving Layup Shot,1,-1,15,True
Buddy Hield,1,8,38,0,Driving Layup Shot,2,-11,24,True
Buddy Hield,4,0,33,0,Driving Layup Shot,4,-36,20,True
Buddy Hield,3,4,32,0,Driving Layup Shot,2,-25,5,True
Buddy Hield,2,10,33,1,Driving Layup Shot,5,50,13,True
Buddy Hield,2,2,20,0,Driving Layup Shot,3,-26,19,True
Buddy Hield,2,3,19,0,Driving Layup Shot,1,-3,17,True
Buddy Hield,4,2,31,0,Driving Layup Shot,3,-24,25,True
Buddy Hield,2,8,58,1,Driving Layup Shot,3,-32,9,True
Buddy Hield,3,4,6,1,Driving Layup Shot,3,-29,25,True
Buddy Hield,2,9,29,0,Driving Layup Shot,2,8,25,True
Buddy Hield,2,6,30,1,Driving Layup Shot,3,27,19,True
Buddy Hield,1,11,39,1,Driving Layup Shot,0,-2,8,True
Buddy Hield,4,0,0,0,Driving Layup Shot,4,-27,34,True
Buddy Hield,4,6,20,0,Driving Layup Shot,2,-23,10,True
Buddy Hield,4,11,6,1,Driving Layup Shot,3,-29,11,True
Buddy Hield,4,0,8,0,Driving Layup Shot,5,33,41,True
Buddy Hield,3,3,38,0,Driving Layup Shot,3,-18,26,True
Buddy Hield,3,3,59,0,Driving Layup Shot,2,-8,22,True
Buddy Hield,3,5,18,0,Driving Layup Shot,2,-7,21,True
Buddy Hield,1,2,18,1,Driving Layup Shot,2,-24,-1,True
Buddy Hield,2,8,13,1,Driving Layup Shot,2,-26,4,True
Buddy Hield,3,1,57,1,Driving Layup Shot,2,-20,20,True
Buddy Hield,2,2,56,1,Driving Reverse Layup Shot,2,16,13,True
Buddy Hield,1,6,4,0,Driving Reverse Layup Shot,2,18,16,True
Buddy Hield,1,0,30,1,Dunk Shot,0,0,6,True
Buddy Hield,4,1,25,1,Dunk Shot,2,-16,20,True
Buddy Hield,1,6,11,0,Fadeaway Jump Shot,17,173,15,True
Buddy Hield,2,4,42,0,Fadeaway Jump Shot,6,-63,11,True
Buddy Hield,1,5,27,1,Fadeaway Jump Shot,5,-48,24,True
Buddy Hield,2,10,48,0,Fadeaway Jump Shot,15,67,145,True
Buddy Hield,2,8,8,0,Fadeaway Jump Shot,12,122,30,True
Buddy Hield,2,11,22,1,Fadeaway Jump Shot,8,-80,41,True
Buddy Hield,1,0,7,1,Fadeaway Jump Shot,14,-145,-5,True
Buddy Hield,2,9,4,1,Fadeaway Jump Shot,25,-208,139,False
Buddy Hield,4,11,26,0,Fadeaway Jump Shot,10,-86,63,True
Buddy Hield,3,0,10,1,Fadeaway Jump Shot,25,-153,209,False
Buddy Hield,1,0,59,1,Fadeaway Jump Shot,18,-187,15,True
Buddy Hield,4,9,48,1,Fadeaway Jump Shot,19,-130,146,True
Buddy Hield,2,9,42,0,Fadeaway Jump Shot,11,107,52,True
Buddy Hield,4,4,47,0,Fadeaway Jump Shot,22,221,26,False
Buddy Hield,3,2,40,0,Fadeaway Jump Shot,17,-131,117,True
Buddy Hield,2,5,30,1,Fadeaway Jump Shot,13,-134,13,True
Buddy Hield,4,4,51,0,Fadeaway Jump Shot,9,-72,57,True
Buddy Hield,4,0,11,1,Fadeaway Jump Shot,23,226,80,False
Buddy Hield,2,10,56,0,Fadeaway Jump Shot,7,74,2,True
Buddy Hield,4,1,13,0,Fadeaway Jump Shot,12,2,122,True
Buddy Hield,2,8,20,0,Fadeaway Jump Shot,18,-54,179,True
Buddy Hield,4,5,59,1,Fadeaway Jump Shot,17,45,171,True
Buddy Hield,4,2,56,0,Fadeaway Jump Shot,16,-160,10,True
Buddy Hield,4,5,40,1,Fadeaway Jump Shot,7,-29,64,True
Buddy Hield,3,5,57,0,Fadeaway Jump Shot,19,-134,147,True
Buddy Hield,2,9,57,0,Fadeaway Jump Shot,18,-128,138,True
Buddy Hield,4,1,18,0,Fadeaway Jump Shot,15,-146,50,True
Buddy Hield,1,1,29,0,Fadeaway Jump Shot,9,-96,0,True
