name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Chris McCullough,4,4,42,1,Alley Oop Dunk Shot,1,8,16,True
Chris McCullough,4,3,12,1,Alley Oop Dunk Shot,2,2,20,True
Chris McCullough,4,1,59,0,Alley Oop Dunk Shot,3,12,30,True
Chris McCullough,4,2,37,1,Alley Oop Dunk Shot,0,-7,2,True
Chris McCullough,4,2,20,1,Cutting Dunk Shot,1,0,13,True
Chris McCullough,4,4,25,1,Cutting Layup Shot,0,3,0,True
Chris McCullough,4,1,20,1,Driving Dunk Shot,0,0,6,True
Chris McCullough,4,3,48,0,Driving Floating Bank Jump Shot,2,-14,20,True
Chris McCullough,4,3,15,0,Driving Floating Jump Shot,6,5,64,True
Chris McCullough,4,1,21,1,Driving Floating Jump Shot,13,-130,29,True
Chris McCullough,4,4,0,1,Driving Layup Shot,2,5,20,True
Chris McCullough,4,1,57,1,Dunk Shot,2,16,18,True
Chris McCullough,4,1,16,1,Fadeaway Jump Shot,12,-19,125,True
Chris McCullough,4,10,38,0,Finger Roll Layup Shot,4,5,45,True
Chris McCullough,4,0,19,0,Jump Shot,25,-203,149,False
Chris McCullough,4,3,8,0,Jump Shot,26,-2,269,False
Chris McCullough,4,4,41,0,Jump Shot,15,-154,36,True
Chris McCullough,4,1,41,1,Jump Shot,17,-117,124,True
Chris McCullough,4,1,41,0,Jump Shot,19,100,173,True
Chris McCullough,4,0,0,0,Jump Shot,25,-181,180,False
Chris McCullough,4,2,37,0,Jump Shot,25,-158,201,False
Chris McCullough,4,8,38,0,Jump Shot,18,-22,183,True
Chris McCullough,4,1,6,0,Jump Shot,17,27,168,True
Chris McCullough,4,4,23,0,Jump Shot,26,-65,253,False
Chris McCullough,3,2,30,1,Jump Shot,13,132,14,True
Chris McCullough,4,11,25,0,Jump Shot,29,-38,293,False
Chris McCullough,4,2,38,0,Jump Shot,27,94,260,False
Chris McCullough,4,10,34,0,Jump Shot,7,-18,69,True
Chris McCullough,4,1,59,1,Jump Shot,26,57,258,False
Chris McCullough,4,3,21,0,Jump Shot,9,-31,89,True
Chris McCullough,4,1,43,1,Layup Shot,1,7,15,True
Chris McCullough,4,0,42,0,Layup Shot,1,9,11,True
Chris McCullough,4,0,24,0,Layup Shot,2,3,26,True
Chris McCullough,4,1,37,0,Pullup Jump shot,14,25,146,True
Chris McCullough,4,2,40,1,Pullup Jump shot,11,46,105,True
Chris McCullough,4,1,56,1,Putback Dunk Shot,0,0,-6,True
Chris McCullough,4,3,55,1,Putback Dunk Shot,0,0,-6,True
Chris McCullough,4,1,27,0,Putback Layup Shot,3,30,16,True
Chris McCullough,4,0,26,0,Putback Layup Shot,0,0,-6,True
Chris McCullough,4,6,30,0,Step Back Jump shot,12,-3,122,True
Chris McCullough,4,4,34,1,Step Back Jump shot,14,-7,143,True
Chris McCullough,4,4,53,0,Turnaround Jump Shot,8,-71,49,True
