name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Chris Paul,4,0,12,1,Cutting Layup Shot,2,18,16,True
Chris Paul,1,8,28,1,Cutting Layup Shot,3,-36,11,True
Chris Paul,3,7,28,1,Cutting Layup Shot,0,3,8,True
Chris Paul,4,11,26,1,Driving Finger Roll Layup Shot,2,16,13,True
Chris Paul,3,1,34,1,Driving Finger Roll Layup Shot,1,8,14,True
Chris Paul,2,11,48,1,Driving Finger Roll Layup Shot,1,3,15,True
Chris Paul,2,8,38,1,Driving Finger Roll Layup Shot,3,27,16,True
Chris Paul,2,10,59,1,Driving Finger Roll Layup Shot,1,14,5,True
Chris Paul,4,7,4,1,Driving Finger Roll Layup Shot,2,-2,20,True
Chris Paul,2,2,42,0,Driving Finger Roll Layup Shot,1,9,8,True
Chris Paul,2,1,33,1,Driving Finger Roll Layup Shot,1,-1,12,True
Chris Paul,3,9,25,1,Driving Finger Roll Layup Shot,1,0,10,True
Chris Paul,2,0,24,0,Driving Finger Roll Layup Shot,3,22,21,True
Chris Paul,3,1,28,1,Driving Finger Roll Layup Shot,3,7,30,True
Chris Paul,3,8,7,0,Driving Finger Roll Layup Shot,1,0,18,True
Chris Paul,4,0,0,1,Driving Floating Bank Jump Shot,3,35,16,True
Chris Paul,2,10,6,1,Driving Floating Bank Jump Shot,6,51,47,True
Chris Paul,2,4,25,1,Driving Floating Jump Shot,4,-23,42,True
Chris Paul,3,7,52,0,Driving Floating Jump Shot,5,1,57,True
Chris Paul,3,6,8,0,Driving Floating Jump Shot,12,33,119,True
Chris Paul,2,5,46,1,Driving Floating Jump Shot,5,2,52,True
Chris Paul,3,1,46,0,Driving Floating Jump Shot,11,97,60,True
Chris Paul,2,10,27,1,Driving Floating Jump Shot,10,-14,106,True
Chris Paul,2,4,52,1,Driving Floating Jump Shot,10,-32,96,True
Chris Paul,1,9,11,1,Driving Floating Jump Shot,7,36,68,True
Chris Paul,2,0,33,1,Driving Floating Jump Shot,6,-18,60,True
Chris Paul,4,4,6,0,Driving Floating Jump Shot,9,63,71,True
Chris Paul,1,8,5,1,Driving Floating Jump Shot,5,38,42,True
Chris Paul,1,8,14,0,Driving Floating Jump Shot,6,-8,67,True
Chris Paul,2,4,42,1,Driving Floating Jump Shot,4,-1,43,True
Chris Paul,3,9,49,0,Driving Floating Jump Shot,13,121,50,True
Chris Paul,1,0,0,0,Driving Floating Jump Shot,21,113,178,True
Chris Paul,2,9,30,1,Driving Floating Jump Shot,14,44,137,True
Chris Paul,1,9,46,0,Driving Floating Jump Shot,6,16,67,True
Chris Paul,3,0,29,0,Driving Floating Jump Shot,8,58,67,True
Chris Paul,1,1,12,0,Driving Floating Jump Shot,8,0,85,True
Chris Paul,3,6,26,1,Driving Floating Jump Shot,8,-12,89,True
Chris Paul,4,0,4,0,Driving Floating Jump Shot,11,59,94,True
Chris Paul,2,8,24,1,Driving Floating Jump Shot,6,6,63,True
Chris Paul,5,1,31,0,Driving Floating Jump Shot,7,-25,68,True
Chris Paul,3,0,53,1,Driving Floating Jump Shot,6,-20,61,True
Chris Paul,1,8,30,0,Driving Floating Jump Shot,8,-80,8,True
Chris Paul,3,10,37,0,Driving Floating Jump Shot,10,41,96,True
Chris Paul,2,11,37,1,Driving Layup Shot,1,14,6,True
Chris Paul,2,5,58,1,Driving Layup Shot,1,10,12,True
Chris Paul,2,8,28,0,Driving Layup Shot,2,21,13,True
Chris Paul,4,2,57,0,Driving Layup Shot,0,-8,-2,True
Chris Paul,4,8,9,1,Driving Layup Shot,1,8,13,True
Chris Paul,4,0,52,0,Driving Layup Shot,1,13,4,True
Chris Paul,4,6,23,1,Driving Layup Shot,2,20,-1,True
Chris Paul,2,6,40,1,Driving Layup Shot,0,-7,6,True
Chris Paul,1,11,1,0,Driving Layup Shot,4,41,-1,True
Chris Paul,2,5,7,1,Driving Layup Shot,1,-2,13,True
Chris Paul,1,8,6,0,Driving Layup Shot,1,14,11,True
Chris Paul,4,3,10,0,Driving Layup Shot,3,6,30,True
Chris Paul,5,1,59,1,Driving Layup Shot,1,8,11,True
Chris Paul,3,0,0,0,Driving Layup Shot,3,32,-4,True
Chris Paul,6,0,7,0,Driving Layup Shot,1,5,19,True
Chris Paul,6,4,24,1,Driving Layup Shot,1,7,8,True
Chris Paul,3,0,0,0,Driving Layup Shot,1,15,1,True
Chris Paul,2,9,38,1,Driving Layup Shot,1,-5,12,True
Chris Paul,3,11,23,0,Driving Layup Shot,1,9,-5,True
Chris Paul,4,4,11,1,Driving Layup Shot,0,4,6,True
Chris Paul,2,8,42,0,Driving Layup Shot,0,2,7,True
Chris Paul,4,8,24,1,Driving Layup Shot,0,0,6,True
Chris Paul,2,5,49,0,Driving Layup Shot,2,24,8,True
Chris Paul,4,9,39,1,Driving Layup Shot,0,2,-4,True
Chris Paul,1,3,37,1,Driving Layup Shot,1,2,12,True
Chris Paul,3,8,50,0,Driving Layup Shot,2,-3,20,True
Chris Paul,2,0,10,1,Driving Layup Shot,1,-3,12,True
Chris Paul,4,5,55,0,Driving Layup Shot,3,30,9,True
Chris Paul,2,10,11,1,Driving Layup Shot,1,10,8,True
Chris Paul,4,1,13,1,Driving Layup Shot,2,24,16,True
Chris Paul,4,8,36,0,Driving Layup Shot,1,3,11,True
Chris Paul,1,8,40,1,Driving Layup Shot,2,24,8,True
Chris Paul,4,8,0,1,Driving Layup Shot,1,10,-3,True
Chris Paul,4,7,33,0,Driving Layup Shot,1,10,5,True
Chris Paul,4,9,58,0,Driving Reverse Layup Shot,0,5,-1,True
Chris Paul,4,7,49,0,Fadeaway Jump Shot,10,105,2,True
Chris Paul,3,8,41,1,Fadeaway Jump Shot,9,-20,91,True
Chris Paul,4,8,8,1,Fadeaway Jump Shot,10,18,102,True
Chris Paul,3,10,5,1,Fadeaway Jump Shot,11,4,118,True
Chris Paul,3,0,0,1,Fadeaway Jump Shot,15,157,10,True
Chris Paul,2,7,57,1,Fadeaway Jump Shot,15,5,158,True
Chris Paul,2,5,55,0,Fadeaway Jump Shot,9,76,63,True
Chris Paul,4,9,13,1,Fadeaway Jump Shot,23,236,22,False
Chris Paul,2,1,28,1,Fadeaway Jump Shot,8,87,21,True
Chris Paul,2,9,31,1,Fadeaway Jump Shot,11,90,67,True
Chris Paul,2,0,2,0,Fadeaway Jump Shot,25,-29,252,False
Chris Paul,2,8,25,1,Fadeaway Jump Shot,15,108,105,True
Chris Paul,1,0,36,1,Fadeaway Jump Shot,9,64,74,True
Chris Paul,3,7,50,1,Fadeaway Jump Shot,11,-38,111,True
Chris Paul,2,0,32,0,Fadeaway Jump Shot,11,-31,111,True
Chris Paul,2,11,37,0,Fadeaway Jump Shot,17,105,140,True
Chris Paul,2,11,30,0,Fadeaway Jump Shot,13,139,14,True
Chris Paul,4,0,43,0,Fadeaway Jump Shot,13,-81,106,True
Chris Paul,4,3,24,1,Fadeaway Jump Shot,14,-136,56,True
Chris Paul,1,1,35,1,Fadeaway Jump Shot,16,160,24,True
Chris Paul,3,9,52,1,Fadeaway Jump Shot,19,147,134,True
Chris Paul,2,6,0,1,Fadeaway Jump Shot,22,225,6,False
Chris Paul,4,7,16,1,Fadeaway Jump Shot,15,81,129,True
Chris Paul,4,6,37,1,Fadeaway Jump Shot,16,-15,168,True
Chris Paul,4,2,20,1,Fadeaway Jump Shot,15,145,40,True
Chris Paul,1,1,9,1,Fadeaway Jump Shot,15,-36,147,True
Chris Paul,3,1,26,0,Fadeaway Jump Shot,16,-104,133,True
