name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Cory Joseph,3,1,47,1,Cutting Finger Roll Layup Shot,1,-8,15,True
Cory Joseph,1,3,14,0,Cutting Finger Roll Layup Shot,0,-5,5,True
Cory Joseph,4,7,18,0,Cutting Layup Shot,5,29,48,True
Cory Joseph,2,8,18,0,Cutting Layup Shot,1,-1,16,True
Cory Joseph,3,9,21,0,Cutting Layup Shot,1,11,-1,True
Cory Joseph,2,8,51,1,Cutting Layup Shot,0,0,0,True
Cory Joseph,3,9,55,1,Driving Finger Roll Layup Shot,0,-3,5,True
Cory Joseph,2,2,20,1,Driving Finger Roll Layup Shot,1,-2,16,True
Cory Joseph,1,3,22,1,Driving Finger Roll Layup Shot,0,0,5,True
Cory Joseph,2,0,2,1,Driving Finger Roll Layup Shot,1,4,16,True
Cory Joseph,2,9,13,1,Driving Finger Roll Layup Shot,0,0,1,True
Cory Joseph,3,10,13,1,Driving Finger Roll Layup Shot,1,-3,11,True
Cory Joseph,4,4,36,1,Driving Finger Roll Layup Shot,1,-3,10,True
Cory Joseph,3,0,17,1,Driving Finger Roll Layup Shot,2,18,21,True
Cory Joseph,4,5,14,1,Driving Finger Roll Layup Shot,0,-5,8,True
Cory Joseph,2,3,46,1,Driving Finger Roll Layup Shot,1,2,11,True
Cory Joseph,4,7,4,0,Driving Finger Roll Layup Shot,3,-3,31,True
Cory Joseph,4,11,19,1,Driving Finger Roll Layup Shot,0,-3,7,True
Cory Joseph,4,1,47,1,Driving Finger Roll Layup Shot,0,2,9,True
Cory Joseph,4,0,12,1,Driving Floating Bank Jump Shot,12,44,119,True
Cory Joseph,4,5,54,1,Driving Floating Bank Jump Shot,14,-7,141,True
Cory Joseph,2,11,46,0,Driving Floating Bank Jump Shot,11,-117,5,True
Cory Joseph,4,9,36,1,Driving Floating Bank Jump Shot,9,-46,85,True
Cory Joseph,1,2,3,0,Driving Floating Bank Jump Shot,4,25,38,True
Cory Joseph,2,7,13,0,Driving Floating Bank Jump Shot,11,3,111,True
Cory Joseph,2,9,27,1,Driving Floating Jump Shot,7,38,60,True
Cory Joseph,1,0,15,1,Driving Floating Jump Shot,8,-9,86,True
Cory Joseph,2,9,3,0,Driving Floating Jump Shot,14,-6,147,True
Cory Joseph,3,5,43,0,Driving Floating Jump Shot,4,-11,47,True
Cory Joseph,3,10,11,0,Driving Floating Jump Shot,9,-26,89,True
Cory Joseph,4,6,24,0,Driving Floating Jump Shot,6,30,55,True
Cory Joseph,2,7,59,1,Driving Floating Jump Shot,11,47,109,True
Cory Joseph,4,11,1,0,Driving Floating Jump Shot,10,28,99,True
Cory Joseph,3,3,4,1,Driving Floating Jump Shot,9,-38,88,True
Cory Joseph,1,3,1,0,Driving Floating Jump Shot,8,-89,-10,True
Cory Joseph,2,6,59,0,Driving Floating Jump Shot,11,-16,111,True
Cory Joseph,1,2,37,0,Driving Floating Jump Shot,9,-5,90,True
Cory Joseph,2,0,55,0,Driving Floating Jump Shot,10,-65,83,True
Cory Joseph,1,8,22,0,Driving Floating Jump Shot,11,41,104,True
Cory Joseph,2,9,8,0,Driving Floating Jump Shot,12,3,126,True
Cory Joseph,1,0,13,1,Driving Floating Jump Shot,8,-3,86,True
Cory Joseph,2,9,34,0,Driving Floating Jump Shot,9,79,59,True
Cory Joseph,2,0,0,0,Driving Layup Shot,2,12,21,True
Cory Joseph,4,0,19,0,Driving Layup Shot,2,13,19,True
Cory Joseph,2,8,43,1,Driving Layup Shot,1,-9,10,True
Cory Joseph,4,0,35,1,Driving Layup Shot,1,10,15,True
Cory Joseph,2,5,10,1,Driving Layup Shot,1,-8,12,True
Cory Joseph,2,2,4,1,Driving Layup Shot,0,-8,-4,True
Cory Joseph,4,2,31,1,Driving Layup Shot,2,28,10,True
