name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Courtney Lee,3,0,32,0,Alley Oop Layup shot,0,-3,9,True
Courtney Lee,1,6,50,1,Cutting Finger Roll Layup Shot,1,3,13,True
Courtney Lee,4,5,41,1,Cutting Layup Shot,2,-21,6,True
Courtney Lee,1,4,15,0,Cutting Layup Shot,6,49,46,True
Courtney Lee,2,0,52,1,Cutting Layup Shot,1,-1,16,True
Courtney Lee,3,10,28,1,Cutting Layup Shot,1,-11,9,True
Courtney Lee,2,3,27,1,Cutting Layup Shot,1,-13,4,True
Courtney Lee,3,3,39,1,Cutting Layup Shot,1,3,12,True
Courtney Lee,2,0,32,1,Cutting Layup Shot,1,-5,10,True
Courtney Lee,4,11,32,1,Cutting Layup Shot,0,9,3,True
Courtney Lee,1,3,47,0,Cutting Layup Shot,0,-2,5,True
Courtney Lee,2,4,2,1,Driving Dunk Shot,0,-9,0,True
Courtney Lee,1,7,43,0,Driving Finger Roll Layup Shot,3,-19,28,True
Courtney Lee,2,0,40,1,Driving Finger Roll Layup Shot,3,2,31,True
Courtney Lee,1,11,39,1,Driving Finger Roll Layup Shot,2,-7,26,True
Courtney Lee,3,5,55,1,Driving Finger Roll Layup Shot,2,16,17,True
Courtney Lee,3,10,26,0,Driving Finger Roll Layup Shot,0,-2,8,True
Courtney Lee,2,0,13,1,Driving Finger Roll Layup Shot,0,8,1,True
Courtney Lee,3,0,42,0,Driving Finger Roll Layup Shot,1,0,15,True
Courtney Lee,2,6,48,1,Driving Finger Roll Layup Shot,1,-2,19,True
Courtney Lee,1,5,59,0,Driving Floating Bank Jump Shot,12,94,85,True
Courtney Lee,1,10,46,1,Driving Floating Bank Jump Shot,3,25,25,True
Courtney Lee,1,6,47,0,Driving Floating Bank Jump Shot,5,35,36,True
Courtney Lee,3,9,8,0,Driving Floating Bank Jump Shot,12,-109,63,True
Courtney Lee,1,11,14,0,Driving Floating Bank Jump Shot,8,-62,52,True
Courtney Lee,3,4,35,1,Driving Floating Bank Jump Shot,3,17,27,True
Courtney Lee,4,2,31,1,Driving Floating Bank Jump Shot,12,-110,62,True
Courtney Lee,3,1,51,1,Driving Floating Bank Jump Shot,15,117,101,True
Courtney Lee,1,10,27,0,Driving Floating Bank Jump Shot,4,36,18,True
Courtney Lee,1,1,17,0,Driving Floating Bank Jump Shot,7,54,59,True
Courtney Lee,4,7,33,1,Driving Floating Bank Jump Shot,1,2,11,True
Courtney Lee,1,6,23,0,Driving Floating Bank Jump Shot,8,73,43,True
Courtney Lee,3,0,0,0,Driving Floating Jump Shot,22,-228,16,False
Courtney Lee,1,0,0,0,Driving Floating Jump Shot,15,38,146,True
Courtney Lee,1,8,55,1,Driving Floating Jump Shot,14,12,141,True
Courtney Lee,3,11,44,1,Driving Floating Jump Shot,8,8,85,True
Courtney Lee,4,2,47,1,Driving Floating Jump Shot,9,-5,96,True
Courtney Lee,3,1,6,0,Driving Floating Jump Shot,9,97,15,True
Courtney Lee,3,8,7,1,Driving Floating Jump Shot,15,-154,-5,True
Courtney Lee,1,10,23,1,Driving Floating Jump Shot,11,7,111,True
Courtney Lee,2,0,8,0,Driving Floating Jump Shot,10,100,35,True
Courtney Lee,4,3,48,0,Driving Floating Jump Shot,13,-7,139,True
Courtney Lee,1,5,17,1,Driving Floating Jump Shot,11,8,115,True
Courtney Lee,1,9,21,1,Driving Floating Jump Shot,1,7,15,True
Courtney Lee,3,5,52,1,Driving Floating Jump Shot,3,11,32,True
Courtney Lee,4,6,4,0,Driving Floating Jump Shot,15,-49,143,True
Courtney Lee,3,11,1,0,Driving Floating Jump Shot,8,38,80,True
Courtney Lee,1,3,21,1,Driving Floating Jump Shot,4,4,46,True
Courtney Lee,1,3,51,0,Driving Floating Jump Shot,8,33,75,True
Courtney Lee,1,9,22,0,Driving Floating Jump Shot,10,5,101,True
Courtney Lee,3,8,0,0,Driving Floating Jump Shot,6,3,69,True
Courtney Lee,4,8,42,1,Driving Floating Jump Shot,4,-26,35,True
Courtney Lee,1,4,31,1,Driving Floating Jump Shot,10,-100,20,True
Courtney Lee,3,9,17,0,Driving Floating Jump Shot,9,-43,86,True
Courtney Lee,4,1,46,1,Driving Floating Jump Shot,6,36,55,True
Courtney Lee,4,8,52,0,Driving Floating Jump Shot,9,39,84,True
Courtney Lee,3,3,37,1,Driving Floating Jump Shot,4,-39,27,True
Courtney Lee,2,6,35,0,Driving Floating Jump Shot,9,43,89,True
Courtney Lee,1,11,28,0,Driving Floating Jump Shot,11,-26,115,True
Courtney Lee,1,7,25,1,Driving Floating Jump Shot,3,-1,34,True
Courtney Lee,4,4,3,1,Driving Floating Jump Shot,1,-10,8,True
Courtney Lee,2,0,55,1,Driving Floating Jump Shot,7,9,79,True
Courtney Lee,2,9,54,1,Driving Floating Jump Shot,10,-12,100,True
Courtney Lee,1,4,32,0,Driving Floating Jump Shot,5,22,46,True
Courtney Lee,2,0,36,1,Driving Floating Jump Shot,13,-27,132,True
Courtney Lee,1,8,0,1,Driving Hook Shot,3,-3,39,True
Courtney Lee,1,10,3,0,Driving Layup Shot,1,0,13,True
Courtney Lee,3,4,21,1,Driving Layup Shot,0,3,2,True
Courtney Lee,3,8,1,0,Driving Layup Shot,1,9,6,True
Courtney Lee,2,0,1,0,Driving Layup Shot,1,-11,-1,True
Courtney Lee,4,3,9,1,Driving Layup Shot,1,6,16,True
Courtney Lee,1,9,16,0,Driving Layup Shot,1,13,10,True
Courtney Lee,2,4,59,1,Driving Layup Shot,0,-5,-5,True
Courtney Lee,4,5,59,1,Driving Layup Shot,1,-9,11,True
Courtney Lee,1,10,38,0,Driving Layup Shot,0,8,-1,True
Courtney Lee,4,5,51,0,Driving Layup Shot,1,13,11,True
Courtney Lee,3,2,33,1,Driving Layup Shot,1,11,15,True
Courtney Lee,2,3,38,1,Driving Layup Shot,2,22,6,True
Courtney Lee,3,11,15,1,Driving Layup Shot,0,5,-5,True
Courtney Lee,1,2,36,1,Driving Layup Shot,1,-11,13,True
Courtney Lee,2,5,6,0,Driving Layup Shot,1,18,6,True
Courtney Lee,2,4,31,0,Driving Layup Shot,1,9,6,True
Courtney Lee,4,3,57,1,Driving Layup Shot,1,5,16,True
Courtney Lee,1,8,50,0,Driving Layup Shot,3,-6,32,True
Courtney Lee,2,10,52,0,Driving Layup Shot,1,-8,7,True
Courtney Lee,2,5,46,1,Driving Layup Shot,0,4,5,True
Courtney Lee,3,11,2,0,Driving Layup Shot,1,1,11,True
Courtney Lee,4,0,30,1,Driving Layup Shot,1,14,13,True
Courtney Lee,2,7,43,1,Driving Layup Shot,1,-8,18,True
Courtney Lee,2,9,37,1,Driving Layup Shot,2,7,21,True
Courtney Lee,1,10,56,1,Driving Layup Shot,2,9,25,True
Courtney Lee,3,6,51,1,Driving Layup Shot,0,2,4,True
Courtney Lee,3,6,17,1,Driving Layup Shot,1,-9,6,True
Courtney Lee,3,9,54,1,Driving Layup Shot,1,-6,14,True
Courtney Lee,3,4,49,1,Driving Layup Shot,1,-18,7,True
Courtney Lee,2,9,17,0,Driving Layup Shot,2,5,24,True
Courtney Lee,4,4,6,0,Driving Layup Shot,2,21,13,True
Courtney Lee,2,4,44,1,Driving Layup Shot,1,8,7,True
Courtney Lee,1,10,40,1,Driving Layup Shot,1,2,10,True
Courtney Lee,3,7,32,0,Driving Layup Shot,1,-10,17,True
Courtney Lee,1,3,56,1,Driving Layup Shot,1,9,11,True
Courtney Lee,1,9,59,0,Driving Layup Shot,2,-16,18,True
Courtney Lee,2,2,9,1,Driving Layup Shot,1,-18,6,True
Courtney Lee,1,10,55,1,Driving Layup Shot,3,27,17,True
Courtney Lee,3,8,18,0,Driving Layup Shot,5,-23,53,True
Courtney Lee,1,11,27,1,Driving Layup Shot,6,-41,48,True
Courtney Lee,3,8,55,1,Driving Layup Shot,1,0,12,True
Courtney Lee,3,5,36,0,Driving Layup Shot,2,1,22,True
Courtney Lee,3,5,6,0,Driving Layup Shot,2,18,12,True
Courtney Lee,2,3,5,0,Driving Layup Shot,5,8,56,True
Courtney Lee,3,10,58,1,Driving Layup Shot,0,-3,6,True
Courtney Lee,3,10,9,0,Driving Layup Shot,2,25,1,True
Courtney Lee,1,11,41,0,Driving Layup Shot,5,14,50,True
Courtney Lee,1,4,53,1,Driving Layup Shot,0,-3,4,True
Courtney Lee,1,10,5,1,Driving Layup Shot,8,3,83,True
Courtney Lee,2,3,13,1,Driving Layup Shot,1,-2,13,True
Courtney Lee,2,1,14,1,Driving Layup Shot,1,-1,11,True
Courtney Lee,4,2,40,0,Driving Layup Shot,1,8,17,True
Courtney Lee,4,1,46,1,Driving Layup Shot,1,2,14,True
Courtney Lee,2,0,1,0,Driving Layup Shot,1,0,19,True
Courtney Lee,3,6,43,0,Driving Layup Shot,3,15,28,True
Courtney Lee,4,4,24,1,Driving Layup Shot,2,20,10,True
Courtney Lee,4,0,46,1,Driving Layup Shot,0,6,6,True
Courtney Lee,3,6,57,0,Driving Layup Shot,1,15,6,True
Courtney Lee,4,3,41,0,Driving Layup Shot,3,27,17,True
Courtney Lee,1,10,54,1,Driving Reverse Layup Shot,2,-16,14,True
Courtney Lee,3,3,45,0,Dunk Shot,1,1,15,True
Courtney Lee,2,1,52,1,Dunk Shot,0,0,0,True
Courtney Lee,3,6,46,1,Fadeaway Jump Shot,14,33,146,True
Courtney Lee,4,1,37,0,Fadeaway Jump Shot,14,30,137,True
Courtney Lee,3,7,11,0,Floating Jump shot,18,73,167,True
Courtney Lee,2,1,13,1,Floating Jump shot,13,-134,0,True
Courtney Lee,2,0,43,0,Floating Jump shot,5,-3,50,True
Courtney Lee,4,5,14,0,Floating Jump shot,12,95,83,True
Courtney Lee,2,0,31,1,Floating Jump shot,6,-27,57,True
Courtney Lee,1,6,52,1,Floating Jump shot,8,58,68,True
Courtney Lee,3,10,11,0,Floating Jump shot,16,-6,168,True
Courtney Lee,1,10,21,0,Floating Jump shot,10,-52,89,True
Courtney Lee,3,5,21,1,Floating Jump shot,12,-9,122,True
Courtney Lee,3,11,15,0,Floating Jump shot,11,-18,112,True
Courtney Lee,3,7,47,1,Floating Jump shot,9,-39,92,True
Courtney Lee,1,5,29,0,Floating Jump shot,10,-24,100,True
Courtney Lee,1,11,0,0,Floating Jump shot,13,10,134,True
Courtney Lee,1,0,58,1,Floating Jump shot,10,54,95,True
Courtney Lee,4,2,27,0,Floating Jump shot,13,-125,58,True
Courtney Lee,1,0,0,0,Floating Jump shot,16,-94,134,True
Courtney Lee,3,3,2,0,Floating Jump shot,12,62,109,True
Courtney Lee,3,7,26,1,Floating Jump shot,10,0,109,True
Courtney Lee,2,2,28,0,Floating Jump shot,6,-6,68,True
Courtney Lee,2,8,20,1,Floating Jump shot,14,57,135,True
Courtney Lee,1,2,30,1,Floating Jump shot,9,-32,90,True
Courtney Lee,1,9,45,0,Floating Jump shot,14,55,137,True
Courtney Lee,1,11,4,1,Floating Jump shot,9,12,99,True
Courtney Lee,3,11,39,1,Floating Jump shot,9,-47,84,True
Courtney Lee,1,0,1,0,Floating Jump shot,20,-104,174,True
Courtney Lee,3,11,13,1,Floating Jump shot,14,-91,114,True
Courtney Lee,5,1,57,0,Floating Jump shot,12,123,-7,True
Courtney Lee,1,3,20,1,Floating Jump shot,8,-4,84,True
Courtney Lee,3,6,0,0,Floating Jump shot,12,-57,112,True
Courtney Lee,1,7,43,1,Floating Jump shot,9,-91,8,True
Courtney Lee,3,0,5,0,Floating Jump shot,12,-25,124,True
Courtney Lee,1,5,25,1,Floating Jump shot,14,-8,144,True
Courtney Lee,1,11,5,1,Floating Jump shot,4,-16,45,True
Courtney Lee,1,8,12,1,Floating Jump shot,9,30,94,True
Courtney Lee,3,8,30,0,Floating Jump shot,2,3,25,True
Courtney Lee,1,6,10,0,Floating Jump shot,12,63,104,True
Courtney Lee,4,3,56,0,Floating Jump shot,9,-95,11,True
Courtney Lee,3,6,46,1,Floating Jump shot,7,-56,55,True
Courtney Lee,4,3,0,0,Floating Jump shot,11,-13,115,True
Courtney Lee,3,2,53,1,Floating Jump shot,2,7,19,True
Courtney Lee,1,5,1,0,Jump Bank Shot,12,101,76,True
Courtney Lee,4,1,47,1,Jump Bank Shot,12,-104,70,True
Courtney Lee,2,3,52,1,Jump Bank Shot,18,159,92,True
Courtney Lee,1,1,27,1,Jump Bank Shot,9,-3,99,True
Courtney Lee,1,5,38,1,Jump Bank Shot,1,-9,10,True
Courtney Lee,1,11,39,0,Jump Shot,14,-65,135,True
Courtney Lee,3,0,3,0,Jump Shot,17,76,153,True
Courtney Lee,1,0,3,0,Jump Shot,6,-14,59,True
Courtney Lee,3,10,51,1,Jump Shot,27,-206,188,False
Courtney Lee,4,3,48,0,Jump Shot,26,-212,155,False
Courtney Lee,1,10,36,0,Jump Shot,16,-78,150,True
Courtney Lee,3,8,4,1,Jump Shot,21,-155,149,True
Courtney Lee,1,8,15,1,Jump Shot,24,-5,245,False
Courtney Lee,3,5,32,1,Jump Shot,13,-1,131,True
Courtney Lee,4,0,34,0,Jump Shot,24,112,223,False
Courtney Lee,2,2,42,0,Jump Shot,25,-238,90,False
Courtney Lee,4,3,30,1,Jump Shot,22,222,20,False
Courtney Lee,1,1,37,0,Jump Shot,25,-209,141,False
Courtney Lee,3,9,45,1,Jump Shot,22,-226,-1,False
Courtney Lee,1,2,56,1,Jump Shot,26,-60,257,False
Courtney Lee,1,0,37,1,Jump Shot,26,-187,184,False
Courtney Lee,1,9,30,0,Jump Shot,23,-232,0,False
Courtney Lee,3,1,39,0,Jump Shot,22,163,158,True
Courtney Lee,3,0,5,0,Jump Shot,24,-173,173,False
Courtney Lee,1,9,9,0,Jump Shot,25,-221,125,False
Courtney Lee,4,6,6,1,Jump Shot,23,-230,38,False
Courtney Lee,4,7,46,0,Jump Shot,25,-174,180,False
Courtney Lee,4,1,47,1,Jump Shot,26,177,195,False
Courtney Lee,4,0,11,1,Jump Shot,25,-11,252,False
Courtney Lee,2,7,10,1,Jump Shot,23,-230,-4,False
Courtney Lee,2,6,41,1,Jump Shot,13,95,96,True
Courtney Lee,4,10,54,1,Jump Shot,19,51,188,True
Courtney Lee,1,1,48,0,Jump Shot,23,-226,60,False
Courtney Lee,4,7,9,0,Jump Shot,25,-147,214,False
