name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
DAngelo Russell,1,0,1,1,Alley Oop Layup shot,2,19,7,True
DAngelo Russell,1,10,30,1,Cutting Finger Roll Layup Shot,3,-4,35,True
DAngelo Russell,4,3,32,1,Cutting Layup Shot,2,-23,13,True
DAngelo Russell,3,10,19,1,Cutting Layup Shot,0,-3,5,True
DAngelo Russell,4,5,25,1,Cutting Layup Shot,2,22,13,True
DAngelo Russell,1,2,8,1,Driving Dunk Shot,0,-6,-3,True
DAngelo Russell,3,4,18,0,Driving Finger Roll Layup Shot,1,11,13,True
DAngelo Russell,4,1,56,0,Driving Finger Roll Layup Shot,2,-5,27,True
DAngelo Russell,3,1,11,1,Driving Finger Roll Layup Shot,6,-15,66,True
DAngelo Russell,3,0,25,1,Driving Finger Roll Layup Shot,1,-19,4,True
DAngelo Russell,2,0,21,1,Driving Finger Roll Layup Shot,2,-3,21,True
DAngelo Russell,1,8,29,1,Driving Finger Roll Layup Shot,2,-1,29,True
DAngelo Russell,1,4,43,1,Driving Finger Roll Layup Shot,3,-27,29,True
DAngelo Russell,3,8,45,0,Driving Finger Roll Layup Shot,0,4,8,True
DAngelo Russell,1,8,30,1,Driving Finger Roll Layup Shot,1,-7,11,True
DAngelo Russell,4,7,6,1,Driving Finger Roll Layup Shot,6,-18,58,True
DAngelo Russell,2,9,33,1,Driving Finger Roll Layup Shot,3,3,36,True
DAngelo Russell,4,11,14,1,Driving Finger Roll Layup Shot,1,-11,3,True
DAngelo Russell,3,7,21,0,Driving Finger Roll Layup Shot,3,-14,27,True
DAngelo Russell,4,5,16,0,Driving Finger Roll Layup Shot,3,31,-3,True
DAngelo Russell,3,1,3,1,Driving Finger Roll Layup Shot,2,6,24,True
DAngelo Russell,1,5,18,0,Driving Finger Roll Layup Shot,1,13,7,True
DAngelo Russell,3,2,41,1,Driving Finger Roll Layup Shot,0,3,6,True
DAngelo Russell,4,3,53,1,Driving Finger Roll Layup Shot,1,-4,11,True
DAngelo Russell,2,2,24,1,Driving Finger Roll Layup Shot,0,-7,-1,True
DAngelo Russell,1,6,37,0,Driving Finger Roll Layup Shot,1,-9,10,True
DAngelo Russell,3,6,31,1,Driving Finger Roll Layup Shot,2,-24,6,True
DAngelo Russell,2,0,13,1,Driving Finger Roll Layup Shot,4,-34,25,True
DAngelo Russell,4,9,14,1,Driving Finger Roll Layup Shot,1,-3,17,True
