name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
DJ Augustin,1,5,52,1,Cutting Layup Shot,2,-21,15,True
DJ Augustin,2,8,44,1,Cutting Layup Shot,1,9,9,True
DJ Augustin,2,7,37,1,Cutting Layup Shot,1,10,10,True
DJ Augustin,2,9,13,1,Cutting Layup Shot,0,-3,-1,True
DJ Augustin,2,10,41,0,Cutting Layup Shot,2,-13,25,True
DJ Augustin,1,10,12,0,Cutting Layup Shot,1,11,11,True
DJ Augustin,1,0,0,1,Driving Finger Roll Layup Shot,1,9,16,True
DJ Augustin,2,10,43,1,Driving Finger Roll Layup Shot,2,18,15,True
DJ Augustin,3,0,34,1,Driving Finger Roll Layup Shot,1,0,18,True
DJ Augustin,2,6,30,1,Driving Finger Roll Layup Shot,1,9,13,True
DJ Augustin,2,8,46,1,Driving Finger Roll Layup Shot,0,5,6,True
DJ Augustin,2,1,41,1,Driving Finger Roll Layup Shot,2,21,13,True
DJ Augustin,4,8,51,0,Driving Finger Roll Layup Shot,4,26,38,True
DJ Augustin,1,3,43,1,Driving Floating Bank Jump Shot,11,-8,111,True
DJ Augustin,4,0,26,1,Driving Floating Bank Jump Shot,6,55,30,True
DJ Augustin,2,5,15,1,Driving Floating Bank Jump Shot,3,-18,31,True
DJ Augustin,4,4,29,1,Driving Floating Bank Jump Shot,6,30,63,True
DJ Augustin,1,11,35,0,Driving Floating Jump Shot,14,-63,134,True
DJ Augustin,2,11,34,0,Driving Floating Jump Shot,9,39,83,True
DJ Augustin,2,2,1,0,Driving Floating Jump Shot,3,5,38,True
DJ Augustin,2,2,34,0,Driving Floating Jump Shot,7,-5,79,True
DJ Augustin,1,5,9,1,Driving Floating Jump Shot,9,3,96,True
DJ Augustin,2,11,43,1,Driving Floating Jump Shot,7,-73,15,True
DJ Augustin,4,7,17,0,Driving Hook Shot,10,6,105,True
DJ Augustin,4,4,39,0,Driving Hook Shot,8,79,20,True
DJ Augustin,3,6,48,0,Driving Layup Shot,5,-36,45,True
DJ Augustin,1,3,23,0,Driving Layup Shot,2,9,21,True
DJ Augustin,1,9,31,0,Driving Layup Shot,2,-2,26,True
DJ Augustin,1,10,0,1,Driving Layup Shot,5,-14,57,True
DJ Augustin,1,0,17,1,Driving Layup Shot,1,9,8,True
DJ Augustin,3,8,44,1,Driving Layup Shot,2,-1,21,True
DJ Augustin,3,5,28,0,Driving Layup Shot,2,18,12,True
DJ Augustin,2,0,20,1,Driving Layup Shot,1,12,6,True
DJ Augustin,4,7,59,0,Driving Layup Shot,2,20,12,True
DJ Augustin,1,8,41,1,Driving Layup Shot,2,19,16,True
DJ Augustin,1,6,10,1,Driving Layup Shot,3,28,15,True
DJ Augustin,3,7,53,0,Driving Layup Shot,3,20,27,True
