name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Dario Saric,2,4,58,0,Alley Oop Layup shot,1,-11,-3,True
Dario Saric,4,6,22,1,Alley Oop Layup shot,0,2,4,True
Dario Saric,3,9,28,0,Alley Oop Layup shot,0,-2,4,True
Dario Saric,1,9,52,1,Cutting Dunk Shot,1,-2,16,True
Dario Saric,1,6,49,1,Cutting Dunk Shot,1,9,13,True
Dario Saric,2,3,51,1,Cutting Dunk Shot,1,0,16,True
Dario Saric,3,11,27,1,Cutting Dunk Shot,1,-13,12,True
Dario Saric,2,4,27,1,Cutting Dunk Shot,0,-2,0,True
Dario Saric,1,11,46,1,Cutting Dunk Shot,1,-8,12,True
Dario Saric,4,1,42,1,Cutting Finger Roll Layup Shot,0,-5,-6,True
Dario Saric,2,1,40,1,Cutting Finger Roll Layup Shot,0,3,6,True
Dario Saric,3,10,49,0,Cutting Layup Shot,1,-12,11,True
Dario Saric,3,8,29,0,Cutting Layup Shot,1,-7,17,True
Dario Saric,3,10,13,1,Cutting Layup Shot,1,11,-3,True
Dario Saric,1,7,4,0,Cutting Layup Shot,1,11,11,True
Dario Saric,1,3,46,1,Cutting Layup Shot,2,27,13,True
Dario Saric,1,3,57,1,Cutting Layup Shot,0,-9,-1,True
Dario Saric,1,10,42,0,Cutting Layup Shot,0,4,0,True
Dario Saric,4,1,57,1,Cutting Layup Shot,1,6,8,True
Dario Saric,1,9,13,1,Cutting Layup Shot,1,16,10,True
Dario Saric,4,6,58,1,Cutting Layup Shot,0,8,3,True
Dario Saric,2,11,46,1,Cutting Layup Shot,2,-16,20,True
Dario Saric,1,8,20,1,Cutting Layup Shot,2,25,8,True
Dario Saric,3,5,12,1,Cutting Layup Shot,1,-5,14,True
Dario Saric,2,9,12,1,Cutting Layup Shot,1,16,6,True
Dario Saric,3,10,20,0,Cutting Layup Shot,5,44,29,True
Dario Saric,1,5,15,1,Cutting Layup Shot,1,-16,1,True
Dario Saric,1,3,46,0,Cutting Layup Shot,2,1,25,True
Dario Saric,4,5,43,1,Cutting Layup Shot,1,7,11,True
Dario Saric,1,11,23,1,Cutting Layup Shot,1,9,13,True
Dario Saric,1,11,18,0,Cutting Layup Shot,1,11,6,True
Dario Saric,2,6,10,1,Cutting Layup Shot,1,-12,7,True
Dario Saric,4,0,16,1,Cutting Layup Shot,1,14,5,True
Dario Saric,1,7,9,1,Cutting Layup Shot,2,-11,17,True
Dario Saric,1,8,58,1,Cutting Layup Shot,1,11,14,True
