name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
David Nwaba,4,5,23,1,Cutting Dunk Shot,0,0,8,True
David Nwaba,2,7,17,1,Cutting Dunk Shot,1,-1,16,True
David Nwaba,2,4,29,1,Cutting Dunk Shot,0,-4,-2,True
David Nwaba,4,5,46,1,Cutting Dunk Shot,2,2,20,True
David Nwaba,1,6,36,1,Cutting Dunk Shot,0,5,3,True
David Nwaba,3,7,41,1,Cutting Dunk Shot,0,-3,4,True
David Nwaba,2,6,15,0,Cutting Layup Shot,1,19,5,True
David Nwaba,2,7,56,1,Cutting Layup Shot,2,20,3,True
David Nwaba,4,7,46,1,Cutting Layup Shot,0,-8,5,True
David Nwaba,1,8,24,1,Cutting Layup Shot,1,-5,16,True
David Nwaba,4,7,46,1,Cutting Layup Shot,2,19,7,True
David Nwaba,4,6,29,1,Cutting Layup Shot,1,8,8,True
David Nwaba,3,7,3,1,Cutting Layup Shot,0,-5,6,True
David Nwaba,4,5,30,1,Cutting Layup Shot,1,10,-3,True
David Nwaba,2,5,33,1,Driving Bank Hook Shot,6,29,62,True
David Nwaba,1,6,3,1,Driving Dunk Shot,1,-5,10,True
David Nwaba,1,7,25,1,Driving Dunk Shot,0,-7,-3,True
David Nwaba,4,4,57,1,Driving Dunk Shot,0,-6,7,True
David Nwaba,4,2,24,1,Driving Dunk Shot,0,9,4,True
David Nwaba,2,7,5,1,Driving Dunk Shot,0,3,3,True
David Nwaba,1,5,36,0,Driving Dunk Shot,3,20,29,True
David Nwaba,4,4,31,1,Driving Dunk Shot,1,4,10,True
David Nwaba,1,6,26,1,Driving Dunk Shot,0,-4,4,True
David Nwaba,1,3,0,0,Driving Dunk Shot,0,-4,-5,True
David Nwaba,3,1,29,0,Driving Finger Roll Layup Shot,1,-9,6,True
David Nwaba,3,8,15,1,Driving Finger Roll Layup Shot,0,5,6,True
David Nwaba,3,4,19,0,Driving Finger Roll Layup Shot,4,11,41,True
David Nwaba,1,7,55,0,Driving Finger Roll Layup Shot,6,0,61,True
David Nwaba,2,9,59,0,Driving Floating Bank Jump Shot,2,16,16,True
David Nwaba,2,9,58,0,Driving Floating Bank Jump Shot,10,-26,105,True
David Nwaba,2,11,4,1,Driving Floating Bank Jump Shot,2,17,14,True
David Nwaba,2,4,41,0,Driving Floating Bank Jump Shot,2,18,17,True
David Nwaba,4,8,19,1,Driving Floating Bank Jump Shot,5,46,29,True
David Nwaba,3,4,8,1,Driving Floating Bank Jump Shot,3,-22,22,True
David Nwaba,3,6,49,1,Driving Floating Bank Jump Shot,10,82,63,True
David Nwaba,2,10,34,1,Driving Floating Bank Jump Shot,6,47,38,True
David Nwaba,1,1,23,1,Driving Floating Jump Shot,3,12,32,True
David Nwaba,1,11,43,1,Driving Floating Jump Shot,5,9,58,True
David Nwaba,2,9,59,0,Driving Floating Jump Shot,9,14,90,True
David Nwaba,4,8,49,0,Driving Floating Jump Shot,3,36,4,True
David Nwaba,4,10,18,1,Driving Floating Jump Shot,2,18,21,True
David Nwaba,4,11,30,1,Driving Floating Jump Shot,5,14,52,True
David Nwaba,3,2,38,1,Driving Floating Jump Shot,3,2,33,True
David Nwaba,4,11,30,1,Driving Floating Jump Shot,8,-22,86,True
