name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
DeAndre Jordan,1,2,27,1,Alley Oop Dunk Shot,0,1,5,True
DeAndre Jordan,1,6,59,1,Alley Oop Dunk Shot,1,7,10,True
DeAndre Jordan,1,4,54,0,Alley Oop Dunk Shot,0,-6,4,True
DeAndre Jordan,1,11,15,1,Alley Oop Dunk Shot,1,2,12,True
DeAndre Jordan,1,6,21,1,Alley Oop Dunk Shot,2,-8,23,True
DeAndre Jordan,2,5,15,1,Alley Oop Dunk Shot,2,-1,20,True
DeAndre Jordan,1,5,0,1,Alley Oop Dunk Shot,1,4,11,True
DeAndre Jordan,2,3,20,1,Alley Oop Dunk Shot,1,-2,17,True
DeAndre Jordan,2,6,18,1,Alley Oop Dunk Shot,0,9,2,True
DeAndre Jordan,2,2,45,1,Alley Oop Dunk Shot,1,1,13,True
DeAndre Jordan,2,3,45,1,Alley Oop Dunk Shot,2,2,22,True
DeAndre Jordan,3,7,32,1,Alley Oop Dunk Shot,2,-11,23,True
DeAndre Jordan,1,4,51,1,Alley Oop Dunk Shot,1,-9,13,True
DeAndre Jordan,3,11,23,1,Alley Oop Dunk Shot,0,0,8,True
DeAndre Jordan,1,4,1,1,Alley Oop Dunk Shot,3,23,21,True
DeAndre Jordan,2,11,34,1,Alley Oop Dunk Shot,1,16,5,True
DeAndre Jordan,2,5,15,1,Alley Oop Dunk Shot,2,9,19,True
DeAndre Jordan,1,3,30,1,Alley Oop Dunk Shot,1,12,15,True
DeAndre Jordan,3,3,49,0,Alley Oop Dunk Shot,1,5,11,True
DeAndre Jordan,1,4,26,1,Alley Oop Dunk Shot,0,0,1,True
DeAndre Jordan,1,6,23,1,Alley Oop Dunk Shot,0,5,1,True
DeAndre Jordan,1,3,26,0,Alley Oop Dunk Shot,1,3,16,True
DeAndre Jordan,4,3,33,1,Alley Oop Dunk Shot,2,26,5,True
DeAndre Jordan,3,2,25,1,Alley Oop Dunk Shot,2,1,20,True
DeAndre Jordan,1,6,15,1,Alley Oop Dunk Shot,2,-8,22,True
DeAndre Jordan,3,6,10,1,Alley Oop Dunk Shot,2,16,24,True
DeAndre Jordan,3,3,57,0,Alley Oop Dunk Shot,3,18,27,True
DeAndre Jordan,3,7,30,1,Alley Oop Dunk Shot,1,-13,11,True
DeAndre Jordan,2,7,12,1,Alley Oop Dunk Shot,2,-7,20,True
DeAndre Jordan,4,4,30,1,Alley Oop Dunk Shot,0,5,3,True
DeAndre Jordan,3,5,23,1,Alley Oop Dunk Shot,0,2,5,True
DeAndre Jordan,2,4,16,1,Alley Oop Dunk Shot,0,3,-6,True
DeAndre Jordan,5,0,1,1,Alley Oop Dunk Shot,5,-51,2,True
DeAndre Jordan,1,2,0,1,Alley Oop Dunk Shot,0,0,1,True
DeAndre Jordan,3,6,30,1,Alley Oop Dunk Shot,0,-3,7,True
DeAndre Jordan,1,5,14,0,Alley Oop Dunk Shot,2,11,25,True
DeAndre Jordan,3,10,55,1,Alley Oop Dunk Shot,1,11,7,True
DeAndre Jordan,3,7,44,1,Alley Oop Dunk Shot,1,3,17,True
DeAndre Jordan,2,1,2,0,Alley Oop Dunk Shot,2,9,21,True
DeAndre Jordan,2,3,20,1,Alley Oop Dunk Shot,1,-6,8,True
DeAndre Jordan,1,1,6,1,Alley Oop Dunk Shot,1,-4,14,True
DeAndre Jordan,4,5,15,1,Alley Oop Dunk Shot,2,14,20,True
DeAndre Jordan,1,1,3,1,Alley Oop Dunk Shot,1,2,10,True
DeAndre Jordan,2,3,57,1,Alley Oop Dunk Shot,0,-1,0,True
DeAndre Jordan,1,9,45,1,Alley Oop Dunk Shot,2,8,25,True
DeAndre Jordan,3,4,49,1,Alley Oop Dunk Shot,2,-1,21,True
DeAndre Jordan,2,2,9,1,Alley Oop Dunk Shot,1,3,17,True
DeAndre Jordan,4,3,25,1,Alley Oop Dunk Shot,1,1,14,True
DeAndre Jordan,1,9,45,1,Alley Oop Dunk Shot,1,-12,7,True
DeAndre Jordan,2,8,6,1,Alley Oop Dunk Shot,1,8,16,True
DeAndre Jordan,4,5,45,1,Alley Oop Dunk Shot,1,13,8,True
DeAndre Jordan,1,6,5,1,Alley Oop Dunk Shot,1,-6,11,True
DeAndre Jordan,1,3,25,1,Alley Oop Dunk Shot,1,8,11,True
DeAndre Jordan,2,5,14,0,Alley Oop Dunk Shot,1,0,11,True
DeAndre Jordan,3,4,25,1,Alley Oop Dunk Shot,0,0,7,True
DeAndre Jordan,3,1,54,1,Alley Oop Dunk Shot,1,1,13,True
DeAndre Jordan,3,5,3,1,Alley Oop Dunk Shot,0,-1,1,True
DeAndre Jordan,1,1,53,1,Alley Oop Dunk Shot,1,-1,18,True
DeAndre Jordan,2,7,0,1,Alley Oop Dunk Shot,0,-3,1,True
DeAndre Jordan,4,5,16,1,Alley Oop Dunk Shot,2,-3,22,True
DeAndre Jordan,2,2,52,1,Alley Oop Dunk Shot,3,4,32,True
DeAndre Jordan,1,3,43,0,Alley Oop Dunk Shot,3,5,30,True
DeAndre Jordan,4,8,22,1,Alley Oop Dunk Shot,3,-28,18,True
DeAndre Jordan,1,2,11,1,Alley Oop Dunk Shot,0,-1,4,True
DeAndre Jordan,3,11,45,1,Alley Oop Dunk Shot,1,-7,15,True
DeAndre Jordan,3,6,30,1,Alley Oop Dunk Shot,0,-7,6,True
DeAndre Jordan,2,4,54,1,Alley Oop Dunk Shot,0,-3,0,True
DeAndre Jordan,1,10,33,1,Alley Oop Dunk Shot,0,-3,1,True
DeAndre Jordan,4,4,5,1,Alley Oop Dunk Shot,0,-1,2,True
DeAndre Jordan,3,5,14,1,Alley Oop Dunk Shot,0,1,0,True
DeAndre Jordan,3,7,38,1,Alley Oop Dunk Shot,1,-7,11,True
DeAndre Jordan,3,6,35,1,Alley Oop Dunk Shot,0,-1,0,True
DeAndre Jordan,1,1,34,1,Alley Oop Dunk Shot,1,1,11,True
DeAndre Jordan,1,1,45,1,Alley Oop Dunk Shot,1,0,10,True
DeAndre Jordan,3,2,42,1,Alley Oop Dunk Shot,0,-2,7,True
DeAndre Jordan,1,3,44,1,Alley Oop Dunk Shot,1,6,13,True
DeAndre Jordan,1,4,27,0,Alley Oop Dunk Shot,1,-9,15,True
DeAndre Jordan,2,0,46,1,Alley Oop Dunk Shot,1,3,17,True
DeAndre Jordan,1,2,52,1,Alley Oop Dunk Shot,2,14,24,True
DeAndre Jordan,2,3,10,1,Alley Oop Dunk Shot,0,5,4,True
DeAndre Jordan,4,2,5,1,Alley Oop Dunk Shot,2,-3,21,True
DeAndre Jordan,4,10,6,1,Alley Oop Dunk Shot,0,-4,9,True
DeAndre Jordan,2,3,42,0,Alley Oop Dunk Shot,2,-20,4,True
DeAndre Jordan,2,7,6,1,Alley Oop Dunk Shot,1,-3,12,True
DeAndre Jordan,2,8,4,1,Alley Oop Dunk Shot,1,-11,5,True
DeAndre Jordan,4,5,9,0,Alley Oop Layup shot,4,16,39,True
DeAndre Jordan,2,3,10,1,Alley Oop Layup shot,3,-28,15,True
DeAndre Jordan,1,6,51,1,Alley Oop Layup shot,1,-18,6,True
DeAndre Jordan,2,3,59,1,Alley Oop Layup shot,1,-5,11,True
DeAndre Jordan,4,1,58,1,Alley Oop Layup shot,2,7,27,True
DeAndre Jordan,1,4,47,1,Alley Oop Layup shot,1,-9,15,True
DeAndre Jordan,2,7,19,1,Alley Oop Layup shot,0,-6,5,True
DeAndre Jordan,3,3,47,1,Alley Oop Layup shot,2,-20,11,True
DeAndre Jordan,3,11,26,0,Alley Oop Layup shot,1,-11,11,True
DeAndre Jordan,1,11,47,1,Alley Oop Layup shot,1,2,13,True
DeAndre Jordan,1,8,44,1,Alley Oop Layup shot,0,1,9,True
DeAndre Jordan,2,5,7,1,Alley Oop Layup shot,0,3,9,True
DeAndre Jordan,1,10,54,1,Alley Oop Layup shot,1,6,14,True
DeAndre Jordan,1,4,40,0,Alley Oop Layup shot,1,-4,19,True
DeAndre Jordan,1,6,13,1,Alley Oop Layup shot,1,-5,13,True
DeAndre Jordan,2,1,1,1,Alley Oop Layup shot,1,3,19,True
DeAndre Jordan,3,5,23,0,Alley Oop Layup shot,3,-16,29,True
DeAndre Jordan,4,2,39,1,Alley Oop Layup shot,2,14,20,True
DeAndre Jordan,4,2,37,0,Alley Oop Layup shot,1,-9,7,True
DeAndre Jordan,3,10,2,1,Cutting Dunk Shot,1,-8,8,True
DeAndre Jordan,1,7,7,1,Cutting Dunk Shot,0,1,9,True
DeAndre Jordan,3,1,38,1,Cutting Dunk Shot,1,-5,12,True
DeAndre Jordan,1,9,16,1,Cutting Dunk Shot,2,-6,20,True
DeAndre Jordan,2,4,42,1,Cutting Dunk Shot,0,-4,8,True
DeAndre Jordan,2,2,26,1,Cutting Dunk Shot,1,2,13,True
DeAndre Jordan,1,2,8,1,Cutting Dunk Shot,1,-2,16,True
DeAndre Jordan,2,3,52,1,Cutting Dunk Shot,1,2,14,True
DeAndre Jordan,3,6,26,1,Cutting Dunk Shot,0,2,2,True
DeAndre Jordan,2,9,48,1,Cutting Dunk Shot,3,-11,29,True
DeAndre Jordan,3,6,39,1,Cutting Dunk Shot,1,-8,15,True
DeAndre Jordan,2,1,25,1,Cutting Dunk Shot,2,5,22,True
DeAndre Jordan,1,9,57,1,Cutting Dunk Shot,0,-4,4,True
DeAndre Jordan,1,8,41,1,Cutting Dunk Shot,2,12,26,True
DeAndre Jordan,1,11,13,1,Cutting Dunk Shot,0,0,0,True
DeAndre Jordan,1,6,40,1,Cutting Dunk Shot,0,2,4,True
DeAndre Jordan,1,7,4,1,Cutting Dunk Shot,0,2,-8,True
DeAndre Jordan,2,2,8,1,Cutting Dunk Shot,1,6,17,True
DeAndre Jordan,3,4,34,1,Cutting Dunk Shot,0,-1,2,True
DeAndre Jordan,3,4,58,1,Cutting Dunk Shot,0,0,1,True
DeAndre Jordan,3,8,43,1,Cutting Dunk Shot,1,-8,8,True
DeAndre Jordan,3,3,3,1,Cutting Dunk Shot,1,2,19,True
DeAndre Jordan,1,3,19,1,Cutting Dunk Shot,0,-4,6,True
DeAndre Jordan,1,7,1,1,Cutting Dunk Shot,1,2,13,True
DeAndre Jordan,3,5,14,0,Cutting Finger Roll Layup Shot,1,1,14,True
DeAndre Jordan,3,3,27,0,Cutting Finger Roll Layup Shot,0,8,5,True
DeAndre Jordan,2,5,3,1,Cutting Layup Shot,0,-2,6,True
DeAndre Jordan,1,4,0,1,Cutting Layup Shot,3,12,30,True
DeAndre Jordan,1,6,11,0,Cutting Layup Shot,2,8,20,True
DeAndre Jordan,3,3,21,0,Cutting Layup Shot,3,3,37,True
DeAndre Jordan,1,7,43,1,Cutting Layup Shot,1,-2,18,True
DeAndre Jordan,1,6,0,1,Cutting Layup Shot,0,-1,1,True
DeAndre Jordan,1,7,58,0,Cutting Layup Shot,0,3,9,True
DeAndre Jordan,3,8,1,1,Cutting Layup Shot,1,-12,10,True
DeAndre Jordan,3,6,59,0,Cutting Layup Shot,0,-9,4,True
DeAndre Jordan,2,4,41,0,Cutting Layup Shot,2,7,20,True
DeAndre Jordan,2,6,18,1,Cutting Layup Shot,0,1,5,True
DeAndre Jordan,3,0,2,0,Cutting Layup Shot,2,-14,20,True
DeAndre Jordan,1,1,32,1,Driving Dunk Shot,1,13,4,True
DeAndre Jordan,2,5,48,0,Driving Dunk Shot,1,2,17,True
DeAndre Jordan,1,7,5,1,Driving Dunk Shot,0,-7,2,True
DeAndre Jordan,1,6,8,1,Driving Dunk Shot,1,12,6,True
DeAndre Jordan,1,6,10,1,Driving Finger Roll Layup Shot,0,0,7,True
DeAndre Jordan,3,10,24,0,Driving Finger Roll Layup Shot,0,-3,6,True
DeAndre Jordan,3,8,37,0,Driving Hook Shot,4,27,40,True
DeAndre Jordan,3,7,53,0,Driving Hook Shot,5,-3,52,True
DeAndre Jordan,3,6,52,1,Driving Layup Shot,2,-28,10,True
DeAndre Jordan,2,0,10,0,Driving Layup Shot,2,-19,21,True
DeAndre Jordan,1,3,52,0,Driving Layup Shot,3,0,30,True
DeAndre Jordan,3,9,49,1,Driving Reverse Layup Shot,2,-2,23,True
DeAndre Jordan,2,0,37,0,Dunk Shot,2,-18,18,True
DeAndre Jordan,1,2,48,1,Dunk Shot,1,0,16,True
DeAndre Jordan,3,10,28,1,Dunk Shot,0,-5,-1,True
DeAndre Jordan,2,6,13,1,Dunk Shot,1,-9,13,True
DeAndre Jordan,1,3,15,1,Dunk Shot,1,11,5,True
DeAndre Jordan,3,11,25,1,Dunk Shot,2,3,20,True
DeAndre Jordan,1,6,27,1,Dunk Shot,1,-9,5,True
DeAndre Jordan,4,0,17,1,Dunk Shot,2,-12,18,True
DeAndre Jordan,2,2,0,1,Dunk Shot,2,-6,26,True
DeAndre Jordan,2,8,50,1,Dunk Shot,2,14,19,True
DeAndre Jordan,2,2,14,0,Dunk Shot,2,-17,15,True
DeAndre Jordan,1,3,3,1,Dunk Shot,0,-3,5,True
DeAndre Jordan,4,2,38,1,Dunk Shot,1,-8,10,True
DeAndre Jordan,2,5,12,1,Dunk Shot,0,0,8,True
DeAndre Jordan,1,5,54,1,Dunk Shot,3,0,38,True
DeAndre Jordan,1,10,27,1,Dunk Shot,0,0,1,True
DeAndre Jordan,1,9,37,1,Dunk Shot,1,0,10,True
DeAndre Jordan,1,3,43,1,Dunk Shot,0,5,8,True
DeAndre Jordan,3,8,46,1,Dunk Shot,1,-5,11,True
DeAndre Jordan,1,8,33,1,Dunk Shot,2,-3,26,True
DeAndre Jordan,4,6,32,1,Dunk Shot,1,0,11,True
DeAndre Jordan,3,8,12,1,Dunk Shot,0,-3,-6,True
DeAndre Jordan,1,5,42,0,Dunk Shot,1,-4,13,True
DeAndre Jordan,4,0,48,1,Dunk Shot,0,2,6,True
DeAndre Jordan,4,5,40,1,Dunk Shot,0,5,3,True
DeAndre Jordan,1,5,18,1,Dunk Shot,1,2,16,True
DeAndre Jordan,2,3,4,1,Dunk Shot,1,-9,10,True
DeAndre Jordan,4,3,39,1,Dunk Shot,1,-3,13,True
DeAndre Jordan,1,10,44,1,Dunk Shot,1,-12,6,True
DeAndre Jordan,2,2,3,1,Dunk Shot,1,14,9,True
DeAndre Jordan,2,0,1,0,Fadeaway Jump Shot,11,102,44,True
DeAndre Jordan,1,2,1,0,Finger Roll Layup Shot,3,8,37,True
DeAndre Jordan,4,1,23,1,Finger Roll Layup Shot,1,2,19,True
DeAndre Jordan,2,3,26,1,Finger Roll Layup Shot,1,5,19,True
DeAndre Jordan,1,8,47,0,Floating Jump shot,8,3,88,True
DeAndre Jordan,3,9,59,0,Floating Jump shot,6,61,9,True
DeAndre Jordan,1,10,15,0,Hook Bank Shot,10,3,101,True
DeAndre Jordan,4,4,33,0,Hook Shot,4,32,34,True
DeAndre Jordan,2,1,38,1,Hook Shot,3,0,32,True
DeAndre Jordan,3,11,15,0,Hook Shot,8,-35,78,True
DeAndre Jordan,1,10,32,0,Hook Shot,4,37,16,True
DeAndre Jordan,1,3,59,0,Hook Shot,2,1,26,True
DeAndre Jordan,1,3,23,0,Hook Shot,6,68,11,True
DeAndre Jordan,2,3,58,0,Hook Shot,4,43,5,True
DeAndre Jordan,1,9,0,1,Hook Shot,3,-10,38,True
DeAndre Jordan,3,6,23,1,Hook Shot,6,-40,55,True
DeAndre Jordan,1,11,25,0,Hook Shot,3,11,38,True
DeAndre Jordan,1,11,35,1,Hook Shot,2,6,25,True
DeAndre Jordan,1,4,11,0,Hook Shot,3,27,14,True
DeAndre Jordan,1,4,58,0,Hook Shot,2,5,25,True
DeAndre Jordan,1,4,4,0,Hook Shot,8,22,83,True
DeAndre Jordan,1,7,34,1,Hook Shot,5,-47,21,True
DeAndre Jordan,1,5,20,0,Hook Shot,3,5,35,True
DeAndre Jordan,1,9,45,0,Hook Shot,6,25,58,True
DeAndre Jordan,3,5,9,0,Hook Shot,3,25,22,True
DeAndre Jordan,1,6,44,0,Hook Shot,7,74,-1,True
DeAndre Jordan,3,10,25,0,Hook Shot,3,36,5,True
DeAndre Jordan,2,5,10,0,Hook Shot,0,-1,7,True
DeAndre Jordan,1,6,3,0,Hook Shot,8,50,66,True
DeAndre Jordan,1,3,27,0,Hook Shot,8,84,25,True
DeAndre Jordan,1,6,37,0,Hook Shot,4,-8,41,True
DeAndre Jordan,2,1,50,0,Hook Shot,4,-37,21,True
DeAndre Jordan,1,7,45,1,Hook Shot,6,63,14,True
DeAndre Jordan,1,3,27,0,Hook Shot,5,-3,59,True
DeAndre Jordan,3,11,6,1,Hook Shot,10,-24,106,True
DeAndre Jordan,2,5,0,0,Hook Shot,1,-5,14,True
DeAndre Jordan,1,7,24,0,Hook Shot,2,12,26,True
DeAndre Jordan,1,5,24,0,Hook Shot,2,7,21,True
DeAndre Jordan,1,11,42,0,Hook Shot,2,14,15,True
DeAndre Jordan,1,7,9,0,Hook Shot,4,-16,38,True
DeAndre Jordan,2,9,55,1,Hook Shot,2,-19,21,True
DeAndre Jordan,3,11,18,0,Hook Shot,2,5,21,True
DeAndre Jordan,2,2,38,0,Hook Shot,5,-43,33,True
DeAndre Jordan,3,11,6,0,Hook Shot,8,0,88,True
DeAndre Jordan,1,7,16,0,Hook Shot,4,33,36,True
DeAndre Jordan,1,3,1,0,Jump Shot,3,30,16,True
DeAndre Jordan,3,8,28,1,Layup Shot,0,-5,8,True
DeAndre Jordan,4,3,18,0,Layup Shot,2,-28,8,True
DeAndre Jordan,1,2,25,1,Layup Shot,1,9,13,True
DeAndre Jordan,2,1,26,1,Layup Shot,5,-11,51,True
DeAndre Jordan,4,8,45,0,Layup Shot,1,17,10,True
DeAndre Jordan,1,8,56,1,Layup Shot,5,49,24,True
DeAndre Jordan,3,11,2,0,Layup Shot,2,-8,25,True
DeAndre Jordan,3,3,30,1,Layup Shot,1,-4,19,True
DeAndre Jordan,1,6,25,1,Layup Shot,1,-13,9,True
DeAndre Jordan,2,2,36,0,Layup Shot,2,3,22,True
DeAndre Jordan,3,7,23,1,Layup Shot,2,-12,16,True
DeAndre Jordan,4,2,12,1,Layup Shot,1,6,10,True
DeAndre Jordan,3,7,27,1,Layup Shot,0,5,5,True
DeAndre Jordan,2,4,45,1,Layup Shot,0,0,2,True
DeAndre Jordan,2,1,52,0,Layup Shot,1,-4,10,True
DeAndre Jordan,2,2,11,1,Layup Shot,1,-5,15,True
DeAndre Jordan,3,4,13,0,Layup Shot,2,-13,20,True
DeAndre Jordan,4,3,3,0,Layup Shot,1,5,18,True
DeAndre Jordan,2,0,1,1,Layup Shot,1,10,12,True
DeAndre Jordan,3,8,20,1,Layup Shot,2,9,27,True
DeAndre Jordan,2,4,35,1,Layup Shot,3,-9,29,True
DeAndre Jordan,3,10,47,1,Layup Shot,2,6,29,True
DeAndre Jordan,4,6,17,1,Layup Shot,3,31,12,True
DeAndre Jordan,1,10,4,0,Layup Shot,0,3,4,True
DeAndre Jordan,1,5,55,0,Layup Shot,1,2,14,True
DeAndre Jordan,2,6,43,0,Layup Shot,1,-13,4,True
