name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
DeMarre Carroll,3,5,22,1,Cutting Dunk Shot,0,-9,4,True
DeMarre Carroll,2,3,55,1,Cutting Dunk Shot,3,-26,24,True
DeMarre Carroll,3,3,59,1,Cutting Dunk Shot,0,1,4,True
DeMarre Carroll,4,7,53,1,Cutting Dunk Shot,1,8,13,True
DeMarre Carroll,4,6,1,1,Cutting Layup Shot,2,22,-15,True
DeMarre Carroll,3,11,20,1,Cutting Layup Shot,1,13,-1,True
DeMarre Carroll,4,9,22,1,Cutting Layup Shot,1,11,3,True
DeMarre Carroll,1,5,32,1,Cutting Layup Shot,3,23,24,True
DeMarre Carroll,1,7,6,1,Cutting Layup Shot,1,-19,5,True
DeMarre Carroll,4,2,47,0,Cutting Layup Shot,1,6,15,True
DeMarre Carroll,3,4,45,1,Cutting Layup Shot,0,7,1,True
DeMarre Carroll,4,1,35,0,Cutting Layup Shot,0,8,5,True
DeMarre Carroll,4,1,28,1,Cutting Layup Shot,0,-8,-5,True
DeMarre Carroll,2,0,49,1,Cutting Layup Shot,0,9,1,True
DeMarre Carroll,1,8,20,1,Cutting Layup Shot,1,-4,13,True
DeMarre Carroll,4,7,3,0,Cutting Layup Shot,5,-57,3,True
DeMarre Carroll,3,6,47,1,Cutting Layup Shot,0,-8,5,True
DeMarre Carroll,3,5,50,1,Driving Dunk Shot,0,5,3,True
DeMarre Carroll,2,5,58,1,Driving Dunk Shot,0,-8,-1,True
DeMarre Carroll,3,10,32,1,Driving Finger Roll Layup Shot,1,11,15,True
DeMarre Carroll,2,6,33,0,Driving Finger Roll Layup Shot,3,8,34,True
DeMarre Carroll,3,8,7,1,Driving Finger Roll Layup Shot,7,77,-6,True
DeMarre Carroll,2,10,29,1,Driving Finger Roll Layup Shot,1,11,7,True
DeMarre Carroll,2,9,20,1,Driving Finger Roll Layup Shot,1,8,6,True
DeMarre Carroll,3,10,18,0,Driving Finger Roll Layup Shot,2,17,19,True
DeMarre Carroll,1,4,59,0,Driving Finger Roll Layup Shot,0,2,7,True
DeMarre Carroll,1,7,38,0,Driving Finger Roll Layup Shot,2,-20,16,True
DeMarre Carroll,3,8,33,1,Driving Finger Roll Layup Shot,3,-19,34,True
DeMarre Carroll,1,4,48,1,Driving Finger Roll Layup Shot,3,-29,17,True
