name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Delon Wright,4,7,38,1,Cutting Dunk Shot,1,3,15,True
Delon Wright,1,5,27,1,Cutting Layup Shot,2,-25,11,True
Delon Wright,2,10,48,0,Cutting Layup Shot,1,17,-1,True
Delon Wright,1,11,9,1,Driving Bank Hook Shot,2,20,6,True
Delon Wright,2,9,31,1,Driving Bank Hook Shot,10,100,28,True
Delon Wright,2,7,41,0,Driving Finger Roll Layup Shot,3,19,24,True
Delon Wright,4,9,45,0,Driving Finger Roll Layup Shot,1,11,0,True
Delon Wright,4,9,23,0,Driving Finger Roll Layup Shot,2,-24,2,True
Delon Wright,3,3,46,1,Driving Finger Roll Layup Shot,0,4,-4,True
Delon Wright,3,1,50,0,Driving Finger Roll Layup Shot,2,24,16,True
Delon Wright,2,11,23,1,Driving Finger Roll Layup Shot,1,12,14,True
Delon Wright,4,2,18,0,Driving Finger Roll Layup Shot,3,13,31,True
Delon Wright,2,5,33,0,Driving Finger Roll Layup Shot,1,14,1,True
Delon Wright,2,10,27,1,Driving Finger Roll Layup Shot,3,9,36,True
Delon Wright,2,9,51,1,Driving Finger Roll Layup Shot,2,5,22,True
Delon Wright,2,10,17,1,Driving Finger Roll Layup Shot,1,14,-2,True
Delon Wright,1,0,0,1,Driving Floating Bank Jump Shot,47,179,441,False
Delon Wright,4,7,30,1,Driving Floating Bank Jump Shot,4,32,24,True
Delon Wright,2,6,2,1,Driving Floating Bank Jump Shot,6,6,66,True
Delon Wright,4,5,49,0,Driving Floating Bank Jump Shot,4,31,29,True
Delon Wright,5,1,11,0,Driving Floating Bank Jump Shot,6,63,26,True
Delon Wright,2,6,17,1,Driving Floating Bank Jump Shot,4,-29,32,True
Delon Wright,4,9,59,0,Driving Floating Jump Shot,9,-6,94,True
Delon Wright,4,5,21,0,Driving Floating Jump Shot,3,22,21,True
Delon Wright,4,1,20,0,Driving Floating Jump Shot,8,32,80,True
Delon Wright,1,1,36,1,Driving Floating Jump Shot,10,17,100,True
Delon Wright,2,4,14,1,Driving Floating Jump Shot,3,36,10,True
Delon Wright,2,9,54,0,Driving Floating Jump Shot,11,-58,99,True
Delon Wright,2,10,8,1,Driving Floating Jump Shot,3,17,32,True
Delon Wright,4,8,50,0,Driving Floating Jump Shot,3,-3,36,True
Delon Wright,3,10,14,0,Driving Floating Jump Shot,2,11,24,True
Delon Wright,1,11,43,0,Driving Floating Jump Shot,4,0,44,True
Delon Wright,3,7,40,1,Driving Floating Jump Shot,4,36,31,True
Delon Wright,3,6,51,0,Driving Floating Jump Shot,6,11,61,True
Delon Wright,2,2,22,1,Driving Floating Jump Shot,5,36,36,True
Delon Wright,2,5,30,1,Driving Floating Jump Shot,7,-6,75,True
Delon Wright,2,0,43,0,Driving Floating Jump Shot,2,-27,7,True
Delon Wright,4,11,47,0,Driving Floating Jump Shot,6,24,58,True
Delon Wright,4,7,28,1,Driving Floating Jump Shot,10,100,31,True
Delon Wright,2,9,24,1,Driving Floating Jump Shot,8,-25,78,True
Delon Wright,1,5,0,0,Driving Floating Jump Shot,4,-25,37,True
Delon Wright,4,9,5,0,Driving Floating Jump Shot,5,49,32,True
Delon Wright,4,2,17,0,Driving Floating Jump Shot,6,29,56,True
Delon Wright,2,10,35,1,Driving Floating Jump Shot,3,-14,31,True
Delon Wright,2,10,16,0,Driving Floating Jump Shot,6,-14,63,True
Delon Wright,4,10,15,0,Driving Floating Jump Shot,7,62,46,True
Delon Wright,1,2,8,0,Driving Floating Jump Shot,7,-2,71,True
Delon Wright,1,1,18,1,Driving Floating Jump Shot,6,33,51,True
Delon Wright,2,5,53,1,Driving Floating Jump Shot,6,56,30,True
Delon Wright,2,11,37,0,Driving Floating Jump Shot,1,5,17,True
Delon Wright,2,10,36,0,Driving Floating Jump Shot,8,8,86,True
Delon Wright,2,4,49,0,Driving Hook Shot,5,8,52,True
Delon Wright,2,5,47,1,Driving Hook Shot,2,23,16,True
Delon Wright,4,6,58,1,Driving Layup Shot,2,25,16,True
Delon Wright,3,8,7,0,Driving Layup Shot,5,36,36,True
Delon Wright,2,11,12,0,Driving Layup Shot,2,17,19,True
Delon Wright,4,8,0,0,Driving Layup Shot,3,32,-1,True
Delon Wright,4,4,46,0,Driving Layup Shot,1,17,5,True
Delon Wright,2,9,49,1,Driving Layup Shot,1,13,-4,True
Delon Wright,1,4,19,1,Driving Layup Shot,1,15,7,True
Delon Wright,2,2,4,0,Driving Layup Shot,2,16,16,True
Delon Wright,1,8,35,0,Driving Layup Shot,5,5,54,True
Delon Wright,1,3,43,0,Driving Layup Shot,3,35,-1,True
Delon Wright,4,4,31,1,Driving Layup Shot,1,11,15,True
Delon Wright,2,8,52,1,Driving Layup Shot,2,13,25,True
Delon Wright,4,9,9,0,Driving Layup Shot,9,25,94,True
