name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Dennis Smith Jr,1,11,25,0,Alley Oop Dunk Shot,1,-8,15,True
Dennis Smith Jr,2,5,2,1,Alley Oop Dunk Shot,0,-5,4,True
Dennis Smith Jr,3,2,28,1,Alley Oop Dunk Shot,0,0,-2,True
Dennis Smith Jr,1,11,45,1,Alley Oop Dunk Shot,1,3,14,True
Dennis Smith Jr,1,11,28,1,Alley Oop Dunk Shot,0,2,4,True
Dennis Smith Jr,2,7,48,1,Alley Oop Layup shot,0,0,-5,True
Dennis Smith Jr,2,7,41,1,Alley Oop Layup shot,1,2,15,True
Dennis Smith Jr,3,6,31,1,Cutting Layup Shot,0,6,1,True
Dennis Smith Jr,4,2,7,1,Cutting Layup Shot,1,11,8,True
Dennis Smith Jr,2,3,44,1,Cutting Layup Shot,1,-10,4,True
Dennis Smith Jr,1,7,21,0,Cutting Layup Shot,1,11,16,True
Dennis Smith Jr,1,11,25,1,Cutting Layup Shot,0,0,7,True
Dennis Smith Jr,1,5,18,1,Driving Dunk Shot,1,11,11,True
Dennis Smith Jr,4,1,12,1,Driving Dunk Shot,0,-3,1,True
Dennis Smith Jr,4,2,40,1,Driving Dunk Shot,0,2,9,True
Dennis Smith Jr,3,3,46,0,Driving Dunk Shot,3,-2,33,True
Dennis Smith Jr,1,6,35,1,Driving Dunk Shot,1,13,1,True
Dennis Smith Jr,2,0,46,1,Driving Dunk Shot,0,-7,2,True
Dennis Smith Jr,2,2,39,1,Driving Dunk Shot,0,-2,8,True
Dennis Smith Jr,1,6,27,1,Driving Dunk Shot,1,2,18,True
Dennis Smith Jr,1,7,45,1,Driving Dunk Shot,1,-11,3,True
Dennis Smith Jr,4,4,5,1,Driving Dunk Shot,0,5,6,True
Dennis Smith Jr,1,5,18,1,Driving Dunk Shot,1,-6,11,True
Dennis Smith Jr,5,4,34,1,Driving Dunk Shot,1,-3,16,True
Dennis Smith Jr,1,8,40,0,Driving Dunk Shot,2,20,21,True
Dennis Smith Jr,4,0,49,1,Driving Dunk Shot,1,-8,7,True
Dennis Smith Jr,4,3,25,0,Driving Dunk Shot,1,0,17,True
Dennis Smith Jr,2,3,56,1,Driving Dunk Shot,0,2,7,True
Dennis Smith Jr,2,2,43,0,Driving Dunk Shot,0,-6,0,True
Dennis Smith Jr,1,7,0,1,Driving Dunk Shot,0,-5,-6,True
Dennis Smith Jr,1,9,39,1,Driving Dunk Shot,1,-1,12,True
Dennis Smith Jr,3,6,6,1,Driving Dunk Shot,0,-8,4,True
Dennis Smith Jr,4,0,13,1,Driving Dunk Shot,0,9,3,True
Dennis Smith Jr,2,1,8,0,Driving Dunk Shot,1,0,11,True
Dennis Smith Jr,3,11,41,0,Driving Dunk Shot,2,17,14,True
Dennis Smith Jr,4,0,49,1,Driving Dunk Shot,1,-8,7,True
Dennis Smith Jr,3,6,22,1,Driving Dunk Shot,1,-3,15,True
Dennis Smith Jr,2,3,43,0,Driving Dunk Shot,4,-25,42,True
Dennis Smith Jr,4,10,41,0,Driving Dunk Shot,2,19,13,True
