name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Dillon Brooks,3,10,21,1,Alley Oop Dunk Shot,1,16,0,True
Dillon Brooks,4,2,51,1,Alley Oop Layup shot,2,5,26,True
Dillon Brooks,1,5,54,0,Alley Oop Layup shot,1,-3,10,True
Dillon Brooks,2,6,30,1,Cutting Dunk Shot,1,-3,19,True
Dillon Brooks,4,8,29,1,Cutting Dunk Shot,1,2,16,True
Dillon Brooks,1,9,21,0,Cutting Layup Shot,2,3,29,True
Dillon Brooks,1,3,56,1,Cutting Layup Shot,0,7,3,True
Dillon Brooks,1,10,19,1,Cutting Layup Shot,0,0,1,True
Dillon Brooks,4,6,13,0,Cutting Layup Shot,3,-23,28,True
Dillon Brooks,4,3,34,1,Cutting Layup Shot,0,3,7,True
Dillon Brooks,1,9,33,1,Cutting Layup Shot,1,-19,5,True
Dillon Brooks,1,5,52,1,Cutting Layup Shot,1,3,10,True
Dillon Brooks,1,9,33,1,Cutting Layup Shot,2,20,-3,True
Dillon Brooks,1,9,49,1,Cutting Layup Shot,1,-12,12,True
Dillon Brooks,4,5,13,1,Cutting Layup Shot,2,14,17,True
Dillon Brooks,2,5,33,1,Cutting Layup Shot,1,14,10,True
Dillon Brooks,1,2,23,1,Cutting Layup Shot,0,2,6,True
Dillon Brooks,1,6,1,1,Cutting Layup Shot,1,0,16,True
Dillon Brooks,2,6,57,0,Cutting Layup Shot,2,-11,17,True
Dillon Brooks,3,6,38,1,Cutting Layup Shot,1,-14,12,True
Dillon Brooks,2,9,35,1,Cutting Layup Shot,1,9,11,True
Dillon Brooks,1,9,31,0,Cutting Layup Shot,1,9,8,True
Dillon Brooks,4,3,21,0,Cutting Layup Shot,1,19,-3,True
Dillon Brooks,3,10,56,1,Cutting Layup Shot,0,4,7,True
Dillon Brooks,4,8,31,1,Cutting Layup Shot,1,-12,5,True
Dillon Brooks,1,7,16,1,Cutting Layup Shot,0,3,5,True
Dillon Brooks,1,5,39,1,Driving Dunk Shot,1,11,10,True
Dillon Brooks,3,3,33,0,Driving Dunk Shot,8,50,72,True
Dillon Brooks,4,5,0,1,Driving Dunk Shot,0,-2,7,True
Dillon Brooks,1,4,13,1,Driving Dunk Shot,1,9,8,True
Dillon Brooks,1,7,0,1,Driving Dunk Shot,0,5,5,True
Dillon Brooks,2,7,30,0,Driving Dunk Shot,5,45,22,True
Dillon Brooks,4,2,46,1,Driving Finger Roll Layup Shot,2,26,11,True
Dillon Brooks,3,4,5,1,Driving Finger Roll Layup Shot,0,0,7,True
Dillon Brooks,4,6,32,1,Driving Finger Roll Layup Shot,2,2,25,True
Dillon Brooks,3,8,13,0,Driving Finger Roll Layup Shot,5,52,20,True
Dillon Brooks,3,10,3,1,Driving Finger Roll Layup Shot,3,-5,32,True
Dillon Brooks,2,4,33,1,Driving Finger Roll Layup Shot,1,-11,9,True
Dillon Brooks,4,1,32,0,Driving Finger Roll Layup Shot,1,-9,17,True
Dillon Brooks,1,9,58,0,Driving Finger Roll Layup Shot,5,38,36,True
Dillon Brooks,2,6,35,1,Driving Finger Roll Layup Shot,1,6,15,True
Dillon Brooks,3,9,19,1,Driving Finger Roll Layup Shot,0,3,6,True
Dillon Brooks,1,3,49,0,Driving Finger Roll Layup Shot,1,2,19,True
Dillon Brooks,3,5,41,1,Driving Finger Roll Layup Shot,0,0,2,True
Dillon Brooks,2,4,48,0,Driving Finger Roll Layup Shot,2,-5,26,True
Dillon Brooks,1,3,23,1,Driving Finger Roll Layup Shot,1,-10,11,True
Dillon Brooks,4,1,39,0,Driving Finger Roll Layup Shot,2,20,11,True
Dillon Brooks,2,1,43,1,Driving Finger Roll Layup Shot,4,9,43,True
Dillon Brooks,2,5,41,0,Driving Finger Roll Layup Shot,1,13,11,True
Dillon Brooks,2,0,48,0,Driving Finger Roll Layup Shot,0,3,3,True
Dillon Brooks,2,11,20,1,Driving Floating Bank Jump Shot,2,19,14,True
Dillon Brooks,1,3,57,0,Driving Floating Bank Jump Shot,10,98,47,True
Dillon Brooks,4,0,45,1,Driving Floating Bank Jump Shot,8,87,23,True
Dillon Brooks,1,5,45,1,Driving Floating Bank Jump Shot,9,89,-19,True
