name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Dirk Nowitzki,2,7,40,1,Cutting Dunk Shot,1,2,13,True
Dirk Nowitzki,2,7,56,1,Cutting Finger Roll Layup Shot,2,0,23,True
Dirk Nowitzki,1,9,50,1,Cutting Layup Shot,0,3,8,True
Dirk Nowitzki,2,7,28,1,Cutting Layup Shot,2,-20,2,True
Dirk Nowitzki,2,10,12,1,Cutting Layup Shot,1,-3,10,True
Dirk Nowitzki,1,1,58,1,Cutting Layup Shot,1,4,11,True
Dirk Nowitzki,1,5,44,0,Cutting Layup Shot,1,-13,10,True
Dirk Nowitzki,4,4,44,1,Driving Finger Roll Layup Shot,4,-9,44,True
Dirk Nowitzki,1,6,53,1,Driving Finger Roll Layup Shot,2,-8,23,True
Dirk Nowitzki,3,1,43,1,Driving Finger Roll Layup Shot,2,-9,25,True
Dirk Nowitzki,1,7,12,0,Driving Finger Roll Layup Shot,2,16,18,True
Dirk Nowitzki,2,10,3,0,Driving Floating Bank Jump Shot,2,-27,7,True
Dirk Nowitzki,2,8,51,1,Driving Layup Shot,2,12,24,True
Dirk Nowitzki,2,10,16,0,Driving Layup Shot,4,-3,48,True
Dirk Nowitzki,2,7,51,0,Dunk Shot,2,-2,22,True
Dirk Nowitzki,1,2,31,0,Fadeaway Jump Shot,16,-127,102,True
Dirk Nowitzki,3,10,11,0,Fadeaway Jump Shot,13,-101,86,True
Dirk Nowitzki,1,10,17,1,Fadeaway Jump Shot,14,127,68,True
Dirk Nowitzki,4,5,9,0,Fadeaway Jump Shot,10,70,79,True
Dirk Nowitzki,2,10,42,1,Fadeaway Jump Shot,13,3,130,True
Dirk Nowitzki,2,9,38,0,Fadeaway Jump Shot,11,101,50,True
Dirk Nowitzki,4,9,38,0,Fadeaway Jump Shot,15,-2,154,True
Dirk Nowitzki,1,5,19,0,Fadeaway Jump Shot,12,96,76,True
Dirk Nowitzki,3,9,14,1,Fadeaway Jump Shot,15,9,159,True
Dirk Nowitzki,3,10,14,1,Fadeaway Jump Shot,15,100,115,True
Dirk Nowitzki,1,5,54,1,Fadeaway Jump Shot,20,-36,201,True
Dirk Nowitzki,2,9,2,1,Fadeaway Jump Shot,13,8,133,True
Dirk Nowitzki,4,6,24,1,Fadeaway Jump Shot,13,-65,119,True
Dirk Nowitzki,3,7,11,0,Fadeaway Jump Shot,11,116,14,True
Dirk Nowitzki,1,9,2,1,Fadeaway Jump Shot,14,134,58,True
Dirk Nowitzki,2,8,27,0,Fadeaway Jump Shot,19,77,176,True
Dirk Nowitzki,2,10,19,0,Fadeaway Jump Shot,20,92,183,True
Dirk Nowitzki,3,10,35,1,Fadeaway Jump Shot,11,115,10,True
Dirk Nowitzki,2,10,5,0,Fadeaway Jump Shot,9,-90,14,True
Dirk Nowitzki,1,2,29,1,Fadeaway Jump Shot,12,-93,90,True
Dirk Nowitzki,4,6,34,0,Fadeaway Jump Shot,17,79,158,True
