name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Dwayne Bacon,2,8,28,0,Driving Dunk Shot,2,-20,20,True
Dwayne Bacon,4,3,9,0,Driving Dunk Shot,1,11,10,True
Dwayne Bacon,4,3,5,1,Driving Dunk Shot,1,2,14,True
Dwayne Bacon,4,1,53,1,Driving Dunk Shot,0,-3,0,True
Dwayne Bacon,2,7,50,1,Driving Dunk Shot,0,-4,6,True
Dwayne Bacon,2,10,29,0,Driving Finger Roll Layup Shot,0,-5,6,True
Dwayne Bacon,4,11,48,1,Driving Floating Bank Jump Shot,5,43,39,True
Dwayne Bacon,2,3,30,1,Driving Hook Shot,9,0,92,True
Dwayne Bacon,1,5,48,0,Driving Layup Shot,2,3,24,True
Dwayne Bacon,2,5,52,1,Driving Layup Shot,1,8,11,True
Dwayne Bacon,2,7,48,1,Driving Layup Shot,1,3,11,True
Dwayne Bacon,4,4,51,0,Driving Layup Shot,3,-33,22,True
Dwayne Bacon,2,8,27,1,Driving Layup Shot,2,20,12,True
Dwayne Bacon,4,3,30,1,Driving Layup Shot,2,-8,20,True
Dwayne Bacon,4,5,32,1,Driving Layup Shot,1,6,13,True
Dwayne Bacon,4,5,19,1,Driving Layup Shot,7,-68,42,True
Dwayne Bacon,2,7,14,1,Driving Layup Shot,0,-1,6,True
Dwayne Bacon,4,0,27,1,Driving Layup Shot,2,13,16,True
Dwayne Bacon,4,8,17,1,Driving Layup Shot,1,-6,8,True
Dwayne Bacon,2,9,43,1,Driving Layup Shot,1,-5,17,True
Dwayne Bacon,2,7,52,0,Driving Layup Shot,1,18,8,True
Dwayne Bacon,2,7,30,1,Driving Layup Shot,1,-9,13,True
Dwayne Bacon,4,9,25,0,Driving Layup Shot,5,57,6,True
Dwayne Bacon,3,9,6,1,Driving Layup Shot,4,40,15,True
Dwayne Bacon,2,3,23,1,Driving Layup Shot,1,5,13,True
Dwayne Bacon,3,9,53,0,Driving Layup Shot,1,3,11,True
Dwayne Bacon,4,1,47,0,Driving Reverse Layup Shot,1,13,-1,True
Dwayne Bacon,3,0,37,1,Driving Reverse Layup Shot,1,11,8,True
Dwayne Bacon,4,9,43,0,Driving Reverse Layup Shot,1,12,4,True
Dwayne Bacon,3,0,22,0,Fadeaway Jump Shot,12,73,103,True
Dwayne Bacon,3,0,57,0,Fadeaway Jump Shot,10,107,13,True
Dwayne Bacon,4,9,52,0,Fadeaway Jump Shot,10,-44,98,True
Dwayne Bacon,4,9,50,0,Floating Jump shot,9,-46,81,True
Dwayne Bacon,1,1,18,1,Floating Jump shot,15,-111,113,True
Dwayne Bacon,2,5,46,0,Floating Jump shot,11,-44,111,True
Dwayne Bacon,1,0,40,0,Floating Jump shot,6,8,67,True
Dwayne Bacon,3,2,17,0,Floating Jump shot,11,7,117,True
Dwayne Bacon,4,8,18,0,Jump Shot,26,-15,261,False
Dwayne Bacon,2,11,6,0,Jump Shot,24,-231,81,False
Dwayne Bacon,1,3,12,0,Jump Shot,24,-230,96,False
Dwayne Bacon,3,5,11,0,Jump Shot,24,239,26,False
Dwayne Bacon,1,10,2,1,Jump Shot,24,236,71,False
Dwayne Bacon,4,2,48,0,Jump Shot,23,230,20,False
Dwayne Bacon,4,0,49,0,Jump Shot,19,93,174,True
Dwayne Bacon,4,0,38,0,Jump Shot,24,-130,213,False
Dwayne Bacon,1,1,22,1,Jump Shot,16,96,131,True
Dwayne Bacon,4,3,27,0,Jump Shot,19,-16,190,True
Dwayne Bacon,3,2,58,0,Jump Shot,12,61,114,True
Dwayne Bacon,1,1,46,0,Jump Shot,20,-202,8,True
Dwayne Bacon,1,6,11,1,Jump Shot,20,-13,206,True
Dwayne Bacon,3,0,36,0,Jump Shot,18,84,167,True
Dwayne Bacon,3,4,17,0,Jump Shot,9,-20,95,True
Dwayne Bacon,4,3,50,0,Jump Shot,25,-148,206,False
Dwayne Bacon,4,10,46,0,Jump Shot,24,199,146,False
Dwayne Bacon,4,10,23,1,Jump Shot,15,81,130,True
Dwayne Bacon,3,0,40,0,Jump Shot,16,-95,138,True
Dwayne Bacon,4,1,6,1,Jump Shot,22,-63,212,True
Dwayne Bacon,4,4,19,1,Jump Shot,17,97,151,True
Dwayne Bacon,4,1,28,1,Jump Shot,14,-96,113,True
Dwayne Bacon,4,10,30,0,Jump Shot,18,-176,45,True
Dwayne Bacon,2,11,50,0,Jump Shot,16,18,167,True
Dwayne Bacon,4,10,55,0,Jump Shot,20,155,134,True
Dwayne Bacon,2,11,30,0,Jump Shot,24,-76,236,False
Dwayne Bacon,2,6,9,0,Jump Shot,23,-233,51,False
Dwayne Bacon,2,9,19,0,Jump Shot,11,98,63,True
Dwayne Bacon,3,0,15,1,Jump Shot,24,-105,224,False
Dwayne Bacon,1,4,9,1,Jump Shot,23,-238,13,False
Dwayne Bacon,4,10,30,0,Jump Shot,8,88,-7,True
Dwayne Bacon,1,0,59,1,Jump Shot,18,-29,185,True
Dwayne Bacon,1,0,46,0,Jump Shot,23,-228,36,False
Dwayne Bacon,2,10,34,0,Jump Shot,19,-127,154,True
Dwayne Bacon,4,10,33,0,Jump Shot,8,0,82,True
Dwayne Bacon,2,11,21,0,Jump Shot,15,145,41,True
Dwayne Bacon,2,10,27,0,Jump Shot,15,150,38,True
Dwayne Bacon,4,10,57,0,Jump Shot,26,68,256,False
Dwayne Bacon,3,1,37,0,Jump Shot,13,-130,34,True
Dwayne Bacon,3,0,59,0,Jump Shot,22,141,173,True
Dwayne Bacon,3,1,31,1,Jump Shot,20,95,185,True
Dwayne Bacon,2,11,34,0,Jump Shot,9,-38,84,True
Dwayne Bacon,3,2,7,0,Jump Shot,24,230,82,False
Dwayne Bacon,4,1,23,0,Jump Shot,25,95,234,False
Dwayne Bacon,4,6,30,0,Jump Shot,18,115,140,True
Dwayne Bacon,3,10,58,0,Jump Shot,18,-125,143,True
Dwayne Bacon,4,11,33,0,Jump Shot,21,62,204,True
Dwayne Bacon,1,6,7,1,Jump Shot,22,-229,8,False
Dwayne Bacon,4,2,36,0,Jump Shot,26,-179,190,False
Dwayne Bacon,3,11,12,1,Jump Shot,16,-27,162,True
Dwayne Bacon,2,4,0,0,Jump Shot,20,125,168,True
Dwayne Bacon,1,11,42,1,Jump Shot,24,-124,215,False
Dwayne Bacon,3,8,1,1,Jump Shot,26,192,183,False
Dwayne Bacon,2,8,29,0,Jump Shot,25,203,158,False
Dwayne Bacon,3,9,45,1,Jump Shot,27,-87,257,False
Dwayne Bacon,4,5,58,0,Jump Shot,25,128,219,False
Dwayne Bacon,1,1,54,0,Jump Shot,18,62,176,True
Dwayne Bacon,2,4,39,0,Jump Shot,27,2,270,False
Dwayne Bacon,1,2,47,1,Jump Shot,17,41,170,True
Dwayne Bacon,2,7,22,0,Jump Shot,8,55,69,True
Dwayne Bacon,4,5,17,1,Jump Shot,10,20,104,True
Dwayne Bacon,3,0,42,0,Jump Shot,11,58,95,True
Dwayne Bacon,2,6,30,1,Jump Shot,9,60,71,True
Dwayne Bacon,3,1,50,0,Jump Shot,21,208,51,True
Dwayne Bacon,1,0,30,0,Jump Shot,23,-232,43,False
Dwayne Bacon,2,8,43,0,Jump Shot,23,232,38,False
Dwayne Bacon,3,10,40,1,Jump Shot,23,230,54,False
Dwayne Bacon,3,3,52,1,Jump Shot,22,226,10,False
Dwayne Bacon,4,9,14,0,Jump Shot,18,-142,121,True
Dwayne Bacon,4,6,35,0,Jump Shot,11,-4,119,True
Dwayne Bacon,4,8,58,1,Jump Shot,20,115,167,True
Dwayne Bacon,3,0,57,1,Jump Shot,5,-5,58,True
Dwayne Bacon,2,10,43,0,Jump Shot,13,97,91,True
Dwayne Bacon,2,11,28,0,Jump Shot,23,-232,31,False
Dwayne Bacon,4,5,34,0,Jump Shot,12,43,116,True
Dwayne Bacon,1,8,45,0,Jump Shot,25,105,237,False
Dwayne Bacon,1,3,59,0,Jump Shot,22,226,41,False
Dwayne Bacon,3,5,21,0,Jump Shot,26,174,196,False
Dwayne Bacon,3,2,11,0,Jump Shot,24,-228,97,False
Dwayne Bacon,4,1,17,0,Jump Shot,16,-101,136,True
Dwayne Bacon,2,1,10,1,Jump Shot,22,225,17,False
Dwayne Bacon,3,6,24,0,Jump Shot,16,14,169,True
Dwayne Bacon,3,2,47,1,Jump Shot,24,-177,174,False
Dwayne Bacon,2,7,37,0,Jump Shot,12,-27,123,True
Dwayne Bacon,4,10,40,0,Jump Shot,22,-226,19,False
Dwayne Bacon,1,5,11,0,Jump Shot,25,-242,78,False
Dwayne Bacon,2,6,11,0,Jump Shot,22,228,7,False
Dwayne Bacon,4,2,29,1,Layup Shot,1,11,14,True
Dwayne Bacon,4,1,45,0,Layup Shot,1,6,18,True
Dwayne Bacon,2,7,22,1,Layup Shot,0,0,8,True
Dwayne Bacon,1,4,45,0,Layup Shot,1,-2,19,True
Dwayne Bacon,1,6,52,0,Layup Shot,3,3,34,True
Dwayne Bacon,3,5,20,0,Pullup Jump shot,18,-177,41,True
Dwayne Bacon,3,2,45,0,Pullup Jump shot,25,-160,204,False
Dwayne Bacon,2,9,36,1,Pullup Jump shot,8,-4,88,True
Dwayne Bacon,2,11,47,0,Pullup Jump shot,10,94,53,True
Dwayne Bacon,1,3,25,1,Pullup Jump shot,18,175,63,True
Dwayne Bacon,1,2,32,1,Pullup Jump shot,16,150,79,True
Dwayne Bacon,1,2,1,1,Pullup Jump shot,15,3,158,True
Dwayne Bacon,3,0,1,0,Pullup Jump shot,17,15,176,True
Dwayne Bacon,1,3,0,0,Pullup Jump shot,15,-33,156,True
Dwayne Bacon,4,11,24,0,Pullup Jump shot,20,-131,152,True
Dwayne Bacon,1,1,29,1,Pullup Jump shot,11,99,67,True
Dwayne Bacon,2,10,34,0,Pullup Jump shot,13,-35,133,True
Dwayne Bacon,2,5,53,0,Pullup Jump shot,19,104,163,True
Dwayne Bacon,3,3,24,0,Pullup Jump shot,11,67,88,True
Dwayne Bacon,1,7,35,0,Pullup Jump shot,19,-43,195,True
Dwayne Bacon,1,2,4,1,Pullup Jump shot,18,-129,136,True
Dwayne Bacon,4,4,56,0,Pullup Jump shot,17,-2,178,True
Dwayne Bacon,3,1,46,1,Pullup Jump shot,18,-30,184,True
Dwayne Bacon,3,2,51,0,Pullup Jump shot,10,-108,20,True
Dwayne Bacon,3,2,22,1,Pullup Jump shot,18,-120,144,True
Dwayne Bacon,3,1,40,0,Pullup Jump shot,19,-102,163,True
Dwayne Bacon,1,1,13,1,Pullup Jump shot,18,121,134,True
