name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Dwight Powell,2,11,28,1,Alley Oop Dunk Shot,1,-8,12,True
Dwight Powell,4,9,54,1,Alley Oop Dunk Shot,0,-2,5,True
Dwight Powell,2,11,47,1,Alley Oop Dunk Shot,0,0,4,True
Dwight Powell,4,3,17,1,Alley Oop Dunk Shot,0,-8,5,True
Dwight Powell,2,8,22,1,Alley Oop Dunk Shot,1,-11,7,True
Dwight Powell,2,10,12,1,Alley Oop Dunk Shot,0,-5,7,True
Dwight Powell,2,3,55,1,Alley Oop Dunk Shot,0,3,3,True
Dwight Powell,1,1,35,1,Alley Oop Dunk Shot,0,-2,6,True
Dwight Powell,1,8,27,1,Alley Oop Dunk Shot,1,0,11,True
Dwight Powell,2,7,25,1,Alley Oop Dunk Shot,1,6,10,True
Dwight Powell,4,2,24,1,Alley Oop Dunk Shot,2,8,21,True
Dwight Powell,2,6,4,1,Alley Oop Dunk Shot,0,-7,7,True
Dwight Powell,4,10,54,1,Alley Oop Dunk Shot,1,-6,8,True
Dwight Powell,4,0,8,1,Alley Oop Dunk Shot,0,1,-2,True
Dwight Powell,4,8,6,1,Alley Oop Dunk Shot,1,-7,8,True
Dwight Powell,4,10,24,1,Alley Oop Dunk Shot,1,2,17,True
Dwight Powell,2,10,0,1,Alley Oop Dunk Shot,1,-6,8,True
Dwight Powell,1,9,13,1,Alley Oop Dunk Shot,1,0,18,True
Dwight Powell,3,9,47,1,Alley Oop Dunk Shot,3,14,27,True
Dwight Powell,2,10,43,1,Alley Oop Dunk Shot,1,-1,10,True
Dwight Powell,1,2,29,1,Alley Oop Dunk Shot,1,5,14,True
Dwight Powell,4,8,9,1,Alley Oop Dunk Shot,5,-6,52,True
Dwight Powell,1,2,12,1,Alley Oop Dunk Shot,1,-7,15,True
Dwight Powell,2,11,46,1,Alley Oop Dunk Shot,2,5,20,True
Dwight Powell,1,6,10,1,Alley Oop Dunk Shot,0,3,1,True
Dwight Powell,2,10,44,0,Alley Oop Dunk Shot,6,-19,65,True
Dwight Powell,3,5,6,1,Alley Oop Dunk Shot,0,-4,3,True
Dwight Powell,4,3,56,1,Alley Oop Dunk Shot,0,0,6,True
Dwight Powell,3,11,44,1,Alley Oop Dunk Shot,2,8,22,True
Dwight Powell,3,9,32,1,Alley Oop Dunk Shot,1,8,13,True
Dwight Powell,2,11,43,1,Alley Oop Dunk Shot,0,0,5,True
Dwight Powell,3,0,44,1,Alley Oop Dunk Shot,0,6,1,True
Dwight Powell,2,11,29,1,Alley Oop Dunk Shot,1,7,8,True
Dwight Powell,2,10,21,1,Alley Oop Dunk Shot,1,-1,18,True
Dwight Powell,4,10,47,1,Alley Oop Dunk Shot,0,-3,8,True
Dwight Powell,1,2,2,1,Alley Oop Dunk Shot,0,6,-2,True
Dwight Powell,3,3,53,1,Alley Oop Dunk Shot,0,-7,7,True
Dwight Powell,4,4,0,1,Alley Oop Dunk Shot,1,-8,17,True
Dwight Powell,1,3,34,0,Alley Oop Dunk Shot,1,13,13,True
Dwight Powell,2,6,23,1,Alley Oop Dunk Shot,1,0,16,True
Dwight Powell,1,1,0,1,Alley Oop Dunk Shot,0,-8,-4,True
Dwight Powell,2,9,43,1,Alley Oop Dunk Shot,1,0,16,True
Dwight Powell,2,11,41,1,Alley Oop Dunk Shot,0,5,8,True
Dwight Powell,3,3,29,1,Alley Oop Dunk Shot,1,-1,12,True
Dwight Powell,1,1,45,1,Alley Oop Dunk Shot,1,-3,10,True
Dwight Powell,2,4,21,1,Alley Oop Dunk Shot,0,2,7,True
Dwight Powell,2,8,40,1,Alley Oop Dunk Shot,0,2,0,True
Dwight Powell,4,8,3,0,Alley Oop Dunk Shot,1,-6,16,True
Dwight Powell,4,11,5,1,Alley Oop Dunk Shot,1,11,14,True
Dwight Powell,1,1,29,0,Alley Oop Dunk Shot,2,-7,22,True
Dwight Powell,4,8,43,1,Alley Oop Dunk Shot,1,0,15,True
Dwight Powell,3,10,45,1,Alley Oop Dunk Shot,1,9,6,True
Dwight Powell,4,7,49,1,Alley Oop Dunk Shot,0,2,0,True
Dwight Powell,2,10,44,1,Alley Oop Layup shot,1,-7,8,True
Dwight Powell,2,3,30,1,Alley Oop Layup shot,1,-2,13,True
Dwight Powell,1,2,48,0,Alley Oop Layup shot,3,-29,10,True
Dwight Powell,3,1,43,1,Alley Oop Layup shot,1,-3,11,True
Dwight Powell,2,5,45,0,Alley Oop Layup shot,6,59,33,True
Dwight Powell,2,11,22,1,Alley Oop Layup shot,3,-32,10,True
Dwight Powell,2,7,26,1,Alley Oop Layup shot,1,4,15,True
Dwight Powell,1,0,45,0,Alley Oop Layup shot,2,-23,8,True
Dwight Powell,3,0,44,1,Alley Oop Layup shot,0,1,4,True
Dwight Powell,2,8,5,1,Alley Oop Layup shot,2,5,26,True
Dwight Powell,2,6,25,1,Alley Oop Layup shot,1,2,13,True
Dwight Powell,4,8,1,1,Alley Oop Layup shot,1,8,10,True
Dwight Powell,2,9,24,0,Alley Oop Layup shot,3,27,15,True
Dwight Powell,3,0,4,1,Alley Oop Layup shot,2,20,16,True
Dwight Powell,3,5,55,0,Alley Oop Layup shot,0,-9,4,True
Dwight Powell,3,3,22,1,Alley Oop Layup shot,1,9,14,True
Dwight Powell,4,8,10,0,Alley Oop Layup shot,1,0,18,True
Dwight Powell,4,10,15,1,Alley Oop Layup shot,1,-3,14,True
Dwight Powell,3,10,55,0,Alley Oop Layup shot,1,-18,4,True
Dwight Powell,1,7,53,1,Alley Oop Layup shot,0,-4,9,True
Dwight Powell,4,8,42,1,Alley Oop Layup shot,1,0,13,True
Dwight Powell,1,0,15,1,Alley Oop Layup shot,0,-5,4,True
