name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Dwyane Wade,4,8,4,1,Alley Oop Dunk Shot,1,3,13,True
Dwyane Wade,4,9,15,1,Cutting Dunk Shot,1,-1,16,True
Dwyane Wade,4,3,5,1,Cutting Dunk Shot,2,-1,20,True
Dwyane Wade,2,7,58,1,Cutting Dunk Shot,0,-5,4,True
Dwyane Wade,4,11,24,1,Cutting Dunk Shot,1,5,13,True
Dwyane Wade,4,6,15,0,Cutting Dunk Shot,1,-3,10,True
Dwyane Wade,3,2,41,1,Cutting Dunk Shot,0,-1,7,True
Dwyane Wade,4,10,54,1,Cutting Dunk Shot,0,1,9,True
Dwyane Wade,1,4,9,1,Cutting Dunk Shot,1,-5,15,True
Dwyane Wade,1,1,27,1,Cutting Dunk Shot,0,-7,6,True
Dwyane Wade,3,1,38,1,Cutting Finger Roll Layup Shot,1,-2,16,True
Dwyane Wade,2,10,15,1,Cutting Layup Shot,0,3,2,True
Dwyane Wade,5,4,43,1,Cutting Layup Shot,0,0,6,True
Dwyane Wade,2,10,48,1,Cutting Layup Shot,3,29,27,True
Dwyane Wade,4,6,41,1,Cutting Layup Shot,1,-16,10,True
Dwyane Wade,5,1,51,0,Cutting Layup Shot,2,-7,21,True
Dwyane Wade,2,0,38,0,Cutting Layup Shot,2,-7,20,True
Dwyane Wade,2,10,56,1,Cutting Layup Shot,1,8,17,True
Dwyane Wade,2,2,46,1,Cutting Layup Shot,1,-2,15,True
Dwyane Wade,2,8,11,1,Cutting Layup Shot,1,0,14,True
Dwyane Wade,4,1,47,0,Cutting Layup Shot,1,-6,10,True
Dwyane Wade,4,1,26,1,Cutting Layup Shot,1,5,16,True
Dwyane Wade,2,7,20,1,Cutting Layup Shot,1,-2,13,True
Dwyane Wade,1,0,44,0,Cutting Layup Shot,2,-12,26,True
Dwyane Wade,1,1,15,1,Driving Dunk Shot,1,9,10,True
Dwyane Wade,1,0,7,1,Driving Dunk Shot,0,3,4,True
Dwyane Wade,2,0,37,0,Driving Finger Roll Layup Shot,2,16,16,True
Dwyane Wade,2,11,27,0,Driving Finger Roll Layup Shot,1,-11,6,True
Dwyane Wade,2,8,30,1,Driving Finger Roll Layup Shot,0,-5,6,True
Dwyane Wade,2,1,47,1,Driving Finger Roll Layup Shot,1,16,11,True
Dwyane Wade,2,9,21,1,Driving Finger Roll Layup Shot,1,5,15,True
Dwyane Wade,2,10,27,1,Driving Finger Roll Layup Shot,0,2,7,True
Dwyane Wade,2,11,1,1,Driving Finger Roll Layup Shot,0,-6,1,True
Dwyane Wade,1,2,27,1,Driving Finger Roll Layup Shot,2,-3,21,True
Dwyane Wade,1,2,45,0,Driving Floating Bank Jump Shot,5,38,40,True
Dwyane Wade,4,3,7,1,Driving Floating Bank Jump Shot,4,35,22,True
Dwyane Wade,5,1,16,1,Driving Floating Bank Jump Shot,6,3,66,True
Dwyane Wade,2,10,21,0,Driving Floating Jump Shot,7,71,29,True
Dwyane Wade,2,7,7,0,Driving Floating Jump Shot,11,17,111,True
Dwyane Wade,4,7,47,1,Driving Floating Jump Shot,9,-62,73,True
Dwyane Wade,4,10,30,0,Driving Floating Jump Shot,13,-110,75,True
Dwyane Wade,1,0,2,1,Driving Floating Jump Shot,10,-6,104,True
Dwyane Wade,2,10,31,0,Driving Floating Jump Shot,7,26,68,True
Dwyane Wade,2,1,34,1,Driving Floating Jump Shot,8,-44,76,True
Dwyane Wade,3,10,5,0,Driving Floating Jump Shot,13,20,130,True
Dwyane Wade,2,0,42,1,Driving Floating Jump Shot,9,-14,98,True
Dwyane Wade,4,9,0,1,Driving Floating Jump Shot,12,-103,68,True
Dwyane Wade,4,1,8,1,Driving Floating Jump Shot,9,-60,74,True
Dwyane Wade,4,8,6,0,Driving Floating Jump Shot,5,12,51,True
Dwyane Wade,1,2,14,1,Driving Floating Jump Shot,6,-30,56,True
Dwyane Wade,3,0,33,1,Driving Floating Jump Shot,6,28,54,True
Dwyane Wade,4,5,30,0,Driving Floating Jump Shot,4,-9,45,True
Dwyane Wade,1,0,36,0,Driving Floating Jump Shot,6,50,43,True
Dwyane Wade,1,2,50,0,Driving Floating Jump Shot,10,40,92,True
Dwyane Wade,4,9,44,0,Driving Floating Jump Shot,11,-38,110,True
Dwyane Wade,2,11,43,1,Driving Floating Jump Shot,17,160,82,True
Dwyane Wade,4,10,13,0,Driving Floating Jump Shot,13,-76,115,True
Dwyane Wade,4,11,20,1,Driving Floating Jump Shot,9,-51,77,True
Dwyane Wade,4,7,2,0,Driving Floating Jump Shot,13,-40,127,True
Dwyane Wade,2,8,4,1,Driving Floating Jump Shot,17,-60,165,True
Dwyane Wade,2,9,10,0,Driving Floating Jump Shot,11,53,101,True
Dwyane Wade,4,2,54,1,Driving Floating Jump Shot,8,-1,86,True
Dwyane Wade,4,11,4,0,Driving Floating Jump Shot,11,-62,94,True
Dwyane Wade,1,1,35,0,Driving Floating Jump Shot,13,137,14,True
Dwyane Wade,4,8,21,1,Driving Floating Jump Shot,6,-5,62,True
Dwyane Wade,2,0,39,0,Driving Floating Jump Shot,7,-43,59,True
Dwyane Wade,4,8,32,1,Driving Floating Jump Shot,6,-1,67,True
Dwyane Wade,4,2,24,1,Driving Floating Jump Shot,9,-24,88,True
Dwyane Wade,4,11,27,0,Driving Floating Jump Shot,6,-29,57,True
Dwyane Wade,4,1,14,1,Driving Floating Jump Shot,7,12,79,True
Dwyane Wade,3,1,9,1,Driving Floating Jump Shot,4,-32,34,True
Dwyane Wade,3,1,33,0,Driving Hook Shot,4,33,33,True
Dwyane Wade,3,1,45,0,Driving Hook Shot,9,52,79,True
Dwyane Wade,3,2,3,0,Driving Hook Shot,2,-16,20,True
Dwyane Wade,2,8,51,0,Driving Hook Shot,6,14,66,True
Dwyane Wade,1,1,47,0,Driving Hook Shot,8,34,79,True
Dwyane Wade,2,10,25,1,Driving Layup Shot,0,-5,6,True
Dwyane Wade,4,2,34,0,Driving Layup Shot,5,50,-11,True
Dwyane Wade,2,10,14,1,Driving Layup Shot,3,6,37,True
Dwyane Wade,1,1,53,1,Driving Layup Shot,1,3,13,True
Dwyane Wade,1,2,31,0,Driving Layup Shot,2,11,25,True
Dwyane Wade,1,0,48,1,Driving Layup Shot,1,-11,4,True
Dwyane Wade,4,7,47,0,Driving Layup Shot,1,6,12,True
Dwyane Wade,2,10,47,1,Driving Layup Shot,0,1,-4,True
Dwyane Wade,2,3,14,1,Driving Layup Shot,1,0,10,True
Dwyane Wade,2,10,6,1,Driving Layup Shot,1,-4,16,True
Dwyane Wade,3,0,30,1,Driving Layup Shot,0,3,2,True
Dwyane Wade,4,5,49,1,Driving Layup Shot,0,-8,5,True
Dwyane Wade,2,7,40,0,Driving Layup Shot,1,-17,1,True
Dwyane Wade,3,5,38,0,Driving Layup Shot,0,5,1,True
Dwyane Wade,2,7,57,0,Driving Layup Shot,2,20,15,True
Dwyane Wade,3,2,5,1,Driving Layup Shot,1,-13,13,True
Dwyane Wade,2,7,59,1,Driving Layup Shot,2,11,23,True
Dwyane Wade,3,2,0,0,Driving Layup Shot,1,-19,3,True
Dwyane Wade,2,7,34,0,Driving Layup Shot,10,4,105,True
Dwyane Wade,2,7,55,0,Driving Layup Shot,0,7,4,True
Dwyane Wade,4,7,21,0,Driving Layup Shot,1,-8,11,True
Dwyane Wade,2,7,23,1,Driving Layup Shot,0,9,4,True
Dwyane Wade,3,4,30,1,Driving Layup Shot,3,27,20,True
Dwyane Wade,1,0,35,1,Driving Layup Shot,0,-5,7,True
Dwyane Wade,4,8,48,1,Driving Layup Shot,1,-16,8,True
Dwyane Wade,1,0,58,0,Driving Layup Shot,1,-10,4,True
Dwyane Wade,4,5,42,1,Driving Layup Shot,0,0,3,True
Dwyane Wade,3,3,36,1,Driving Layup Shot,2,11,17,True
Dwyane Wade,4,10,16,1,Driving Layup Shot,0,2,-2,True
Dwyane Wade,4,5,6,1,Driving Layup Shot,1,14,8,True
Dwyane Wade,2,10,16,1,Driving Layup Shot,1,-14,5,True
Dwyane Wade,2,9,4,1,Driving Layup Shot,1,-2,10,True
Dwyane Wade,4,9,44,0,Driving Layup Shot,1,1,16,True
Dwyane Wade,1,2,12,1,Driving Layup Shot,1,-11,14,True
Dwyane Wade,2,11,23,0,Driving Layup Shot,6,-51,41,True
Dwyane Wade,4,5,27,0,Driving Layup Shot,2,0,21,True
Dwyane Wade,2,5,48,0,Driving Layup Shot,5,-38,33,True
Dwyane Wade,4,8,26,0,Driving Layup Shot,1,8,10,True
