name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Elfrid Payton,3,1,25,1,Cutting Dunk Shot,1,9,15,True
Elfrid Payton,1,11,48,1,Cutting Dunk Shot,1,1,19,True
Elfrid Payton,1,8,2,1,Cutting Finger Roll Layup Shot,0,5,-7,True
Elfrid Payton,1,11,34,1,Cutting Finger Roll Layup Shot,0,-2,9,True
Elfrid Payton,1,6,50,1,Cutting Finger Roll Layup Shot,1,8,17,True
Elfrid Payton,3,2,30,1,Cutting Layup Shot,1,5,11,True
Elfrid Payton,3,8,35,1,Cutting Layup Shot,1,3,15,True
Elfrid Payton,1,5,18,1,Cutting Layup Shot,0,8,4,True
Elfrid Payton,1,7,16,1,Cutting Layup Shot,1,9,16,True
Elfrid Payton,1,3,28,1,Cutting Layup Shot,1,11,5,True
Elfrid Payton,1,4,28,0,Cutting Layup Shot,1,13,5,True
Elfrid Payton,1,8,3,0,Cutting Layup Shot,2,19,16,True
Elfrid Payton,1,10,8,1,Cutting Layup Shot,0,-7,-1,True
Elfrid Payton,1,9,12,1,Cutting Layup Shot,2,-25,11,True
Elfrid Payton,3,11,4,1,Cutting Layup Shot,1,-3,15,True
Elfrid Payton,3,8,11,1,Driving Dunk Shot,1,2,17,True
Elfrid Payton,3,6,58,1,Driving Dunk Shot,0,-2,6,True
Elfrid Payton,4,5,30,0,Driving Finger Roll Layup Shot,2,-23,11,True
Elfrid Payton,4,1,21,1,Driving Finger Roll Layup Shot,1,4,18,True
Elfrid Payton,4,0,57,1,Driving Finger Roll Layup Shot,1,8,7,True
Elfrid Payton,1,4,32,1,Driving Finger Roll Layup Shot,3,22,32,True
Elfrid Payton,2,1,16,0,Driving Finger Roll Layup Shot,1,0,16,True
Elfrid Payton,3,2,19,0,Driving Finger Roll Layup Shot,6,-61,17,True
Elfrid Payton,3,5,42,0,Driving Finger Roll Layup Shot,11,11,110,True
Elfrid Payton,1,7,50,1,Driving Finger Roll Layup Shot,1,5,13,True
Elfrid Payton,1,7,37,1,Driving Finger Roll Layup Shot,2,18,20,True
Elfrid Payton,4,1,30,1,Driving Finger Roll Layup Shot,1,-8,8,True
Elfrid Payton,1,6,19,1,Driving Finger Roll Layup Shot,1,14,14,True
Elfrid Payton,4,0,3,0,Driving Finger Roll Layup Shot,0,-3,5,True
