name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Eric Gordon,2,2,18,1,Alley Oop Layup shot,1,8,13,True
Eric Gordon,2,10,8,1,Alley Oop Layup shot,1,-10,6,True
Eric Gordon,2,11,48,1,Cutting Finger Roll Layup Shot,0,4,-3,True
Eric Gordon,1,3,57,1,Cutting Finger Roll Layup Shot,0,-8,5,True
Eric Gordon,1,3,22,1,Cutting Layup Shot,6,56,32,True
Eric Gordon,2,10,58,1,Cutting Layup Shot,1,-17,5,True
Eric Gordon,2,10,48,1,Cutting Layup Shot,1,-19,6,True
Eric Gordon,2,9,29,0,Cutting Layup Shot,2,14,18,True
Eric Gordon,2,9,14,1,Cutting Layup Shot,1,5,9,True
Eric Gordon,2,3,23,0,Cutting Layup Shot,1,-11,6,True
Eric Gordon,1,7,51,1,Cutting Layup Shot,1,3,11,True
Eric Gordon,1,3,55,1,Cutting Layup Shot,1,-14,12,True
Eric Gordon,3,0,55,0,Cutting Layup Shot,7,56,46,True
Eric Gordon,1,1,56,1,Cutting Layup Shot,1,-11,-1,True
Eric Gordon,2,5,2,1,Cutting Layup Shot,3,-28,22,True
Eric Gordon,4,7,39,1,Cutting Layup Shot,2,20,5,True
Eric Gordon,1,11,19,1,Cutting Layup Shot,0,0,8,True
Eric Gordon,2,9,59,1,Cutting Layup Shot,1,-18,5,True
Eric Gordon,2,6,15,1,Driving Dunk Shot,1,-5,13,True
Eric Gordon,1,7,11,0,Driving Dunk Shot,0,0,1,True
Eric Gordon,3,9,6,1,Driving Dunk Shot,2,-2,21,True
Eric Gordon,3,0,24,1,Driving Dunk Shot,0,-2,6,True
Eric Gordon,1,1,31,1,Driving Dunk Shot,2,-3,22,True
Eric Gordon,1,2,21,1,Driving Dunk Shot,1,-4,11,True
Eric Gordon,4,4,38,1,Driving Finger Roll Layup Shot,0,4,6,True
Eric Gordon,1,9,25,1,Driving Finger Roll Layup Shot,2,16,15,True
Eric Gordon,3,5,26,1,Driving Finger Roll Layup Shot,1,-2,11,True
Eric Gordon,4,8,54,1,Driving Finger Roll Layup Shot,0,5,-2,True
Eric Gordon,1,9,45,0,Driving Finger Roll Layup Shot,3,-11,31,True
Eric Gordon,4,9,57,0,Driving Finger Roll Layup Shot,2,-17,16,True
Eric Gordon,1,10,36,1,Driving Finger Roll Layup Shot,0,1,9,True
Eric Gordon,2,11,21,0,Driving Finger Roll Layup Shot,2,6,26,True
Eric Gordon,4,8,50,1,Driving Finger Roll Layup Shot,3,3,37,True
Eric Gordon,1,9,59,1,Driving Finger Roll Layup Shot,0,-3,8,True
Eric Gordon,3,0,45,1,Driving Finger Roll Layup Shot,1,-1,17,True
Eric Gordon,1,6,21,0,Driving Finger Roll Layup Shot,4,20,38,True
