name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Ersan Ilyasova,3,3,1,1,Alley Oop Layup shot,2,8,21,True
Ersan Ilyasova,4,4,37,0,Alley Oop Layup shot,2,-7,29,True
Ersan Ilyasova,1,9,39,1,Cutting Dunk Shot,0,3,7,True
Ersan Ilyasova,2,6,5,1,Cutting Dunk Shot,1,6,9,True
Ersan Ilyasova,1,11,45,1,Cutting Dunk Shot,0,0,0,True
Ersan Ilyasova,2,10,25,1,Cutting Dunk Shot,1,-4,17,True
Ersan Ilyasova,4,3,4,1,Cutting Dunk Shot,1,8,12,True
Ersan Ilyasova,4,3,42,1,Cutting Finger Roll Layup Shot,1,7,-10,True
Ersan Ilyasova,1,4,36,1,Cutting Finger Roll Layup Shot,1,18,2,True
Ersan Ilyasova,1,7,50,1,Cutting Finger Roll Layup Shot,2,-20,13,True
Ersan Ilyasova,3,3,41,1,Cutting Finger Roll Layup Shot,1,9,15,True
Ersan Ilyasova,4,4,51,1,Cutting Finger Roll Layup Shot,0,1,9,True
Ersan Ilyasova,3,1,47,1,Cutting Layup Shot,2,-14,23,True
Ersan Ilyasova,2,3,29,1,Cutting Layup Shot,3,11,31,True
Ersan Ilyasova,3,11,44,1,Cutting Layup Shot,1,2,11,True
Ersan Ilyasova,2,6,16,1,Cutting Layup Shot,1,-12,11,True
Ersan Ilyasova,1,11,0,1,Cutting Layup Shot,1,-8,13,True
Ersan Ilyasova,2,9,55,1,Cutting Layup Shot,1,5,11,True
Ersan Ilyasova,3,4,44,1,Cutting Layup Shot,0,-5,0,True
Ersan Ilyasova,1,8,33,0,Cutting Layup Shot,1,-11,15,True
Ersan Ilyasova,4,9,42,1,Cutting Layup Shot,1,16,4,True
Ersan Ilyasova,4,7,15,1,Cutting Layup Shot,1,3,11,True
Ersan Ilyasova,4,4,35,1,Cutting Layup Shot,2,-3,21,True
Ersan Ilyasova,3,11,9,0,Cutting Layup Shot,2,6,20,True
Ersan Ilyasova,2,8,12,0,Cutting Layup Shot,6,-46,44,True
Ersan Ilyasova,1,6,12,1,Cutting Layup Shot,3,0,33,True
Ersan Ilyasova,4,11,45,1,Cutting Layup Shot,2,-18,10,True
Ersan Ilyasova,2,7,14,0,Cutting Layup Shot,1,15,5,True
Ersan Ilyasova,3,5,1,0,Cutting Layup Shot,2,0,20,True
Ersan Ilyasova,1,7,50,0,Cutting Layup Shot,2,22,15,True
Ersan Ilyasova,1,11,22,1,Cutting Layup Shot,4,33,26,True
Ersan Ilyasova,3,10,56,1,Cutting Layup Shot,0,7,1,True
Ersan Ilyasova,4,5,59,1,Cutting Layup Shot,1,-10,14,True
Ersan Ilyasova,1,9,53,0,Cutting Layup Shot,4,11,41,True
Ersan Ilyasova,1,10,41,1,Cutting Layup Shot,2,20,10,True
Ersan Ilyasova,2,6,1,0,Cutting Layup Shot,4,20,35,True
Ersan Ilyasova,3,10,37,1,Cutting Layup Shot,1,-3,14,True
Ersan Ilyasova,4,2,37,1,Cutting Layup Shot,1,-19,-5,True
Ersan Ilyasova,3,10,21,0,Cutting Layup Shot,2,3,22,True
Ersan Ilyasova,2,6,52,0,Cutting Layup Shot,2,11,19,True
Ersan Ilyasova,4,7,14,1,Cutting Layup Shot,2,12,27,True
Ersan Ilyasova,4,4,5,0,Cutting Layup Shot,1,9,12,True
Ersan Ilyasova,3,8,21,0,Driving Finger Roll Layup Shot,11,5,111,True
Ersan Ilyasova,3,11,1,1,Driving Finger Roll Layup Shot,1,14,0,True
Ersan Ilyasova,1,10,43,0,Driving Finger Roll Layup Shot,3,31,21,True
Ersan Ilyasova,1,8,49,1,Driving Floating Bank Jump Shot,9,67,64,True
Ersan Ilyasova,4,11,11,0,Driving Floating Bank Jump Shot,7,-28,65,True
Ersan Ilyasova,1,9,52,0,Driving Floating Bank Jump Shot,2,-11,19,True
Ersan Ilyasova,1,5,14,0,Driving Floating Jump Shot,4,42,17,True
Ersan Ilyasova,4,1,18,1,Driving Layup Shot,1,12,10,True
Ersan Ilyasova,1,10,20,1,Driving Layup Shot,0,-9,-1,True
Ersan Ilyasova,1,4,51,1,Driving Layup Shot,1,5,15,True
Ersan Ilyasova,4,9,45,0,Driving Layup Shot,1,6,19,True
Ersan Ilyasova,2,2,1,0,Driving Layup Shot,3,-9,34,True
Ersan Ilyasova,4,3,33,1,Driving Layup Shot,1,5,13,True
Ersan Ilyasova,3,10,28,0,Driving Layup Shot,1,-9,16,True
Ersan Ilyasova,1,7,41,1,Driving Layup Shot,0,-5,8,True
Ersan Ilyasova,1,4,1,1,Driving Layup Shot,1,7,15,True
