name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Evan Fournier,4,7,22,1,Cutting Finger Roll Layup Shot,2,-20,11,True
Evan Fournier,3,6,36,1,Cutting Finger Roll Layup Shot,2,1,22,True
Evan Fournier,1,9,6,0,Cutting Layup Shot,3,-3,34,True
Evan Fournier,3,5,31,1,Cutting Layup Shot,4,27,31,True
Evan Fournier,1,2,39,1,Cutting Layup Shot,1,13,8,True
Evan Fournier,1,6,52,1,Cutting Layup Shot,1,-13,13,True
Evan Fournier,1,6,28,1,Cutting Layup Shot,2,-16,19,True
Evan Fournier,3,10,41,0,Cutting Layup Shot,0,2,7,True
Evan Fournier,3,9,35,1,Cutting Layup Shot,2,18,10,True
Evan Fournier,1,9,39,1,Cutting Layup Shot,2,8,20,True
Evan Fournier,4,5,13,1,Cutting Layup Shot,2,2,25,True
Evan Fournier,1,10,47,1,Cutting Layup Shot,0,-4,6,True
Evan Fournier,1,8,31,1,Cutting Layup Shot,4,3,40,True
Evan Fournier,1,6,4,1,Cutting Layup Shot,0,-7,6,True
Evan Fournier,1,0,8,0,Cutting Layup Shot,5,-24,50,True
Evan Fournier,3,9,57,1,Cutting Layup Shot,1,-8,13,True
Evan Fournier,1,11,16,1,Cutting Layup Shot,0,1,4,True
Evan Fournier,2,1,38,0,Cutting Layup Shot,2,16,25,True
Evan Fournier,3,6,40,1,Cutting Layup Shot,4,28,41,True
Evan Fournier,4,6,57,1,Cutting Layup Shot,2,-1,23,True
Evan Fournier,1,10,51,1,Cutting Layup Shot,1,13,13,True
Evan Fournier,1,10,25,1,Cutting Layup Shot,0,6,0,True
Evan Fournier,2,2,25,1,Cutting Layup Shot,2,-11,21,True
Evan Fournier,3,9,2,1,Cutting Layup Shot,0,5,-3,True
Evan Fournier,4,5,45,1,Cutting Layup Shot,1,11,2,True
Evan Fournier,1,11,14,1,Cutting Layup Shot,2,17,14,True
Evan Fournier,1,10,33,1,Cutting Layup Shot,2,17,13,True
Evan Fournier,1,4,12,1,Driving Dunk Shot,2,3,22,True
Evan Fournier,2,3,59,1,Driving Dunk Shot,2,12,20,True
Evan Fournier,1,8,41,1,Driving Dunk Shot,1,2,11,True
Evan Fournier,4,0,7,1,Driving Dunk Shot,1,2,16,True
Evan Fournier,1,5,10,1,Driving Finger Roll Layup Shot,1,3,16,True
Evan Fournier,1,10,22,1,Driving Finger Roll Layup Shot,0,1,5,True
Evan Fournier,3,8,41,1,Driving Finger Roll Layup Shot,4,5,42,True
Evan Fournier,3,7,19,1,Driving Finger Roll Layup Shot,1,-13,1,True
Evan Fournier,3,10,6,0,Driving Finger Roll Layup Shot,2,21,16,True
Evan Fournier,2,2,8,1,Driving Finger Roll Layup Shot,4,-11,48,True
Evan Fournier,4,9,16,0,Driving Finger Roll Layup Shot,3,5,34,True
Evan Fournier,3,10,10,1,Driving Finger Roll Layup Shot,5,38,45,True
Evan Fournier,4,11,45,1,Driving Finger Roll Layup Shot,5,-16,53,True
Evan Fournier,1,5,54,0,Driving Finger Roll Layup Shot,5,41,36,True
Evan Fournier,1,8,55,1,Driving Finger Roll Layup Shot,2,19,19,True
Evan Fournier,4,3,49,1,Driving Finger Roll Layup Shot,6,-3,62,True
Evan Fournier,1,11,14,1,Driving Finger Roll Layup Shot,8,-7,86,True
Evan Fournier,3,6,27,0,Driving Finger Roll Layup Shot,3,-27,16,True
Evan Fournier,3,11,3,1,Driving Finger Roll Layup Shot,3,1,36,True
Evan Fournier,3,4,50,1,Driving Finger Roll Layup Shot,2,11,24,True
Evan Fournier,3,8,17,1,Driving Finger Roll Layup Shot,3,-2,36,True
Evan Fournier,4,1,29,1,Driving Finger Roll Layup Shot,6,-3,64,True
Evan Fournier,1,2,43,1,Driving Floating Bank Jump Shot,5,-46,27,True
Evan Fournier,2,2,47,1,Driving Floating Bank Jump Shot,8,-24,77,True
Evan Fournier,4,2,20,1,Driving Floating Bank Jump Shot,13,-102,86,True
Evan Fournier,3,11,18,1,Driving Floating Bank Jump Shot,4,-40,19,True
Evan Fournier,3,7,50,0,Driving Floating Bank Jump Shot,16,-126,105,True
Evan Fournier,2,1,4,0,Driving Floating Jump Shot,10,40,100,True
