name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Frank Kaminsky,2,5,37,1,Alley Oop Layup shot,1,-14,11,True
Frank Kaminsky,2,4,30,1,Alley Oop Layup shot,2,-25,4,True
Frank Kaminsky,4,7,51,1,Cutting Dunk Shot,0,8,0,True
Frank Kaminsky,4,6,15,1,Cutting Dunk Shot,1,0,13,True
Frank Kaminsky,2,5,5,1,Cutting Dunk Shot,1,-6,12,True
Frank Kaminsky,4,7,28,0,Cutting Dunk Shot,3,18,32,True
Frank Kaminsky,4,8,11,1,Cutting Finger Roll Layup Shot,2,-1,20,True
Frank Kaminsky,3,4,18,1,Cutting Layup Shot,1,8,8,True
Frank Kaminsky,1,0,49,0,Cutting Layup Shot,4,19,43,True
Frank Kaminsky,2,7,35,1,Cutting Layup Shot,3,34,14,True
Frank Kaminsky,4,2,28,1,Cutting Layup Shot,1,12,13,True
Frank Kaminsky,4,4,44,1,Cutting Layup Shot,1,5,9,True
Frank Kaminsky,1,4,1,0,Cutting Layup Shot,2,-17,13,True
Frank Kaminsky,2,7,0,0,Cutting Layup Shot,3,23,29,True
Frank Kaminsky,2,5,54,1,Cutting Layup Shot,1,-14,7,True
Frank Kaminsky,1,1,56,1,Cutting Layup Shot,1,11,16,True
Frank Kaminsky,4,5,27,0,Cutting Layup Shot,2,-19,8,True
Frank Kaminsky,2,11,46,0,Cutting Layup Shot,2,14,23,True
Frank Kaminsky,2,2,58,1,Driving Dunk Shot,2,9,21,True
Frank Kaminsky,2,6,43,1,Driving Finger Roll Layup Shot,1,0,19,True
Frank Kaminsky,2,5,17,1,Driving Finger Roll Layup Shot,3,13,35,True
Frank Kaminsky,2,8,24,1,Driving Finger Roll Layup Shot,6,49,42,True
Frank Kaminsky,2,8,56,0,Driving Floating Bank Jump Shot,12,-95,76,True
Frank Kaminsky,1,0,49,0,Driving Floating Bank Jump Shot,5,-43,36,True
Frank Kaminsky,4,7,38,1,Driving Floating Bank Jump Shot,8,6,87,True
Frank Kaminsky,1,1,21,0,Driving Floating Bank Jump Shot,6,62,23,True
Frank Kaminsky,3,0,30,0,Driving Floating Bank Jump Shot,5,42,28,True
Frank Kaminsky,4,8,23,1,Driving Floating Bank Jump Shot,3,-25,28,True
Frank Kaminsky,1,3,29,0,Driving Floating Bank Jump Shot,16,130,100,True
Frank Kaminsky,4,7,27,0,Driving Floating Jump Shot,9,-77,54,True
Frank Kaminsky,1,0,0,1,Driving Floating Jump Shot,6,-58,34,True
Frank Kaminsky,2,10,36,0,Driving Floating Jump Shot,11,-21,108,True
Frank Kaminsky,1,1,18,0,Driving Floating Jump Shot,5,3,59,True
Frank Kaminsky,2,8,36,1,Driving Floating Jump Shot,9,-2,90,True
Frank Kaminsky,4,7,40,0,Driving Floating Jump Shot,2,-18,17,True
Frank Kaminsky,1,1,8,1,Driving Floating Jump Shot,5,25,53,True
Frank Kaminsky,4,7,31,0,Driving Floating Jump Shot,5,-51,25,True
Frank Kaminsky,3,11,22,0,Driving Floating Jump Shot,7,39,59,True
Frank Kaminsky,4,7,56,1,Driving Floating Jump Shot,6,0,68,True
Frank Kaminsky,2,10,11,0,Driving Floating Jump Shot,11,36,111,True
Frank Kaminsky,4,11,44,0,Driving Floating Jump Shot,8,-7,84,True
Frank Kaminsky,4,11,27,0,Driving Floating Jump Shot,4,20,37,True
Frank Kaminsky,1,1,5,0,Driving Floating Jump Shot,7,6,73,True
Frank Kaminsky,4,0,41,0,Driving Floating Jump Shot,8,16,88,True
Frank Kaminsky,4,6,51,0,Driving Floating Jump Shot,10,35,100,True
Frank Kaminsky,4,2,2,1,Driving Floating Jump Shot,8,76,47,True
Frank Kaminsky,1,0,55,1,Driving Floating Jump Shot,6,9,68,True
Frank Kaminsky,3,2,13,1,Driving Floating Jump Shot,9,36,83,True
Frank Kaminsky,4,7,53,0,Driving Floating Jump Shot,9,-93,22,True
Frank Kaminsky,4,0,36,1,Driving Floating Jump Shot,6,-14,67,True
Frank Kaminsky,2,9,59,1,Driving Floating Jump Shot,10,35,103,True
Frank Kaminsky,1,2,11,0,Driving Floating Jump Shot,15,69,136,True
Frank Kaminsky,4,11,6,1,Driving Hook Shot,7,75,15,True
Frank Kaminsky,4,8,6,1,Driving Hook Shot,11,-17,113,True
Frank Kaminsky,4,11,45,1,Driving Hook Shot,6,6,66,True
Frank Kaminsky,4,4,23,1,Driving Hook Shot,7,3,73,True
Frank Kaminsky,2,7,42,0,Driving Hook Shot,3,35,8,True
Frank Kaminsky,2,8,11,0,Driving Hook Shot,2,-10,26,True
Frank Kaminsky,4,5,33,0,Driving Hook Shot,8,29,83,True
Frank Kaminsky,2,2,13,1,Driving Hook Shot,10,73,80,True
Frank Kaminsky,2,7,47,0,Driving Hook Shot,6,20,57,True
Frank Kaminsky,2,7,49,0,Driving Layup Shot,1,9,5,True
Frank Kaminsky,2,8,25,1,Driving Layup Shot,1,6,10,True
Frank Kaminsky,4,5,39,1,Driving Layup Shot,6,60,31,True
Frank Kaminsky,2,5,49,0,Driving Layup Shot,2,-13,20,True
Frank Kaminsky,1,0,41,1,Driving Layup Shot,1,-1,18,True
Frank Kaminsky,4,7,9,0,Driving Layup Shot,1,-3,10,True
Frank Kaminsky,1,0,23,0,Driving Layup Shot,3,-2,33,True
Frank Kaminsky,4,4,17,0,Driving Layup Shot,3,34,20,True
Frank Kaminsky,2,8,51,0,Driving Layup Shot,2,9,18,True
Frank Kaminsky,2,11,32,0,Driving Layup Shot,1,8,6,True
Frank Kaminsky,2,7,16,0,Driving Layup Shot,5,9,54,True
Frank Kaminsky,4,11,12,1,Driving Layup Shot,1,13,0,True
Frank Kaminsky,2,8,22,0,Driving Layup Shot,1,13,11,True
Frank Kaminsky,4,10,19,0,Driving Layup Shot,3,22,29,True
Frank Kaminsky,4,10,21,1,Driving Layup Shot,2,-2,26,True
