name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Harrison Barnes,3,6,1,0,Alley Oop Layup shot,2,-21,5,True
Harrison Barnes,3,9,57,1,Cutting Dunk Shot,1,-1,12,True
Harrison Barnes,3,4,38,1,Cutting Dunk Shot,0,-1,8,True
Harrison Barnes,4,2,35,1,Cutting Dunk Shot,0,-2,9,True
Harrison Barnes,4,0,53,1,Cutting Dunk Shot,0,6,6,True
Harrison Barnes,1,6,47,1,Cutting Dunk Shot,0,-5,3,True
Harrison Barnes,1,3,58,1,Cutting Dunk Shot,0,-7,7,True
Harrison Barnes,3,10,14,1,Cutting Dunk Shot,0,1,8,True
Harrison Barnes,1,11,9,1,Cutting Dunk Shot,1,-2,10,True
Harrison Barnes,1,5,50,1,Cutting Dunk Shot,0,1,4,True
Harrison Barnes,1,8,49,1,Cutting Dunk Shot,2,-11,17,True
Harrison Barnes,2,2,49,1,Cutting Dunk Shot,1,-6,10,True
Harrison Barnes,3,9,59,1,Cutting Dunk Shot,0,2,0,True
Harrison Barnes,4,0,12,1,Cutting Finger Roll Layup Shot,0,3,3,True
Harrison Barnes,2,3,29,1,Cutting Finger Roll Layup Shot,1,-9,13,True
Harrison Barnes,4,4,43,1,Cutting Layup Shot,1,-10,13,True
Harrison Barnes,2,0,51,1,Cutting Layup Shot,0,2,-5,True
Harrison Barnes,3,10,1,1,Cutting Layup Shot,3,3,32,True
Harrison Barnes,1,10,34,1,Cutting Layup Shot,0,3,5,True
Harrison Barnes,1,11,26,1,Cutting Layup Shot,1,-1,10,True
Harrison Barnes,2,3,39,1,Cutting Layup Shot,0,-2,1,True
Harrison Barnes,3,10,48,1,Cutting Layup Shot,1,-8,13,True
Harrison Barnes,1,5,28,1,Cutting Layup Shot,1,-16,8,True
Harrison Barnes,3,7,55,1,Cutting Layup Shot,2,8,25,True
Harrison Barnes,1,3,30,1,Cutting Layup Shot,0,-2,8,True
Harrison Barnes,2,4,21,1,Driving Bank Hook Shot,2,3,27,True
Harrison Barnes,3,8,49,1,Driving Bank Hook Shot,6,-2,64,True
Harrison Barnes,1,7,49,1,Driving Dunk Shot,1,2,17,True
Harrison Barnes,2,4,28,1,Driving Dunk Shot,0,-2,4,True
Harrison Barnes,4,5,47,1,Driving Dunk Shot,0,-1,5,True
Harrison Barnes,1,11,4,1,Driving Dunk Shot,2,-10,21,True
Harrison Barnes,3,2,21,0,Driving Dunk Shot,0,-3,5,True
Harrison Barnes,1,11,42,1,Driving Dunk Shot,1,-2,12,True
Harrison Barnes,3,3,0,1,Driving Dunk Shot,1,14,13,True
Harrison Barnes,3,8,32,1,Driving Dunk Shot,2,25,8,True
Harrison Barnes,1,8,48,1,Driving Dunk Shot,0,4,8,True
Harrison Barnes,1,5,22,1,Driving Dunk Shot,5,-29,41,True
Harrison Barnes,1,9,10,1,Driving Dunk Shot,0,7,0,True
Harrison Barnes,4,2,4,1,Driving Dunk Shot,1,5,13,True
Harrison Barnes,1,5,43,1,Driving Finger Roll Layup Shot,2,11,19,True
Harrison Barnes,3,10,32,0,Driving Finger Roll Layup Shot,2,-3,20,True
Harrison Barnes,4,6,34,1,Driving Finger Roll Layup Shot,2,12,27,True
Harrison Barnes,3,4,41,1,Driving Finger Roll Layup Shot,0,2,9,True
Harrison Barnes,1,8,14,1,Driving Finger Roll Layup Shot,2,14,15,True
Harrison Barnes,1,8,37,0,Driving Finger Roll Layup Shot,2,-4,25,True
Harrison Barnes,3,7,38,1,Driving Finger Roll Layup Shot,0,-2,6,True
Harrison Barnes,3,0,50,1,Driving Finger Roll Layup Shot,1,11,5,True
Harrison Barnes,2,4,22,1,Driving Finger Roll Layup Shot,1,9,16,True
Harrison Barnes,1,9,50,0,Driving Finger Roll Layup Shot,1,-6,11,True
Harrison Barnes,1,1,42,0,Driving Finger Roll Layup Shot,1,-18,5,True
Harrison Barnes,4,3,52,0,Driving Finger Roll Layup Shot,5,38,38,True
Harrison Barnes,2,1,52,0,Driving Finger Roll Layup Shot,3,3,36,True
Harrison Barnes,4,7,32,1,Driving Finger Roll Layup Shot,1,-7,10,True
Harrison Barnes,2,2,16,1,Driving Finger Roll Layup Shot,3,13,31,True
Harrison Barnes,1,5,18,1,Driving Finger Roll Layup Shot,0,4,4,True
Harrison Barnes,3,3,4,0,Driving Finger Roll Layup Shot,0,-4,9,True
Harrison Barnes,3,8,21,1,Driving Finger Roll Layup Shot,1,-6,18,True
Harrison Barnes,1,5,5,0,Driving Floating Bank Jump Shot,3,21,28,True
Harrison Barnes,2,0,0,1,Driving Floating Bank Jump Shot,5,42,39,True
Harrison Barnes,4,0,12,1,Driving Floating Bank Jump Shot,2,-21,8,True
Harrison Barnes,2,2,36,1,Driving Floating Bank Jump Shot,7,-58,49,True
Harrison Barnes,2,2,53,0,Driving Floating Bank Jump Shot,9,56,80,True
Harrison Barnes,3,2,53,0,Driving Floating Bank Jump Shot,2,4,20,True
Harrison Barnes,4,4,37,0,Driving Floating Bank Jump Shot,5,-11,55,True
Harrison Barnes,4,4,9,1,Driving Floating Bank Jump Shot,4,32,32,True
Harrison Barnes,1,8,13,0,Driving Floating Bank Jump Shot,2,-20,15,True
Harrison Barnes,3,1,34,1,Driving Floating Bank Jump Shot,4,13,41,True
Harrison Barnes,1,10,3,1,Driving Floating Bank Jump Shot,3,-25,22,True
Harrison Barnes,3,1,24,0,Driving Floating Bank Jump Shot,4,-35,30,True
Harrison Barnes,4,4,19,1,Driving Floating Bank Jump Shot,4,-36,28,True
Harrison Barnes,1,4,40,1,Driving Floating Bank Jump Shot,6,-63,24,True
Harrison Barnes,2,7,45,1,Driving Floating Bank Jump Shot,4,-30,33,True
Harrison Barnes,3,8,18,0,Driving Floating Bank Jump Shot,3,20,29,True
Harrison Barnes,2,1,33,0,Driving Floating Bank Jump Shot,8,61,55,True
Harrison Barnes,4,0,24,0,Driving Floating Bank Jump Shot,4,-41,15,True
Harrison Barnes,1,4,8,0,Driving Floating Bank Jump Shot,5,-4,56,True
Harrison Barnes,4,3,1,0,Driving Floating Bank Jump Shot,7,75,22,True
Harrison Barnes,1,6,9,1,Driving Floating Bank Jump Shot,1,8,12,True
Harrison Barnes,3,11,37,0,Driving Floating Bank Jump Shot,4,40,25,True
Harrison Barnes,3,8,48,0,Driving Floating Jump Shot,3,-5,31,True
Harrison Barnes,4,2,44,0,Driving Floating Jump Shot,4,-30,31,True
Harrison Barnes,1,8,48,0,Driving Floating Jump Shot,11,41,104,True
Harrison Barnes,4,2,11,0,Driving Floating Jump Shot,7,-8,71,True
Harrison Barnes,4,3,6,1,Driving Floating Jump Shot,3,34,-2,True
Harrison Barnes,3,8,2,0,Driving Floating Jump Shot,4,-11,41,True
Harrison Barnes,4,4,57,0,Driving Floating Jump Shot,4,18,36,True
Harrison Barnes,4,7,49,0,Driving Floating Jump Shot,4,33,27,True
Harrison Barnes,1,3,20,0,Driving Floating Jump Shot,14,-6,146,True
Harrison Barnes,4,2,44,0,Driving Floating Jump Shot,6,35,51,True
Harrison Barnes,2,4,48,0,Driving Floating Jump Shot,5,-13,52,True
Harrison Barnes,2,5,16,0,Driving Floating Jump Shot,6,64,23,True
Harrison Barnes,3,6,2,0,Driving Floating Jump Shot,7,12,72,True
Harrison Barnes,1,3,31,0,Driving Floating Jump Shot,6,60,6,True
Harrison Barnes,2,6,25,0,Driving Floating Jump Shot,0,-4,5,True
Harrison Barnes,5,0,40,0,Driving Floating Jump Shot,8,-39,75,True
Harrison Barnes,4,5,43,1,Driving Floating Jump Shot,6,5,62,True
Harrison Barnes,3,9,6,1,Driving Floating Jump Shot,8,-63,59,True
Harrison Barnes,3,3,27,1,Driving Floating Jump Shot,3,-11,37,True
Harrison Barnes,2,4,41,0,Driving Floating Jump Shot,6,-67,15,True
Harrison Barnes,1,7,8,0,Driving Floating Jump Shot,4,27,37,True
Harrison Barnes,1,3,2,0,Driving Floating Jump Shot,4,5,44,True
Harrison Barnes,3,11,11,1,Driving Floating Jump Shot,10,24,98,True
Harrison Barnes,1,10,27,0,Driving Floating Jump Shot,6,2,68,True
Harrison Barnes,3,6,54,1,Driving Floating Jump Shot,9,-3,92,True
Harrison Barnes,3,6,52,1,Driving Floating Jump Shot,5,6,52,True
