name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Ian Clark,4,10,37,1,Cutting Finger Roll Layup Shot,1,-14,-5,True
Ian Clark,4,10,1,0,Cutting Layup Shot,1,9,8,True
Ian Clark,3,3,23,1,Cutting Layup Shot,1,2,14,True
Ian Clark,1,0,9,1,Cutting Layup Shot,1,16,-4,True
Ian Clark,2,11,50,1,Cutting Layup Shot,7,-57,51,True
Ian Clark,1,3,37,1,Cutting Layup Shot,1,2,12,True
Ian Clark,3,4,13,0,Cutting Layup Shot,1,9,-8,True
Ian Clark,2,10,35,1,Cutting Layup Shot,1,-7,11,True
Ian Clark,2,8,41,1,Cutting Layup Shot,3,-3,36,True
Ian Clark,4,8,53,1,Cutting Layup Shot,2,25,10,True
Ian Clark,4,5,34,0,Cutting Layup Shot,3,-24,18,True
Ian Clark,3,9,25,1,Cutting Layup Shot,8,-76,27,True
Ian Clark,2,4,9,1,Cutting Layup Shot,0,5,8,True
Ian Clark,2,7,46,1,Cutting Layup Shot,2,-19,8,True
Ian Clark,2,7,23,0,Driving Finger Roll Layup Shot,6,-43,43,True
Ian Clark,2,11,47,0,Driving Finger Roll Layup Shot,1,16,10,True
Ian Clark,3,5,25,1,Driving Finger Roll Layup Shot,2,5,26,True
Ian Clark,4,11,6,0,Driving Finger Roll Layup Shot,2,18,13,True
Ian Clark,2,9,14,1,Driving Finger Roll Layup Shot,2,-14,15,True
Ian Clark,4,8,3,1,Driving Finger Roll Layup Shot,1,0,19,True
Ian Clark,1,3,16,1,Driving Finger Roll Layup Shot,6,0,64,True
Ian Clark,2,10,22,1,Driving Floating Bank Jump Shot,7,-58,51,True
Ian Clark,4,10,26,1,Driving Floating Bank Jump Shot,11,-106,30,True
Ian Clark,4,6,0,1,Driving Floating Bank Jump Shot,4,-16,46,True
Ian Clark,1,0,0,0,Driving Floating Bank Jump Shot,5,55,20,True
Ian Clark,3,5,26,1,Driving Floating Jump Shot,10,-84,55,True
Ian Clark,4,8,38,1,Driving Floating Jump Shot,7,-5,76,True
Ian Clark,2,10,57,1,Driving Floating Jump Shot,8,-26,83,True
Ian Clark,1,10,6,0,Driving Floating Jump Shot,7,74,20,True
Ian Clark,4,2,30,0,Driving Floating Jump Shot,11,-104,53,True
Ian Clark,3,10,4,1,Driving Floating Jump Shot,4,-2,45,True
Ian Clark,2,11,1,0,Driving Floating Jump Shot,6,16,60,True
Ian Clark,2,11,4,1,Driving Floating Jump Shot,9,-89,32,True
Ian Clark,2,4,44,1,Driving Floating Jump Shot,13,-18,138,True
Ian Clark,4,4,43,0,Driving Floating Jump Shot,8,-29,84,True
Ian Clark,1,0,1,0,Driving Floating Jump Shot,14,104,96,True
Ian Clark,4,11,50,0,Driving Floating Jump Shot,7,9,78,True
Ian Clark,1,1,17,1,Driving Floating Jump Shot,8,-29,81,True
Ian Clark,4,7,53,1,Driving Floating Jump Shot,10,-44,97,True
Ian Clark,3,1,30,0,Driving Floating Jump Shot,12,-41,114,True
Ian Clark,2,10,25,0,Driving Floating Jump Shot,10,-58,83,True
Ian Clark,2,6,11,0,Driving Hook Shot,6,-6,69,True
Ian Clark,1,2,34,0,Driving Layup Shot,3,28,14,True
Ian Clark,4,6,19,0,Driving Layup Shot,1,-7,17,True
Ian Clark,1,9,41,0,Driving Layup Shot,1,-15,10,True
Ian Clark,1,10,48,0,Driving Layup Shot,6,63,24,True
Ian Clark,4,2,12,1,Driving Layup Shot,0,2,0,True
Ian Clark,2,10,35,1,Driving Layup Shot,1,2,11,True
Ian Clark,3,1,4,1,Driving Layup Shot,4,-7,41,True
Ian Clark,2,0,24,1,Driving Layup Shot,0,3,8,True
Ian Clark,2,8,40,1,Driving Layup Shot,1,-17,7,True
Ian Clark,1,1,18,1,Driving Layup Shot,1,11,0,True
Ian Clark,4,7,23,0,Driving Layup Shot,4,-25,32,True
Ian Clark,2,11,44,1,Driving Layup Shot,2,1,21,True
Ian Clark,2,7,2,1,Driving Layup Shot,1,-19,6,True
Ian Clark,2,2,20,1,Driving Layup Shot,3,-16,31,True
Ian Clark,1,0,6,1,Driving Layup Shot,2,18,16,True
Ian Clark,3,4,24,1,Driving Layup Shot,1,-4,13,True
Ian Clark,1,2,12,1,Driving Layup Shot,7,67,34,True
Ian Clark,4,1,12,1,Driving Layup Shot,2,7,20,True
Ian Clark,2,9,53,0,Driving Layup Shot,4,-11,47,True
Ian Clark,4,1,25,1,Driving Layup Shot,7,-43,65,True
Ian Clark,4,10,5,1,Driving Layup Shot,5,-50,25,True
Ian Clark,3,3,24,0,Driving Layup Shot,6,-13,63,True
Ian Clark,3,0,10,0,Driving Layup Shot,4,35,25,True
Ian Clark,2,4,25,1,Driving Layup Shot,1,16,10,True
Ian Clark,4,2,20,0,Driving Layup Shot,2,19,14,True
Ian Clark,3,6,15,1,Driving Layup Shot,6,-49,39,True
Ian Clark,1,0,30,0,Driving Layup Shot,3,27,17,True
Ian Clark,3,2,7,1,Driving Layup Shot,0,-3,8,True
Ian Clark,2,6,37,0,Driving Layup Shot,5,-32,44,True
Ian Clark,2,2,39,1,Driving Layup Shot,0,6,-1,True
Ian Clark,2,10,6,1,Driving Layup Shot,1,-12,2,True
Ian Clark,1,0,18,1,Driving Layup Shot,1,-9,7,True
Ian Clark,4,0,49,1,Driving Layup Shot,6,-8,63,True
Ian Clark,4,6,8,0,Driving Layup Shot,1,-5,11,True
Ian Clark,2,3,55,0,Driving Layup Shot,1,15,-5,True
Ian Clark,4,3,31,1,Driving Reverse Layup Shot,3,8,32,True
Ian Clark,2,7,0,0,Driving Reverse Layup Shot,2,-20,1,True
Ian Clark,3,4,53,0,Finger Roll Layup Shot,2,-24,5,True
Ian Clark,4,2,10,1,Floating Jump shot,13,-49,126,True
Ian Clark,2,8,29,1,Floating Jump shot,5,-49,23,True
Ian Clark,2,11,10,1,Floating Jump shot,1,13,8,True
Ian Clark,2,3,59,1,Floating Jump shot,8,-33,83,True
Ian Clark,2,9,24,1,Floating Jump shot,8,14,79,True
Ian Clark,3,3,44,1,Floating Jump shot,9,-91,15,True
