name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
JJ Barea,4,9,23,0,Cutting Layup Shot,1,9,5,True
JJ Barea,4,1,4,1,Cutting Layup Shot,0,5,6,True
JJ Barea,2,2,1,0,Cutting Layup Shot,1,4,11,True
JJ Barea,4,8,25,1,Driving Finger Roll Layup Shot,1,7,9,True
JJ Barea,2,8,25,1,Driving Finger Roll Layup Shot,2,-22,8,True
JJ Barea,2,11,6,0,Driving Finger Roll Layup Shot,2,0,25,True
JJ Barea,4,11,32,0,Driving Finger Roll Layup Shot,0,9,4,True
JJ Barea,4,11,6,0,Driving Finger Roll Layup Shot,2,4,26,True
JJ Barea,4,10,20,1,Driving Finger Roll Layup Shot,1,7,15,True
JJ Barea,4,7,10,0,Driving Finger Roll Layup Shot,2,1,21,True
JJ Barea,3,1,11,1,Driving Finger Roll Layup Shot,1,-3,16,True
JJ Barea,1,0,38,1,Driving Finger Roll Layup Shot,1,8,11,True
JJ Barea,1,1,46,1,Driving Finger Roll Layup Shot,0,2,1,True
JJ Barea,2,10,18,1,Driving Finger Roll Layup Shot,2,-22,0,True
JJ Barea,2,10,44,1,Driving Finger Roll Layup Shot,3,19,27,True
JJ Barea,4,7,15,1,Driving Finger Roll Layup Shot,1,1,12,True
JJ Barea,3,3,30,1,Driving Finger Roll Layup Shot,1,17,8,True
JJ Barea,4,8,23,0,Driving Finger Roll Layup Shot,0,-2,1,True
JJ Barea,1,0,33,1,Driving Floating Bank Jump Shot,3,-30,13,True
JJ Barea,2,6,1,1,Driving Floating Bank Jump Shot,4,-41,21,True
JJ Barea,2,9,10,1,Driving Floating Bank Jump Shot,6,-51,43,True
JJ Barea,3,0,31,0,Driving Floating Bank Jump Shot,6,-54,34,True
JJ Barea,1,10,35,1,Driving Floating Bank Jump Shot,6,62,27,True
JJ Barea,4,7,1,1,Driving Floating Bank Jump Shot,6,-11,59,True
JJ Barea,4,2,0,1,Driving Floating Bank Jump Shot,9,-84,42,True
JJ Barea,1,4,55,0,Driving Floating Bank Jump Shot,6,-36,52,True
JJ Barea,2,4,3,1,Driving Floating Bank Jump Shot,10,90,56,True
JJ Barea,4,10,47,1,Driving Floating Bank Jump Shot,10,-86,57,True
JJ Barea,3,0,31,0,Driving Floating Bank Jump Shot,4,30,35,True
JJ Barea,1,1,33,1,Driving Floating Bank Jump Shot,2,-24,0,True
JJ Barea,1,4,25,0,Driving Floating Bank Jump Shot,8,-47,67,True
JJ Barea,1,0,56,0,Driving Floating Bank Jump Shot,9,96,12,True
JJ Barea,1,3,55,1,Driving Floating Bank Jump Shot,8,70,41,True
JJ Barea,4,11,16,1,Driving Floating Bank Jump Shot,6,52,35,True
JJ Barea,1,2,1,1,Driving Floating Bank Jump Shot,12,-94,85,True
JJ Barea,4,8,36,0,Driving Floating Bank Jump Shot,11,58,98,True
JJ Barea,2,2,31,0,Driving Floating Bank Jump Shot,7,-62,41,True
JJ Barea,2,2,19,1,Driving Floating Bank Jump Shot,6,-41,54,True
JJ Barea,3,0,31,1,Driving Floating Bank Jump Shot,8,79,36,True
JJ Barea,4,8,33,0,Driving Floating Bank Jump Shot,3,-27,26,True
JJ Barea,4,10,13,1,Driving Floating Bank Jump Shot,6,56,36,True
JJ Barea,1,5,59,0,Driving Floating Bank Jump Shot,6,-11,61,True
JJ Barea,4,2,12,1,Driving Floating Bank Jump Shot,3,25,23,True
JJ Barea,3,0,2,0,Driving Floating Jump Shot,11,2,115,True
JJ Barea,4,1,57,0,Driving Floating Jump Shot,3,-14,37,True
JJ Barea,2,5,31,0,Driving Floating Jump Shot,1,11,8,True
JJ Barea,2,8,25,1,Driving Floating Jump Shot,6,-11,67,True
JJ Barea,2,1,57,0,Driving Floating Jump Shot,0,3,2,True
JJ Barea,2,11,0,1,Driving Floating Jump Shot,7,14,71,True
JJ Barea,2,11,40,0,Driving Floating Jump Shot,10,-99,28,True
JJ Barea,1,0,30,0,Driving Floating Jump Shot,7,47,56,True
JJ Barea,2,5,23,1,Driving Floating Jump Shot,6,56,36,True
JJ Barea,1,1,21,1,Driving Floating Jump Shot,9,81,56,True
JJ Barea,3,0,5,1,Driving Floating Jump Shot,24,-190,148,False
JJ Barea,4,11,23,0,Driving Floating Jump Shot,8,44,75,True
JJ Barea,2,9,58,1,Driving Floating Jump Shot,4,18,43,True
JJ Barea,3,7,7,0,Driving Floating Jump Shot,15,11,152,True
JJ Barea,3,2,16,0,Driving Floating Jump Shot,9,-44,89,True
JJ Barea,2,1,16,0,Driving Floating Jump Shot,4,-30,39,True
JJ Barea,2,8,28,1,Driving Floating Jump Shot,8,-45,75,True
JJ Barea,1,11,31,1,Driving Floating Jump Shot,5,-35,46,True
JJ Barea,2,0,7,0,Driving Floating Jump Shot,9,-3,91,True
JJ Barea,4,9,28,1,Driving Floating Jump Shot,8,0,83,True
JJ Barea,1,2,0,0,Driving Floating Jump Shot,5,57,4,True
JJ Barea,4,8,6,1,Driving Floating Jump Shot,6,60,22,True
JJ Barea,1,3,29,0,Driving Floating Jump Shot,8,69,55,True
JJ Barea,1,2,19,0,Driving Floating Jump Shot,5,-8,55,True
JJ Barea,3,2,25,0,Driving Floating Jump Shot,5,-20,47,True
JJ Barea,3,5,12,0,Driving Floating Jump Shot,11,-9,111,True
JJ Barea,2,9,24,0,Driving Floating Jump Shot,10,-6,102,True
JJ Barea,4,10,19,1,Driving Layup Shot,1,6,17,True
JJ Barea,4,3,22,1,Driving Layup Shot,0,8,2,True
JJ Barea,3,2,24,0,Driving Layup Shot,1,11,16,True
JJ Barea,4,6,26,0,Driving Layup Shot,0,-3,-6,True
JJ Barea,2,8,17,0,Driving Layup Shot,0,-6,-1,True
JJ Barea,4,5,42,0,Driving Layup Shot,1,9,8,True
JJ Barea,2,10,22,1,Driving Layup Shot,7,57,53,True
JJ Barea,3,8,47,0,Driving Layup Shot,5,41,34,True
JJ Barea,2,9,31,1,Driving Layup Shot,1,9,5,True
JJ Barea,5,3,49,1,Driving Layup Shot,1,-7,18,True
JJ Barea,2,10,26,1,Driving Layup Shot,0,0,5,True
JJ Barea,1,0,57,1,Driving Layup Shot,2,6,21,True
JJ Barea,4,9,55,1,Driving Layup Shot,1,-12,13,True
JJ Barea,2,11,9,0,Driving Layup Shot,1,14,11,True
