name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Jabari Parker,3,5,58,1,Alley Oop Dunk Shot,0,-3,6,True
Jabari Parker,1,1,19,1,Alley Oop Dunk Shot,1,1,14,True
Jabari Parker,1,2,30,1,Alley Oop Dunk Shot,0,0,-1,True
Jabari Parker,2,2,3,0,Alley Oop Dunk Shot,1,13,4,True
Jabari Parker,1,3,10,1,Alley Oop Dunk Shot,1,13,10,True
Jabari Parker,2,5,44,1,Alley Oop Dunk Shot,0,-9,4,True
Jabari Parker,2,2,10,0,Alley Oop Dunk Shot,0,-4,2,True
Jabari Parker,2,7,20,1,Cutting Dunk Shot,1,7,13,True
Jabari Parker,1,5,20,1,Cutting Dunk Shot,1,2,10,True
Jabari Parker,4,3,53,1,Cutting Dunk Shot,0,3,9,True
Jabari Parker,3,5,31,1,Cutting Dunk Shot,0,0,8,True
Jabari Parker,5,0,54,1,Cutting Dunk Shot,1,4,16,True
Jabari Parker,3,2,51,1,Cutting Dunk Shot,2,-2,20,True
Jabari Parker,2,8,8,1,Cutting Dunk Shot,1,2,13,True
Jabari Parker,1,3,38,1,Cutting Dunk Shot,1,15,11,True
Jabari Parker,1,3,30,1,Cutting Layup Shot,3,-23,28,True
Jabari Parker,4,8,19,0,Driving Bank Hook Shot,2,22,1,True
Jabari Parker,1,0,1,1,Driving Dunk Shot,1,-8,13,True
Jabari Parker,3,0,31,1,Driving Dunk Shot,3,-29,15,True
Jabari Parker,3,1,7,1,Driving Dunk Shot,0,0,9,True
Jabari Parker,3,8,46,1,Driving Dunk Shot,0,8,4,True
Jabari Parker,1,1,59,1,Driving Dunk Shot,0,3,6,True
Jabari Parker,4,7,44,1,Driving Dunk Shot,1,1,13,True
Jabari Parker,4,3,52,0,Driving Dunk Shot,1,6,15,True
Jabari Parker,2,0,31,1,Driving Dunk Shot,2,-1,23,True
Jabari Parker,2,1,18,1,Driving Dunk Shot,0,5,6,True
Jabari Parker,4,0,51,1,Driving Dunk Shot,0,-7,5,True
Jabari Parker,2,10,8,1,Driving Finger Roll Layup Shot,1,-8,8,True
Jabari Parker,2,0,52,1,Driving Finger Roll Layup Shot,1,-4,11,True
Jabari Parker,4,5,29,1,Driving Finger Roll Layup Shot,3,-30,12,True
Jabari Parker,4,6,56,0,Driving Finger Roll Layup Shot,3,-25,17,True
Jabari Parker,2,0,1,0,Driving Floating Jump Shot,2,-24,-5,True
Jabari Parker,1,4,52,0,Driving Floating Jump Shot,2,-24,8,True
Jabari Parker,1,2,3,0,Driving Floating Jump Shot,8,-2,80,True
Jabari Parker,3,4,24,0,Driving Hook Shot,5,11,56,True
Jabari Parker,4,8,0,1,Driving Hook Shot,5,0,51,True
Jabari Parker,4,10,9,0,Driving Hook Shot,7,-64,36,True
Jabari Parker,1,1,23,0,Driving Layup Shot,2,16,16,True
Jabari Parker,4,11,48,1,Driving Layup Shot,1,-8,13,True
Jabari Parker,1,0,38,1,Driving Layup Shot,2,6,20,True
Jabari Parker,3,2,57,1,Driving Layup Shot,2,0,29,True
Jabari Parker,2,7,30,0,Driving Layup Shot,1,-9,14,True
Jabari Parker,2,7,13,1,Driving Layup Shot,1,8,17,True
Jabari Parker,2,9,0,0,Driving Layup Shot,3,-22,24,True
Jabari Parker,2,2,16,0,Driving Layup Shot,2,9,18,True
Jabari Parker,3,1,25,1,Driving Layup Shot,0,0,5,True
Jabari Parker,3,4,23,1,Driving Layup Shot,3,35,15,True
Jabari Parker,4,7,59,0,Driving Layup Shot,2,11,25,True
Jabari Parker,1,4,17,1,Driving Layup Shot,1,12,8,True
Jabari Parker,1,2,6,1,Driving Layup Shot,1,-12,12,True
Jabari Parker,1,2,14,1,Driving Layup Shot,1,-1,10,True
Jabari Parker,1,4,56,1,Driving Layup Shot,2,9,20,True
Jabari Parker,4,10,18,1,Driving Layup Shot,0,6,5,True
Jabari Parker,3,8,9,0,Driving Layup Shot,1,-9,13,True
Jabari Parker,1,2,16,0,Driving Layup Shot,1,-7,11,True
Jabari Parker,4,5,37,1,Driving Layup Shot,1,11,1,True
Jabari Parker,2,5,32,0,Driving Layup Shot,1,-4,17,True
Jabari Parker,2,11,15,0,Driving Layup Shot,3,-26,16,True
Jabari Parker,1,3,24,0,Driving Layup Shot,3,16,29,True
Jabari Parker,2,11,41,0,Driving Layup Shot,8,19,78,True
Jabari Parker,2,10,16,0,Driving Reverse Layup Shot,2,1,25,True
Jabari Parker,3,0,30,0,Dunk Shot,2,-5,24,True
Jabari Parker,1,3,40,0,Dunk Shot,1,-6,17,True
Jabari Parker,3,9,8,1,Dunk Shot,0,-8,-4,True
Jabari Parker,3,4,30,1,Dunk Shot,1,13,12,True
Jabari Parker,1,2,7,1,Dunk Shot,1,17,-1,True
Jabari Parker,3,4,44,0,Dunk Shot,1,-8,10,True
Jabari Parker,2,8,49,0,Dunk Shot,1,5,15,True
Jabari Parker,3,10,1,0,Dunk Shot,1,19,4,True
Jabari Parker,1,2,56,0,Dunk Shot,2,10,25,True
Jabari Parker,3,6,45,1,Dunk Shot,3,-5,30,True
Jabari Parker,4,0,7,0,Fadeaway Jump Shot,9,-71,60,True
Jabari Parker,3,6,55,1,Fadeaway Jump Shot,13,-121,52,True
Jabari Parker,2,10,41,0,Fadeaway Jump Shot,6,37,54,True
Jabari Parker,2,9,57,0,Fadeaway Jump Shot,16,130,101,True
Jabari Parker,2,11,42,0,Floating Jump shot,3,-1,33,True
Jabari Parker,4,10,24,1,Floating Jump shot,10,-4,108,True
Jabari Parker,3,3,20,1,Floating Jump shot,12,-3,129,True
Jabari Parker,1,1,25,0,Hook Shot,8,77,27,True
Jabari Parker,3,9,2,1,Hook Shot,3,-22,21,True
Jabari Parker,1,4,56,0,Hook Shot,14,-146,-11,True
Jabari Parker,1,5,3,0,Hook Shot,3,29,13,True
Jabari Parker,1,4,31,0,Jump Bank Shot,3,20,25,True
Jabari Parker,1,2,15,1,Jump Bank Shot,18,-31,179,True
Jabari Parker,4,10,8,1,Jump Bank Shot,9,91,18,True
Jabari Parker,2,1,7,1,Jump Shot,9,61,79,True
Jabari Parker,3,6,0,0,Jump Shot,25,-174,185,False
Jabari Parker,2,4,49,0,Jump Shot,17,-165,68,True
Jabari Parker,2,10,56,1,Jump Shot,28,-195,202,False
Jabari Parker,2,1,15,1,Jump Shot,19,-144,133,True
Jabari Parker,4,8,50,0,Jump Shot,14,92,113,True
Jabari Parker,4,8,12,1,Jump Shot,25,63,243,False
Jabari Parker,2,10,0,0,Jump Shot,28,-45,277,False
Jabari Parker,3,10,46,1,Jump Shot,12,-87,92,True
Jabari Parker,1,10,1,0,Jump Shot,15,155,4,True
Jabari Parker,4,4,55,0,Jump Shot,26,148,220,False
Jabari Parker,2,9,45,0,Jump Shot,16,-55,155,True
Jabari Parker,3,9,43,0,Jump Shot,19,-5,192,True
Jabari Parker,1,10,48,1,Jump Shot,23,234,31,False
Jabari Parker,2,11,50,1,Jump Shot,22,-58,220,True
Jabari Parker,1,4,27,1,Jump Shot,19,-199,10,True
Jabari Parker,2,5,21,0,Jump Shot,15,-114,110,True
Jabari Parker,3,10,59,1,Jump Shot,24,204,144,False
Jabari Parker,2,10,29,0,Jump Shot,25,115,231,False
Jabari Parker,4,2,18,1,Jump Shot,24,-123,214,False
Jabari Parker,4,11,3,0,Jump Shot,11,84,81,True
Jabari Parker,3,5,49,0,Jump Shot,15,-154,1,True
Jabari Parker,4,1,2,0,Jump Shot,27,-132,241,False
Jabari Parker,1,3,35,0,Jump Shot,26,-27,267,False
Jabari Parker,2,6,20,0,Jump Shot,15,-100,121,True
Jabari Parker,2,4,42,1,Jump Shot,26,-92,246,False
Jabari Parker,1,1,37,0,Jump Shot,26,181,189,False
Jabari Parker,5,3,7,0,Jump Shot,22,-226,28,False
Jabari Parker,1,4,12,1,Jump Shot,24,67,237,False
