name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Jahlil Okafor,2,7,19,1,Cutting Dunk Shot,1,-3,10,True
Jahlil Okafor,2,11,49,0,Cutting Layup Shot,1,9,6,True
Jahlil Okafor,4,11,8,1,Cutting Layup Shot,1,14,9,True
Jahlil Okafor,3,3,24,1,Cutting Layup Shot,3,30,10,True
Jahlil Okafor,2,7,6,1,Cutting Layup Shot,4,-7,47,True
Jahlil Okafor,2,9,31,1,Driving Dunk Shot,1,-5,17,True
Jahlil Okafor,4,9,39,1,Driving Dunk Shot,1,-8,7,True
Jahlil Okafor,4,1,29,1,Driving Finger Roll Layup Shot,2,-7,25,True
Jahlil Okafor,2,9,53,1,Driving Floating Jump Shot,8,-1,88,True
Jahlil Okafor,3,1,39,0,Driving Floating Jump Shot,7,5,73,True
Jahlil Okafor,4,7,8,1,Driving Floating Jump Shot,12,20,122,True
Jahlil Okafor,2,5,46,1,Driving Hook Shot,8,2,83,True
Jahlil Okafor,4,10,10,0,Driving Hook Shot,9,39,84,True
Jahlil Okafor,2,8,59,1,Driving Layup Shot,4,-9,47,True
Jahlil Okafor,4,9,7,0,Driving Layup Shot,1,18,-5,True
Jahlil Okafor,2,7,42,0,Driving Layup Shot,3,-38,-3,True
Jahlil Okafor,4,11,28,1,Driving Layup Shot,1,-6,11,True
Jahlil Okafor,4,10,27,1,Driving Layup Shot,2,-11,18,True
Jahlil Okafor,4,9,57,0,Driving Layup Shot,1,-14,4,True
Jahlil Okafor,1,2,33,1,Driving Layup Shot,1,-13,-4,True
Jahlil Okafor,1,1,24,1,Driving Layup Shot,1,-7,8,True
Jahlil Okafor,2,8,56,1,Dunk Shot,0,2,6,True
Jahlil Okafor,3,2,11,1,Dunk Shot,1,6,10,True
Jahlil Okafor,1,1,30,1,Dunk Shot,1,0,11,True
Jahlil Okafor,4,8,40,1,Dunk Shot,1,2,15,True
Jahlil Okafor,1,0,47,0,Fadeaway Jump Shot,6,6,63,True
Jahlil Okafor,2,7,8,1,Floating Jump shot,5,5,59,True
Jahlil Okafor,3,1,38,1,Floating Jump shot,6,-14,68,True
Jahlil Okafor,2,9,0,0,Floating Jump shot,11,-2,114,True
Jahlil Okafor,3,4,20,0,Floating Jump shot,12,-31,122,True
Jahlil Okafor,4,3,9,1,Floating Jump shot,6,2,60,True
Jahlil Okafor,2,10,5,1,Floating Jump shot,8,84,5,True
Jahlil Okafor,4,5,38,1,Floating Jump shot,11,-9,117,True
Jahlil Okafor,1,0,22,0,Floating Jump shot,9,1,96,True
Jahlil Okafor,4,1,52,1,Floating Jump shot,5,-24,44,True
Jahlil Okafor,4,2,20,0,Hook Shot,4,-31,32,True
Jahlil Okafor,4,8,19,1,Hook Shot,3,-24,29,True
Jahlil Okafor,4,8,55,1,Hook Shot,5,-19,54,True
Jahlil Okafor,2,11,15,1,Hook Shot,8,-1,85,True
Jahlil Okafor,2,6,42,0,Hook Shot,6,-15,64,True
Jahlil Okafor,4,10,36,1,Hook Shot,1,-5,17,True
Jahlil Okafor,4,5,38,0,Hook Shot,5,-2,57,True
Jahlil Okafor,4,3,0,0,Hook Shot,9,-18,91,True
Jahlil Okafor,2,8,23,0,Jump Shot,9,-50,75,True
Jahlil Okafor,4,0,34,1,Jump Shot,22,222,11,False
Jahlil Okafor,3,3,34,0,Jump Shot,10,32,104,True
Jahlil Okafor,3,0,1,0,Jump Shot,25,-24,254,False
Jahlil Okafor,1,2,50,0,Jump Shot,15,-13,155,True
Jahlil Okafor,3,0,56,1,Jump Shot,7,-70,7,True
Jahlil Okafor,2,5,18,1,Jump Shot,12,121,6,True
Jahlil Okafor,1,4,13,0,Jump Shot,13,-7,134,True
Jahlil Okafor,2,4,34,1,Jump Shot,12,-113,63,True
Jahlil Okafor,4,6,14,1,Jump Shot,8,2,86,True
Jahlil Okafor,2,8,32,1,Jump Shot,10,-100,10,True
Jahlil Okafor,2,7,37,0,Layup Shot,1,-3,10,True
Jahlil Okafor,4,4,12,1,Layup Shot,1,12,-1,True
Jahlil Okafor,3,2,55,0,Layup Shot,2,-3,29,True
Jahlil Okafor,4,1,48,1,Layup Shot,1,-16,4,True
Jahlil Okafor,1,3,29,0,Layup Shot,4,-38,28,True
Jahlil Okafor,1,0,2,0,Layup Shot,3,-34,18,True
Jahlil Okafor,3,4,23,1,Layup Shot,1,8,17,True
Jahlil Okafor,4,5,14,0,Layup Shot,5,14,58,True
Jahlil Okafor,4,9,34,1,Layup Shot,1,-16,9,True
Jahlil Okafor,2,11,8,0,Layup Shot,1,0,10,True
Jahlil Okafor,3,1,2,1,Layup Shot,2,-5,23,True
Jahlil Okafor,4,1,17,0,Layup Shot,4,-6,43,True
Jahlil Okafor,2,7,38,1,Layup Shot,0,3,8,True
Jahlil Okafor,2,11,18,1,Layup Shot,1,8,11,True
Jahlil Okafor,2,10,16,1,Layup Shot,2,0,22,True
Jahlil Okafor,4,10,0,1,Layup Shot,2,9,20,True
Jahlil Okafor,2,10,40,0,Layup Shot,2,-16,12,True
Jahlil Okafor,1,0,22,0,Layup Shot,2,-19,23,True
Jahlil Okafor,1,4,10,0,Layup Shot,2,-21,1,True
Jahlil Okafor,3,10,29,0,Pullup Jump shot,14,-57,132,True
