name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
James Ennis III,4,0,19,1,Alley Oop Dunk Shot,1,-6,15,True
James Ennis III,4,5,33,1,Alley Oop Layup shot,0,-7,7,True
James Ennis III,3,0,29,0,Alley Oop Layup shot,1,-13,14,True
James Ennis III,3,0,24,1,Cutting Dunk Shot,1,-2,13,True
James Ennis III,3,3,30,1,Cutting Dunk Shot,0,-8,5,True
James Ennis III,2,0,37,1,Cutting Dunk Shot,0,6,3,True
James Ennis III,4,11,50,1,Cutting Finger Roll Layup Shot,1,-6,10,True
James Ennis III,4,0,34,0,Cutting Layup Shot,3,26,16,True
James Ennis III,3,9,6,1,Cutting Layup Shot,2,12,20,True
James Ennis III,3,9,38,1,Cutting Layup Shot,1,1,19,True
James Ennis III,1,10,42,1,Cutting Layup Shot,0,-2,4,True
James Ennis III,3,5,28,1,Cutting Layup Shot,1,13,13,True
James Ennis III,2,9,26,1,Cutting Layup Shot,1,4,15,True
James Ennis III,3,10,16,1,Cutting Layup Shot,1,8,12,True
James Ennis III,2,3,42,1,Cutting Layup Shot,1,3,19,True
James Ennis III,3,7,7,0,Cutting Layup Shot,2,13,16,True
James Ennis III,2,9,54,1,Cutting Layup Shot,0,0,3,True
James Ennis III,1,6,7,0,Cutting Layup Shot,1,13,8,True
James Ennis III,2,0,43,0,Cutting Layup Shot,0,-2,5,True
James Ennis III,2,8,45,1,Cutting Layup Shot,1,-9,8,True
James Ennis III,1,1,24,1,Cutting Layup Shot,1,1,10,True
James Ennis III,3,0,30,0,Cutting Layup Shot,2,20,21,True
James Ennis III,3,7,11,1,Cutting Layup Shot,4,-1,47,True
James Ennis III,2,3,10,1,Cutting Layup Shot,1,13,-4,True
James Ennis III,4,8,8,0,Driving Dunk Shot,4,-47,15,True
James Ennis III,3,11,30,1,Driving Dunk Shot,0,0,9,True
James Ennis III,2,3,11,1,Driving Dunk Shot,0,5,3,True
James Ennis III,4,11,25,1,Driving Dunk Shot,2,3,23,True
James Ennis III,3,9,34,1,Driving Dunk Shot,1,-3,13,True
James Ennis III,1,11,50,0,Driving Finger Roll Layup Shot,3,-30,15,True
James Ennis III,4,11,19,0,Driving Floating Bank Jump Shot,8,57,57,True
James Ennis III,1,4,27,0,Driving Floating Bank Jump Shot,4,-9,44,True
James Ennis III,1,0,45,0,Driving Floating Jump Shot,3,21,33,True
James Ennis III,1,2,54,0,Driving Floating Jump Shot,8,-82,16,True
James Ennis III,4,5,27,1,Driving Hook Shot,8,61,60,True
James Ennis III,2,9,33,0,Driving Layup Shot,3,25,23,True
James Ennis III,1,4,5,1,Driving Layup Shot,1,-2,12,True
James Ennis III,4,9,54,1,Driving Layup Shot,0,-6,-4,True
James Ennis III,4,8,8,0,Driving Layup Shot,9,72,59,True
James Ennis III,2,6,54,0,Driving Layup Shot,4,11,39,True
James Ennis III,1,5,24,0,Driving Layup Shot,9,-46,78,True
James Ennis III,4,11,37,0,Driving Layup Shot,3,3,33,True
James Ennis III,1,4,50,1,Driving Layup Shot,0,1,0,True
James Ennis III,4,10,43,0,Driving Layup Shot,3,-13,28,True
James Ennis III,2,9,30,0,Driving Layup Shot,4,22,41,True
James Ennis III,1,2,17,1,Driving Layup Shot,1,-5,10,True
James Ennis III,1,1,10,1,Driving Layup Shot,1,-11,6,True
James Ennis III,4,10,55,0,Driving Layup Shot,1,-10,11,True
James Ennis III,2,8,33,0,Driving Layup Shot,3,-32,13,True
James Ennis III,2,0,47,1,Driving Layup Shot,0,3,3,True
James Ennis III,2,3,50,1,Driving Layup Shot,2,9,19,True
James Ennis III,2,4,23,1,Driving Layup Shot,0,-3,-5,True
James Ennis III,3,6,54,0,Driving Layup Shot,2,20,10,True
James Ennis III,1,7,6,0,Driving Layup Shot,1,-3,11,True
James Ennis III,2,9,18,0,Driving Layup Shot,0,0,6,True
James Ennis III,1,4,18,0,Driving Layup Shot,2,-19,8,True
James Ennis III,1,0,19,1,Driving Layup Shot,1,-3,13,True
James Ennis III,1,0,59,1,Driving Layup Shot,1,14,-3,True
James Ennis III,3,8,10,0,Driving Layup Shot,3,-26,15,True
James Ennis III,3,9,2,1,Driving Reverse Layup Shot,1,14,0,True
James Ennis III,4,2,50,0,Driving Reverse Layup Shot,3,-37,13,True
James Ennis III,3,2,43,0,Driving Reverse Layup Shot,3,24,20,True
James Ennis III,2,7,20,1,Driving Reverse Layup Shot,1,7,13,True
James Ennis III,4,1,54,1,Dunk Shot,0,-3,2,True
James Ennis III,2,5,1,1,Dunk Shot,1,3,10,True
James Ennis III,2,5,1,1,Dunk Shot,0,-2,4,True
James Ennis III,3,0,16,1,Dunk Shot,1,-1,13,True
James Ennis III,3,3,12,1,Dunk Shot,0,-7,-5,True
James Ennis III,3,0,52,1,Dunk Shot,0,-2,5,True
James Ennis III,4,5,28,0,Dunk Shot,0,5,2,True
James Ennis III,4,8,47,0,Fadeaway Jump Shot,9,-58,76,True
James Ennis III,2,6,56,0,Fadeaway Jump Shot,10,-2,104,True
James Ennis III,4,9,22,0,Fadeaway Jump Shot,7,-15,75,True
James Ennis III,2,6,11,0,Fadeaway Jump Shot,13,-74,118,True
James Ennis III,2,1,58,0,Fadeaway Jump Shot,24,234,66,False
James Ennis III,2,8,50,0,Fadeaway Jump Shot,15,99,121,True
James Ennis III,3,0,27,1,Fadeaway Jump Shot,9,96,13,True
James Ennis III,2,5,20,0,Fadeaway Jump Shot,11,53,106,True
James Ennis III,4,10,57,0,Fadeaway Jump Shot,7,44,63,True
James Ennis III,4,11,10,0,Floating Jump shot,8,-72,42,True
James Ennis III,4,8,3,1,Floating Jump shot,12,62,111,True
James Ennis III,4,5,37,0,Jump Shot,23,234,21,False
James Ennis III,2,5,39,0,Jump Shot,24,-188,160,False
James Ennis III,1,1,27,0,Jump Shot,23,-230,52,False
James Ennis III,1,2,17,1,Jump Shot,20,-111,178,True
James Ennis III,4,11,24,0,Jump Shot,26,5,268,False
James Ennis III,4,6,57,0,Jump Shot,25,-21,256,False
James Ennis III,4,7,44,1,Jump Shot,23,-232,15,False
James Ennis III,4,8,42,1,Jump Shot,23,-236,34,False
James Ennis III,2,8,40,0,Jump Shot,26,147,216,False
James Ennis III,4,7,0,0,Jump Shot,25,110,232,False
James Ennis III,2,5,5,1,Jump Shot,26,176,195,False
James Ennis III,2,9,50,0,Jump Shot,25,207,149,False
James Ennis III,2,11,2,0,Jump Shot,24,-241,34,False
James Ennis III,2,11,3,1,Jump Shot,24,174,173,False
James Ennis III,1,2,45,0,Jump Shot,18,-98,158,True
James Ennis III,2,9,56,0,Jump Shot,25,198,156,False
James Ennis III,4,10,24,0,Jump Shot,28,226,177,False
James Ennis III,3,2,32,0,Jump Shot,23,232,3,False
James Ennis III,4,8,29,0,Jump Shot,24,-185,162,False
James Ennis III,4,10,51,1,Jump Shot,22,-223,45,False
James Ennis III,4,4,9,0,Jump Shot,25,215,134,False
James Ennis III,4,11,18,0,Jump Shot,25,-119,222,False
James Ennis III,1,3,28,0,Jump Shot,25,-236,96,False
James Ennis III,1,0,58,0,Jump Shot,25,221,120,False
James Ennis III,4,2,59,0,Jump Shot,18,-182,-9,True
James Ennis III,4,4,56,1,Jump Shot,25,173,193,False
