name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Jarrett Jack,4,7,2,1,Cutting Layup Shot,2,-12,22,True
Jarrett Jack,3,6,20,1,Cutting Layup Shot,2,13,20,True
Jarrett Jack,4,3,51,1,Cutting Layup Shot,0,0,6,True
Jarrett Jack,4,5,51,0,Driving Finger Roll Layup Shot,2,1,22,True
Jarrett Jack,3,9,33,1,Driving Finger Roll Layup Shot,0,1,4,True
Jarrett Jack,4,9,56,0,Driving Finger Roll Layup Shot,1,-18,4,True
Jarrett Jack,4,5,2,1,Driving Floating Bank Jump Shot,4,27,42,True
Jarrett Jack,1,6,23,1,Driving Floating Bank Jump Shot,6,-57,31,True
Jarrett Jack,2,3,34,0,Driving Floating Bank Jump Shot,7,-65,29,True
Jarrett Jack,3,10,18,1,Driving Floating Bank Jump Shot,3,30,19,True
Jarrett Jack,4,7,13,1,Driving Floating Bank Jump Shot,8,55,67,True
Jarrett Jack,4,2,45,0,Driving Floating Bank Jump Shot,3,31,-10,True
Jarrett Jack,2,8,4,1,Driving Floating Jump Shot,7,2,74,True
Jarrett Jack,2,0,43,1,Driving Floating Jump Shot,7,22,71,True
Jarrett Jack,1,4,55,1,Driving Floating Jump Shot,8,12,88,True
Jarrett Jack,2,7,29,1,Driving Floating Jump Shot,6,-32,58,True
Jarrett Jack,3,9,10,0,Driving Floating Jump Shot,7,-67,24,True
Jarrett Jack,2,1,26,1,Driving Floating Jump Shot,6,30,57,True
Jarrett Jack,1,11,14,1,Driving Floating Jump Shot,8,17,80,True
Jarrett Jack,4,0,31,1,Driving Floating Jump Shot,10,-8,105,True
Jarrett Jack,1,5,25,0,Driving Floating Jump Shot,6,-21,62,True
Jarrett Jack,2,0,45,1,Driving Floating Jump Shot,8,82,22,True
Jarrett Jack,1,10,58,1,Driving Floating Jump Shot,11,76,80,True
Jarrett Jack,1,9,1,0,Driving Floating Jump Shot,11,-41,107,True
Jarrett Jack,2,0,56,0,Driving Floating Jump Shot,6,14,63,True
Jarrett Jack,1,6,54,0,Driving Floating Jump Shot,2,-14,20,True
Jarrett Jack,1,7,9,1,Driving Floating Jump Shot,3,-16,36,True
Jarrett Jack,2,4,58,1,Driving Floating Jump Shot,11,0,117,True
Jarrett Jack,4,0,24,1,Driving Floating Jump Shot,12,25,124,True
Jarrett Jack,2,0,0,1,Driving Floating Jump Shot,7,4,70,True
Jarrett Jack,3,7,17,0,Driving Floating Jump Shot,8,-47,67,True
Jarrett Jack,2,0,21,0,Driving Floating Jump Shot,7,33,63,True
Jarrett Jack,3,10,18,1,Driving Floating Jump Shot,9,29,90,True
Jarrett Jack,1,3,39,1,Driving Floating Jump Shot,8,22,81,True
Jarrett Jack,1,0,1,0,Driving Floating Jump Shot,8,-8,82,True
Jarrett Jack,4,4,9,0,Driving Floating Jump Shot,9,-46,81,True
Jarrett Jack,3,10,28,1,Driving Floating Jump Shot,4,-2,42,True
Jarrett Jack,1,4,20,0,Driving Floating Jump Shot,6,67,16,True
Jarrett Jack,2,4,16,0,Driving Floating Jump Shot,8,-17,80,True
Jarrett Jack,1,7,52,0,Driving Floating Jump Shot,4,-5,46,True
Jarrett Jack,3,11,0,0,Driving Floating Jump Shot,14,-143,10,True
Jarrett Jack,1,8,17,1,Driving Floating Jump Shot,8,-41,70,True
Jarrett Jack,1,5,47,0,Driving Floating Jump Shot,11,-53,103,True
Jarrett Jack,3,11,20,0,Driving Floating Jump Shot,10,-14,101,True
Jarrett Jack,2,5,23,1,Driving Floating Jump Shot,10,-96,29,True
Jarrett Jack,4,0,57,0,Driving Layup Shot,3,-34,20,True
Jarrett Jack,3,9,49,0,Driving Layup Shot,3,31,20,True
Jarrett Jack,1,8,5,0,Driving Layup Shot,3,7,35,True
Jarrett Jack,2,3,55,1,Driving Layup Shot,1,13,10,True
Jarrett Jack,4,9,11,1,Driving Layup Shot,1,-6,16,True
Jarrett Jack,3,7,45,0,Driving Layup Shot,1,13,5,True
Jarrett Jack,2,1,28,1,Driving Layup Shot,1,11,11,True
Jarrett Jack,2,7,36,0,Driving Layup Shot,3,-30,23,True
Jarrett Jack,1,4,9,0,Driving Layup Shot,2,-21,13,True
Jarrett Jack,4,8,9,0,Driving Layup Shot,1,10,4,True
Jarrett Jack,4,6,10,1,Driving Layup Shot,4,42,15,True
Jarrett Jack,4,3,25,0,Driving Layup Shot,3,32,12,True
Jarrett Jack,1,10,19,1,Driving Layup Shot,0,-3,3,True
Jarrett Jack,4,10,35,1,Driving Layup Shot,1,-11,11,True
Jarrett Jack,2,0,13,1,Driving Layup Shot,1,0,15,True
Jarrett Jack,3,11,21,0,Driving Layup Shot,5,53,23,True
Jarrett Jack,4,1,8,0,Driving Layup Shot,1,-9,10,True
Jarrett Jack,3,4,25,0,Driving Layup Shot,3,33,15,True
Jarrett Jack,1,8,7,1,Driving Layup Shot,0,3,1,True
