name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Jayson Tatum,3,11,15,1,Alley Oop Dunk Shot,1,9,13,True
Jayson Tatum,2,0,56,1,Alley Oop Dunk Shot,2,-1,20,True
Jayson Tatum,2,9,26,1,Alley Oop Dunk Shot,1,-3,15,True
Jayson Tatum,4,9,46,1,Alley Oop Dunk Shot,1,7,17,True
Jayson Tatum,4,4,5,1,Alley Oop Dunk Shot,1,9,11,True
Jayson Tatum,1,3,9,0,Alley Oop Layup shot,0,9,-3,True
Jayson Tatum,4,1,1,1,Alley Oop Layup shot,1,13,11,True
Jayson Tatum,1,0,38,1,Alley Oop Layup shot,0,-1,0,True
Jayson Tatum,4,3,36,0,Alley Oop Layup shot,2,2,21,True
Jayson Tatum,4,1,1,1,Alley Oop Layup shot,1,2,15,True
Jayson Tatum,1,4,20,1,Cutting Dunk Shot,0,-3,-8,True
Jayson Tatum,1,6,27,1,Cutting Dunk Shot,0,-2,-1,True
Jayson Tatum,4,0,7,1,Cutting Dunk Shot,0,-4,5,True
Jayson Tatum,4,0,32,1,Cutting Dunk Shot,1,8,6,True
Jayson Tatum,3,1,48,0,Cutting Dunk Shot,2,14,19,True
Jayson Tatum,3,11,8,0,Cutting Finger Roll Layup Shot,9,46,78,True
Jayson Tatum,4,1,16,1,Cutting Layup Shot,1,12,10,True
Jayson Tatum,3,3,46,0,Cutting Layup Shot,0,-6,5,True
Jayson Tatum,2,7,23,1,Cutting Layup Shot,2,2,20,True
Jayson Tatum,1,9,29,0,Cutting Layup Shot,2,-24,5,True
Jayson Tatum,1,10,51,0,Cutting Layup Shot,2,10,23,True
Jayson Tatum,4,2,38,1,Cutting Layup Shot,2,-5,23,True
Jayson Tatum,2,4,46,1,Cutting Layup Shot,1,3,16,True
Jayson Tatum,4,3,40,0,Cutting Layup Shot,2,14,18,True
Jayson Tatum,1,9,15,1,Driving Dunk Shot,1,0,16,True
Jayson Tatum,3,11,43,1,Driving Dunk Shot,0,-2,7,True
Jayson Tatum,4,0,24,1,Driving Dunk Shot,2,-16,15,True
Jayson Tatum,1,6,37,0,Driving Dunk Shot,2,-25,12,True
Jayson Tatum,4,0,55,1,Driving Dunk Shot,0,-8,4,True
Jayson Tatum,4,4,3,1,Driving Dunk Shot,1,-13,10,True
Jayson Tatum,1,7,38,1,Driving Dunk Shot,0,-1,-8,True
Jayson Tatum,3,4,44,1,Driving Dunk Shot,1,-6,8,True
Jayson Tatum,3,9,58,0,Driving Dunk Shot,1,0,15,True
Jayson Tatum,2,5,48,1,Driving Dunk Shot,0,-2,-4,True
Jayson Tatum,4,9,32,0,Driving Dunk Shot,2,6,21,True
Jayson Tatum,3,0,15,1,Driving Dunk Shot,1,5,13,True
Jayson Tatum,1,4,15,0,Driving Finger Roll Layup Shot,2,22,13,True
Jayson Tatum,2,8,24,1,Driving Finger Roll Layup Shot,2,-13,20,True
Jayson Tatum,2,5,49,0,Driving Finger Roll Layup Shot,1,11,10,True
Jayson Tatum,4,0,43,0,Driving Finger Roll Layup Shot,3,18,25,True
Jayson Tatum,4,8,27,0,Driving Finger Roll Layup Shot,2,-6,26,True
Jayson Tatum,2,2,4,1,Driving Finger Roll Layup Shot,1,-13,10,True
Jayson Tatum,2,2,35,1,Driving Finger Roll Layup Shot,1,9,16,True
Jayson Tatum,2,9,7,1,Driving Finger Roll Layup Shot,1,-9,8,True
Jayson Tatum,1,4,3,0,Driving Finger Roll Layup Shot,3,29,11,True
Jayson Tatum,1,7,5,1,Driving Finger Roll Layup Shot,5,43,26,True
Jayson Tatum,2,7,9,1,Driving Finger Roll Layup Shot,2,-17,13,True
Jayson Tatum,2,0,29,0,Driving Finger Roll Layup Shot,2,-22,5,True
Jayson Tatum,1,7,59,1,Driving Finger Roll Layup Shot,0,6,2,True
Jayson Tatum,3,3,47,1,Driving Finger Roll Layup Shot,5,38,40,True
Jayson Tatum,1,7,23,0,Driving Finger Roll Layup Shot,1,9,-8,True
Jayson Tatum,3,10,24,1,Driving Finger Roll Layup Shot,2,8,25,True
Jayson Tatum,4,5,59,1,Driving Finger Roll Layup Shot,3,17,27,True
Jayson Tatum,1,7,1,0,Driving Finger Roll Layup Shot,3,-28,13,True
Jayson Tatum,4,3,17,0,Driving Finger Roll Layup Shot,3,14,35,True
Jayson Tatum,1,5,34,0,Driving Finger Roll Layup Shot,2,25,16,True
Jayson Tatum,4,0,17,1,Driving Finger Roll Layup Shot,1,1,11,True
Jayson Tatum,2,3,31,0,Driving Finger Roll Layup Shot,1,-4,16,True
Jayson Tatum,4,1,30,1,Driving Finger Roll Layup Shot,2,-4,20,True
Jayson Tatum,4,3,19,1,Driving Finger Roll Layup Shot,1,-11,16,True
Jayson Tatum,4,7,58,1,Driving Finger Roll Layup Shot,2,6,21,True
Jayson Tatum,3,0,53,1,Driving Finger Roll Layup Shot,1,-13,3,True
Jayson Tatum,2,9,53,0,Driving Finger Roll Layup Shot,0,4,-1,True
Jayson Tatum,4,0,58,0,Driving Finger Roll Layup Shot,2,17,21,True
Jayson Tatum,1,7,4,1,Driving Finger Roll Layup Shot,0,-6,2,True
Jayson Tatum,3,0,51,1,Driving Finger Roll Layup Shot,2,-11,17,True
Jayson Tatum,3,9,29,0,Driving Finger Roll Layup Shot,10,93,38,True
Jayson Tatum,4,1,26,1,Driving Finger Roll Layup Shot,1,0,17,True
Jayson Tatum,1,7,51,0,Driving Finger Roll Layup Shot,3,-32,-6,True
Jayson Tatum,1,7,17,1,Driving Finger Roll Layup Shot,2,23,15,True
Jayson Tatum,2,0,59,1,Driving Finger Roll Layup Shot,2,-25,6,True
Jayson Tatum,2,8,49,1,Driving Finger Roll Layup Shot,1,13,8,True
Jayson Tatum,4,1,29,1,Driving Finger Roll Layup Shot,2,-8,24,True
Jayson Tatum,4,5,44,0,Driving Finger Roll Layup Shot,4,-41,10,True
Jayson Tatum,2,10,37,1,Driving Finger Roll Layup Shot,0,-3,5,True
Jayson Tatum,2,9,48,0,Driving Finger Roll Layup Shot,0,7,5,True
Jayson Tatum,4,10,41,0,Driving Finger Roll Layup Shot,1,3,10,True
Jayson Tatum,3,4,40,0,Driving Finger Roll Layup Shot,4,17,42,True
Jayson Tatum,2,4,8,0,Driving Finger Roll Layup Shot,4,37,18,True
Jayson Tatum,3,9,14,1,Driving Finger Roll Layup Shot,2,-20,-1,True
Jayson Tatum,3,11,11,0,Driving Finger Roll Layup Shot,7,-35,68,True
