name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Jeremy Lamb,2,11,24,1,Alley Oop Dunk Shot,1,-1,17,True
Jeremy Lamb,4,6,57,1,Alley Oop Layup shot,2,7,19,True
Jeremy Lamb,3,8,45,1,Alley Oop Layup shot,1,16,-1,True
Jeremy Lamb,4,11,27,1,Cutting Dunk Shot,1,-11,4,True
Jeremy Lamb,2,8,25,1,Cutting Dunk Shot,2,-12,16,True
Jeremy Lamb,1,0,17,1,Cutting Dunk Shot,1,9,13,True
Jeremy Lamb,4,3,26,1,Cutting Dunk Shot,0,5,5,True
Jeremy Lamb,2,11,2,1,Cutting Dunk Shot,1,0,11,True
Jeremy Lamb,3,1,56,1,Cutting Dunk Shot,0,5,6,True
Jeremy Lamb,4,11,48,1,Cutting Dunk Shot,1,-3,10,True
Jeremy Lamb,3,0,35,1,Cutting Finger Roll Layup Shot,1,16,10,True
Jeremy Lamb,3,2,8,1,Cutting Layup Shot,1,8,-6,True
Jeremy Lamb,4,8,22,1,Cutting Layup Shot,1,3,15,True
Jeremy Lamb,2,0,48,1,Cutting Layup Shot,1,-7,11,True
Jeremy Lamb,2,10,57,0,Cutting Layup Shot,5,0,52,True
Jeremy Lamb,4,10,16,1,Cutting Layup Shot,1,-8,11,True
Jeremy Lamb,1,5,17,1,Cutting Layup Shot,1,-10,1,True
Jeremy Lamb,4,11,48,1,Cutting Layup Shot,1,-16,11,True
Jeremy Lamb,4,5,47,1,Cutting Layup Shot,0,2,0,True
Jeremy Lamb,2,11,23,1,Cutting Layup Shot,3,16,33,True
Jeremy Lamb,4,11,47,1,Cutting Layup Shot,1,12,14,True
Jeremy Lamb,1,3,13,1,Cutting Layup Shot,1,7,-8,True
Jeremy Lamb,2,7,16,1,Cutting Layup Shot,1,-17,10,True
Jeremy Lamb,4,6,39,1,Cutting Layup Shot,3,-31,6,True
Jeremy Lamb,4,3,52,1,Driving Dunk Shot,1,3,17,True
Jeremy Lamb,4,6,35,1,Driving Dunk Shot,2,-12,16,True
Jeremy Lamb,2,4,36,1,Driving Dunk Shot,1,-4,13,True
Jeremy Lamb,4,7,47,1,Driving Finger Roll Layup Shot,1,3,19,True
Jeremy Lamb,2,11,24,1,Driving Finger Roll Layup Shot,2,2,26,True
Jeremy Lamb,2,5,48,0,Driving Finger Roll Layup Shot,3,13,35,True
Jeremy Lamb,4,10,56,1,Driving Finger Roll Layup Shot,0,0,6,True
Jeremy Lamb,2,6,23,1,Driving Finger Roll Layup Shot,1,0,10,True
Jeremy Lamb,1,1,13,1,Driving Finger Roll Layup Shot,1,13,10,True
Jeremy Lamb,1,0,0,1,Driving Floating Bank Jump Shot,5,42,32,True
Jeremy Lamb,4,7,8,1,Driving Floating Bank Jump Shot,8,85,25,True
Jeremy Lamb,1,0,22,1,Driving Floating Bank Jump Shot,4,33,26,True
Jeremy Lamb,2,9,29,1,Driving Floating Bank Jump Shot,3,-31,22,True
Jeremy Lamb,4,10,44,0,Driving Floating Bank Jump Shot,8,84,26,True
Jeremy Lamb,2,4,25,1,Driving Floating Bank Jump Shot,14,-109,99,True
Jeremy Lamb,2,5,16,0,Driving Floating Bank Jump Shot,9,-95,15,True
