name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Jerian Grant,1,0,1,1,Cutting Layup Shot,1,13,11,True
Jerian Grant,2,8,44,1,Driving Dunk Shot,0,7,3,True
Jerian Grant,4,6,54,1,Driving Dunk Shot,0,-1,5,True
Jerian Grant,3,4,7,1,Driving Dunk Shot,1,2,16,True
Jerian Grant,2,10,25,1,Driving Dunk Shot,0,1,0,True
Jerian Grant,4,2,54,1,Driving Dunk Shot,1,4,12,True
Jerian Grant,4,10,24,1,Driving Finger Roll Layup Shot,1,-2,14,True
Jerian Grant,4,8,12,0,Driving Finger Roll Layup Shot,1,-9,5,True
Jerian Grant,3,0,29,0,Driving Finger Roll Layup Shot,2,22,13,True
Jerian Grant,1,3,13,0,Driving Floating Bank Jump Shot,7,53,49,True
Jerian Grant,3,5,44,0,Driving Floating Bank Jump Shot,14,-85,113,True
Jerian Grant,3,11,19,1,Driving Floating Bank Jump Shot,9,-58,69,True
Jerian Grant,2,5,2,1,Driving Floating Bank Jump Shot,9,96,12,True
Jerian Grant,3,0,30,0,Driving Floating Jump Shot,17,-95,141,True
Jerian Grant,2,4,51,0,Driving Floating Jump Shot,3,24,22,True
Jerian Grant,2,8,31,1,Driving Floating Jump Shot,9,-96,19,True
Jerian Grant,2,2,43,0,Driving Floating Jump Shot,9,87,36,True
Jerian Grant,1,3,9,1,Driving Floating Jump Shot,7,-58,55,True
Jerian Grant,2,11,49,1,Driving Floating Jump Shot,8,-7,86,True
Jerian Grant,4,9,40,0,Driving Floating Jump Shot,5,44,26,True
Jerian Grant,3,6,45,0,Driving Floating Jump Shot,8,-38,71,True
Jerian Grant,3,6,17,0,Driving Floating Jump Shot,7,-56,49,True
Jerian Grant,1,8,11,0,Driving Floating Jump Shot,5,49,16,True
Jerian Grant,2,8,3,0,Driving Floating Jump Shot,9,-49,83,True
Jerian Grant,4,6,42,0,Driving Floating Jump Shot,9,38,90,True
Jerian Grant,2,5,55,1,Driving Floating Jump Shot,8,84,16,True
Jerian Grant,4,7,45,0,Driving Floating Jump Shot,6,11,61,True
Jerian Grant,2,7,58,1,Driving Layup Shot,3,22,21,True
Jerian Grant,2,11,28,1,Driving Layup Shot,0,-9,-1,True
Jerian Grant,1,0,0,0,Driving Layup Shot,1,-15,13,True
Jerian Grant,2,1,24,0,Driving Layup Shot,0,-6,6,True
Jerian Grant,2,0,45,1,Driving Layup Shot,1,11,8,True
Jerian Grant,2,9,5,0,Driving Layup Shot,2,-28,2,True
Jerian Grant,3,5,55,0,Driving Layup Shot,2,-16,18,True
Jerian Grant,4,5,25,0,Driving Layup Shot,2,2,22,True
Jerian Grant,3,3,35,1,Driving Layup Shot,1,11,8,True
Jerian Grant,3,7,56,1,Driving Layup Shot,17,5,173,True
Jerian Grant,3,8,17,1,Driving Layup Shot,1,0,17,True
Jerian Grant,2,0,16,1,Driving Layup Shot,0,-3,6,True
Jerian Grant,2,0,42,0,Driving Layup Shot,3,-25,25,True
Jerian Grant,4,7,20,1,Driving Layup Shot,0,-1,7,True
Jerian Grant,1,11,25,0,Driving Layup Shot,1,-14,6,True
Jerian Grant,3,5,52,1,Driving Layup Shot,3,-5,32,True
Jerian Grant,3,4,46,0,Driving Layup Shot,2,24,7,True
Jerian Grant,2,11,2,0,Driving Layup Shot,4,-23,43,True
Jerian Grant,3,10,43,0,Driving Layup Shot,1,16,7,True
Jerian Grant,3,1,14,0,Driving Layup Shot,1,-10,14,True
Jerian Grant,2,8,15,1,Driving Layup Shot,1,8,13,True
Jerian Grant,4,2,0,1,Driving Layup Shot,1,13,-1,True
Jerian Grant,3,5,51,1,Driving Layup Shot,1,-5,15,True
Jerian Grant,1,0,55,1,Driving Layup Shot,2,29,3,True
Jerian Grant,2,8,58,1,Driving Layup Shot,1,8,13,True
Jerian Grant,3,3,38,0,Driving Layup Shot,2,20,11,True
Jerian Grant,3,1,4,1,Driving Layup Shot,2,-2,23,True
Jerian Grant,4,10,21,0,Driving Layup Shot,2,-20,10,True
Jerian Grant,3,0,32,0,Driving Layup Shot,2,-24,17,True
Jerian Grant,2,2,18,0,Driving Layup Shot,2,20,11,True
Jerian Grant,3,4,7,0,Driving Layup Shot,1,-13,10,True
Jerian Grant,3,3,23,0,Driving Layup Shot,2,19,10,True
Jerian Grant,3,5,20,0,Driving Layup Shot,0,7,5,True
Jerian Grant,2,2,31,1,Driving Layup Shot,1,8,14,True
