name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Jerryd Bayless,1,1,0,1,Alley Oop Dunk Shot,0,0,8,True
Jerryd Bayless,2,3,7,1,Alley Oop Layup shot,1,16,4,True
Jerryd Bayless,1,3,8,1,Alley Oop Layup shot,0,-1,6,True
Jerryd Bayless,1,3,26,1,Alley Oop Layup shot,4,44,-1,True
Jerryd Bayless,2,5,55,0,Alley Oop Layup shot,1,-14,-3,True
Jerryd Bayless,3,2,50,1,Alley Oop Layup shot,2,25,4,True
Jerryd Bayless,1,8,23,1,Alley Oop Layup shot,2,20,4,True
Jerryd Bayless,3,3,17,1,Alley Oop Layup shot,0,6,4,True
Jerryd Bayless,2,7,51,0,Cutting Finger Roll Layup Shot,0,8,-1,True
Jerryd Bayless,2,6,27,1,Cutting Layup Shot,0,-1,-3,True
Jerryd Bayless,1,11,8,1,Cutting Layup Shot,0,9,-1,True
Jerryd Bayless,3,3,39,0,Cutting Layup Shot,0,-1,8,True
Jerryd Bayless,1,4,30,1,Cutting Layup Shot,1,13,15,True
Jerryd Bayless,4,11,31,1,Cutting Layup Shot,2,-9,28,True
Jerryd Bayless,3,1,58,1,Cutting Layup Shot,3,33,17,True
Jerryd Bayless,1,5,23,1,Cutting Layup Shot,3,25,17,True
Jerryd Bayless,3,3,29,0,Cutting Layup Shot,1,5,19,True
Jerryd Bayless,2,6,56,1,Cutting Layup Shot,1,5,10,True
Jerryd Bayless,2,0,35,1,Driving Floating Bank Jump Shot,8,83,25,True
Jerryd Bayless,3,8,13,1,Driving Floating Bank Jump Shot,3,36,6,True
Jerryd Bayless,4,9,7,1,Driving Floating Jump Shot,6,12,68,True
Jerryd Bayless,2,5,6,0,Driving Floating Jump Shot,8,-8,84,True
Jerryd Bayless,3,1,23,1,Driving Floating Jump Shot,13,-17,131,True
Jerryd Bayless,4,9,9,1,Driving Floating Jump Shot,11,109,16,True
Jerryd Bayless,1,5,9,1,Driving Floating Jump Shot,8,-8,88,True
Jerryd Bayless,3,5,56,1,Driving Floating Jump Shot,6,36,60,True
Jerryd Bayless,1,5,39,0,Driving Floating Jump Shot,11,11,119,True
Jerryd Bayless,4,10,12,0,Driving Floating Jump Shot,4,19,44,True
Jerryd Bayless,3,8,19,0,Driving Floating Jump Shot,8,-39,80,True
Jerryd Bayless,2,0,1,0,Driving Layup Shot,1,10,6,True
Jerryd Bayless,3,5,17,0,Driving Layup Shot,4,22,34,True
Jerryd Bayless,3,0,5,1,Driving Layup Shot,0,4,2,True
Jerryd Bayless,2,9,35,0,Driving Layup Shot,1,0,14,True
Jerryd Bayless,2,2,42,1,Driving Layup Shot,3,6,38,True
Jerryd Bayless,4,10,51,1,Driving Layup Shot,0,-4,6,True
Jerryd Bayless,4,1,56,1,Driving Layup Shot,1,-10,11,True
Jerryd Bayless,2,0,10,1,Driving Layup Shot,1,12,13,True
Jerryd Bayless,4,4,18,0,Driving Layup Shot,2,18,13,True
Jerryd Bayless,1,9,40,1,Driving Layup Shot,2,25,15,True
Jerryd Bayless,3,2,26,0,Driving Layup Shot,4,16,46,True
Jerryd Bayless,2,7,34,1,Driving Layup Shot,4,39,24,True
Jerryd Bayless,2,2,13,1,Driving Layup Shot,2,27,3,True
Jerryd Bayless,1,0,38,1,Driving Layup Shot,1,16,6,True
