name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Jodie Meeks,2,4,49,0,Cutting Layup Shot,5,-24,53,True
Jodie Meeks,4,11,35,0,Cutting Layup Shot,1,14,6,True
Jodie Meeks,2,6,59,0,Cutting Layup Shot,2,19,15,True
Jodie Meeks,3,0,44,0,Cutting Layup Shot,2,12,27,True
Jodie Meeks,2,8,20,0,Cutting Layup Shot,1,3,14,True
Jodie Meeks,2,6,47,1,Cutting Layup Shot,2,24,4,True
Jodie Meeks,2,7,36,1,Cutting Layup Shot,1,11,4,True
Jodie Meeks,4,8,7,1,Cutting Layup Shot,0,-5,1,True
Jodie Meeks,4,6,26,0,Driving Dunk Shot,2,-22,16,True
Jodie Meeks,4,8,14,1,Driving Finger Roll Layup Shot,2,12,19,True
Jodie Meeks,4,3,5,1,Driving Finger Roll Layup Shot,2,13,19,True
Jodie Meeks,4,6,39,1,Driving Floating Bank Jump Shot,3,-37,13,True
Jodie Meeks,2,9,8,1,Driving Floating Bank Jump Shot,8,52,63,True
Jodie Meeks,4,4,16,1,Driving Floating Bank Jump Shot,4,41,15,True
Jodie Meeks,4,3,32,1,Driving Floating Bank Jump Shot,4,35,34,True
Jodie Meeks,2,8,1,1,Driving Floating Bank Jump Shot,4,3,43,True
Jodie Meeks,4,9,50,0,Driving Floating Bank Jump Shot,4,32,29,True
Jodie Meeks,2,8,37,1,Driving Floating Bank Jump Shot,7,67,33,True
Jodie Meeks,2,10,20,0,Driving Floating Bank Jump Shot,4,-40,4,True
Jodie Meeks,2,11,29,1,Driving Floating Bank Jump Shot,1,16,7,True
Jodie Meeks,2,11,15,0,Driving Floating Bank Jump Shot,12,105,68,True
Jodie Meeks,2,11,25,0,Driving Floating Bank Jump Shot,5,51,22,True
Jodie Meeks,4,3,19,0,Driving Floating Bank Jump Shot,12,82,95,True
Jodie Meeks,2,10,45,0,Driving Floating Bank Jump Shot,6,57,20,True
Jodie Meeks,2,6,34,0,Driving Floating Jump Shot,9,-93,22,True
Jodie Meeks,4,9,39,1,Driving Floating Jump Shot,7,36,70,True
Jodie Meeks,4,2,37,0,Driving Floating Jump Shot,12,22,127,True
Jodie Meeks,4,7,59,1,Driving Floating Jump Shot,6,15,64,True
Jodie Meeks,2,11,24,0,Driving Floating Jump Shot,10,-53,89,True
Jodie Meeks,4,7,55,1,Driving Floating Jump Shot,11,-37,108,True
Jodie Meeks,4,6,47,1,Driving Floating Jump Shot,13,3,130,True
Jodie Meeks,2,1,33,1,Driving Floating Jump Shot,8,-1,86,True
Jodie Meeks,2,11,4,1,Driving Floating Jump Shot,8,-84,15,True
Jodie Meeks,2,9,48,0,Driving Floating Jump Shot,12,-6,127,True
Jodie Meeks,4,9,39,0,Driving Floating Jump Shot,12,85,92,True
Jodie Meeks,4,11,46,0,Driving Floating Jump Shot,10,22,106,True
Jodie Meeks,1,1,3,1,Driving Floating Jump Shot,8,3,88,True
Jodie Meeks,2,11,10,0,Driving Floating Jump Shot,12,-111,53,True
Jodie Meeks,4,10,38,0,Driving Floating Jump Shot,4,0,40,True
Jodie Meeks,4,2,6,0,Driving Floating Jump Shot,10,65,78,True
Jodie Meeks,4,9,16,0,Driving Layup Shot,5,18,51,True
Jodie Meeks,2,7,18,1,Driving Layup Shot,1,16,1,True
Jodie Meeks,2,10,58,1,Driving Layup Shot,1,5,17,True
Jodie Meeks,3,1,30,1,Driving Layup Shot,4,29,35,True
Jodie Meeks,2,7,26,0,Driving Layup Shot,5,46,23,True
Jodie Meeks,4,7,38,1,Driving Layup Shot,2,9,21,True
Jodie Meeks,4,8,1,1,Driving Layup Shot,3,0,31,True
Jodie Meeks,4,9,4,1,Driving Layup Shot,2,-2,22,True
Jodie Meeks,2,5,7,1,Driving Layup Shot,2,-12,17,True
Jodie Meeks,2,4,25,0,Driving Layup Shot,6,67,15,True
Jodie Meeks,4,10,47,1,Driving Layup Shot,1,-1,12,True
Jodie Meeks,1,0,24,0,Driving Layup Shot,0,-6,6,True
Jodie Meeks,4,9,56,1,Driving Layup Shot,0,-3,8,True
Jodie Meeks,2,4,55,1,Driving Layup Shot,2,5,20,True
Jodie Meeks,2,4,56,0,Driving Layup Shot,6,63,-19,True
Jodie Meeks,4,5,21,1,Driving Layup Shot,1,0,14,True
Jodie Meeks,4,10,6,0,Fadeaway Jump Shot,0,-3,-4,True
Jodie Meeks,3,2,9,1,Finger Roll Layup Shot,3,-30,8,True
Jodie Meeks,2,8,14,1,Floating Jump shot,9,-14,95,True
Jodie Meeks,1,0,4,0,Floating Jump shot,7,69,19,True
Jodie Meeks,2,9,47,0,Floating Jump shot,15,-3,157,True
Jodie Meeks,4,6,3,1,Floating Jump shot,11,117,22,True
Jodie Meeks,2,8,48,0,Floating Jump shot,12,106,68,True
Jodie Meeks,4,7,25,1,Floating Jump shot,9,94,-6,True
Jodie Meeks,2,10,55,0,Floating Jump shot,5,47,31,True
Jodie Meeks,1,0,46,0,Floating Jump shot,11,-31,106,True
Jodie Meeks,2,8,41,1,Floating Jump shot,17,-114,127,True
Jodie Meeks,4,11,45,1,Floating Jump shot,11,19,113,True
Jodie Meeks,4,7,23,1,Floating Jump shot,7,27,72,True
Jodie Meeks,1,1,34,0,Floating Jump shot,13,-138,5,True
Jodie Meeks,4,9,9,1,Floating Jump shot,5,48,17,True
Jodie Meeks,4,10,14,1,Floating Jump shot,16,-45,160,True
Jodie Meeks,2,11,45,0,Floating Jump shot,5,44,26,True
Jodie Meeks,4,9,8,1,Floating Jump shot,12,-58,115,True
Jodie Meeks,4,1,15,0,Jump Bank Shot,30,-31,299,False
Jodie Meeks,4,1,25,1,Jump Shot,26,-157,214,False
Jodie Meeks,4,9,21,0,Jump Shot,26,-158,216,False
Jodie Meeks,3,0,21,0,Jump Shot,24,-174,176,False
Jodie Meeks,3,0,42,0,Jump Shot,28,54,276,False
Jodie Meeks,1,3,2,0,Jump Shot,24,-134,209,False
Jodie Meeks,4,0,38,0,Jump Shot,25,-82,246,False
