name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Joe Ingles,1,8,54,1,Cutting Dunk Shot,0,-2,5,True
Joe Ingles,1,11,10,1,Cutting Finger Roll Layup Shot,1,2,12,True
Joe Ingles,2,4,36,0,Cutting Layup Shot,4,11,41,True
Joe Ingles,1,9,59,0,Cutting Layup Shot,2,19,12,True
Joe Ingles,4,0,4,1,Cutting Layup Shot,0,-4,5,True
Joe Ingles,4,6,5,1,Cutting Layup Shot,1,11,13,True
Joe Ingles,1,9,48,1,Cutting Layup Shot,1,14,11,True
Joe Ingles,3,9,56,1,Cutting Layup Shot,2,-24,1,True
Joe Ingles,4,5,17,1,Cutting Layup Shot,0,-2,7,True
Joe Ingles,3,8,27,1,Driving Dunk Shot,0,-8,2,True
Joe Ingles,3,4,24,1,Driving Dunk Shot,1,2,19,True
Joe Ingles,2,1,45,1,Driving Dunk Shot,1,4,18,True
Joe Ingles,1,10,15,0,Driving Finger Roll Layup Shot,6,-9,69,True
Joe Ingles,4,3,50,1,Driving Finger Roll Layup Shot,3,-11,29,True
Joe Ingles,3,3,19,1,Driving Finger Roll Layup Shot,1,2,14,True
Joe Ingles,3,7,3,1,Driving Finger Roll Layup Shot,1,-14,11,True
Joe Ingles,4,8,12,1,Driving Finger Roll Layup Shot,4,-32,29,True
Joe Ingles,1,9,15,0,Driving Finger Roll Layup Shot,2,-27,5,True
Joe Ingles,1,7,35,1,Driving Finger Roll Layup Shot,1,-5,11,True
Joe Ingles,3,6,27,1,Driving Finger Roll Layup Shot,2,-13,23,True
Joe Ingles,4,7,30,0,Driving Finger Roll Layup Shot,2,2,25,True
Joe Ingles,3,8,10,1,Driving Finger Roll Layup Shot,2,-15,15,True
Joe Ingles,4,4,9,0,Driving Finger Roll Layup Shot,2,-5,24,True
Joe Ingles,1,10,50,1,Driving Finger Roll Layup Shot,0,-2,5,True
Joe Ingles,1,6,37,0,Driving Floating Bank Jump Shot,5,-46,31,True
Joe Ingles,4,1,57,1,Driving Floating Bank Jump Shot,2,2,28,True
Joe Ingles,1,10,40,0,Driving Floating Bank Jump Shot,5,57,10,True
Joe Ingles,2,1,48,1,Driving Floating Jump Shot,9,-24,88,True
Joe Ingles,2,3,1,0,Driving Floating Jump Shot,4,-17,41,True
Joe Ingles,4,6,13,1,Driving Floating Jump Shot,14,119,89,True
Joe Ingles,3,11,18,0,Driving Floating Jump Shot,12,-98,78,True
Joe Ingles,4,9,29,1,Driving Floating Jump Shot,9,11,97,True
Joe Ingles,3,8,29,0,Driving Floating Jump Shot,0,8,3,True
Joe Ingles,3,10,49,0,Driving Floating Jump Shot,6,36,55,True
Joe Ingles,4,7,20,0,Driving Floating Jump Shot,12,-18,125,True
Joe Ingles,1,4,53,0,Driving Floating Jump Shot,11,-8,115,True
Joe Ingles,2,8,4,0,Driving Floating Jump Shot,10,-76,68,True
Joe Ingles,1,6,37,1,Driving Floating Jump Shot,10,-62,84,True
Joe Ingles,1,11,19,0,Driving Floating Jump Shot,5,13,54,True
Joe Ingles,2,6,56,1,Driving Floating Jump Shot,6,28,64,True
Joe Ingles,3,11,46,0,Driving Floating Jump Shot,4,-29,39,True
Joe Ingles,4,10,13,1,Driving Floating Jump Shot,10,-84,67,True
Joe Ingles,1,5,31,1,Driving Layup Shot,2,25,12,True
Joe Ingles,1,11,18,1,Driving Layup Shot,2,-22,-5,True
Joe Ingles,1,10,16,1,Driving Layup Shot,3,34,20,True
Joe Ingles,2,1,14,1,Driving Layup Shot,1,-16,9,True
Joe Ingles,2,2,55,1,Driving Layup Shot,2,-18,14,True
Joe Ingles,2,4,26,0,Driving Layup Shot,2,-25,12,True
Joe Ingles,1,9,50,0,Driving Layup Shot,3,-30,10,True
Joe Ingles,4,9,33,0,Driving Layup Shot,3,-26,19,True
Joe Ingles,1,6,41,1,Driving Layup Shot,1,-16,10,True
Joe Ingles,3,7,8,0,Driving Layup Shot,3,-33,8,True
Joe Ingles,1,5,33,1,Driving Layup Shot,3,-30,7,True
Joe Ingles,1,10,28,0,Driving Layup Shot,2,22,10,True
Joe Ingles,1,6,38,1,Driving Layup Shot,2,0,21,True
Joe Ingles,2,8,48,0,Driving Layup Shot,1,-11,6,True
Joe Ingles,2,1,37,1,Driving Layup Shot,6,-55,31,True
Joe Ingles,2,5,44,1,Driving Layup Shot,2,0,25,True
Joe Ingles,3,4,36,0,Driving Layup Shot,3,2,36,True
Joe Ingles,3,5,0,1,Driving Layup Shot,2,18,12,True
Joe Ingles,4,2,0,1,Driving Layup Shot,2,20,-7,True
Joe Ingles,3,7,32,0,Driving Layup Shot,4,-20,44,True
Joe Ingles,3,7,34,0,Driving Layup Shot,6,-54,36,True
Joe Ingles,2,5,2,0,Driving Layup Shot,3,-29,27,True
Joe Ingles,4,5,22,0,Driving Layup Shot,3,-27,24,True
Joe Ingles,1,11,44,1,Driving Layup Shot,1,-9,16,True
