name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Joe Johnson,4,11,17,1,Driving Finger Roll Layup Shot,2,-8,20,True
Joe Johnson,3,1,35,1,Driving Floating Bank Jump Shot,6,56,41,True
Joe Johnson,3,9,33,0,Driving Floating Bank Jump Shot,5,-44,37,True
Joe Johnson,4,4,15,1,Driving Floating Jump Shot,11,40,111,True
Joe Johnson,2,0,49,1,Driving Floating Jump Shot,5,-2,54,True
Joe Johnson,2,10,49,1,Driving Floating Jump Shot,7,-4,78,True
Joe Johnson,3,3,30,0,Driving Floating Jump Shot,6,0,62,True
Joe Johnson,4,9,1,1,Driving Floating Jump Shot,10,-57,84,True
Joe Johnson,2,4,46,1,Driving Floating Jump Shot,9,-18,89,True
Joe Johnson,1,6,2,0,Driving Floating Jump Shot,9,-23,96,True
Joe Johnson,2,1,17,1,Driving Floating Jump Shot,7,51,48,True
Joe Johnson,4,10,11,0,Driving Floating Jump Shot,9,-51,82,True
Joe Johnson,4,0,36,0,Driving Floating Jump Shot,10,-52,91,True
Joe Johnson,4,8,9,0,Driving Floating Jump Shot,8,-30,80,True
Joe Johnson,4,3,53,1,Driving Hook Shot,10,62,85,True
Joe Johnson,2,9,8,0,Driving Layup Shot,5,20,52,True
Joe Johnson,4,11,39,0,Driving Layup Shot,2,-25,12,True
Joe Johnson,4,1,28,0,Driving Layup Shot,1,-11,16,True
Joe Johnson,2,9,26,0,Driving Layup Shot,3,-32,3,True
Joe Johnson,2,2,57,0,Dunk Shot,8,14,86,True
Joe Johnson,2,10,50,0,Fadeaway Jump Shot,12,105,64,True
Joe Johnson,4,5,37,1,Fadeaway Jump Shot,15,-115,104,True
Joe Johnson,2,7,34,0,Fadeaway Jump Shot,20,199,25,True
Joe Johnson,3,1,19,1,Fadeaway Jump Shot,9,-67,64,True
Joe Johnson,3,2,9,0,Fadeaway Jump Shot,14,96,113,True
Joe Johnson,3,0,7,0,Fadeaway Jump Shot,23,70,220,True
Joe Johnson,3,1,7,0,Fadeaway Jump Shot,10,-51,95,True
Joe Johnson,2,0,25,1,Fadeaway Jump Shot,13,-6,137,True
Joe Johnson,1,3,49,0,Fadeaway Jump Shot,13,-25,135,True
Joe Johnson,2,6,27,0,Fadeaway Jump Shot,13,106,85,True
Joe Johnson,4,1,37,1,Fadeaway Jump Shot,11,-63,92,True
Joe Johnson,2,11,14,1,Fadeaway Jump Shot,13,133,17,True
Joe Johnson,4,11,14,1,Fadeaway Jump Shot,21,-18,215,True
Joe Johnson,1,3,1,0,Fadeaway Jump Shot,14,-81,123,True
Joe Johnson,1,7,5,1,Fadeaway Jump Shot,8,4,88,True
Joe Johnson,2,1,20,1,Fadeaway Jump Shot,8,-47,67,True
Joe Johnson,3,0,49,0,Fadeaway Jump Shot,20,-200,24,True
Joe Johnson,1,3,6,1,Finger Roll Layup Shot,0,-3,0,True
Joe Johnson,3,3,8,1,Floating Jump shot,3,14,27,True
Joe Johnson,1,2,26,0,Floating Jump shot,12,3,125,True
Joe Johnson,2,0,54,1,Floating Jump shot,11,0,111,True
Joe Johnson,1,0,40,0,Floating Jump shot,9,30,94,True
Joe Johnson,4,5,3,1,Floating Jump shot,10,-18,103,True
Joe Johnson,3,2,56,1,Floating Jump shot,12,37,121,True
Joe Johnson,1,4,34,0,Floating Jump shot,9,-38,89,True
Joe Johnson,4,10,15,1,Floating Jump shot,11,-93,75,True
Joe Johnson,1,1,52,1,Floating Jump shot,6,-5,68,True
Joe Johnson,1,6,48,1,Floating Jump shot,6,-36,52,True
Joe Johnson,2,10,6,1,Floating Jump shot,3,-29,16,True
Joe Johnson,2,7,7,0,Floating Jump shot,6,-36,53,True
Joe Johnson,3,4,4,1,Floating Jump shot,10,-7,105,True
Joe Johnson,1,0,22,1,Floating Jump shot,8,20,78,True
Joe Johnson,3,0,0,0,Floating Jump shot,20,177,106,True
Joe Johnson,2,11,4,0,Floating Jump shot,5,-6,53,True
Joe Johnson,2,11,46,1,Floating Jump shot,7,26,70,True
Joe Johnson,4,2,15,1,Floating Jump shot,6,-60,24,True
Joe Johnson,3,5,3,1,Floating Jump shot,7,65,34,True
Joe Johnson,3,2,49,0,Floating Jump shot,5,23,55,True
Joe Johnson,3,3,0,0,Floating Jump shot,6,-26,61,True
Joe Johnson,1,1,53,0,Floating Jump shot,4,-14,47,True
Joe Johnson,4,10,12,1,Floating Jump shot,7,67,42,True
Joe Johnson,3,0,41,0,Floating Jump shot,10,-35,104,True
Joe Johnson,1,4,30,0,Floating Jump shot,7,-46,55,True
Joe Johnson,3,3,43,0,Floating Jump shot,13,-12,132,True
Joe Johnson,3,0,15,0,Floating Jump shot,10,13,101,True
Joe Johnson,2,2,7,1,Floating Jump shot,6,16,59,True
Joe Johnson,4,3,31,0,Hook Shot,10,46,92,True
Joe Johnson,3,4,20,0,Hook Shot,6,3,62,True
Joe Johnson,1,0,53,0,Hook Shot,6,2,69,True
Joe Johnson,2,0,27,0,Hook Shot,5,6,57,True
Joe Johnson,2,11,48,1,Hook Shot,7,-3,70,True
Joe Johnson,4,8,28,0,Hook Shot,5,0,59,True
Joe Johnson,4,11,39,0,Hook Shot,6,52,38,True
Joe Johnson,1,2,48,0,Hook Shot,5,20,53,True
Joe Johnson,4,11,44,0,Hook Shot,6,22,57,True
Joe Johnson,2,11,18,1,Hook Shot,6,-16,64,True
Joe Johnson,2,8,59,0,Hook Shot,7,24,72,True
Joe Johnson,3,0,0,1,Jump Bank Shot,24,-154,192,False
Joe Johnson,3,0,34,1,Jump Bank Shot,6,-47,41,True
Joe Johnson,2,8,36,1,Jump Shot,24,232,67,False
Joe Johnson,4,5,32,1,Jump Shot,22,-223,32,False
Joe Johnson,2,11,41,0,Jump Shot,25,-159,202,False
Joe Johnson,4,0,49,0,Jump Shot,23,239,-5,False
Joe Johnson,2,2,7,0,Jump Shot,24,-221,104,False
Joe Johnson,1,4,51,0,Jump Shot,23,228,31,False
Joe Johnson,4,11,19,0,Jump Shot,25,196,157,False
Joe Johnson,2,11,37,0,Jump Shot,32,-160,286,False
Joe Johnson,2,9,52,0,Jump Shot,18,60,175,True
Joe Johnson,2,10,28,0,Jump Shot,12,-32,118,True
Joe Johnson,1,8,41,1,Jump Shot,4,13,42,True
Joe Johnson,1,9,56,0,Jump Shot,17,97,141,True
Joe Johnson,2,5,3,0,Jump Shot,2,-9,23,True
Joe Johnson,3,1,49,1,Jump Shot,28,28,288,False
Joe Johnson,3,0,2,1,Jump Shot,26,-141,226,False
Joe Johnson,1,4,24,0,Jump Shot,24,214,113,False
Joe Johnson,3,1,35,0,Jump Shot,25,102,237,False
Joe Johnson,3,0,9,0,Jump Shot,26,20,268,False
Joe Johnson,2,7,39,0,Jump Shot,26,-177,201,False
Joe Johnson,3,1,3,0,Jump Shot,22,225,15,False
Joe Johnson,4,7,55,0,Jump Shot,25,36,250,False
Joe Johnson,3,1,33,1,Jump Shot,22,225,8,False
Joe Johnson,2,10,26,0,Jump Shot,25,-195,164,False
Joe Johnson,3,1,33,1,Jump Shot,25,-84,239,False
Joe Johnson,4,9,8,0,Jump Shot,23,233,-5,False
Joe Johnson,4,9,51,0,Jump Shot,26,116,237,False
Joe Johnson,2,8,22,0,Jump Shot,23,-234,26,False
Joe Johnson,2,7,33,0,Jump Shot,7,28,69,True
Joe Johnson,4,2,47,1,Jump Shot,11,108,28,True
Joe Johnson,4,1,17,0,Jump Shot,25,171,185,False
Joe Johnson,4,5,59,0,Jump Shot,25,239,83,False
Joe Johnson,3,0,0,0,Jump Shot,24,230,75,False
Joe Johnson,3,1,41,1,Jump Shot,22,226,9,False
Joe Johnson,3,3,54,0,Jump Shot,27,-173,211,False
Joe Johnson,5,1,55,0,Jump Shot,22,-226,11,False
Joe Johnson,1,1,45,1,Jump Shot,25,-154,206,False
