name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Johnny OBryant III,4,11,10,0,Cutting Layup Shot,1,-13,6,True
Johnny OBryant III,2,6,48,1,Driving Dunk Shot,0,6,6,True
Johnny OBryant III,4,0,53,0,Driving Layup Shot,2,-18,10,True
Johnny OBryant III,2,9,0,1,Driving Layup Shot,1,-9,11,True
Johnny OBryant III,4,1,49,1,Dunk Shot,1,-3,10,True
Johnny OBryant III,4,0,44,1,Dunk Shot,2,11,17,True
Johnny OBryant III,3,2,32,1,Dunk Shot,1,2,12,True
Johnny OBryant III,2,9,58,1,Fadeaway Jump Shot,10,-84,66,True
Johnny OBryant III,4,0,50,0,Fadeaway Jump Shot,12,-114,49,True
Johnny OBryant III,4,8,49,1,Fadeaway Jump Shot,12,98,74,True
Johnny OBryant III,2,8,6,0,Fadeaway Jump Shot,10,6,105,True
Johnny OBryant III,1,0,3,0,Fadeaway Jump Shot,8,-57,69,True
Johnny OBryant III,4,2,22,0,Fadeaway Jump Shot,13,-137,11,True
Johnny OBryant III,2,10,9,1,Fadeaway Jump Shot,14,-144,-3,True
Johnny OBryant III,4,7,15,0,Fadeaway Jump Shot,10,87,52,True
Johnny OBryant III,4,10,9,1,Hook Shot,7,0,71,True
Johnny OBryant III,4,9,2,1,Hook Shot,8,-40,74,True
Johnny OBryant III,4,2,8,0,Hook Shot,8,2,89,True
Johnny OBryant III,2,6,56,0,Hook Shot,7,-63,38,True
Johnny OBryant III,2,9,0,0,Hook Shot,7,5,75,True
Johnny OBryant III,2,10,21,0,Hook Shot,5,-25,52,True
Johnny OBryant III,1,0,27,1,Hook Shot,8,5,81,True
Johnny OBryant III,1,3,2,1,Hook Shot,4,6,47,True
Johnny OBryant III,4,7,30,0,Hook Shot,4,-4,47,True
Johnny OBryant III,4,0,43,0,Hook Shot,10,11,104,True
Johnny OBryant III,2,8,10,0,Hook Shot,11,44,107,True
Johnny OBryant III,2,10,28,1,Hook Shot,5,-49,22,True
Johnny OBryant III,1,2,59,0,Hook Shot,4,22,36,True
Johnny OBryant III,1,5,21,0,Hook Shot,2,-14,17,True
Johnny OBryant III,1,0,14,0,Hook Shot,5,-8,59,True
Johnny OBryant III,4,0,30,0,Jump Shot,26,-49,260,False
Johnny OBryant III,2,6,49,1,Jump Shot,25,151,205,False
Johnny OBryant III,4,11,36,0,Jump Shot,25,5,253,False
Johnny OBryant III,2,11,43,1,Jump Shot,28,168,226,False
Johnny OBryant III,4,11,4,0,Jump Shot,25,-82,245,False
Johnny OBryant III,4,10,32,0,Jump Shot,19,-158,122,True
Johnny OBryant III,4,11,6,0,Jump Shot,25,48,253,False
Johnny OBryant III,1,0,55,1,Jump Shot,25,-139,214,False
Johnny OBryant III,1,0,0,0,Jump Shot,52,149,506,False
Johnny OBryant III,2,6,45,0,Jump Shot,24,167,181,False
Johnny OBryant III,3,1,8,1,Jump Shot,27,-4,272,False
Johnny OBryant III,2,10,25,0,Jump Shot,13,128,37,True
Johnny OBryant III,4,10,22,0,Jump Shot,13,-134,40,True
Johnny OBryant III,2,9,41,0,Jump Shot,26,53,256,False
Johnny OBryant III,2,10,15,1,Jump Shot,26,-101,242,False
Johnny OBryant III,4,2,34,1,Jump Shot,25,58,246,False
Johnny OBryant III,4,1,9,0,Jump Shot,8,24,79,True
Johnny OBryant III,2,9,22,0,Jump Shot,25,-132,218,False
Johnny OBryant III,2,8,2,0,Jump Shot,24,-134,210,False
Johnny OBryant III,2,11,35,0,Jump Shot,23,-232,31,False
Johnny OBryant III,1,0,36,0,Jump Shot,19,-82,179,True
Johnny OBryant III,1,1,31,0,Jump Shot,25,102,238,False
Johnny OBryant III,4,6,52,0,Jump Shot,17,172,14,True
Johnny OBryant III,4,1,16,0,Jump Shot,14,-129,64,True
Johnny OBryant III,2,10,18,0,Jump Shot,16,149,78,True
Johnny OBryant III,2,7,53,1,Jump Shot,25,-172,183,False
Johnny OBryant III,4,3,0,0,Jump Shot,25,120,227,False
Johnny OBryant III,4,10,3,1,Jump Shot,25,32,252,False
Johnny OBryant III,4,5,30,1,Jump Shot,16,-162,19,True
Johnny OBryant III,4,1,45,0,Jump Shot,24,-102,227,False
Johnny OBryant III,4,7,49,0,Jump Shot,15,150,41,True
Johnny OBryant III,2,10,41,0,Jump Shot,14,-104,96,True
Johnny OBryant III,1,1,30,1,Jump Shot,21,168,134,True
Johnny OBryant III,2,7,54,1,Jump Shot,17,25,178,True
Johnny OBryant III,1,7,6,0,Jump Shot,15,-15,155,True
Johnny OBryant III,1,1,35,0,Jump Shot,15,45,152,True
Johnny OBryant III,1,4,8,0,Jump Shot,13,126,52,True
Johnny OBryant III,4,8,15,1,Jump Shot,26,154,214,False
Johnny OBryant III,2,10,43,0,Jump Shot,25,-47,248,False
Johnny OBryant III,2,9,49,0,Jump Shot,18,-65,172,True
Johnny OBryant III,1,1,10,1,Jump Shot,13,-57,118,True
Johnny OBryant III,4,0,30,0,Jump Shot,24,-113,216,False
Johnny OBryant III,2,9,22,1,Jump Shot,14,136,47,True
Johnny OBryant III,1,0,55,0,Jump Shot,24,239,47,False
Johnny OBryant III,2,7,51,1,Jump Shot,26,25,267,False
Johnny OBryant III,2,10,45,0,Jump Shot,25,110,226,False
Johnny OBryant III,2,7,54,0,Jump Shot,24,193,152,False
Johnny OBryant III,2,9,36,1,Jump Shot,26,-105,242,False
Johnny OBryant III,1,0,0,0,Jump Shot,63,78,631,False
Johnny OBryant III,2,10,52,0,Jump Shot,17,-82,160,True
Johnny OBryant III,1,1,9,0,Jump Shot,25,11,256,False
Johnny OBryant III,4,8,24,0,Jump Shot,9,-91,31,True
Johnny OBryant III,3,2,17,1,Jump Shot,11,-112,35,True
Johnny OBryant III,1,2,9,1,Jump Shot,16,-168,16,True
Johnny OBryant III,2,9,7,0,Jump Shot,26,163,207,False
Johnny OBryant III,4,10,27,0,Jump Shot,10,-57,93,True
Johnny OBryant III,4,2,16,0,Jump Shot,11,-107,50,True
Johnny OBryant III,4,0,42,1,Jump Shot,19,80,179,True
Johnny OBryant III,4,1,33,1,Jump Shot,13,117,75,True
Johnny OBryant III,4,2,42,1,Jump Shot,15,-155,7,True
Johnny OBryant III,4,0,54,0,Jump Shot,17,1,178,True
Johnny OBryant III,4,1,55,0,Jump Shot,25,-130,216,False
Johnny OBryant III,4,0,9,0,Jump Shot,25,8,256,False
Johnny OBryant III,2,11,2,1,Jump Shot,26,-143,227,False
Johnny OBryant III,2,9,8,1,Jump Shot,20,-144,142,True
Johnny OBryant III,2,11,30,0,Jump Shot,12,-44,120,True
Johnny OBryant III,2,9,58,0,Jump Shot,25,207,151,False
Johnny OBryant III,1,3,5,1,Jump Shot,25,22,256,False
Johnny OBryant III,2,5,46,0,Jump Shot,22,-228,-10,False
Johnny OBryant III,1,0,53,0,Jump Shot,13,-133,7,True
Johnny OBryant III,2,10,33,1,Jump Shot,14,-145,3,True
Johnny OBryant III,2,6,38,0,Jump Shot,16,130,99,True
Johnny OBryant III,4,2,5,1,Layup Shot,2,-19,8,True
Johnny OBryant III,1,1,33,0,Layup Shot,3,6,33,True
Johnny OBryant III,4,10,54,1,Layup Shot,2,-14,18,True
Johnny OBryant III,4,9,10,0,Layup Shot,1,-9,10,True
Johnny OBryant III,1,3,6,0,Layup Shot,2,5,26,True
Johnny OBryant III,2,11,41,1,Layup Shot,1,-13,15,True
Johnny OBryant III,4,9,26,0,Layup Shot,2,11,22,True
Johnny OBryant III,3,0,49,0,Layup Shot,3,-5,35,True
Johnny OBryant III,4,10,9,1,Layup Shot,0,0,6,True
Johnny OBryant III,4,7,44,0,Layup Shot,2,10,22,True
Johnny OBryant III,4,5,12,1,Layup Shot,0,-6,3,True
Johnny OBryant III,4,9,11,1,Layup Shot,1,-10,10,True
Johnny OBryant III,2,7,33,0,Layup Shot,1,13,13,True
Johnny OBryant III,4,7,56,0,Layup Shot,1,8,11,True
Johnny OBryant III,4,3,29,1,Layup Shot,1,16,-1,True
Johnny OBryant III,4,10,50,0,Layup Shot,2,3,22,True
Johnny OBryant III,4,11,5,0,Layup Shot,8,14,80,True
Johnny OBryant III,4,11,5,0,Layup Shot,0,5,7,True
Johnny OBryant III,4,8,2,0,Layup Shot,2,-11,19,True
Johnny OBryant III,2,8,42,0,Pullup Jump shot,20,-171,107,True
Johnny OBryant III,4,0,12,1,Pullup Jump shot,18,-180,59,True
Johnny OBryant III,3,1,5,0,Pullup Jump shot,14,-134,45,True
Johnny OBryant III,1,1,35,1,Pullup Jump shot,18,-181,13,True
Johnny OBryant III,1,3,12,1,Pullup Jump shot,12,-54,117,True
Johnny OBryant III,4,9,51,0,Pullup Jump shot,24,55,243,False
Johnny OBryant III,4,8,56,1,Putback Layup Shot,0,0,-6,True
Johnny OBryant III,4,0,15,1,Reverse Layup Shot,1,-8,11,True
Johnny OBryant III,2,6,15,1,Reverse Layup Shot,1,10,17,True
Johnny OBryant III,2,6,18,0,Step Back Jump shot,9,95,-1,True
Johnny OBryant III,4,2,17,0,Step Back Jump shot,14,-106,100,True
Johnny OBryant III,1,2,49,0,Step Back Jump shot,13,1,137,True
Johnny OBryant III,4,1,38,0,Step Back Jump shot,7,-69,30,True
Johnny OBryant III,4,9,22,0,Step Back Jump shot,11,38,109,True
Johnny OBryant III,4,8,35,0,Step Back Jump shot,11,-43,106,True
Johnny OBryant III,4,2,55,1,Step Back Jump shot,14,-85,116,True
Johnny OBryant III,4,1,10,1,Tip Layup Shot,0,0,-6,True
Johnny OBryant III,4,8,54,1,Tip Layup Shot,0,0,-6,True
Johnny OBryant III,4,6,37,1,Tip Layup Shot,0,0,-6,True
Johnny OBryant III,3,0,8,1,Tip Layup Shot,0,0,-6,True
Johnny OBryant III,2,9,15,0,Turnaround Fadeaway Bank Jump Shot,9,89,42,True
Johnny OBryant III,1,1,32,1,Turnaround Fadeaway Bank Jump Shot,7,-33,63,True
Johnny OBryant III,4,9,14,0,Turnaround Fadeaway shot,15,-19,151,True
Johnny OBryant III,4,0,57,0,Turnaround Fadeaway shot,9,-89,23,True
Johnny OBryant III,3,1,43,0,Turnaround Fadeaway shot,10,-106,-2,True
Johnny OBryant III,2,8,18,0,Turnaround Hook Shot,8,6,87,True
