name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Jonathan Gibson,4,1,24,1,Cutting Layup Shot,1,-14,8,True
Jonathan Gibson,4,8,27,0,Driving Finger Roll Layup Shot,2,24,13,True
Jonathan Gibson,4,2,33,1,Driving Layup Shot,1,-16,6,True
Jonathan Gibson,1,0,6,1,Driving Layup Shot,2,18,11,True
Jonathan Gibson,4,1,46,1,Driving Reverse Layup Shot,4,-43,2,True
Jonathan Gibson,2,6,4,0,Fadeaway Jump Shot,6,-67,16,True
Jonathan Gibson,1,3,2,0,Jump Shot,25,-145,209,False
Jonathan Gibson,4,4,30,0,Jump Shot,27,-176,212,False
Jonathan Gibson,2,10,17,1,Jump Shot,25,-102,234,False
Jonathan Gibson,4,2,17,1,Jump Shot,26,206,165,False
Jonathan Gibson,3,0,3,0,Jump Shot,26,2,263,False
Jonathan Gibson,4,10,44,1,Jump Shot,26,-86,250,False
Jonathan Gibson,4,6,25,0,Jump Shot,26,-135,226,False
Jonathan Gibson,4,7,30,1,Jump Shot,25,230,98,False
Jonathan Gibson,4,3,13,0,Jump Shot,26,-193,180,False
Jonathan Gibson,4,8,57,1,Jump Shot,27,98,257,False
Jonathan Gibson,4,0,43,1,Jump Shot,24,-234,77,False
Jonathan Gibson,4,0,19,0,Jump Shot,25,-166,188,False
Jonathan Gibson,1,2,53,0,Pullup Jump shot,10,77,78,True
Jonathan Gibson,4,7,49,1,Pullup Jump shot,16,-93,137,True
Jonathan Gibson,4,1,18,1,Pullup Jump shot,19,-8,197,True
Jonathan Gibson,2,9,53,1,Running Layup Shot,1,-8,9,True
Jonathan Gibson,4,2,20,1,Running Layup Shot,1,9,17,True
