name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Jordan Mickey,2,8,47,1,Cutting Dunk Shot,2,2,20,True
Jordan Mickey,2,10,12,1,Cutting Dunk Shot,3,6,38,True
Jordan Mickey,1,5,56,1,Cutting Layup Shot,1,17,5,True
Jordan Mickey,3,6,45,0,Cutting Layup Shot,2,21,8,True
Jordan Mickey,2,0,21,1,Cutting Layup Shot,2,16,20,True
Jordan Mickey,4,7,10,1,Cutting Layup Shot,1,-11,10,True
Jordan Mickey,4,8,2,0,Driving Layup Shot,7,-66,33,True
Jordan Mickey,4,4,18,1,Driving Layup Shot,4,29,36,True
Jordan Mickey,1,3,28,1,Driving Layup Shot,2,18,14,True
Jordan Mickey,4,7,55,0,Driving Reverse Layup Shot,1,-17,2,True
Jordan Mickey,4,10,9,0,Dunk Shot,3,-21,31,True
Jordan Mickey,3,5,9,0,Dunk Shot,1,0,12,True
Jordan Mickey,3,11,12,1,Dunk Shot,0,3,0,True
Jordan Mickey,2,8,22,1,Dunk Shot,2,3,22,True
Jordan Mickey,1,11,18,0,Hook Shot,2,6,26,True
Jordan Mickey,4,1,14,1,Hook Shot,9,-35,83,True
Jordan Mickey,1,6,16,0,Hook Shot,3,-15,36,True
Jordan Mickey,3,0,43,1,Hook Shot,5,-22,50,True
Jordan Mickey,3,2,53,1,Hook Shot,4,3,44,True
Jordan Mickey,3,11,41,0,Jump Shot,7,70,10,True
Jordan Mickey,4,3,0,0,Jump Shot,25,51,253,False
Jordan Mickey,3,0,41,0,Jump Shot,25,-153,206,False
Jordan Mickey,2,0,49,0,Jump Shot,23,-232,54,False
Jordan Mickey,4,8,28,0,Jump Shot,25,207,150,False
Jordan Mickey,1,0,23,0,Jump Shot,25,-60,251,False
Jordan Mickey,2,9,54,0,Jump Shot,6,25,56,True
Jordan Mickey,1,1,49,0,Jump Shot,23,230,5,False
Jordan Mickey,1,6,40,0,Jump Shot,12,126,3,True
Jordan Mickey,2,2,6,0,Jump Shot,22,-228,-4,False
Jordan Mickey,4,11,42,0,Jump Shot,13,-45,132,True
Jordan Mickey,2,10,50,0,Jump Shot,23,236,32,False
Jordan Mickey,4,6,31,0,Jump Shot,15,-149,18,True
Jordan Mickey,2,1,33,0,Jump Shot,27,2,278,False
Jordan Mickey,4,5,15,0,Jump Shot,21,-191,101,True
Jordan Mickey,2,4,16,1,Jump Shot,17,-21,169,True
Jordan Mickey,4,4,13,0,Jump Shot,23,-231,1,False
Jordan Mickey,4,2,22,1,Jump Shot,23,-228,34,False
Jordan Mickey,2,0,50,0,Jump Shot,26,-131,236,False
Jordan Mickey,3,8,2,1,Layup Shot,2,-20,7,True
Jordan Mickey,4,8,35,0,Layup Shot,2,-19,8,True
Jordan Mickey,4,10,58,1,Layup Shot,1,1,16,True
Jordan Mickey,2,6,53,1,Layup Shot,1,14,-1,True
Jordan Mickey,1,5,25,1,Layup Shot,3,-21,24,True
Jordan Mickey,2,6,21,1,Layup Shot,1,-3,15,True
Jordan Mickey,4,0,20,1,Layup Shot,3,24,18,True
Jordan Mickey,2,3,3,0,Layup Shot,1,14,6,True
Jordan Mickey,3,3,28,1,Layup Shot,1,8,11,True
Jordan Mickey,3,8,29,1,Layup Shot,2,-24,17,True
Jordan Mickey,3,3,55,1,Layup Shot,1,5,16,True
Jordan Mickey,2,10,2,1,Putback Dunk Shot,1,-11,5,True
Jordan Mickey,1,11,0,1,Putback Dunk Shot,1,-2,11,True
Jordan Mickey,4,8,38,1,Putback Layup Shot,1,-12,0,True
Jordan Mickey,3,0,6,0,Putback Layup Shot,2,-11,23,True
Jordan Mickey,2,10,55,0,Reverse Layup Shot,4,-36,18,True
Jordan Mickey,2,4,16,1,Reverse Layup Shot,1,-9,13,True
Jordan Mickey,4,2,4,0,Reverse Layup Shot,5,38,34,True
Jordan Mickey,3,7,27,0,Reverse Layup Shot,1,-9,13,True
Jordan Mickey,4,2,29,0,Reverse Layup Shot,1,9,5,True
Jordan Mickey,4,8,41,0,Reverse Layup Shot,1,13,6,True
Jordan Mickey,4,3,56,0,Running Dunk Shot,3,22,21,True
Jordan Mickey,1,8,13,1,Running Layup Shot,1,6,10,True
Jordan Mickey,3,5,15,0,Tip Dunk Shot,0,0,-6,True
Jordan Mickey,2,0,6,0,Tip Layup Shot,0,0,-6,True
Jordan Mickey,4,4,38,0,Turnaround Hook Shot,5,8,59,True
Jordan Mickey,4,3,0,1,Turnaround Hook Shot,6,-5,67,True
