name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Josh Hart,4,9,20,1,Cutting Dunk Shot,2,-6,20,True
Josh Hart,2,6,19,1,Cutting Dunk Shot,0,0,8,True
Josh Hart,1,8,14,1,Cutting Dunk Shot,0,-5,4,True
Josh Hart,3,10,33,1,Cutting Dunk Shot,0,-2,-1,True
Josh Hart,3,3,44,1,Cutting Dunk Shot,0,4,8,True
Josh Hart,3,3,19,0,Cutting Finger Roll Layup Shot,2,-5,21,True
Josh Hart,1,4,43,1,Cutting Layup Shot,1,-7,18,True
Josh Hart,3,4,35,1,Cutting Layup Shot,1,9,11,True
Josh Hart,4,11,19,1,Cutting Layup Shot,1,-13,13,True
Josh Hart,3,10,53,1,Cutting Layup Shot,0,2,8,True
Josh Hart,1,0,0,1,Cutting Layup Shot,1,-6,11,True
Josh Hart,2,4,8,1,Cutting Layup Shot,0,2,3,True
Josh Hart,3,10,33,1,Cutting Layup Shot,2,0,29,True
Josh Hart,1,6,5,0,Cutting Layup Shot,2,-5,21,True
Josh Hart,4,5,46,1,Cutting Layup Shot,3,18,25,True
Josh Hart,4,3,15,1,Cutting Layup Shot,1,-13,13,True
Josh Hart,2,1,0,1,Cutting Layup Shot,2,11,21,True
Josh Hart,3,10,29,1,Cutting Layup Shot,1,2,12,True
Josh Hart,3,8,31,1,Cutting Layup Shot,1,6,12,True
Josh Hart,5,1,5,1,Driving Floating Jump Shot,6,45,50,True
Josh Hart,4,1,42,0,Driving Floating Jump Shot,12,0,125,True
Josh Hart,4,6,33,1,Driving Layup Shot,2,2,23,True
Josh Hart,4,6,29,1,Driving Layup Shot,1,9,5,True
Josh Hart,4,0,0,0,Driving Layup Shot,2,11,17,True
Josh Hart,2,0,39,0,Driving Layup Shot,1,11,5,True
Josh Hart,3,7,22,1,Driving Layup Shot,1,-1,17,True
Josh Hart,4,6,46,0,Driving Layup Shot,2,3,29,True
Josh Hart,4,0,28,0,Driving Layup Shot,3,5,37,True
Josh Hart,4,3,3,0,Driving Layup Shot,1,4,11,True
Josh Hart,1,3,20,0,Driving Layup Shot,3,22,25,True
Josh Hart,2,6,23,0,Driving Layup Shot,3,19,31,True
Josh Hart,3,11,41,1,Driving Layup Shot,0,-3,8,True
