name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Justise Winslow,2,6,56,1,Cutting Dunk Shot,1,9,5,True
Justise Winslow,2,10,21,1,Cutting Dunk Shot,2,-6,20,True
Justise Winslow,2,9,34,1,Cutting Dunk Shot,0,-5,1,True
Justise Winslow,2,4,21,1,Cutting Dunk Shot,0,-5,8,True
Justise Winslow,4,7,9,1,Cutting Dunk Shot,4,-22,38,True
Justise Winslow,2,7,57,1,Cutting Finger Roll Layup Shot,4,11,43,True
Justise Winslow,3,1,49,1,Cutting Layup Shot,3,30,6,True
Justise Winslow,2,10,37,1,Cutting Layup Shot,1,-13,11,True
Justise Winslow,1,3,12,1,Cutting Layup Shot,0,3,9,True
Justise Winslow,2,10,32,1,Cutting Layup Shot,1,-17,-1,True
Justise Winslow,4,11,0,1,Cutting Layup Shot,3,-19,34,True
Justise Winslow,2,9,20,0,Cutting Layup Shot,0,8,4,True
Justise Winslow,4,2,34,0,Cutting Layup Shot,1,1,13,True
Justise Winslow,4,5,24,1,Cutting Layup Shot,1,-13,-1,True
Justise Winslow,1,1,8,0,Cutting Layup Shot,0,-2,6,True
Justise Winslow,2,10,38,0,Cutting Layup Shot,1,-5,10,True
Justise Winslow,2,5,54,1,Cutting Layup Shot,1,-8,10,True
Justise Winslow,2,6,12,1,Cutting Layup Shot,2,-13,16,True
Justise Winslow,2,10,41,1,Cutting Layup Shot,1,11,12,True
Justise Winslow,4,6,58,0,Cutting Layup Shot,1,13,6,True
Justise Winslow,4,10,47,1,Driving Dunk Shot,1,7,13,True
Justise Winslow,4,2,46,0,Driving Dunk Shot,1,-6,13,True
Justise Winslow,4,0,16,1,Driving Dunk Shot,0,-3,5,True
Justise Winslow,2,7,26,1,Driving Dunk Shot,1,3,10,True
Justise Winslow,3,11,19,0,Driving Finger Roll Layup Shot,4,36,20,True
Justise Winslow,2,5,1,0,Driving Finger Roll Layup Shot,1,12,-2,True
Justise Winslow,3,9,18,1,Driving Finger Roll Layup Shot,1,-8,12,True
Justise Winslow,4,6,35,1,Driving Finger Roll Layup Shot,2,-17,12,True
Justise Winslow,3,1,5,1,Driving Finger Roll Layup Shot,1,-2,13,True
Justise Winslow,4,6,6,0,Driving Floating Bank Jump Shot,3,27,18,True
Justise Winslow,4,8,18,1,Driving Floating Bank Jump Shot,1,-8,11,True
Justise Winslow,4,10,51,1,Driving Floating Bank Jump Shot,4,33,30,True
Justise Winslow,3,7,38,0,Driving Floating Bank Jump Shot,6,-55,37,True
Justise Winslow,2,9,45,0,Driving Floating Bank Jump Shot,5,-30,48,True
Justise Winslow,2,6,50,0,Driving Floating Bank Jump Shot,14,-100,100,True
Justise Winslow,3,10,31,1,Driving Floating Bank Jump Shot,9,89,41,True
Justise Winslow,4,3,36,1,Driving Floating Bank Jump Shot,5,38,37,True
Justise Winslow,3,4,11,1,Driving Floating Bank Jump Shot,4,-41,28,True
Justise Winslow,4,6,53,0,Driving Floating Jump Shot,9,-26,93,True
Justise Winslow,1,4,32,0,Driving Floating Jump Shot,9,-11,99,True
Justise Winslow,3,2,26,1,Driving Floating Jump Shot,9,13,95,True
Justise Winslow,2,4,8,1,Driving Floating Jump Shot,3,-8,37,True
Justise Winslow,3,4,26,1,Driving Floating Jump Shot,9,20,93,True
Justise Winslow,2,9,11,0,Driving Floating Jump Shot,7,-21,71,True
Justise Winslow,3,8,14,1,Driving Floating Jump Shot,8,4,86,True
Justise Winslow,1,0,22,1,Driving Floating Jump Shot,5,5,55,True
Justise Winslow,3,8,47,1,Driving Hook Shot,8,-46,70,True
Justise Winslow,3,10,17,0,Driving Hook Shot,2,-19,15,True
Justise Winslow,3,10,52,0,Driving Hook Shot,8,-52,63,True
Justise Winslow,4,5,23,0,Driving Layup Shot,5,-48,34,True
Justise Winslow,1,1,26,1,Driving Layup Shot,1,-18,0,True
Justise Winslow,3,0,49,1,Driving Layup Shot,1,-11,13,True
Justise Winslow,4,7,20,1,Driving Layup Shot,3,25,22,True
Justise Winslow,1,11,44,1,Driving Layup Shot,0,0,6,True
Justise Winslow,4,2,54,0,Driving Layup Shot,2,-24,2,True
Justise Winslow,4,7,18,0,Driving Layup Shot,1,16,4,True
Justise Winslow,2,9,59,1,Driving Layup Shot,2,-20,10,True
Justise Winslow,3,0,33,1,Driving Layup Shot,1,-3,14,True
Justise Winslow,1,0,35,1,Driving Layup Shot,3,-17,33,True
Justise Winslow,1,1,26,1,Driving Layup Shot,0,-8,4,True
Justise Winslow,1,3,6,0,Driving Layup Shot,4,-25,36,True
Justise Winslow,2,5,46,0,Driving Layup Shot,0,-6,7,True
Justise Winslow,2,2,25,1,Driving Layup Shot,0,-2,4,True
Justise Winslow,2,10,53,0,Driving Layup Shot,3,13,31,True
Justise Winslow,5,3,30,0,Driving Layup Shot,1,-11,6,True
Justise Winslow,3,2,52,0,Driving Layup Shot,2,-23,12,True
Justise Winslow,4,3,33,1,Driving Layup Shot,2,-23,2,True
Justise Winslow,4,5,45,0,Driving Layup Shot,0,3,5,True
Justise Winslow,1,6,29,0,Driving Layup Shot,5,-5,59,True
Justise Winslow,1,10,52,0,Driving Layup Shot,2,0,20,True
Justise Winslow,3,7,54,0,Driving Layup Shot,0,9,3,True
Justise Winslow,3,7,28,0,Driving Layup Shot,2,-22,2,True
Justise Winslow,1,10,20,0,Driving Layup Shot,1,-11,13,True
Justise Winslow,1,0,50,0,Driving Layup Shot,1,-17,8,True
Justise Winslow,4,0,48,0,Driving Layup Shot,1,-1,16,True
Justise Winslow,1,0,38,1,Driving Layup Shot,1,16,6,True
Justise Winslow,2,11,39,1,Driving Layup Shot,1,-15,10,True
Justise Winslow,1,10,17,1,Driving Layup Shot,1,-14,10,True
Justise Winslow,1,8,8,1,Driving Layup Shot,1,18,6,True
Justise Winslow,1,11,31,0,Driving Layup Shot,1,-3,15,True
Justise Winslow,3,11,51,0,Driving Layup Shot,2,18,13,True
Justise Winslow,3,10,25,0,Driving Layup Shot,1,14,12,True
Justise Winslow,2,6,56,0,Driving Layup Shot,1,-6,14,True
Justise Winslow,3,9,51,0,Driving Layup Shot,0,-1,-6,True
Justise Winslow,1,5,37,1,Driving Layup Shot,2,-17,11,True
Justise Winslow,3,2,0,0,Driving Layup Shot,5,-32,43,True
Justise Winslow,2,10,23,1,Driving Layup Shot,3,-21,29,True
Justise Winslow,4,5,52,0,Driving Layup Shot,5,-25,45,True
Justise Winslow,1,1,25,0,Driving Layup Shot,1,-1,17,True
Justise Winslow,2,11,40,0,Driving Layup Shot,3,-8,36,True
Justise Winslow,4,9,40,0,Driving Layup Shot,3,-26,20,True
Justise Winslow,2,11,18,1,Driving Layup Shot,0,-5,8,True
Justise Winslow,1,0,23,1,Driving Layup Shot,1,9,5,True
Justise Winslow,4,10,56,1,Driving Layup Shot,1,15,6,True
Justise Winslow,3,2,11,1,Driving Layup Shot,1,-3,10,True
Justise Winslow,4,0,29,0,Driving Layup Shot,2,13,20,True
Justise Winslow,1,3,24,0,Driving Layup Shot,2,-11,17,True
Justise Winslow,3,4,28,1,Driving Layup Shot,4,-46,5,True
Justise Winslow,3,1,52,1,Driving Layup Shot,1,9,11,True
Justise Winslow,4,7,10,0,Driving Layup Shot,0,3,2,True
Justise Winslow,3,3,13,0,Driving Layup Shot,0,6,4,True
Justise Winslow,3,2,3,0,Driving Layup Shot,7,-61,49,True
Justise Winslow,1,3,22,0,Driving Layup Shot,1,-14,14,True
Justise Winslow,4,9,18,1,Driving Layup Shot,2,25,6,True
Justise Winslow,4,4,50,0,Driving Layup Shot,1,10,7,True
Justise Winslow,1,1,55,1,Driving Layup Shot,3,-4,36,True
Justise Winslow,2,10,55,0,Driving Layup Shot,0,-9,0,True
Justise Winslow,4,9,48,1,Driving Layup Shot,0,0,5,True
Justise Winslow,2,5,14,0,Driving Layup Shot,1,13,15,True
Justise Winslow,4,7,36,1,Driving Layup Shot,1,-5,13,True
Justise Winslow,3,5,18,1,Driving Layup Shot,1,-17,6,True
Justise Winslow,2,10,5,1,Driving Layup Shot,2,-24,13,True
Justise Winslow,4,4,46,0,Driving Layup Shot,2,-10,20,True
Justise Winslow,1,1,31,1,Driving Layup Shot,1,-14,11,True
Justise Winslow,2,3,10,0,Driving Layup Shot,3,17,30,True
Justise Winslow,4,3,40,0,Driving Layup Shot,1,14,14,True
Justise Winslow,4,8,44,1,Driving Layup Shot,1,3,11,True
Justise Winslow,4,7,5,0,Driving Reverse Layup Shot,1,9,-5,True
Justise Winslow,1,9,35,0,Driving Reverse Layup Shot,2,-26,-1,True
Justise Winslow,2,5,19,1,Driving Reverse Layup Shot,1,6,11,True
Justise Winslow,3,6,30,0,Dunk Shot,2,-6,27,True
Justise Winslow,3,11,38,1,Dunk Shot,1,-3,13,True
Justise Winslow,2,11,23,1,Dunk Shot,0,1,9,True
Justise Winslow,3,8,4,0,Dunk Shot,1,-3,18,True
Justise Winslow,1,6,48,0,Fadeaway Jump Shot,14,133,47,True
Justise Winslow,1,10,13,0,Fadeaway Jump Shot,8,32,77,True
Justise Winslow,4,11,15,0,Fadeaway Jump Shot,14,-69,130,True
Justise Winslow,1,8,17,0,Fadeaway Jump Shot,10,7,105,True
Justise Winslow,3,9,4,0,Fadeaway Jump Shot,9,43,87,True
Justise Winslow,3,7,14,0,Fadeaway Jump Shot,12,-95,75,True
Justise Winslow,1,1,20,1,Fadeaway Jump Shot,11,112,5,True
Justise Winslow,1,7,0,1,Finger Roll Layup Shot,1,17,6,True
Justise Winslow,2,5,42,0,Floating Jump shot,2,11,25,True
Justise Winslow,4,0,25,1,Floating Jump shot,1,10,6,True
Justise Winslow,2,6,6,1,Floating Jump shot,7,-2,75,True
Justise Winslow,4,0,46,1,Floating Jump shot,9,-6,92,True
Justise Winslow,4,1,40,0,Floating Jump shot,6,-6,64,True
Justise Winslow,2,8,1,0,Floating Jump shot,8,82,4,True
Justise Winslow,3,4,44,0,Floating Jump shot,9,-28,92,True
Justise Winslow,3,3,26,1,Floating Jump shot,14,-100,105,True
Justise Winslow,1,6,4,1,Floating Jump shot,4,-4,43,True
Justise Winslow,1,3,39,1,Floating Jump shot,1,0,19,True
Justise Winslow,1,10,42,0,Floating Jump shot,8,1,83,True
Justise Winslow,4,8,58,0,Floating Jump shot,6,-16,67,True
Justise Winslow,1,10,31,1,Floating Jump shot,9,-28,95,True
Justise Winslow,3,11,13,1,Floating Jump shot,2,2,26,True
Justise Winslow,3,7,56,0,Floating Jump shot,5,-23,55,True
Justise Winslow,3,6,8,0,Floating Jump shot,10,-58,86,True
Justise Winslow,4,5,29,0,Hook Shot,7,9,72,True
Justise Winslow,4,1,14,0,Hook Shot,5,-30,50,True
Justise Winslow,4,7,58,1,Hook Shot,5,13,49,True
Justise Winslow,2,4,12,0,Hook Shot,5,-51,31,True
Justise Winslow,1,7,37,0,Hook Shot,7,1,75,True
Justise Winslow,1,1,56,0,Jump Bank Shot,3,18,35,True
Justise Winslow,2,10,7,0,Jump Bank Shot,6,44,47,True
Justise Winslow,3,6,31,0,Jump Bank Shot,4,-29,33,True
Justise Winslow,3,2,16,1,Jump Bank Shot,4,27,34,True
Justise Winslow,3,1,20,0,Jump Bank Shot,16,-138,81,True
Justise Winslow,1,1,32,1,Jump Bank Shot,8,-86,-4,True
Justise Winslow,4,8,27,1,Jump Bank Shot,7,-63,41,True
Justise Winslow,4,2,22,0,Jump Bank Shot,2,16,17,True
Justise Winslow,2,8,32,1,Jump Shot,23,233,-17,False
Justise Winslow,4,9,15,0,Jump Shot,23,230,-4,False
Justise Winslow,2,2,57,0,Jump Shot,22,229,-8,False
Justise Winslow,3,3,51,0,Jump Shot,25,141,217,False
Justise Winslow,1,0,0,0,Jump Shot,68,73,683,False
Justise Winslow,2,10,14,0,Jump Shot,5,-32,46,True
Justise Winslow,4,8,58,0,Jump Shot,27,-116,246,False
Justise Winslow,1,5,11,1,Jump Shot,20,-194,67,True
Justise Winslow,2,9,28,0,Jump Shot,24,-150,199,False
Justise Winslow,3,5,29,0,Jump Shot,24,153,190,False
Justise Winslow,3,3,46,0,Jump Shot,22,-223,45,False
Justise Winslow,3,5,22,1,Jump Shot,24,186,158,False
Justise Winslow,2,9,53,0,Jump Shot,22,228,0,False
Justise Winslow,1,2,35,0,Jump Shot,22,226,-14,False
Justise Winslow,1,0,24,0,Jump Shot,25,-199,165,False
Justise Winslow,2,9,51,1,Jump Shot,23,234,32,False
Justise Winslow,3,1,50,0,Jump Shot,25,174,180,False
Justise Winslow,4,0,9,0,Jump Shot,23,-229,70,False
Justise Winslow,2,7,53,0,Jump Shot,9,-89,31,True
Justise Winslow,4,1,45,1,Jump Shot,23,230,11,False
Justise Winslow,2,9,24,0,Jump Shot,24,234,57,False
Justise Winslow,2,7,59,0,Jump Shot,22,-228,9,False
Justise Winslow,3,1,32,0,Jump Shot,20,-160,131,True
Justise Winslow,2,6,13,0,Jump Shot,26,-226,141,False
Justise Winslow,2,7,24,1,Jump Shot,24,-214,121,False
Justise Winslow,3,4,12,0,Jump Shot,23,-231,-8,False
Justise Winslow,1,1,31,1,Jump Shot,25,-36,254,False
Justise Winslow,4,9,30,0,Jump Shot,22,-227,-6,False
Justise Winslow,1,4,48,1,Jump Shot,23,-230,-5,False
Justise Winslow,4,9,2,0,Jump Shot,25,131,214,False
Justise Winslow,4,2,13,0,Jump Shot,26,-155,209,False
Justise Winslow,1,0,0,0,Jump Shot,25,152,200,False
Justise Winslow,4,8,33,1,Jump Shot,23,-230,29,False
Justise Winslow,1,3,29,0,Jump Shot,23,232,-18,False
Justise Winslow,4,10,18,1,Jump Shot,17,-95,143,True
Justise Winslow,4,6,35,0,Jump Shot,13,135,12,True
Justise Winslow,2,9,48,0,Jump Shot,22,227,32,False
Justise Winslow,1,1,53,0,Jump Shot,14,-136,52,True
Justise Winslow,4,7,43,0,Jump Shot,26,-105,241,False
Justise Winslow,1,0,26,0,Jump Shot,23,-229,50,False
Justise Winslow,1,4,40,0,Jump Shot,24,125,210,False
Justise Winslow,2,8,57,1,Jump Shot,24,31,241,False
Justise Winslow,2,4,52,0,Jump Shot,21,-112,180,True
Justise Winslow,1,4,22,0,Jump Shot,12,114,39,True
Justise Winslow,1,0,42,0,Jump Shot,23,-230,3,False
Justise Winslow,2,4,17,0,Jump Shot,26,165,204,False
Justise Winslow,1,0,14,0,Jump Shot,8,84,-12,True
Justise Winslow,2,5,28,1,Jump Shot,24,-210,132,False
Justise Winslow,3,8,22,1,Jump Shot,25,180,178,False
Justise Winslow,2,4,17,1,Jump Shot,24,236,51,False
Justise Winslow,2,4,40,1,Jump Shot,23,229,37,False
Justise Winslow,4,3,42,0,Jump Shot,24,228,79,False
Justise Winslow,3,6,43,0,Jump Shot,22,-229,12,False
Justise Winslow,2,1,34,1,Jump Shot,22,224,19,False
Justise Winslow,3,6,38,0,Jump Shot,24,-147,202,False
Justise Winslow,3,6,9,0,Jump Shot,19,-126,152,True
Justise Winslow,1,5,26,1,Jump Shot,24,236,52,False
Justise Winslow,3,7,8,1,Jump Shot,25,-229,116,False
Justise Winslow,4,3,35,0,Jump Shot,23,230,55,False
Justise Winslow,3,6,29,0,Jump Shot,23,226,67,False
Justise Winslow,1,6,15,1,Jump Shot,22,229,14,False
Justise Winslow,3,7,37,1,Jump Shot,24,176,173,False
Justise Winslow,4,6,17,0,Jump Shot,24,-209,132,False
Justise Winslow,2,5,3,0,Jump Shot,26,228,131,False
Justise Winslow,1,8,23,0,Jump Shot,21,-19,213,True
Justise Winslow,2,2,29,0,Jump Shot,22,229,13,False
