name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Jusuf Nurkic,3,5,2,1,Alley Oop Dunk Shot,2,-20,6,True
Jusuf Nurkic,3,8,9,0,Alley Oop Layup shot,3,-32,15,True
Jusuf Nurkic,1,6,10,1,Alley Oop Layup shot,1,14,3,True
Jusuf Nurkic,1,7,4,1,Cutting Dunk Shot,0,-5,-1,True
Jusuf Nurkic,1,8,58,0,Cutting Dunk Shot,1,-2,15,True
Jusuf Nurkic,1,9,44,0,Cutting Dunk Shot,2,21,10,True
Jusuf Nurkic,1,8,41,1,Cutting Dunk Shot,0,-6,6,True
Jusuf Nurkic,3,0,46,1,Cutting Dunk Shot,1,0,11,True
Jusuf Nurkic,3,9,32,1,Cutting Dunk Shot,0,-3,0,True
Jusuf Nurkic,1,11,12,1,Cutting Dunk Shot,0,-2,0,True
Jusuf Nurkic,4,1,42,1,Cutting Dunk Shot,1,11,9,True
Jusuf Nurkic,2,6,36,1,Cutting Dunk Shot,0,0,9,True
Jusuf Nurkic,3,9,31,1,Cutting Dunk Shot,0,5,4,True
Jusuf Nurkic,3,7,21,1,Cutting Dunk Shot,0,2,5,True
Jusuf Nurkic,2,3,52,1,Cutting Dunk Shot,0,9,3,True
Jusuf Nurkic,4,7,58,1,Cutting Dunk Shot,0,5,-7,True
Jusuf Nurkic,1,11,36,1,Cutting Dunk Shot,1,-11,-8,True
Jusuf Nurkic,1,3,14,1,Cutting Dunk Shot,0,-6,2,True
Jusuf Nurkic,1,3,40,1,Cutting Dunk Shot,0,-2,0,True
Jusuf Nurkic,1,7,7,1,Cutting Dunk Shot,0,0,2,True
Jusuf Nurkic,3,9,6,1,Cutting Dunk Shot,1,-2,11,True
Jusuf Nurkic,3,9,45,1,Cutting Dunk Shot,0,3,8,True
Jusuf Nurkic,2,7,31,1,Cutting Dunk Shot,0,4,2,True
Jusuf Nurkic,3,8,49,1,Cutting Dunk Shot,0,-6,2,True
Jusuf Nurkic,1,5,21,1,Cutting Dunk Shot,1,-2,15,True
Jusuf Nurkic,1,10,10,1,Cutting Dunk Shot,1,-11,2,True
Jusuf Nurkic,3,6,36,1,Cutting Dunk Shot,0,-2,6,True
Jusuf Nurkic,1,9,19,1,Cutting Dunk Shot,1,-7,13,True
Jusuf Nurkic,1,11,15,1,Cutting Dunk Shot,1,-2,13,True
Jusuf Nurkic,1,11,6,1,Cutting Finger Roll Layup Shot,1,-6,16,True
Jusuf Nurkic,1,6,36,1,Cutting Finger Roll Layup Shot,1,13,-3,True
Jusuf Nurkic,3,9,44,0,Cutting Finger Roll Layup Shot,0,-8,0,True
Jusuf Nurkic,3,3,15,1,Cutting Finger Roll Layup Shot,1,12,11,True
Jusuf Nurkic,2,2,52,1,Cutting Finger Roll Layup Shot,0,0,3,True
Jusuf Nurkic,4,3,15,1,Cutting Finger Roll Layup Shot,1,3,14,True
Jusuf Nurkic,3,6,16,1,Cutting Layup Shot,1,8,8,True
Jusuf Nurkic,2,4,3,0,Cutting Layup Shot,1,-19,4,True
Jusuf Nurkic,1,9,24,0,Cutting Layup Shot,6,0,67,True
Jusuf Nurkic,4,5,56,0,Cutting Layup Shot,1,-17,8,True
Jusuf Nurkic,2,6,23,1,Cutting Layup Shot,0,4,8,True
Jusuf Nurkic,3,11,19,1,Cutting Layup Shot,4,28,41,True
Jusuf Nurkic,2,4,8,0,Cutting Layup Shot,2,14,21,True
Jusuf Nurkic,2,2,40,1,Cutting Layup Shot,1,8,6,True
Jusuf Nurkic,1,10,47,0,Cutting Layup Shot,1,-6,16,True
Jusuf Nurkic,3,10,16,1,Cutting Layup Shot,1,8,12,True
Jusuf Nurkic,4,4,24,0,Cutting Layup Shot,2,17,17,True
Jusuf Nurkic,3,7,55,1,Cutting Layup Shot,2,25,4,True
Jusuf Nurkic,1,10,47,1,Cutting Layup Shot,2,6,20,True
Jusuf Nurkic,4,4,18,1,Cutting Layup Shot,1,0,-10,True
Jusuf Nurkic,3,4,33,1,Cutting Layup Shot,1,14,12,True
Jusuf Nurkic,1,10,0,0,Cutting Layup Shot,1,16,4,True
Jusuf Nurkic,1,11,19,0,Cutting Layup Shot,1,11,16,True
Jusuf Nurkic,2,7,9,1,Cutting Layup Shot,3,2,38,True
Jusuf Nurkic,1,5,21,1,Cutting Layup Shot,0,8,1,True
Jusuf Nurkic,1,6,30,0,Cutting Layup Shot,1,5,15,True
Jusuf Nurkic,1,7,11,1,Cutting Layup Shot,2,-3,21,True
Jusuf Nurkic,3,6,19,0,Cutting Layup Shot,4,-6,41,True
Jusuf Nurkic,4,3,39,1,Cutting Layup Shot,4,38,24,True
Jusuf Nurkic,1,10,5,1,Cutting Layup Shot,3,24,18,True
Jusuf Nurkic,4,5,56,1,Cutting Layup Shot,2,24,17,True
Jusuf Nurkic,1,5,44,1,Cutting Layup Shot,1,15,6,True
Jusuf Nurkic,2,0,9,0,Cutting Layup Shot,1,13,12,True
Jusuf Nurkic,2,1,42,1,Cutting Layup Shot,1,-12,5,True
Jusuf Nurkic,2,4,58,1,Cutting Layup Shot,0,6,4,True
Jusuf Nurkic,1,5,47,0,Cutting Layup Shot,2,25,-5,True
Jusuf Nurkic,2,6,4,0,Cutting Layup Shot,3,6,32,True
Jusuf Nurkic,1,6,43,1,Cutting Layup Shot,0,4,1,True
Jusuf Nurkic,2,4,50,1,Cutting Layup Shot,2,-27,11,True
Jusuf Nurkic,2,2,40,1,Cutting Layup Shot,4,41,-9,True
Jusuf Nurkic,3,3,50,1,Cutting Layup Shot,1,17,5,True
Jusuf Nurkic,3,7,22,1,Cutting Layup Shot,2,24,3,True
Jusuf Nurkic,1,10,34,1,Cutting Layup Shot,0,-9,1,True
Jusuf Nurkic,3,1,38,1,Cutting Layup Shot,1,5,11,True
Jusuf Nurkic,1,10,9,1,Cutting Layup Shot,1,-6,16,True
Jusuf Nurkic,2,1,28,1,Cutting Layup Shot,1,-10,9,True
Jusuf Nurkic,3,10,0,0,Cutting Layup Shot,3,-8,37,True
