name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Kawhi Leonard,2,7,20,1,Driving Dunk Shot,1,5,10,True
Kawhi Leonard,4,2,11,1,Driving Finger Roll Layup Shot,1,6,8,True
Kawhi Leonard,3,4,23,1,Driving Finger Roll Layup Shot,1,6,8,True
Kawhi Leonard,2,5,36,1,Driving Floating Bank Jump Shot,12,98,81,True
Kawhi Leonard,2,6,51,0,Driving Floating Jump Shot,7,44,62,True
Kawhi Leonard,1,9,17,1,Driving Floating Jump Shot,13,123,63,True
Kawhi Leonard,3,6,24,1,Driving Layup Shot,0,6,0,True
Kawhi Leonard,2,0,12,1,Driving Layup Shot,1,-18,7,True
Kawhi Leonard,3,5,40,0,Driving Layup Shot,2,-21,19,True
Kawhi Leonard,1,5,54,1,Driving Layup Shot,2,24,17,True
Kawhi Leonard,4,7,58,1,Driving Layup Shot,2,27,6,True
Kawhi Leonard,1,10,30,0,Driving Layup Shot,1,-16,1,True
Kawhi Leonard,4,2,42,0,Driving Layup Shot,1,14,11,True
Kawhi Leonard,2,7,3,1,Driving Layup Shot,1,-14,1,True
Kawhi Leonard,2,8,37,1,Driving Reverse Layup Shot,1,-4,15,True
Kawhi Leonard,3,8,4,1,Driving Reverse Layup Shot,0,3,4,True
Kawhi Leonard,1,7,55,1,Driving Reverse Layup Shot,0,6,-2,True
Kawhi Leonard,4,9,5,0,Dunk Shot,1,11,15,True
Kawhi Leonard,2,5,1,0,Fadeaway Jump Shot,17,178,-16,True
Kawhi Leonard,1,8,35,1,Hook Shot,7,10,76,True
Kawhi Leonard,3,7,31,0,Jump Shot,24,-180,167,False
Kawhi Leonard,2,9,8,0,Jump Shot,20,-68,189,True
Kawhi Leonard,1,7,51,0,Jump Shot,28,-9,288,False
Kawhi Leonard,3,8,30,1,Jump Shot,13,-130,28,True
Kawhi Leonard,2,11,14,0,Jump Shot,22,226,22,False
Kawhi Leonard,1,9,31,0,Jump Shot,24,123,211,False
Kawhi Leonard,2,6,15,1,Jump Shot,25,119,227,False
Kawhi Leonard,1,9,42,0,Jump Shot,25,46,252,False
Kawhi Leonard,3,8,51,0,Jump Shot,25,4,257,False
Kawhi Leonard,3,8,12,0,Jump Shot,20,85,192,True
Kawhi Leonard,2,5,0,0,Jump Shot,25,63,251,False
Kawhi Leonard,1,7,10,0,Jump Shot,25,-219,122,False
Kawhi Leonard,2,1,20,0,Jump Shot,9,-63,74,True
Kawhi Leonard,4,10,14,1,Jump Shot,23,234,22,False
Kawhi Leonard,2,1,16,1,Jump Shot,11,-39,106,True
Kawhi Leonard,2,8,20,1,Jump Shot,18,117,142,True
Kawhi Leonard,2,7,41,0,Jump Shot,25,182,184,False
Kawhi Leonard,2,10,38,0,Jump Shot,22,-226,22,False
Kawhi Leonard,2,0,32,0,Jump Shot,11,78,83,True
Kawhi Leonard,3,6,46,1,Jump Shot,25,170,193,False
Kawhi Leonard,3,7,44,1,Jump Shot,25,57,247,False
Kawhi Leonard,3,5,54,0,Jump Shot,13,-124,53,True
Kawhi Leonard,1,5,52,0,Jump Shot,25,154,201,False
Kawhi Leonard,3,7,7,0,Jump Shot,25,70,242,False
Kawhi Leonard,1,10,45,0,Jump Shot,15,85,126,True
Kawhi Leonard,2,7,52,1,Jump Shot,14,87,111,True
Kawhi Leonard,1,5,8,0,Jump Shot,25,189,176,False
Kawhi Leonard,4,5,58,1,Jump Shot,14,131,56,True
Kawhi Leonard,1,8,25,0,Jump Shot,8,-45,67,True
Kawhi Leonard,3,4,36,1,Jump Shot,25,127,226,False
Kawhi Leonard,2,1,37,1,Jump Shot,24,16,242,False
Kawhi Leonard,1,5,29,0,Jump Shot,24,95,227,False
Kawhi Leonard,1,7,4,1,Jump Shot,25,11,251,False
Kawhi Leonard,2,6,51,0,Jump Shot,12,-123,5,True
Kawhi Leonard,2,9,40,0,Jump Shot,15,-157,-6,True
Kawhi Leonard,4,3,29,0,Jump Shot,25,42,253,False
Kawhi Leonard,2,5,58,0,Jump Shot,26,-176,193,False
Kawhi Leonard,1,10,6,0,Jump Shot,15,-79,136,True
Kawhi Leonard,2,0,2,0,Jump Shot,23,227,64,False
Kawhi Leonard,2,4,43,1,Jump Shot,24,15,248,False
Kawhi Leonard,2,8,7,1,Jump Shot,25,180,178,False
Kawhi Leonard,3,6,53,1,Jump Shot,9,-96,14,True
Kawhi Leonard,2,6,34,0,Jump Shot,25,-71,241,False
Kawhi Leonard,3,10,56,0,Jump Shot,25,28,250,False
Kawhi Leonard,4,9,18,0,Layup Shot,4,-40,-13,True
Kawhi Leonard,2,4,8,1,Layup Shot,4,-25,43,True
Kawhi Leonard,3,9,57,0,Pullup Jump shot,17,-78,155,True
Kawhi Leonard,1,6,11,1,Pullup Jump shot,8,5,85,True
Kawhi Leonard,2,10,8,0,Pullup Jump shot,9,36,92,True
Kawhi Leonard,1,4,52,0,Pullup Jump shot,25,78,242,False
Kawhi Leonard,1,7,14,1,Pullup Jump shot,20,-2,202,True
Kawhi Leonard,2,9,21,1,Pullup Jump shot,17,-15,171,True
Kawhi Leonard,2,5,2,1,Pullup Jump shot,18,-1,184,True
Kawhi Leonard,4,7,0,0,Pullup Jump shot,7,35,67,True
Kawhi Leonard,1,7,2,0,Pullup Jump shot,16,-139,87,True
Kawhi Leonard,3,9,43,1,Pullup Jump shot,13,51,121,True
Kawhi Leonard,2,7,15,0,Pullup Jump shot,12,76,98,True
Kawhi Leonard,2,9,53,1,Pullup Jump shot,15,96,121,True
Kawhi Leonard,1,11,8,1,Pullup Jump shot,15,56,147,True
Kawhi Leonard,2,0,34,0,Pullup Jump shot,24,41,243,False
Kawhi Leonard,3,8,34,0,Pullup Jump shot,20,163,117,True
Kawhi Leonard,3,8,31,0,Pullup Jump shot,19,178,68,True
Kawhi Leonard,3,11,3,1,Putback Layup Shot,0,0,-6,True
Kawhi Leonard,1,8,57,1,Running Dunk Shot,1,-5,9,True
Kawhi Leonard,3,6,51,1,Running Finger Roll Layup Shot,2,-10,25,True
Kawhi Leonard,4,1,40,1,Step Back Jump shot,9,93,18,True
Kawhi Leonard,3,9,56,0,Step Back Jump shot,16,-91,143,True
Kawhi Leonard,2,1,3,1,Step Back Jump shot,10,-90,58,True
Kawhi Leonard,4,8,31,0,Step Back Jump shot,13,-78,111,True
Kawhi Leonard,2,0,33,0,Turnaround Fadeaway Bank Jump Shot,7,66,36,True
Kawhi Leonard,3,9,51,0,Turnaround Fadeaway shot,10,106,10,True
Kawhi Leonard,3,5,48,0,Turnaround Fadeaway shot,10,-30,100,True
Kawhi Leonard,2,3,30,1,Turnaround Jump Shot,12,114,55,True
Kawhi Leonard,2,9,46,1,Turnaround Jump Shot,11,-105,52,True
Kawhi Leonard,2,10,37,0,Turnaround Jump Shot,13,-72,113,True
