name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Kevin Durant,3,10,45,1,Alley Oop Dunk Shot,1,14,7,True
Kevin Durant,1,8,0,1,Alley Oop Dunk Shot,1,-5,13,True
Kevin Durant,1,9,27,1,Alley Oop Dunk Shot,1,2,10,True
Kevin Durant,1,8,39,1,Alley Oop Dunk Shot,0,8,1,True
Kevin Durant,2,1,58,1,Alley Oop Dunk Shot,1,-12,1,True
Kevin Durant,2,1,22,1,Alley Oop Dunk Shot,1,12,5,True
Kevin Durant,2,4,33,1,Alley Oop Dunk Shot,1,-6,14,True
Kevin Durant,1,0,45,1,Alley Oop Dunk Shot,2,0,26,True
Kevin Durant,1,6,16,1,Alley Oop Dunk Shot,0,-5,6,True
Kevin Durant,3,11,50,1,Alley Oop Dunk Shot,0,-2,-4,True
Kevin Durant,3,5,54,0,Alley Oop Layup shot,2,14,17,True
Kevin Durant,4,4,49,1,Alley Oop Layup shot,0,9,3,True
Kevin Durant,2,3,4,1,Alley Oop Layup shot,1,10,-3,True
Kevin Durant,1,8,52,1,Alley Oop Layup shot,1,10,12,True
Kevin Durant,1,6,39,1,Cutting Dunk Shot,1,10,11,True
Kevin Durant,2,3,7,1,Cutting Dunk Shot,1,6,8,True
Kevin Durant,1,6,22,0,Cutting Dunk Shot,3,-24,18,True
Kevin Durant,4,5,37,1,Cutting Dunk Shot,1,-8,6,True
Kevin Durant,3,10,23,1,Cutting Dunk Shot,2,4,21,True
Kevin Durant,3,2,19,1,Cutting Dunk Shot,0,6,4,True
Kevin Durant,1,11,31,1,Cutting Dunk Shot,0,6,5,True
Kevin Durant,1,3,23,1,Cutting Dunk Shot,1,-2,19,True
Kevin Durant,4,3,43,1,Cutting Dunk Shot,0,-5,-3,True
Kevin Durant,2,6,3,1,Cutting Dunk Shot,0,2,7,True
Kevin Durant,3,3,57,1,Cutting Dunk Shot,2,9,27,True
Kevin Durant,2,4,27,1,Cutting Dunk Shot,2,10,18,True
Kevin Durant,2,4,0,1,Cutting Dunk Shot,1,-7,13,True
Kevin Durant,3,8,11,1,Cutting Dunk Shot,1,0,11,True
Kevin Durant,1,7,41,1,Cutting Dunk Shot,1,-14,8,True
Kevin Durant,2,2,24,1,Cutting Dunk Shot,1,7,15,True
Kevin Durant,4,5,13,1,Cutting Dunk Shot,2,11,18,True
Kevin Durant,3,11,47,1,Cutting Dunk Shot,2,19,8,True
Kevin Durant,1,9,2,1,Cutting Dunk Shot,1,-1,12,True
Kevin Durant,1,11,27,1,Cutting Dunk Shot,0,0,3,True
Kevin Durant,1,9,45,1,Cutting Dunk Shot,1,1,17,True
Kevin Durant,3,7,40,1,Cutting Dunk Shot,2,-3,21,True
Kevin Durant,2,4,16,1,Cutting Dunk Shot,1,-11,4,True
Kevin Durant,1,4,50,1,Cutting Dunk Shot,0,0,5,True
Kevin Durant,1,6,29,1,Cutting Dunk Shot,1,10,12,True
Kevin Durant,2,3,53,0,Cutting Layup Shot,1,0,18,True
Kevin Durant,2,0,42,0,Cutting Layup Shot,1,-11,12,True
Kevin Durant,1,4,46,1,Cutting Layup Shot,1,5,11,True
Kevin Durant,2,1,31,0,Cutting Layup Shot,1,-8,7,True
Kevin Durant,1,11,22,1,Cutting Layup Shot,1,-6,18,True
Kevin Durant,3,6,36,0,Cutting Layup Shot,2,-19,10,True
Kevin Durant,1,8,56,1,Cutting Layup Shot,1,16,5,True
Kevin Durant,2,1,33,1,Cutting Layup Shot,1,16,5,True
Kevin Durant,3,9,7,1,Cutting Layup Shot,1,11,1,True
