name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Kevin Love,1,11,9,1,Alley Oop Layup shot,1,-3,13,True
Kevin Love,3,7,45,0,Alley Oop Layup shot,3,-13,35,True
Kevin Love,1,8,33,0,Alley Oop Layup shot,1,-5,19,True
Kevin Love,1,5,47,0,Alley Oop Layup shot,1,7,13,True
Kevin Love,3,6,0,0,Alley Oop Layup shot,2,0,25,True
Kevin Love,3,11,46,1,Alley Oop Layup shot,1,-13,12,True
Kevin Love,2,2,38,0,Alley Oop Layup shot,1,9,17,True
Kevin Love,2,6,9,1,Cutting Dunk Shot,1,0,11,True
Kevin Love,1,4,42,1,Cutting Dunk Shot,1,-1,10,True
Kevin Love,2,2,53,1,Cutting Dunk Shot,0,-2,8,True
Kevin Love,3,11,45,1,Cutting Finger Roll Layup Shot,1,-12,8,True
Kevin Love,2,6,22,0,Cutting Layup Shot,0,3,8,True
Kevin Love,2,5,41,0,Cutting Layup Shot,2,4,20,True
Kevin Love,1,11,34,1,Cutting Layup Shot,6,-3,69,True
Kevin Love,2,5,9,1,Cutting Layup Shot,1,12,10,True
Kevin Love,1,9,42,1,Cutting Layup Shot,0,0,1,True
Kevin Love,4,8,37,1,Cutting Layup Shot,1,3,10,True
Kevin Love,1,9,39,1,Cutting Layup Shot,2,-24,2,True
Kevin Love,3,5,32,1,Cutting Layup Shot,1,-14,7,True
Kevin Love,4,4,0,1,Cutting Layup Shot,1,5,16,True
Kevin Love,4,4,14,1,Cutting Layup Shot,1,-3,18,True
Kevin Love,1,5,44,1,Cutting Layup Shot,1,2,11,True
Kevin Love,3,9,6,1,Cutting Layup Shot,1,0,16,True
Kevin Love,1,11,24,0,Cutting Layup Shot,1,6,11,True
Kevin Love,3,6,59,1,Cutting Layup Shot,1,9,14,True
Kevin Love,1,9,29,1,Cutting Layup Shot,1,-7,15,True
Kevin Love,3,10,43,1,Cutting Layup Shot,1,13,10,True
Kevin Love,4,7,2,1,Cutting Layup Shot,1,13,11,True
Kevin Love,1,11,32,1,Cutting Layup Shot,1,2,16,True
Kevin Love,2,4,12,0,Cutting Layup Shot,3,0,34,True
Kevin Love,4,4,50,1,Cutting Layup Shot,1,14,6,True
Kevin Love,3,8,59,0,Cutting Layup Shot,2,14,16,True
Kevin Love,2,3,38,1,Cutting Layup Shot,1,-4,19,True
Kevin Love,1,11,24,1,Cutting Layup Shot,0,4,5,True
Kevin Love,1,11,34,0,Cutting Layup Shot,2,-22,14,True
Kevin Love,1,11,46,0,Cutting Layup Shot,1,9,13,True
Kevin Love,3,4,31,1,Cutting Layup Shot,0,-5,7,True
Kevin Love,4,0,19,0,Driving Dunk Shot,1,5,11,True
Kevin Love,1,4,28,1,Driving Dunk Shot,1,-11,6,True
Kevin Love,1,8,29,1,Driving Finger Roll Layup Shot,0,2,9,True
Kevin Love,3,3,45,0,Driving Finger Roll Layup Shot,0,-3,-1,True
Kevin Love,3,8,1,0,Driving Floating Bank Jump Shot,6,43,42,True
Kevin Love,3,8,19,0,Driving Floating Bank Jump Shot,1,14,10,True
Kevin Love,2,3,5,1,Driving Floating Bank Jump Shot,1,-8,11,True
Kevin Love,1,5,57,1,Driving Floating Bank Jump Shot,8,-78,35,True
Kevin Love,1,4,54,0,Driving Floating Jump Shot,3,12,36,True
Kevin Love,3,6,58,1,Driving Floating Jump Shot,10,-38,95,True
Kevin Love,1,5,33,1,Driving Floating Jump Shot,1,-3,13,True
Kevin Love,2,6,49,0,Driving Floating Jump Shot,8,8,83,True
Kevin Love,4,5,24,0,Driving Hook Shot,7,-25,71,True
Kevin Love,1,7,21,1,Driving Hook Shot,8,23,78,True
Kevin Love,1,4,39,0,Driving Hook Shot,11,4,113,True
Kevin Love,1,11,9,0,Driving Layup Shot,4,28,32,True
Kevin Love,2,3,36,1,Driving Layup Shot,0,3,-2,True
Kevin Love,1,2,13,1,Driving Layup Shot,2,-23,10,True
Kevin Love,2,3,44,0,Driving Layup Shot,4,34,31,True
Kevin Love,3,5,38,1,Driving Layup Shot,1,9,6,True
Kevin Love,3,8,59,0,Driving Layup Shot,1,0,14,True
Kevin Love,1,3,50,0,Driving Layup Shot,2,-24,-9,True
Kevin Love,3,5,44,0,Driving Layup Shot,2,5,22,True
Kevin Love,2,1,3,0,Driving Layup Shot,2,0,21,True
Kevin Love,1,4,43,0,Driving Layup Shot,1,7,11,True
Kevin Love,1,6,23,0,Driving Layup Shot,5,0,55,True
Kevin Love,3,9,38,0,Driving Layup Shot,5,-44,38,True
Kevin Love,1,10,10,1,Driving Layup Shot,0,-2,0,True
Kevin Love,3,5,34,0,Driving Layup Shot,1,9,11,True
Kevin Love,2,1,21,1,Driving Layup Shot,1,8,16,True
Kevin Love,1,2,28,0,Driving Layup Shot,6,53,42,True
Kevin Love,3,7,34,1,Driving Layup Shot,0,3,3,True
Kevin Love,2,7,22,0,Driving Layup Shot,5,-56,18,True
Kevin Love,1,5,27,0,Driving Layup Shot,0,-9,0,True
Kevin Love,1,7,11,1,Driving Layup Shot,0,-6,4,True
Kevin Love,2,4,27,1,Driving Layup Shot,0,0,2,True
Kevin Love,1,7,22,1,Driving Layup Shot,1,-8,10,True
Kevin Love,1,6,5,0,Driving Layup Shot,3,23,22,True
Kevin Love,2,1,25,1,Driving Layup Shot,1,-9,10,True
Kevin Love,3,7,32,1,Driving Layup Shot,1,8,6,True
Kevin Love,4,3,6,0,Driving Reverse Layup Shot,2,20,12,True
Kevin Love,2,5,38,1,Driving Reverse Layup Shot,0,1,8,True
Kevin Love,3,9,25,0,Driving Reverse Layup Shot,3,-33,16,True
Kevin Love,3,0,41,1,Driving Reverse Layup Shot,0,-3,2,True
Kevin Love,2,7,17,0,Fadeaway Jump Shot,12,-120,6,True
Kevin Love,1,7,34,1,Fadeaway Jump Shot,13,-131,22,True
Kevin Love,3,9,9,1,Fadeaway Jump Shot,6,-20,60,True
Kevin Love,2,6,52,1,Fadeaway Jump Shot,12,5,125,True
Kevin Love,2,7,30,0,Fadeaway Jump Shot,12,-88,84,True
Kevin Love,3,7,0,0,Fadeaway Jump Shot,7,-3,71,True
Kevin Love,3,11,29,1,Finger Roll Layup Shot,1,-6,10,True
Kevin Love,3,9,7,0,Finger Roll Layup Shot,2,8,28,True
Kevin Love,1,8,57,1,Floating Jump shot,3,-8,31,True
Kevin Love,1,4,11,0,Floating Jump shot,1,0,16,True
Kevin Love,3,4,53,1,Hook Bank Shot,1,12,1,True
Kevin Love,1,7,14,1,Hook Shot,14,-115,89,True
Kevin Love,3,7,9,0,Hook Shot,4,-40,13,True
Kevin Love,1,11,5,0,Hook Shot,4,41,17,True
Kevin Love,1,9,59,0,Hook Shot,10,46,89,True
Kevin Love,1,6,0,0,Hook Shot,8,54,71,True
Kevin Love,2,4,51,1,Hook Shot,4,2,42,True
Kevin Love,1,2,20,0,Hook Shot,9,-52,82,True
